L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
81.50986,3.226341,357.0387,91.78008,3.754593,357.8775
81.50986,3.226341,357.0387,91.78008,3.754593,357.8775
80.77108,0.7248306,357.3262,91.05589,1.219346,357.8038
80.77108,0.7248306,357.3262,91.05589,1.219346,357.8038
81.58542,1.423688,357.2316,91.66286,1.929397,357.8167
81.58542,1.423688,357.2316,91.66286,1.929397,357.8167
81.56953,2.099688,357.1593,91.83075,2.619021,357.8376
81.57011,2.096298,357.1597,91.83138,2.615686,357.8374
81.59347,2.099862,357.1587,91.85661,2.619698,357.8371
81.59347,2.099862,357.1587,91.85661,2.619698,357.8371
81.56593,2.099182,357.1595,91.83482,2.618766,357.8375
82.2271,1.676246,357.1891,92.3041,2.195945,357.8134
82.2271,1.676246,357.1891,92.3041,2.195945,357.8134
81.7991,1.663429,357.2007,91.87302,2.175031,357.8212
81.78208,2.107156,357.1534,91.85165,2.622247,357.8372
81.78208,2.107156,357.1534,91.85165,2.622247,357.8372
81.78208,2.107156,357.1534,91.85165,2.622247,357.8372
81.7805,2.104709,357.1537,91.84939,2.619721,357.8372
81.7805,2.104709,357.1537,91.84939,2.619721,357.8372
81.79891,1.880003,357.1775,92.07177,2.402129,357.8252
81.79891,1.880003,357.1775,92.07177,2.402129,357.8252
81.29271,4.575993,356.8961,91.54964,5.111118,357.9273
81.29271,4.575993,356.8961,91.54964,5.111118,357.9273
76.67233,4.460681,357.0287,86.75318,4.89355,358.0277
76.67233,4.460681,357.0287,86.75318,4.89355,358.0277
74.45572,4.917214,357.1844,85.34129,5.326622,358.1782
74.45572,4.917214,357.1844,85.34129,5.326622,358.1782
74.42543,5.992824,357.1122,85.22855,6.395,358.2602
74.42543,5.992824,357.1122,85.22855,6.395,358.2602
74.39455,5.998736,357.0987,85.19775,6.403307,358.2481
79.39395,6.113337,356.868,89.40723,6.601554,358.085
79.53982,0.6970879,357.456,89.62453,1.148482,357.8965
79.53982,0.6970879,357.456,89.62453,1.148482,357.8965
79.37023,359.788,357.5602,89.65894,0.2383602,357.8627
79.39006,359.7885,357.5593,90.07275,0.2577591,357.8478
79.39006,359.7885,357.5593,90.07275,0.2577591,357.8478
79.59496,0.8076268,357.3455,90.06879,1.299298,357.7852
79.57032,0.8507017,357.311,90.04401,1.347902,357.7591
79.93458,1.29843,357.2259,90.20714,1.801964,357.747
79.93458,1.29843,357.2259,90.20714,1.801964,357.747
79.89099,1.288817,357.1983,90.16237,1.797388,357.7181
79.68103,1.276956,357.1365,89.74922,1.786606,357.6628
79.68103,1.276956,357.1365,89.74922,1.786606,357.6628
71.28156,358.1101,357.7442,81.62711,358.455,357.7783
58.83201,352.3387,358.8845,68.90045,352.4306,358.0829
58.83201,352.3387,358.8845,68.90045,352.4306,358.0829
56.02689,350.0747,359.2072,66.77564,350.1551,358.0343
54.82866,348.0664,359.3763,65.42775,348.1546,357.9128
54.82866,348.0664,359.3763,65.42775,348.1546,357.9128
54.29345,347.9243,359.3059,64.89768,348.0275,357.8169
53.76226,347.7862,359.2695,64.37167,347.8988,357.7553
54.06742,347.8496,359.1648,64.68137,347.9853,357.6549
54.06742,347.8496,359.1648,64.68137,347.9853,357.6549
53.67151,348.3733,359.0732,64.0738,348.51,357.6514
53.06496,348.4277,359.0756,63.64935,348.5655,357.6437
53.06496,348.4277,359.0756,63.64935,348.5655,357.6437
52.37804,348.0366,359.0941,62.78354,348.1749,357.6107
51.78419,347.8598,359.0675,62.19622,348.0058,357.5518
44.93189,344.787,359.982,56.60372,344.7877,357.8932
44.93189,344.787,359.982,56.60372,344.7877,357.8932
44.19293,344.6437,0.0513474,55.87349,344.6319,357.9313
43.88913,344.8568,0.006401029,55.29485,344.8537,357.9385
43.88913,344.8568,0.006401029,55.29485,344.8537,357.9385
44.34034,344.8483,359.9544,55.631,344.8619,357.8937
44.74915,345.3459,359.8659,55.8553,345.3687,357.8973
44.74914,345.3459,359.8659,55.85531,345.3687,357.8973
44.74914,345.3459,359.8659,55.85531,345.3687,357.8973
45.87815,345.3705,359.7644,56.96859,345.4204,357.8005
46.07423,345.3752,359.7468,56.99577,345.4305,357.7986
44.88173,346.0652,359.9245,55.89892,346.0715,358.0561
44.88173,346.0652,359.9245,55.89892,346.0715,358.0561
45.01659,346.5434,359.9023,56.08538,346.5445,358.098
44.91082,346.7247,359.9209,55.97232,346.7179,358.1423
