L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
89.091,340.6565,1.458883,95.8728,341.0999,358.6518
86.58141,341.2413,1.022682,98.36634,341.1682,359.0156
86.58141,341.2413,1.022682,98.36634,341.1682,359.0156
92.44412,340.8843,1.909431,92.74429,341.9536,358.2458
91.84117,340.8535,1.894879,92.17951,341.9619,358.2451
91.84117,340.8535,1.894879,92.17951,341.9619,358.2451
91.79781,340.8087,1.912354,92.13897,341.9229,358.2537
91.80083,340.8176,1.90045,92.14171,341.9319,358.2419
91.80083,340.8176,1.90045,92.14171,341.9319,358.2419
86.35689,340.5416,1.151535,98.17748,340.4572,359.0331
86.35689,340.5416,1.151535,98.17748,340.4572,359.0331
88.01689,340.4868,1.41627,96.17358,340.793,358.7737
88.01038,340.4711,1.422122,96.16792,340.7767,358.7771
88.01038,340.4711,1.422122,96.16792,340.7767,358.7771
91.71433,339.9685,2.046001,92.05131,341.1302,358.2269
86.39956,340.175,1.220191,97.77888,340.1407,358.9694
86.43726,340.1804,1.182232,97.81596,340.153,358.9333
86.48628,340.1715,1.204736,97.83414,340.144,358.9493
86.82409,341.5717,1.112492,98.59344,341.4765,359.1516
86.82409,341.5717,1.112492,98.59344,341.4765,359.1516
86.82409,341.5717,1.112492,98.59344,341.4765,359.1516
93.1204,341.2191,2.011356,93.38017,342.2229,358.3918
93.08877,341.1792,2.026456,93.34885,342.183,358.4066
89.69525,341.2329,1.545372,100.5174,341.1742,359.3925
89.69525,341.2329,1.545372,100.5174,341.1742,359.3925
89.77489,341.1653,1.52906,100.601,341.1107,359.3631
90.17723,340.7969,1.612807,101.0832,340.7292,359.3972
90.16376,340.8856,1.631306,101.064,340.8129,359.4332
90.18746,340.8,1.61022,101.0933,340.7327,359.3953
90.17912,340.7711,1.614391,101.0868,340.7036,359.3936
89.74608,340.8939,1.554572,100.7837,340.8209,359.3794
89.74608,340.8939,1.554572,100.7837,340.8209,359.3794
89.7463,341.4745,1.454897,100.5865,341.4236,359.3475
89.69143,340.9786,1.516384,100.5235,340.9309,359.3214
90.2836,342.1852,1.468283,100.3642,342.1867,359.3748
90.2836,342.1852,1.468283,100.3642,342.1867,359.3748
90.21149,342.1701,1.413234,100.4742,342.1639,359.3441
90.23666,342.3166,1.401831,100.4909,342.3101,359.3603
90.23666,342.3166,1.401831,100.4909,342.3101,359.3603
89.44443,342.2771,1.29299,100.5289,342.2101,359.3631
89.20656,339.3752,1.660547,100.3344,339.3151,359.2461
92.11368,339.0905,2.129929,103.2405,338.9533,359.6514
92.11368,339.0905,2.129929,103.2405,338.9533,359.6514
99.29034,348.5582,2.104213,110.7484,348.2241,1.22048
99.28015,348.505,2.08021,110.7405,348.1765,1.186114
99.28932,348.632,2.038237,110.7444,348.3092,1.170709
99.28932,348.632,2.038237,110.7444,348.3092,1.170709
86.78695,341.0644,1.032175,98.57038,340.9937,359.024
86.57278,339.5377,1.178227,98.43726,339.4695,358.9205
86.57278,339.5377,1.178227,98.43726,339.4695,358.9205
89.82887,337.8337,1.988458,95.83862,338.4226,358.5204
89.82887,337.8337,1.988458,95.83862,338.4226,358.5204
92.58981,338.5186,2.377365,92.85938,339.7313,358.1437
92.58914,338.4675,2.381027,92.85887,339.6801,358.1471
92.58914,338.4675,2.381027,92.85887,339.6801,358.1471
88.03739,339.1918,1.540634,97.82723,339.3264,358.9071
88.29941,339.5886,1.520321,97.98092,339.7245,358.9398
87.76771,339.7186,1.452448,98.43671,339.7428,359.0467
87.76771,339.7186,1.452448,98.43671,339.7428,359.0467
87.88287,339.7173,1.471294,98.3352,339.7644,359.0316
88.70456,339.4987,1.631708,98.35278,339.6181,359.0265
88.70456,339.4987,1.631708,98.35278,339.6181,359.0265
88.70456,339.4986,1.631709,98.35281,339.6181,359.0265
93.71146,339.1804,2.489545,93.91478,340.2649,358.3622
89.77544,339.6403,1.78846,97.66853,339.9314,358.9348
91.87564,339.4606,2.204927,95.39312,340.2001,358.6423
91.87564,339.4606,2.204927,95.39312,340.2001,358.6423
91.83376,339.4705,2.219019,95.35125,340.2092,358.6569
93.51307,338.9035,2.592209,93.71667,340.0027,358.4122
87.17931,337.1746,1.770728,99.17653,337.0482,359.1174
87.17931,337.1746,1.770728,99.17653,337.0482,359.1174
87.38007,337.1545,1.806689,99.37795,337.0228,359.149
87.55889,338.2502,1.698244,99.48956,338.117,359.2264
86.93355,338.0183,1.917512,98.89138,337.8469,359.3762
86.93355,338.0183,1.917512,98.89138,337.8469,359.3762
86.81582,337.9895,1.934403,98.77617,337.8155,359.3863
86.04068,338.5251,1.763697,97.97131,338.3681,359.309
85.96579,338.5934,1.783453,97.89357,338.4313,359.3367
85.96576,338.5933,1.783452,97.89361,338.4313,359.3367
86.79976,338.6821,1.898604,98.71999,338.5011,359.463
86.79976,338.6821,1.898604,98.71999,338.5011,359.463
87.03105,339.011,1.892121,98.93153,338.8257,359.5107
93.87923,338.9185,2.937025,94.03271,339.9057,358.8481
93.87923,338.9185,2.937025,94.03271,339.9057,358.8481
93.87923,338.9185,2.937025,94.03271,339.9057,358.8481
87.95605,338.8886,2.047352,97.79738,338.9312,359.3482
87.95605,338.8886,2.047352,97.79738,338.9312,359.3482
85.23398,338.9895,1.623718,97.14101,338.8452,359.2467
85.23398,338.9895,1.623718,97.14101,338.8452,359.2467
85.2261,338.9794,1.623748,97.13371,338.8353,359.2451
80.64943,336.6967,1.902997,92.7535,336.5486,359.0053
80.64943,336.6967,1.902997,92.7535,336.5486,359.0053
80.89787,336.7379,1.967435,93.00178,336.58,359.0639
80.53907,336.1792,2.126842,92.69131,336.0049,359.0988
81.37006,335.8224,2.380419,91.21184,335.8861,359.0814
81.37006,335.8224,2.380419,91.21184,335.8861,359.0814
80.49294,335.3171,2.494432,90.37471,335.3705,359.0987
79.64766,335.2166,2.496574,89.29552,335.2957,359.0647
73.82158,336.3357,2.126575,86.01633,336.1397,359.0193
73.82158,336.3357,2.126575,86.01633,336.1397,359.0193
71.83522,337.048,2.089257,83.99184,336.8387,359.076
71.09344,336.8346,2.149941,83.2701,336.6185,359.0851
77.09392,335.1793,2.680409,77.53262,336.3203,359.0754
75.36576,334.6022,2.777585,75.80843,335.7413,359.1678
75.36576,334.6022,2.777585,75.80843,335.7413,359.1678
73.47902,333.8884,2.882688,73.92458,335.0356,359.2352
63.6215,334.0157,2.9728,76.06702,333.705,359.2678
57.99222,334.297,3.203086,70.43852,333.9116,359.5264
57.99222,334.297,3.203086,70.43852,333.9116,359.5264
54.57483,334.2145,3.484688,67.04434,333.7668,359.7635
52.19799,334.2032,3.682001,64.67851,333.7139,359.9324
52.19799,334.2032,3.682001,64.67851,333.7139,359.9324
50.3002,333.8489,3.968102,62.81909,333.3124,0.1272537
49.6259,333.1493,4.176305,62.21117,332.5916,0.1912731
48.13,333.4,4.376641,60.69692,332.7971,0.4165868
47.73941,333.6165,4.573957,60.28773,332.976,0.6267284
47.73941,333.6165,4.573957,60.28773,332.976,0.6267284
46.50231,333.3912,4.868822,59.07513,332.6987,0.8611698
47.38037,335.1963,4.731105,59.78722,334.4969,1.033562
47.37448,334.9281,4.874136,59.8036,334.2133,1.113965
47.37448,334.9281,4.874136,59.8036,334.2133,1.113965
46.56829,333.3294,5.255226,59.14452,332.5802,1.190476
45.79342,331.9391,5.650708,58.50763,331.1481,1.310835
46.06598,331.6852,5.7658,58.80588,330.8829,1.364375
46.06598,331.6852,5.7658,58.80588,330.8829,1.364375
45.89386,331.6349,5.828338,58.63968,330.8217,1.413145
46.3529,333.1781,5.621634,58.94538,332.3687,1.493845
46.3673,333.1624,5.658047,58.9608,332.347,1.526244
46.35004,333.1047,5.756431,58.94964,332.2715,1.608773
46.53603,331.9854,5.940728,59.24592,331.1464,1.577537
46.53603,331.9854,5.940728,59.24592,331.1464,1.577537
46.91735,331.6206,5.946323,59.66335,330.7921,1.513568
47.16637,331.9844,5.847837,59.87472,331.1659,1.487771
47.28422,331.983,5.808943,59.99285,331.172,1.449168
47.73633,332.6011,5.623419,60.38395,331.8106,1.382335
47.97892,332.6277,5.574487,60.62366,331.846,1.340829
47.97892,332.6277,5.574487,60.62366,331.846,1.340829
48.11602,332.6482,5.538251,60.75848,331.873,1.310318
48.12585,332.0403,5.600144,60.82882,331.2681,1.257992
48.11469,331.3281,5.709226,60.89065,330.5533,1.228194
48.11469,331.3281,5.709226,60.89065,330.5533,1.228194
50.26937,331.0688,5.568243,63.06775,330.3418,1.028716
52.63645,331.4004,5.015758,65.39415,330.7722,0.5705727
52.63645,331.4004,5.015758,65.39415,330.7722,0.5705727
60.17838,332.1729,4.235351,72.14854,331.7714,0.004922632
70.80328,334.844,3.15837,82.15718,334.6153,359.4705
78.531,339.0746,2.185418,89.59876,338.963,359.2679
79.35764,339.552,2.127592,90.39266,339.4436,359.3007
79.35764,339.552,2.127592,90.39266,339.4436,359.3007
81.09866,341.4804,1.944907,92.00451,341.3744,359.46
81.67123,341.7178,1.905734,92.56191,341.6145,359.4688
82.59358,340.8523,1.982734,93.33709,340.7416,359.4267
81.06393,341.0618,1.969004,91.78162,340.9418,359.4592
81.06393,341.0618,1.969004,91.78162,340.9418,359.4592
82.24351,341.5757,1.8368,92.92826,341.47,359.43
83.37986,341.4012,1.834095,93.658,341.2957,359.4166
82.83261,340.5147,1.926904,93.56817,340.4063,359.3705
82.83261,340.5147,1.926904,93.56817,340.4063,359.3705
83.33108,339.8845,1.975478,94.48026,339.7752,359.3361
83.97658,339.6929,1.997869,94.74548,339.5833,359.3375
84.03539,339.014,2.053405,95.20863,338.9005,359.3045
84.03539,339.014,2.053405,95.20863,338.9005,359.3045
85.28096,339.644,1.963247,96.40753,339.5349,359.3463
85.4449,339.0482,2.005387,96.40051,338.9445,359.291
