L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
84.07139,354.3903,2.188671,94.01692,354.0624,1.736439
83.78027,354.4001,2.189494,93.39341,354.076,1.740506
83.78027,354.4001,2.189494,93.39341,354.076,1.740506
83.78241,354.544,2.1738,93.39182,354.2207,1.745782
84.70032,354.5182,2.170463,94.71079,354.1966,1.737188
84.70032,354.5182,2.170463,94.71079,354.1966,1.737188
84.84693,354.7347,2.075675,94.79803,354.4289,1.674075
84.9543,354.8575,2.050274,94.81971,354.557,1.667423
84.9543,354.8575,2.050271,94.81971,354.557,1.667423
85.05823,355.1271,2.020259,95.00227,354.8282,1.676144
85.05823,355.1271,2.020259,95.00227,354.8282,1.676144
85.07561,355.1161,1.9645,95.02004,354.8267,1.619274
85.08491,355.0829,1.978959,95.02981,354.7918,1.62778
85.08491,355.0829,1.978959,95.02981,354.7918,1.62778
85.15748,354.7256,2.036971,95.04122,354.4306,1.63359
85.15748,354.7256,2.036971,95.04122,354.4306,1.63359
85.15883,354.7258,2.042175,95.0425,354.4298,1.638748
84.81399,354.7374,2.028291,94.85951,354.4375,1.624956
85.05405,354.1876,1.988899,94.94453,353.9071,1.496577
85.05405,354.1876,1.988899,94.94453,353.9071,1.496577
84.82248,353.8922,2.031173,94.88529,353.6039,1.486198
84.49052,353.9247,2.06091,94.43735,353.6295,1.52268
84.49052,353.9247,2.06091,94.43735,353.6295,1.52268
84.36397,354.1411,2.060808,94.37261,353.8409,1.554116
84.35677,354.3443,2.056079,94.36012,354.0424,1.579723
84.35677,354.3443,2.056079,94.36012,354.0424,1.579723
84.33132,354.3834,2.093328,94.33386,354.0744,1.623239
84.63805,354.4366,2.068365,94.34348,354.1394,1.612128
84.64645,354.473,2.058757,94.35133,354.1768,1.608823
84.64645,354.473,2.058757,94.35133,354.1768,1.608823
84.65343,354.3496,2.075917,94.36218,354.0517,1.60946
84.60903,354.2897,2.09654,94.39819,353.9868,1.621317
84.62426,354.1902,2.122028,94.41667,353.8838,1.634171
84.62426,354.1902,2.122028,94.41667,353.8838,1.634171
84.63233,354.2331,2.121254,94.42398,353.9262,1.640746
84.14458,354.0581,2.146109,94.10642,353.7414,1.637477
84.14458,354.0581,2.146108,94.08514,353.7418,1.637726
84.14458,354.0581,2.146108,94.08514,353.7418,1.637726
84.29624,354.0773,2.142222,94.10677,353.7653,1.638345
84.74323,354.3972,2.102082,94.60819,354.0913,1.644753
84.74323,354.3972,2.102082,94.60819,354.0913,1.644753
84.75188,354.619,2.077897,94.6112,354.3147,1.65291
84.33801,354.7692,2.066554,94.23745,354.4602,1.662377
84.33801,354.7692,2.066554,94.23745,354.4602,1.662377
84.30352,354.6327,2.08176,94.23526,354.3219,1.657326
84.30352,354.6327,2.08176,94.23526,354.3219,1.657326
84.25317,354.6744,2.066178,94.2551,354.3644,1.647751
84.25317,354.6744,2.066178,94.2551,354.3644,1.647751
84.57378,354.5724,2.073544,94.36594,354.2693,1.643085
84.67216,354.3719,2.094174,94.55202,354.0671,1.633679
84.66339,354.3863,2.115339,94.54292,354.0777,1.656995
84.7184,354.416,2.121181,94.60591,354.1063,1.668022
84.71853,354.4197,2.12077,94.60594,354.1101,1.668159
84.71853,354.4197,2.120769,94.60596,354.1101,1.66816
84.71853,354.4197,2.120769,94.60596,354.1101,1.66816
84.17713,354.4559,2.142777,94.07343,354.1368,1.695028
84.17313,354.4514,2.157108,94.05417,354.1298,1.709022
84.19698,354.4393,2.1292,94.03983,354.1244,1.679741
84.20148,354.4583,2.128475,94.04403,354.1431,1.682318
84.19418,354.3681,2.141052,94.02374,354.0521,1.682374
84.19418,354.3681,2.141054,94.02375,354.0521,1.682373
78.20832,350.8845,2.574821,88.00919,350.4983,1.600591
78.21223,350.8936,2.573773,88.01285,350.5076,1.600898
66.91967,343.4335,3.493845,77.18372,342.9882,1.387967
59.32624,342.1444,3.639848,70.42845,341.607,1.349282
54.9166,339.3929,3.973755,66.94495,338.7294,1.247202
54.9166,339.3929,3.973755,66.94492,338.7294,1.247205
53.12548,338.3821,4.106289,65.24243,337.7033,1.213799
53.12548,338.3821,4.106289,65.24243,337.7033,1.213799
52.65852,338.2493,4.121139,64.78152,337.5687,1.208728
52.65852,338.2493,4.121139,64.78152,337.5686,1.208739
52.58207,338.2643,4.118547,64.6274,337.5978,1.209588
52.57269,338.1755,4.130623,64.57288,337.5187,1.206789
52.57269,338.1755,4.130623,64.57288,337.5187,1.206789
52.5727,338.1755,4.130617,64.57288,337.5188,1.206781
52.62769,338.1459,4.135064,64.64474,337.4865,1.205751
52.51837,338.0916,4.141724,64.55614,337.4284,1.203637
52.51837,338.0916,4.141724,64.55614,337.4284,1.203637
52.12312,338.1398,4.132216,63.84075,337.537,1.206572
52.0875,338.3206,4.107239,63.60835,337.7537,1.213776
52.14231,338.6809,4.058648,63.61399,338.1178,1.226422
52.14231,338.6809,4.058648,63.61399,338.1178,1.226422
51.90645,338.694,4.15683,63.37676,338.1123,1.325826
51.46412,339.2688,4.112709,62.99738,338.6586,1.379747
51.54065,339.7605,4.047185,62.94595,339.1672,1.396857
51.55063,339.7656,4.046587,62.95622,339.1722,1.397038
51.55063,339.7656,4.046587,62.95622,339.1722,1.397038
51.92361,339.1894,4.126765,63.43029,338.5859,1.377746
51.92361,339.1894,4.126765,63.43029,338.5859,1.377746
51.92488,339.1942,4.126116,63.44358,338.5884,1.377832
51.92486,339.1942,4.126119,63.44359,338.5884,1.37783
51.97797,339.8631,4.036615,63.40397,339.2647,1.400627
51.97795,339.8631,4.036619,63.40398,339.2647,1.400631
52.03024,339.8654,4.03668,63.42482,339.2729,1.400922
52.21029,339.0656,4.145523,63.78305,338.4518,1.373503
52.21029,339.0656,4.145523,63.78305,338.4518,1.373503
52.1463,339.0294,4.03694,63.75098,338.4313,1.264366
52.57442,338.9087,4.056041,64.20392,338.3083,1.260196
52.57441,338.9087,4.056038,64.20392,338.3083,1.260198
52.57441,338.9087,4.056038,64.20392,338.3083,1.260198
52.48042,338.9158,4.054324,63.9431,338.3467,1.260966
52.4931,339.0816,4.032037,63.94552,338.5119,1.266661
52.49309,339.0816,4.032037,63.94551,338.5119,1.26667
52.30272,339.0205,4.03871,63.81315,338.4407,1.263929
52.2112,338.3176,4.133429,63.79225,337.735,1.239513
52.2112,338.3176,4.133429,63.79225,337.735,1.239513
52.24471,338.325,4.132677,63.79501,337.7483,1.239982
51.80619,338.8671,4.055266,63.70591,338.2143,1.255863
51.80618,338.8671,4.055268,63.70591,338.2143,1.255863
51.80618,338.8671,4.055268,63.70591,338.2143,1.255863
51.95806,338.9282,4.048291,63.8005,338.286,1.258561
52.26235,338.5594,4.100878,64.0686,337.9298,1.246849
52.41979,338.5809,4.099239,64.11747,337.9721,1.248411
52.41979,338.5809,4.099239,64.11747,337.9721,1.248411
52.41978,338.5809,4.099234,64.11746,337.9721,1.248409
52.43517,338.5826,4.099132,64.11393,337.9774,1.248595
52.73107,338.421,4.19098,64.42944,337.8021,1.305466
52.73107,338.421,4.19098,64.42944,337.8021,1.305466
53.37444,337.4668,4.341227,64.53999,336.9627,1.290228
53.38717,337.4886,4.338244,64.59019,336.9768,1.290694
53.38717,337.4886,4.338244,64.59019,336.9768,1.290694
57.3323,336.9416,4.43054,68.94559,336.3634,1.263793
57.33229,336.9416,4.430535,68.94558,336.3634,1.263786
71.12769,335.8649,4.557087,81.73181,335.4165,1.16476
82.51763,335.4816,4.496558,93.00406,335.0149,1.033755
82.51424,335.4827,4.49646,93.00058,335.0159,1.033836
82.51424,335.4827,4.49646,93.00058,335.0159,1.033836
91.82215,337.2615,4.097529,102.4828,336.8174,0.9629881
99.93193,338.9959,3.697967,111.4295,338.6693,0.8764682
105.2032,341.4189,3.264069,116.9188,341.2039,0.8656515
105.2032,341.4189,3.264069,116.9188,341.2039,0.8656515
109.3743,341.8145,3.107822,121.2839,341.6711,0.7945286
109.5279,341.9489,3.140416,121.4285,341.7962,0.8556358
109.9908,342.1741,3.106088,121.8801,342.0278,0.8631887
110.0036,342.1874,3.086163,121.8919,342.0447,0.8465596
110.0036,342.1874,3.086163,121.8919,342.0447,0.8465596
110.1748,342.1935,3.081807,122.0635,342.0526,0.8442557
110.1753,342.1901,3.091604,122.0642,342.0474,0.8531151
111.9378,341.7797,3.100186,123.8593,341.6508,0.8063282
112.0257,341.3736,3.221226,123.9718,341.2262,0.8612772
112.4527,341.3881,3.217136,124.4002,341.244,0.8617287
112.4527,341.3881,3.217136,124.4002,341.244,0.8617287
112.4527,341.3881,3.217137,124.4002,341.244,0.8617364
112.0361,341.3571,3.231154,123.9834,341.2081,0.8679807
112.1261,341.7321,3.244485,124.0519,341.5767,0.9430903
112.1209,341.7301,3.237256,124.0469,341.5762,0.9355773
112.1209,341.7301,3.237256,124.0469,341.5762,0.9355773
112.1178,341.7314,3.237161,124.0436,341.5775,0.9356889
112.3681,341.8624,3.21489,124.2876,341.7129,0.9363005
112.3681,341.8624,3.21489,124.2876,341.7129,0.9363005
112.4266,342.1337,3.180005,124.3308,341.9882,0.9457094
112.5032,342.1877,3.199112,124.4048,342.0384,0.9728491
112.5032,342.1877,3.199109,124.4048,342.0384,0.9728444
112.4739,342.6564,3.142297,124.349,342.5126,0.9913526
112.4739,342.6564,3.142297,124.349,342.5126,0.9913526
112.5143,342.6609,3.140758,124.3893,342.5177,0.9908004
112.8843,342.9015,3.102341,124.748,342.7654,0.9933475
112.8656,342.5767,3.142457,124.7472,342.4362,0.9812372
112.8656,342.5767,3.142457,124.7472,342.4362,0.9812372
112.8669,342.5983,3.139788,124.7474,342.458,0.9820217
112.8669,342.5983,3.139788,124.7473,342.458,0.9820278
112.8414,342.4985,3.152639,124.7272,342.3567,0.978669
112.8414,342.4985,3.152639,124.7272,342.3567,0.978669
113.0428,342.4979,3.147753,124.9298,342.3583,0.9749868
112.8398,342.4734,3.155749,124.7271,342.3313,0.9777375
112.1573,342.2878,3.195227,124.0515,342.136,0.9829179
112.1573,342.2878,3.195227,124.0515,342.136,0.9829179
112.1573,342.2878,3.195228,124.0515,342.136,0.982917
111.5821,342.0878,3.233777,123.4848,341.9273,0.9855257
111.5821,342.0878,3.233777,123.4848,341.9273,0.9855257
111.4026,342.0895,3.237883,123.3042,341.9271,0.9887846
111.5796,342.2243,3.21701,123.4745,342.0654,0.9908001
111.9089,342.6343,3.15871,123.7823,342.4841,1.000629
111.9089,342.6343,3.15871,123.7823,342.4841,1.000629
111.9089,342.6342,3.158715,123.7823,342.4841,1.000626
111.9089,342.6342,3.158712,123.7823,342.4841,1.000624
111.9094,342.6051,3.162277,123.7844,342.4545,0.9994964
111.9015,342.6078,3.162123,123.7764,342.4572,0.9997431
111.9015,342.6078,3.162123,123.7763,342.4572,0.9997463
111.9218,342.4538,3.261378,123.8045,342.2844,1.078423
111.9218,342.4538,3.261378,123.8045,342.2844,1.078423
112.0025,342.2397,3.260802,123.8976,342.0734,1.0438
112.0204,342.1911,3.224653,123.9187,342.033,0.9978641
111.6353,342.1364,3.219447,123.5349,341.9779,0.9798079
111.6454,342.2687,3.178193,123.5377,342.117,0.9592012
111.6454,342.2687,3.178193,123.5377,342.117,0.9592012
111.5714,342.3545,3.145595,123.4584,342.2078,0.9395518
111.5737,342.3581,3.14529,123.4604,342.2114,0.9400289
111.5393,342.3503,3.152378,123.4263,342.202,0.9456265
111.4972,342.3633,3.155228,123.3833,342.2141,0.9501849
111.4972,342.3633,3.155225,123.3832,342.2141,0.950174
111.5941,342.5064,3.135328,123.4726,342.36,0.9539388
111.6288,342.6008,3.122935,123.5021,342.456,0.9569521
111.6288,342.6008,3.122935,123.5021,342.456,0.9569521
111.6288,342.6008,3.122937,123.5021,342.456,0.9569553
111.5891,342.5962,3.113731,123.4624,342.4529,0.9488692
111.5891,342.5962,3.113731,123.4624,342.4529,0.9488692
111.3289,342.7189,3.111245,123.1944,342.5734,0.9634089
111.3289,342.7189,3.111245,123.1944,342.5734,0.9634089
111.5087,342.8524,3.090649,123.3676,342.7105,0.9653588
111.5121,342.8477,3.091149,123.3712,342.7058,0.9651196
111.3414,342.8336,3.096949,123.2005,342.6896,0.9675928
111.3384,342.8343,3.096934,123.1974,342.6903,0.9676827
111.4775,342.8082,3.099236,123.3393,342.6655,0.9637841
111.5077,342.2687,3.156688,123.3996,342.1208,0.9372885
111.4969,342.2829,3.165005,123.3878,342.1331,0.9486549
111.5804,342.6678,3.149189,123.4502,342.5172,0.995778
111.5804,342.6678,3.149185,123.4502,342.5172,0.9957731
111.3967,342.5541,3.167458,123.2719,342.4001,0.994622
111.3967,342.5541,3.167458,123.2719,342.4001,0.994622
111.4728,342.5624,3.164646,123.3479,342.4093,0.9936135
111.2709,342.5536,3.170492,123.1454,342.3982,0.9967874
111.2709,342.5536,3.170492,123.1454,342.3982,0.9967874
111.2827,342.554,3.170169,123.1573,342.3986,0.996586
111.3083,342.5645,3.168254,123.1825,342.4096,0.9965503
111.3083,342.5645,3.168269,123.1825,342.4096,0.9965543
111.3264,343.2406,3.08534,123.1634,343.0942,1.022045
111.3264,343.2406,3.08534,123.1634,343.0942,1.022045
111.7588,343.5719,3.035032,123.5803,343.4343,1.02718
111.4472,343.5791,3.041503,123.2667,343.4382,1.032856
111.4471,343.5791,3.041493,123.2667,343.4382,1.032856
111.206,343.5404,3.165634,123.0279,343.3754,1.149202
111.206,343.5404,3.165634,123.0279,343.3754,1.149202
110.1757,343.5284,3.172942,121.9929,343.3556,1.148812
101.9106,346.8734,2.940056,113.209,346.6327,1.400523
101.9106,346.8734,2.940056,113.209,346.6327,1.400523
90.12824,353.1403,2.391237,99.72441,352.8536,1.768969
86.37243,356.1336,2.140662,96.35975,355.8197,1.941446
86.37243,356.1336,2.140662,96.35975,355.8197,1.941446
86.37297,356.0999,2.153481,96.36062,355.7843,1.948222
86.38783,356.3878,2.124853,96.26906,356.0766,1.961783
86.3944,356.444,2.123336,96.20823,356.1342,1.968539
