L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
82.61817,358.5878,0.51297,92.13176,358.4872,0.6892685
82.61817,358.5878,0.51297,92.13176,358.4872,0.6892685
82.61558,358.6432,0.5071389,92.12831,358.5429,0.6913937
82.61558,358.6432,0.5071389,92.12831,358.5429,0.6913937
82.15995,358.6456,0.5074012,91.77773,358.5399,0.6912786
82.09083,358.6494,0.507072,91.70043,358.5428,0.6913877
82.02605,358.2552,0.5486801,91.70093,358.1457,0.6762524
82.02605,358.2552,0.5486801,91.70093,358.1457,0.6762524
82.00174,358.1758,0.5570769,91.35096,358.0656,0.6731961
82.00139,358.1561,0.5591533,91.35098,358.0458,0.672441
82.00139,358.1561,0.5591533,91.35098,358.0458,0.672441
82.00174,358.1758,0.5570769,91.59174,358.0656,0.6731977
82.0349,357.8556,0.5908222,91.60632,357.7441,0.660938
82.0349,357.8556,0.5908222,91.60632,357.7441,0.660938
82.0349,357.8556,0.5908222,91.60633,357.7441,0.6609372
81.97634,358.196,0.5549766,91.6058,358.0856,0.6739587
81.97634,358.196,0.5549766,91.6058,358.0856,0.6739587
81.97938,358.0607,0.5692447,91.63584,357.9496,0.6687737
81.97632,358.196,0.5549769,91.45678,358.0855,0.6739579
81.99393,358.8597,0.4850386,91.59909,358.7526,0.6993831
81.99393,358.8597,0.4850386,91.59909,358.7526,0.6993831
81.60825,358.8654,0.4848266,91.38293,358.754,0.6994352
81.60825,358.8654,0.4848266,91.38293,358.754,0.6994351
82.10209,358.6133,0.5108715,91.59635,358.5065,0.6900045
82.10209,358.6133,0.5108715,91.59635,358.5065,0.6900045
81.91621,358.1995,0.5546726,91.38377,358.0883,0.6740637
81.91624,358.1995,0.5546736,91.38378,358.0883,0.6740632
81.91527,358.1335,0.5616236,91.4061,358.0221,0.6715378
81.8124,358.1348,0.5616021,91.26364,358.0221,0.6715368
81.8124,358.1348,0.5616021,91.26364,358.0221,0.6715369
81.81197,358.1042,0.5648262,91.40616,357.9914,0.6703665
81.81197,358.1042,0.5648249,91.40616,357.9914,0.6703663
81.5135,358.1109,0.5644137,91.1871,357.9946,0.6704888
81.9559,358.1058,0.5645074,91.38761,357.9947,0.6704921
81.71957,358.2323,0.5514085,91.1869,358.119,0.6752338
81.71957,358.2323,0.5514085,91.18694,358.119,0.6752334
81.82439,358.2311,0.5514297,91.38741,358.119,0.6752359
81.82439,358.2311,0.5514315,91.4056,358.119,0.6752347
81.82439,358.2311,0.5514315,91.4056,358.119,0.6752347
81.82439,358.2311,0.5514318,91.4056,358.119,0.6752346
81.82226,358.0866,0.5666692,91.40578,357.9738,0.6696976
80.25484,357.0068,0.6821448,89.68348,356.8711,0.6276123
80.2506,356.7576,0.7085404,89.68404,356.6209,0.6180525
80.2506,356.7576,0.7085404,89.68404,356.6209,0.6180525
80.2506,356.7576,0.7085431,89.684,356.6209,0.6180528
80.46076,356.7553,0.7086306,90.01152,356.6209,0.6180518
80.45708,356.5457,0.73085,90.01202,356.4105,0.610005
80.45708,356.5457,0.73085,90.01202,356.4105,0.610005
76.89207,348.805,2.950363,86.78397,348.3604,1.530829
67.35717,339.6896,4.93503,78.14794,339.0227,2.034338
67.35717,339.6896,4.93503,78.14794,339.0227,2.034338
60.91859,337.7701,5.772787,72.18908,336.9473,2.530674
60.91859,337.7701,5.772787,72.18908,336.9473,2.530674
50.27375,337.7728,7.176489,61.99463,336.5981,3.889578
48.9888,338.0093,7.421553,60.68358,336.7811,4.155462
47.57491,337.659,7.792924,59.29466,336.3683,4.445023
47.57491,337.659,7.792924,59.29466,336.3683,4.445023
47.24999,338.4409,7.79775,58.78519,337.1498,4.586468
46.0044,338.7179,7.98793,57.61874,337.3642,4.787585
44.46315,338.3558,8.30636,56.12886,336.9453,5.01546
43.61801,338.1325,8.482148,55.29971,336.6935,5.140215
43.61801,338.1325,8.482148,55.29971,336.6935,5.140215
42.72409,337.7143,8.721349,54.28663,336.2732,5.284618
44.58187,338.124,8.385459,56.20709,336.7319,4.972847
42.76497,337.5476,8.739117,54.43435,336.1012,5.195884
43.38255,338.4599,8.498738,54.70027,337.0808,5.141499
44.27993,338.2574,8.334112,55.37245,336.953,4.965353
42.51738,337.8373,8.581194,53.64027,336.4966,5.122066
43.23516,337.2177,8.459136,54.32236,335.9326,4.89561
41.52626,336.8639,8.693151,52.64015,335.5439,5.052812
41.46767,337.4147,8.55225,52.29826,336.1361,5.048673
43.14676,337.9106,8.069568,53.83226,336.7244,4.661806
40.79194,337.411,8.400821,51.51256,336.1765,4.888998
41.02226,338.329,8.099264,51.26099,337.1698,4.827401
41.02226,338.329,8.099264,51.26099,337.1698,4.827401
41.95638,339.4935,7.620147,52.31327,338.3751,4.493178
