L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
83.60957,357.2068,3.999038,93.19693,356.5762,3.977273
83.60957,357.2068,3.999038,93.19693,356.5762,3.977273
83.60123,357.1302,4.033119,93.11981,356.499,3.996912
83.57932,357.0504,4.056382,93.09856,356.4166,4.006827
83.57932,357.0504,4.056382,93.09856,356.4166,4.006827
83.25697,356.6188,4.108384,93.08343,355.9603,3.999289
83.24448,356.7704,4.08611,93.06709,356.1148,3.995932
83.4724,356.5861,4.093985,93.22987,355.9383,3.972151
83.4724,356.5861,4.093985,93.22987,355.9383,3.972151
83.49408,357.0765,4.036536,93.24021,356.4353,3.98108
83.4867,357.004,4.028427,93.23356,356.3649,3.960545
82.69265,357.6255,3.958686,92.7165,356.9677,3.976108
82.72502,358.51,3.886672,92.44903,357.8727,4.026053
82.72502,358.51,3.886672,92.44903,357.8727,4.026053
82.39552,358.4161,3.909141,92.23838,357.7657,4.031453
82.37008,358.363,3.890654,92.21349,357.7166,4.004148
82.33689,358.4653,3.849816,92.06523,357.8311,3.978642
82.3276,358.3909,3.797025,92.17249,357.7598,3.918237
82.3276,358.3909,3.797025,92.17249,357.7598,3.918237
81.72569,358.5699,3.721873,91.85291,357.926,3.874151
81.68797,357.9818,3.72034,91.82764,357.3438,3.796023
81.68797,357.9818,3.72034,91.82764,357.3438,3.796023
81.693,358.1813,3.699916,91.83189,357.5435,3.813096
81.68211,358.5026,3.650866,91.81944,357.8682,3.821986
82.00943,358.3917,3.657549,91.92635,357.7728,3.814237
82.26483,358.3825,3.612018,92.16864,357.774,3.772846
82.26483,358.3825,3.612018,92.16864,357.774,3.772846
82.04835,357.6402,3.566156,91.98033,357.0443,3.621775
82.11932,357.7357,3.402924,92.05215,357.1667,3.477835
82.11932,357.7357,3.402924,92.05215,357.1667,3.477835
82.3968,357.9074,3.2953,92.65195,357.3409,3.410684
82.46937,358.0508,3.193735,92.7243,357.5,3.336253
82.51541,358.1477,3.107606,92.7706,357.6108,3.269707
82.63078,358.4097,2.944882,92.88636,357.8969,3.159792
82.59516,358.45,2.892559,92.70448,357.951,3.109958
82.6555,358.3883,2.846332,92.76553,357.8985,3.053611
82.78363,358.1245,2.744372,92.62437,357.6673,2.896944
82.8793,357.1088,2.7142,92.73607,356.6683,2.715395
82.57056,356.9558,2.651187,92.77888,356.5124,2.636625
82.57056,356.9558,2.651187,92.77888,356.5124,2.636625
82.60479,357.1747,2.269638,92.75172,356.7945,2.256686
82.60479,357.1747,2.269638,92.75172,356.7945,2.256686
82.86613,356.8977,2.214561,93.0162,356.5316,2.153568
82.50604,357.0046,1.903334,92.74718,356.6807,1.838164
82.97353,356.6352,1.82088,93.21902,356.3318,1.69118
84.11176,355.916,1.686195,94.36674,355.6481,1.43032
88.48042,353.4153,1.568337,98.55192,353.2345,0.9396074
99.25285,347.3591,1.48271,109.1834,347.3087,359.9758
99.25285,347.3591,1.48271,109.1834,347.3087,359.9758
110.8978,346.2659,0.6767848,122.5483,346.5329,358.9578
117.7953,345.5859,359.8198,129.4896,346.0706,358.0052
117.7953,345.5859,359.8198,129.4896,346.0706,358.0052
120.2043,345.2977,359.0157,131.9019,345.9558,357.1051
122.858,344.3848,357.8962,134.5815,345.2813,355.8216
122.1688,344.0458,357.0035,133.8267,345.0967,354.8357
122.1688,344.0458,357.0035,133.8267,345.0967,354.8357
121.2053,343.3082,356.4346,132.6748,344.431,354.117
119.8204,343.2048,356.2066,131.2822,344.3528,353.8193
119.8204,343.2048,356.2066,131.2822,344.3528,353.8193
119.929,343.0038,356.0096,130.2064,344.0171,353.7361
119.9109,343.5704,355.8122,129.9383,344.576,353.6535
121.2766,344.0002,355.5023,131.2767,345.0511,353.4273
121.2766,344.0002,355.5023,131.2767,345.0511,353.4273
120.831,345.1445,355.5156,130.769,346.1688,353.6268
121.5583,347.864,355.3369,131.3713,348.8946,353.8889
121.963,348.4955,355.1654,131.752,349.5458,353.8303
120.9139,359.4186,353.9372,131.0647,0.6604167,354.1653
120.9139,359.4186,353.9372,131.0647,0.6604167,354.1653
118.6208,17.58988,351.8436,129.6692,18.99798,354.7176
118.6208,17.58988,351.8436,129.6692,18.99798,354.7176
119.1132,19.01029,351.7888,130.2585,20.40186,354.9537
118.4813,19.70092,351.805,128.9764,21.03578,355.116
118.7051,19.91373,352.0872,129.4744,21.18903,355.4861
118.9673,20.71445,352.1512,129.797,21.96429,355.7108
118.7232,22.25908,352.1906,128.87,23.4328,356.025
118.5829,19.37235,352.7302,129.1318,20.48973,356.1587
118.9937,21.22613,352.8918,129.6786,22.28386,356.6855
118.4209,21.08418,353.2391,128.7872,22.04014,357.0363
118.7142,21.33278,353.5502,129.1023,22.23242,357.3926
118.578,22.56351,353.142,129.1794,23.50618,357.2685
118.578,22.56351,353.142,129.1794,23.50618,357.2685
118.7155,20.88414,353.2797,128.9248,21.79348,357.1399
118.6676,21.81611,353.3379,128.9454,22.70095,357.3766
118.878,20.69965,353.8655,129.1246,21.49739,357.7786
118.4119,19.26451,354.1287,128.9772,20.03258,357.9442
118.392,18.19774,354.8091,128.9407,18.85158,358.5163
118.2271,18.81757,354.9556,128.8161,19.43539,358.7813
118.9061,17.99148,355.5612,129.0777,18.50712,359.1747
118.6784,16.47741,356.1953,128.6745,16.89329,359.5565
118.6784,16.47741,356.1953,128.6745,16.89329,359.5565
118.4128,16.72323,356.3817,128.4224,17.10435,359.785
119.769,15.37953,357.5115,129.3601,15.59231,0.5825922
119.4498,15.27408,358.0454,129.5349,15.39916,1.292486
118.9941,15.33549,358.2024,129.0818,15.4331,1.458247
118.1109,14.01927,358.6498,128.1389,14.05236,1.692593
113.6415,9.472783,358.136,123.5612,9.614533,0.5007668
113.6415,9.472783,358.136,123.5612,9.614533,0.5007668
105.3435,2.562635,356.0774,115.1073,3.115702,357.4265
102.9407,1.568035,356.31,112.6988,2.096092,357.487
102.9407,1.568035,356.31,112.6988,2.096092,357.487
95.18282,356.6902,354.822,105.0998,357.5511,355.3454
93.19666,355.5495,354.7032,103.3106,356.4539,355.1129
91.0431,354.4164,354.8793,101.1743,355.3076,355.0863
90.11911,353.6486,354.8523,100.2619,354.5565,354.9241
89.06623,354.9448,354.681,99.20667,355.8577,354.9172
86.7698,353.4321,355.004,96.9387,354.312,354.967
83.49638,351.5201,355.3795,93.82373,352.3653,355.0142
80.54223,352.5842,355.1812,90.59281,353.4267,354.8785
78.37387,350.4635,355.7748,88.48415,351.236,355.0872
77.27927,350.2353,356.1336,87.39232,350.9454,355.3752
74.94138,348.4591,357.0389,85.12247,349.0403,355.9468
77.92793,352.8229,357.2799,87.4533,353.2721,356.7569
78.63833,355.5135,357.6962,88.2957,355.8659,357.5358
80.88566,357.9928,357.8425,90.80589,358.3248,358.038
79.00179,356.6432,358.4515,88.93508,356.8906,358.4044
79.49756,357.0836,358.7336,89.8926,357.3073,358.7382
79.49756,357.0836,358.7336,89.8926,357.3073,358.7382
79.03912,356.9743,359.0063,89.0889,357.1457,358.9723
78.25096,356.5732,359.2966,88.30545,356.7001,359.1879
79.1918,356.3085,359.7826,89.39024,356.3855,359.6019
77.50609,355.1747,0.5426481,87.72056,355.1353,0.148523
77.71307,356.4472,0.5963457,88.07211,356.3924,0.3664976
79.70676,357.808,0.5991844,89.86121,357.7679,0.5679209
79.31852,357.5719,0.9476722,89.47517,357.4728,0.8707794
79.56474,358.0622,1.931178,89.05199,357.8192,1.94492
79.7753,358.5549,2.267086,89.7011,358.2437,2.317172
79.29031,358.8245,3.361506,89.20737,358.3208,3.441898
80.22346,358.9941,3.9379,89.85533,358.4241,4.061214
79.98992,359.354,4.522758,89.61374,358.6814,4.697579
79.98992,359.354,4.522758,89.61374,358.6814,4.697579
77.01133,1.71924,6.776065,86.53371,0.6230975,7.304014
77.01133,1.71924,6.776065,86.53371,0.6230975,7.304014
65.75194,4.250589,7.052687,75.25931,2.912175,7.962907
64.16966,6.959848,8.086489,73.68251,5.414239,9.429089
54.93029,9.368435,7.553794,64.3816,7.757684,9.290795
47.25974,15.2815,6.405715,58.04289,13.52194,9.211487
44.6755,18.82905,6.353133,55.64339,17.01529,9.854022
43.69615,19.98864,6.262289,54.7377,18.1699,9.998009
43.69615,19.98864,6.262289,54.7377,18.1699,9.998009
42.70793,18.58059,6.591792,52.90789,16.85415,10.01094
40.3538,21.01038,6.100897,50.71323,19.3274,9.988952
41.42577,19.0199,6.796985,51.60573,17.32056,10.36739
41.94295,17.94199,7.43131,52.20227,16.19358,10.92089
43.79411,17.08062,8.068117,53.52694,15.37819,11.2921
42.5978,18.60409,7.532613,52.42408,16.96612,11.03849
41.96169,20.43663,7.045568,52.15633,18.83765,11.02937
40.86055,20.79464,6.387062,51.22021,19.28253,10.52299
40.86055,20.79464,6.387062,51.22021,19.28253,10.52299
39.86449,21.55027,5.691442,50.29668,20.14578,9.993076
42.15189,20.64956,6.668941,52.44066,19.13136,10.79069
42.15189,20.64956,6.668941,52.44066,19.13136,10.79069
42.20896,19.11271,6.40868,52.65597,17.63335,10.43692
41.34931,19.75553,5.847582,51.49341,18.4301,9.836825
40.46746,19.70848,5.270783,50.62513,18.47947,9.264677
41.52865,17.3401,6.119473,51.47265,16.01853,9.685288
41.27671,17.15549,6.085906,51.45333,15.80506,9.739622
41.27671,17.15549,6.085906,51.45333,15.80506,9.739622
40.99666,16.91241,6.036539,51.16259,15.57413,9.64675
42.33244,16.83077,6.763866,52.26685,15.41532,10.22259
42.14414,16.35473,6.906452,52.58307,14.83984,10.50131
42.4958,13.81109,7.695405,52.36351,12.27896,10.62224
42.4958,13.81109,7.695405,52.36351,12.27896,10.62224
41.89436,2.59183,9.198447,51.63648,0.9042372,10.4858
41.5135,356.0677,10.30122,51.95845,354.1569,10.89614
41.37502,354.7585,10.57402,51.83838,352.8201,10.9262
43.07395,347.2231,12.44045,53.75533,345.0766,11.38854
43.07395,347.2231,12.44045,53.75533,345.0766,11.38854
44.19532,345.3501,13.0378,54.79995,343.151,11.59128
44.02228,341.8432,13.43105,54.83258,339.6351,11.29503
45.0355,342.7415,12.99669,55.32679,340.6719,10.87769
45.83699,345.8521,12.2553,55.77433,343.9258,10.5474
45.74227,344.202,12.42924,55.76119,342.2715,10.42154
46.10339,338.6938,12.03763,56.25543,336.9508,8.987733
46.42002,340.5861,11.50591,56.34069,338.9428,8.751765
46.42002,340.5861,11.50591,56.34069,338.9428,8.751765
46.61443,339.487,10.93783,56.50957,337.9785,7.963219
46.85087,338.6764,10.74123,56.80801,337.2117,7.616429
46.85087,338.6764,10.74123,56.80801,337.2117,7.616429
46.95391,341.38,10.12482,56.94916,339.9774,7.391195
46.8134,344.3858,9.58363,56.41705,343.0703,7.36593
47.9402,343.6278,8.704904,57.59072,342.4656,6.344208
48.44349,343.4126,8.463072,58.10948,342.2923,6.066452
47.93214,343.9218,8.36178,57.87223,342.7746,5.969157
47.93214,343.9218,8.36178,57.87223,342.7746,5.969157
46.31112,344.1916,8.542232,56.33463,342.9762,6.16643
48.07878,344.2286,7.802924,58.11259,343.1365,5.440839
50.32972,344.8659,6.878314,60.33935,343.9221,4.631106
57.4243,345.4355,4.897112,67.12185,344.8803,2.841626
72.79618,351.7789,0.5726561,82.85555,352.0444,359.4536
74.28397,352.288,0.2253842,84.32888,352.6058,359.2015
83.6712,357.6412,357.8556,94.81929,358.4122,357.4933
85.19801,359.57,357.3882,96.30839,0.4050534,357.3409
85.19801,359.57,357.3882,96.30839,0.4050534,357.3409
86.75074,0.2330547,357.0728,97.85821,1.116462,357.1593
85.54153,0.9161621,357.1784,96.63655,1.732723,357.3761
88.47037,2.444853,356.6798,99.57139,3.32875,357.1812
90.38207,3.081627,357.0181,101.1182,3.851528,357.7383
87.39874,2.119326,357.597,97.19129,2.719345,358.2451
88.63247,3.041131,357.6479,98.43427,3.619045,358.4524
86.6477,2.655551,358.0935,96.32211,3.096871,358.8532
86.6477,2.655551,358.0935,96.32211,3.096871,358.8532
86.1046,1.378096,359.6523,95.62178,1.505965,0.2541299
85.88178,0.4312871,0.513014,95.09225,0.4003686,0.9858956
85.47324,0.9355063,1.525815,95.01808,0.6881451,2.105848
85.47324,0.9355063,1.525815,95.01808,0.6881451,2.105848
86.91389,2.086549,2.284953,96.45827,1.69744,3.045282
86.26416,359.9007,3.52977,96.30765,359.2638,4.043257
85.17729,359.9504,3.64034,95.23029,359.2804,4.159059
83.97513,359.5031,3.687585,93.99786,358.8189,4.132542
83.97513,359.5031,3.687585,93.99786,358.8189,4.132542
84.11069,359.3045,3.714053,94.13386,358.6188,4.124047
83.7746,358.5236,3.811167,93.97347,357.8177,4.119171
82.38771,357.8972,3.826709,92.39973,357.1981,4.0244
82.32671,357.6283,3.899491,92.34032,356.9206,4.04929
82.19945,357.2722,3.973498,92.21568,356.5571,4.060196
83.22611,357.8443,4.04112,93.19543,357.121,4.203017
83.22611,357.8443,4.04112,93.19543,357.121,4.203017
83.27718,358.0871,4.076087,93.37775,357.3459,4.277149
83.26711,357.9835,4.158546,93.36755,357.2294,4.340183
83.09332,358.052,4.388081,93.15506,357.2589,4.566074
83.06816,357.8663,4.470634,93.13042,357.0616,4.614919
82.95891,357.7724,4.566147,92.84749,356.9658,4.67458
82.93385,357.9344,4.58166,92.77346,357.1271,4.706523
82.69087,357.7604,4.643207,92.53117,356.9452,4.737433
82.88631,357.6818,4.677567,92.75302,356.863,4.75957
82.81613,358.1092,4.633604,92.84904,357.2803,4.782604
82.66383,357.9933,4.666805,92.69727,357.1603,4.795089
82.44868,357.555,4.737068,92.27258,356.7345,4.780389
