L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
85.29269,4.047674,358.0544,95.06396,4.309098,359.0934
85.29269,4.047674,358.0544,95.06396,4.309098,359.0934
85.29269,4.047674,358.0544,95.06395,4.309091,359.0934
85.38839,4.108793,358.0512,95.11467,4.370157,359.0974
85.39725,4.091818,358.0533,95.35516,4.359612,359.1058
85.4949,4.110838,358.0546,95.41267,4.378438,359.1086
85.49492,4.110839,358.0546,95.41267,4.378438,359.1086
85.43449,4.110656,358.0526,95.35464,4.377836,359.1065
85.43448,4.110656,358.0526,95.35464,4.377837,359.1065
85.43449,4.110329,358.0526,95.0508,4.369018,359.0951
85.23919,4.106268,358.0463,94.98512,4.366907,359.0926
85.23919,4.106268,358.0463,94.98512,4.366907,359.0926
85.24297,3.932268,358.0649,95.05556,4.19369,359.0888
85.24297,3.932268,358.0649,95.05556,4.19369,359.0888
85.13548,4.203838,358.0324,94.73647,4.460056,359.087
84.97535,4.004714,358.0481,94.72265,4.26245,359.0792
84.97535,4.004714,358.0481,94.72265,4.26245,359.0792
84.6138,4.194144,358.0156,94.43443,4.452268,359.0758
84.61964,4.192455,358.016,94.44029,4.450479,359.076
84.61964,4.192455,358.016,94.44029,4.450479,359.076
84.62502,3.998163,358.0368,94.44577,4.255046,359.0689
85.24059,4.216107,358.0347,94.70116,4.469315,359.0861
85.23946,4.325325,358.0231,94.69833,4.579206,359.09
85.23946,4.325325,358.0231,94.69833,4.579206,359.09
85.04552,4.321517,358.0168,94.77902,4.581514,359.093
85.04762,4.323184,358.0167,94.78111,4.583317,359.0932
85.08121,2.972432,358.1609,94.81703,3.224081,359.0439
86.05901,2.992327,358.1924,95.37788,3.240185,359.065
86.05901,2.992327,358.1924,95.37788,3.240185,359.065
88.60082,4.223423,358.1512,98.37386,4.51386,359.2244
98.8637,4.428057,358.5096,109.035,4.798645,359.669
98.86369,4.428057,358.5096,109.035,4.798645,359.669
105.3929,3.127399,358.9016,115.9877,3.509129,359.9277
105.3929,3.127399,358.9016,115.9877,3.509125,359.9277
106.1926,2.569649,358.9919,117.3537,2.940761,359.9683
106.39,2.568416,358.9999,117.4768,2.940774,359.9739
106.39,2.568416,358.9999,117.4768,2.940774,359.9739
106.8163,2.572144,359.0164,117.7516,2.947295,359.9867
110.8146,7.146375,358.6931,122.1471,7.576214,0.3649198
110.8146,7.146375,358.6931,122.1471,7.576214,0.3649198
110.8146,7.146376,358.6931,122.147,7.576219,0.364915
111.3711,7.148665,358.7153,122.7077,7.579898,0.3914187
111.4839,7.157704,358.7189,122.8213,7.589366,0.3971289
111.4839,7.157704,358.7189,122.8213,7.589366,0.3971289
111.4176,7.110179,358.7213,122.7541,7.541108,0.3921439
111.4889,6.957289,358.7404,122.8244,7.386655,0.3896555
111.4889,6.957289,358.7404,122.8244,7.386655,0.3896555
111.4719,6.946905,358.7408,122.8072,7.376123,0.3884478
111.4719,6.946905,358.7408,122.8072,7.376122,0.3884525
111.7733,6.235564,358.8286,123.1047,6.65744,0.3754356
111.7701,6.446225,358.8061,123.1032,6.870474,0.3833831
111.7566,6.450155,358.8051,123.0897,6.87443,0.3828922
112.1886,6.51885,358.8153,123.5254,6.944839,0.4060829
112.1886,6.51885,358.8153,123.5254,6.944839,0.4060829
112.345,13.88555,358.0238,123.8118,14.39707,0.7004374
110.8342,19.10102,357.3661,122.4637,19.66756,0.8363614
110.8342,19.10102,357.3661,122.4637,19.66754,0.836367
110.8342,19.10102,357.3661,122.4637,19.66754,0.836367
110.8416,19.88584,357.2738,122.5043,20.46164,0.8690565
110.757,19.90034,357.2686,122.4195,20.47593,0.8654434
110.757,19.90034,357.2686,122.4195,20.47593,0.8654434
110.8647,19.96504,357.2654,122.5311,20.54189,0.8734849
110.8604,20.06644,357.2532,122.5311,20.64449,0.8774772
110.8604,20.06644,357.2532,122.5311,20.64449,0.8774772
110.712,19.83058,357.2749,122.3711,20.40515,0.8603168
110.712,19.83058,357.2749,122.3711,20.40515,0.8603204
110.1389,19.79978,357.2544,121.7913,20.37128,0.8305282
98.50438,15.49385,357.2816,109.5345,15.97847,0.09447803
98.50437,15.49385,357.2816,109.5345,15.97848,0.0944798
98.50437,15.49385,357.2816,109.5345,15.97848,0.0944798
83.51063,10.24201,357.3221,93.12537,10.51801,359.2441
66.58772,2.248504,357.68,76.51825,2.347732,358.4512
55.38716,359.0284,357.7673,66.6113,359.1221,358.1223
55.38716,359.0284,357.7673,66.6113,359.1221,358.1223
50.98769,358.8617,357.7076,62.33706,358.929,358.05
50.98769,358.8617,357.7076,62.33706,358.929,358.05
49.6669,359.0116,357.6713,61.0234,359.0688,358.0387
49.4402,359.8841,357.577,60.78875,359.9375,358.0698
49.4402,359.8841,357.577,60.78875,359.9375,358.0698
49.41551,0.5384519,357.5082,60.75824,0.5901151,358.0945
49.4155,0.5384548,357.5082,60.75824,0.5901151,358.0945
49.50468,0.2498573,357.5397,60.84932,0.3028721,358.0846
49.50468,0.2498573,357.5397,60.84932,0.3028721,358.0846
49.50469,0.2498608,357.5397,60.84932,0.3028758,358.0846
49.38358,359.977,357.5664,60.73162,0.02971404,358.0726
49.3836,359.977,357.5664,60.73162,0.02971677,358.0726
49.30449,359.9784,357.5651,60.65306,0.03049407,358.0717
49.30449,359.9784,357.5651,60.65306,0.03049407,358.0717
50.18138,10.12789,356.4743,61.54314,10.17125,358.4367
50.78598,16.64796,355.7064,62.28528,16.6977,358.6395
50.78601,16.64795,355.7064,62.28528,16.69771,358.6395
50.39745,17.66973,355.571,61.93199,17.71634,358.6622
50.39745,17.66973,355.571,61.93199,17.71634,358.6622
49.94505,17.61239,355.5706,61.48128,17.6541,358.6542
49.94824,17.56898,355.5761,61.48301,17.61069,358.653
50.61916,17.60689,355.5828,62.14992,17.6558,358.6637
50.61916,17.60689,355.5828,62.14992,17.6558,358.6637
50.61913,17.60691,355.5828,62.14989,17.6558,358.6637
50.63977,17.32555,355.6187,62.16125,17.3744,358.6562
50.9135,17.08322,355.654,62.4252,17.13473,358.6535
63.01777,13.03481,356.3987,73.76874,13.12733,358.7524
63.01833,13.03711,356.3984,73.76933,13.1295,358.7525
82.81465,4.748686,357.896,92.5682,4.991604,359.0292
82.81465,4.748686,357.896,92.5682,4.991604,359.0292
83.11198,4.755824,357.9052,92.59792,4.9926,359.0303
83.11198,4.755824,357.9052,92.59792,4.9926,359.0303
83.10847,4.755585,357.9051,92.56468,4.991426,359.0291
82.72944,4.658282,357.9028,92.52038,4.901212,359.0243
82.72666,4.656707,357.9028,92.5176,4.899702,359.0241
82.73135,4.594202,357.9096,92.52236,4.836859,359.022
82.73135,4.594202,357.9096,92.52236,4.836859,359.022
82.73135,4.594202,357.9096,92.33062,4.830323,359.015
82.73135,4.594202,357.9096,92.33062,4.830323,359.015
82.78648,4.550344,357.9162,92.67286,4.796474,359.0258
82.57095,4.545001,357.9095,92.38696,4.786799,359.0154
82.57095,4.545001,357.9095,92.38696,4.786799,359.0154
82.57627,4.545137,357.9097,92.38696,4.786806,359.0154
82.57402,4.439962,357.9208,92.2993,4.67816,359.0084
82.57402,4.439962,357.9208,92.2993,4.67816,359.0084
82.57402,4.439962,357.9208,92.2993,4.67816,359.0084
82.57287,4.654712,357.8979,92.22601,4.891454,359.0136
82.46334,4.961998,357.8615,92.21581,5.202618,359.0246
82.46334,4.961998,357.8615,92.21584,5.202611,359.0246
82.46334,4.961998,357.8615,92.21584,5.202611,359.0246
82.46334,4.961998,357.8615,92.21581,5.202618,359.0246
82.42375,4.961006,357.8603,92.06783,5.197457,359.0193
82.27695,5.498725,357.7979,92.03425,5.740292,359.0378
82.27695,5.498726,357.7979,92.03425,5.740292,359.0378
82.33424,5.750078,357.7729,91.95175,5.988427,359.0439
81.98222,5.74104,357.7621,91.85645,5.985029,359.0405
81.98223,5.741041,357.7621,91.85644,5.985022,359.0404
82.33961,5.586873,357.7905,91.95801,5.824555,359.0382
82.33961,5.586873,357.7905,91.95801,5.824555,359.0382
82.52252,5.10948,357.8477,92.38042,5.355016,359.0359
82.51775,5.255879,357.8319,92.37454,5.502049,359.041
82.51775,5.255879,357.8319,92.37454,5.502049,359.041
83.49564,5.138283,357.8772,93.22032,5.38873,359.0667
83.49564,5.138283,357.8772,93.22031,5.388719,359.0667
90.51864,2.819656,358.3682,101.7411,3.1379,359.3044
90.51862,2.819671,358.3682,101.7411,3.1379,359.3044
90.51864,2.819656,358.3682,101.7411,3.1379,359.3044
86.48257,2.246149,358.2856,97.70034,2.541874,359.125
85.32842,3.704246,358.092,94.92033,3.958583,359.0751
85.32842,3.704243,358.092,94.92033,3.958583,359.0751
85.32842,3.704243,358.092,94.92033,3.958583,359.0751
82.96146,4.802727,357.8951,92.3634,5.03539,359.0237
82.9375,5.611942,357.8078,92.33733,5.848357,359.0523
83.12745,6.077316,357.7642,92.80283,6.327535,359.0859
83.12746,6.077316,357.7642,92.80283,6.327529,359.0859
83.12746,6.077316,357.7642,92.80286,6.327537,359.0859
82.57957,6.338186,357.7178,92.59708,6.595864,359.0883
82.57919,6.339866,357.7176,92.59669,6.597737,359.0883
82.45862,6.396906,357.7074,92.05068,6.638766,359.0706
82.45862,6.396914,357.7074,92.05066,6.638771,359.0706
82.21255,6.390471,357.6999,92.05082,6.638503,359.0706
82.21555,6.302936,357.7095,92.0379,6.550013,359.067
82.21555,6.302936,357.7095,92.03792,6.550012,359.067
82.42682,6.307801,357.716,92.03813,6.549581,359.067
82.7319,6.317439,357.7251,92.31584,6.561603,359.0771
82.73189,6.317436,357.7251,92.31584,6.561595,359.0771
82.73189,6.317436,357.7251,92.31584,6.561595,359.0771
82.72002,6.684273,357.6851,92.30436,6.930175,359.0899
83.28555,6.697897,357.7026,93.01341,6.954863,359.1158
82.71571,6.99826,357.651,92.48512,7.252147,359.1077
82.71571,6.998259,357.651,92.48512,7.252146,359.1077
82.71571,6.998259,357.651,92.48512,7.252146,359.1077
82.71133,7.054011,357.6448,92.4807,7.308108,359.1095
82.52882,7.050595,357.6391,92.05036,7.293916,359.094
82.52882,7.050595,357.6391,92.05036,7.293916,359.094
82.55132,6.416825,357.7083,92.07116,6.657245,359.072
82.55132,6.416825,357.7083,92.07116,6.657245,359.072
84.74387,6.274374,357.7978,94.47153,6.543936,359.1533
84.74387,6.274379,357.7978,94.47153,6.543944,359.1533
84.755,5.938007,357.8343,94.48033,6.205452,359.1414
84.51849,5.449127,357.8786,94.47536,5.718003,359.1236
84.51846,5.449133,357.8786,94.47536,5.718003,359.1236
84.52977,5.019517,357.9249,94.48711,5.285845,359.1083
84.4611,5.017169,357.9228,94.48709,5.284924,359.1082
84.4611,5.017169,357.9228,94.48709,5.284924,359.1082
84.66998,5.060211,357.9253,94.46862,5.323438,359.109
84.66994,5.060209,357.9253,94.46862,5.323438,359.109
84.35901,5.31299,357.8877,94.04634,5.571574,359.1028
84.15537,5.308772,357.8813,94.04136,5.571397,359.1026
84.15537,5.308772,357.8813,94.04136,5.571397,359.1026
82.83838,4.678705,357.9042,92.49184,4.918108,359.0239
82.83838,4.678705,357.9042,92.49184,4.918108,359.0239
82.85256,4.200484,357.9556,92.50726,4.43766,359.0068
83.10015,4.686826,357.9121,92.84825,4.931949,359.0369
83.10015,4.686826,357.9121,92.84825,4.931949,359.0369
83.11387,4.26307,357.9577,92.86308,4.506095,359.0218
82.7532,4.468783,357.9237,92.32886,4.703657,359.0103
