L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
78.88228,354.8704,353.4037,89.55854,356.1292,352.8712
78.88228,354.8704,353.4037,89.55854,356.1292,352.8712
78.36123,354.658,353.3958,88.85536,355.8868,352.8519
78.36123,354.658,353.3958,88.85536,355.8868,352.8519
78.3347,354.8801,353.3747,88.82613,356.1096,352.8625
78.35469,355.0016,353.3525,88.84419,356.233,352.8628
77.94279,354.79,353.3736,88.43788,356.0154,352.8534
77.94279,354.79,353.3736,88.43788,356.0154,352.8534
77.91564,354.8688,353.343,88.40933,356.0985,352.8377
77.92305,354.9273,353.3376,88.4159,356.1572,352.843
77.92305,354.9273,353.3376,88.4159,356.1572,352.843
78.38493,355.0531,353.2433,89.06695,356.3318,352.757
78.37405,355.0789,353.2457,89.05585,356.3562,352.7641
78.37405,355.0789,353.2457,89.05585,356.3562,352.7641
78.39684,354.6313,353.3145,88.4871,355.8169,352.822
78.39684,354.6313,353.3145,88.4871,355.8169,352.822
78.39684,354.6313,353.3145,88.4871,355.8169,352.822
78.16828,354.1098,353.4852,88.67712,355.3286,352.8578
78.16828,354.1098,353.4852,88.67712,355.3286,352.8578
78.43326,353.7064,353.5249,88.74812,354.8987,352.8528
78.7798,353.0566,353.6454,89.31106,354.2686,352.8505
78.7798,353.0566,353.6454,89.31106,354.2686,352.8505
78.81846,352.9932,353.7332,89.35291,354.1903,352.9249
78.81339,352.9747,353.8386,89.35037,354.153,353.025
78.81339,352.9747,353.8386,89.35037,354.153,353.025
78.57072,353.1426,354.0523,88.76084,354.2312,353.2977
78.57072,353.1426,354.0523,88.76084,354.2312,353.2977
77.30537,355.091,354.064,88.00322,356.2072,353.5274
77.30537,355.091,354.064,88.00322,356.2072,353.5274
77.29322,355.0891,354.0656,87.79559,356.179,353.5495
77.29322,355.0891,354.0656,87.79559,356.179,353.5495
77.29322,355.0891,354.0656,87.79559,356.179,353.5495
77.29356,355.0902,354.0655,87.79498,356.18,353.5496
