L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
83.09381,358.7376,356.885,92.36552,359.2346,357.1309
83.20056,358.6438,356.8951,92.40819,359.1374,357.1273
83.20056,358.6438,356.8951,92.40819,359.1374,357.1273
83.29182,358.489,356.9115,92.52895,358.9844,357.1221
83.28401,358.648,356.895,92.40816,359.1375,357.1273
83.12742,358.6671,356.8924,92.19747,359.1515,357.1266
83.12742,358.6671,356.8924,92.19747,359.1515,357.1266
83.09989,359.22,356.8348,92.16248,359.7077,357.1481
83.09989,359.22,356.8348,92.16248,359.7077,357.1481
83.24217,359.2274,356.8346,92.66444,359.739,357.1526
83.48864,359.2399,356.8343,92.66763,359.7396,357.1526
83.48864,359.2399,356.8343,92.66763,359.7396,357.1526
83.25538,359.1059,356.8473,92.67911,359.6171,357.148
83.49259,359.2038,356.8381,92.61559,359.6998,357.1508
83.49259,359.2038,356.8381,92.61559,359.6998,357.1508
83.49259,359.2038,356.8381,92.61559,359.6998,357.1508
83.51755,358.7013,356.8905,92.64737,359.1941,357.1312
83.62801,359.1717,356.842,92.61802,359.6609,357.1493
83.62801,359.1717,356.842,92.61802,359.6609,357.1493
83.64121,358.7465,356.8863,92.88695,359.2477,357.1349
83.64121,358.7465,356.8863,92.88695,359.2477,357.1349
83.64834,358.75,356.886,92.79928,359.2461,357.1342
83.76621,358.7559,356.8859,92.89449,359.252,357.1351
83.76621,358.7559,356.8859,92.89451,359.252,357.1351
83.81013,358.9288,356.8681,92.78868,359.4175,357.1409
83.81013,358.9288,356.8681,92.78868,359.4175,357.1409
84.13902,359.1563,356.846,93.34887,359.6649,357.1546
83.79967,359.1389,356.8462,93.08574,359.6481,357.152
83.79967,359.1389,356.8462,93.08574,359.6481,357.152
84.17149,358.4334,356.9212,93.39131,358.9372,357.1263
83.79637,358.4123,356.9216,93.20892,358.9233,357.1244
83.79637,358.4123,356.9216,93.20892,358.9233,357.1244
84.17075,358.428,356.9218,93.25607,358.9234,357.1247
84.14489,358.9539,356.8671,93.17434,359.45,357.1449
84.14491,358.9539,356.8671,93.17434,359.45,357.1449
84.1388,359.0766,356.8543,93.14679,359.5722,357.1495
84.1388,359.0766,356.8543,93.14679,359.5722,357.1495
84.16908,359.415,356.8192,93.12622,359.9107,357.1625
84.16908,359.415,356.8192,93.12622,359.9107,357.1625
85.12802,359.1286,356.8541,94.23561,359.6422,357.1609
85.12802,359.1286,356.8541,94.2356,359.6422,357.1609
98.11394,347.451,358.1756,107.8302,347.9052,356.8268
104.1503,340.7239,358.9632,115.1369,341.1888,356.6222
104.1503,340.7239,358.9632,115.1369,341.1888,356.6222
105.7976,340.5839,359.0167,117.5177,341.1766,356.6982
105.7976,340.5839,359.0167,117.5177,341.1766,356.6982
106.6648,340.002,359.097,118.5494,340.6146,356.6966
106.6648,340.002,359.097,118.5494,340.6146,356.6966
110.3445,337.2259,358.8294,122.4418,337.9508,355.8195
109.9689,336.729,358.7926,121.7592,337.3954,355.6664
109.385,336.0758,358.7526,121.0183,336.7194,355.4681
109.385,336.0758,358.7526,121.0183,336.7194,355.4681
109.8498,335.624,358.6976,121.5216,336.287,355.3151
110.0214,336.4667,358.579,121.6204,337.1484,355.3215
111.8714,335.9367,358.4083,123.5573,336.6801,354.9883
112.564,336.2211,358.2886,124.3614,337.0147,354.8939
113.5964,335.4663,358.2554,125.4598,336.2822,354.6931
113.5964,335.4663,358.2554,125.4598,336.2822,354.6931
118.7927,340.8802,357.1173,130.478,341.9326,354.4616
118.7927,340.8802,357.1173,130.478,341.9326,354.4616
119.2974,340.5957,357.068,131.0004,341.6635,354.3529
119.8242,340.314,356.9232,131.2445,341.3657,354.15
120.4855,340.0016,356.8369,132.042,341.0945,353.9834
120.5433,341.9216,356.6798,131.9983,343.0322,354.1308
120.5433,341.9216,356.6798,131.9983,343.0322,354.1308
121.444,341.6791,356.5994,132.9117,342.8098,354.0021
122.23,341.4699,356.3756,133.6164,342.6327,353.7482
122.23,341.4699,356.3756,133.6164,342.6327,353.7482
121.1854,342.7165,356.3431,132.3636,343.849,353.916
121.1139,343.8058,356.2108,131.7616,344.8902,354.0197
121.8022,344.1444,355.8348,132.4371,345.3011,353.6695
122.4656,343.9887,355.6741,133.1039,345.1765,353.4828
121.6674,343.8847,355.8298,131.8753,344.9801,353.6827
121.6674,343.8847,355.8298,131.8753,344.9801,353.6827
121.1135,344.674,355.8698,131.5036,345.7836,353.7971
121.1135,344.674,355.8698,131.5036,345.7836,353.7971
120.6952,344.7087,355.9406,130.9622,345.7847,353.8901
120.6952,344.7087,355.9406,130.9622,345.7847,353.8901
120.7769,344.1476,355.9693,130.8616,345.1935,353.8674
120.7822,344.1019,355.9669,130.754,345.1344,353.8765
120.7822,344.1019,355.9669,130.754,345.1344,353.8765
120.9733,344.066,355.9503,130.8661,345.0936,353.8687
120.2963,345.6754,356.5508,130.1321,346.58,354.7421
121.8931,346.9565,356.4422,132.1667,347.9405,354.7839
121.8506,346.9956,356.4228,132.1223,347.9824,354.772
121.7889,347.0681,356.4428,132.0583,348.0502,354.8049
121.7268,346.824,356.4637,132.0089,347.8023,354.7895
121.7268,346.824,356.4637,132.0089,347.8023,354.7895
