L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
93.64197,357.7266,1.503542,104.3693,357.4401,1.379304
93.64197,357.7266,1.503542,104.3693,357.4401,1.379304
93.67032,358.6346,1.407239,104.3785,358.3528,1.413759
94.11123,359.0738,1.332927,105.0257,358.803,1.3892
94.11123,359.0738,1.332927,105.0257,358.803,1.3892
94.47871,6.137714,0.4788917,105.359,5.922773,1.570006
94.51976,6.244946,0.4632871,105.2175,6.032173,1.585209
94.62029,6.43095,0.4740491,105.3217,6.212948,1.630512
94.62029,6.43095,0.4740491,105.3217,6.212948,1.630512
94.38431,359.4409,1.246538,105.1148,359.1765,1.41505
93.98753,358.0457,1.465044,104.5224,357.7576,1.449477
93.98753,358.0457,1.465044,104.5224,357.7576,1.449477
94.02394,357.3004,1.575803,104.5712,357.0025,1.459181
93.86255,357.4379,1.654471,104.604,357.1181,1.553789
93.90128,357.5327,1.68693,104.6417,357.2052,1.603372
93.90128,357.5327,1.68693,104.6417,357.2052,1.603372
94.33083,357.5413,1.667819,104.6747,357.228,1.601553
93.91012,357.5697,1.678193,104.6502,357.2431,1.601704
93.91012,357.5697,1.678193,104.6502,357.2431,1.601704
93.70768,357.7927,1.677534,104.4456,357.4603,1.632155
93.70768,357.7927,1.677534,104.4456,357.4603,1.632155
93.69878,357.3445,1.725038,104.444,357.0101,1.615145
93.49302,357.346,1.732321,104.4208,357.0051,1.615795
93.49302,357.346,1.732321,104.4208,357.0051,1.615795
93.71027,357.3388,1.725223,104.6371,357.0019,1.607836
93.72522,357.7917,1.677004,104.6458,357.457,1.624772
94.13274,357.7799,1.663427,104.6749,357.4584,1.62377
94.13274,357.7799,1.663427,104.6749,357.4584,1.62377
94.13275,357.7799,1.663428,104.6749,357.4584,1.623769
93.92577,357.7859,1.670326,104.6629,357.4577,1.62418
93.87989,358.1283,1.636035,104.7259,357.799,1.634868
93.87989,358.1283,1.636035,104.7259,357.799,1.634868
93.91425,357.7858,1.670758,104.4568,357.4602,1.63175
93.92563,357.7855,1.670382,104.6635,357.4572,1.624135
93.92563,357.7855,1.670382,104.6635,357.4572,1.624135
95.66938,357.0471,1.683959,106.592,356.7458,1.526655
95.6694,357.0471,1.683957,106.592,356.7458,1.526656
95.6694,357.0471,1.683957,106.592,356.7458,1.526656
101.0561,355.0646,1.686342,111.6235,354.8565,1.26671
112.7254,354.1362,1.293127,123.8299,354.1317,0.7610995
112.7254,354.1362,1.293127,123.8299,354.1317,0.7610995
112.7254,354.1362,1.29313,123.8299,354.1317,0.7610967
114.3464,354.1055,1.224401,125.6979,354.1314,0.686393
114.3464,354.1055,1.224401,125.6979,354.1314,0.686393
114.3433,354.3099,1.202756,125.6893,354.3376,0.6945981
119.3297,351.8606,0.3242246,130.729,352.1083,359.3472
119.3297,351.8606,0.3242246,130.729,352.1083,359.3472
120.8322,350.2536,0.306547,132.0737,350.524,359.0966
125.4603,348.2274,359.8719,137.0063,348.6438,358.3318
127.0727,347.6024,359.6159,138.6413,348.0817,357.9536
127.0727,347.6024,359.6159,138.6413,348.0817,357.9536
127.6217,347.3289,359.5136,139.2009,347.8334,357.8003
126.8155,347.1055,359.5538,138.3996,347.5944,357.786
127.9868,347.7525,359.2772,135.7102,348.0568,358.0409
127.9868,347.7525,359.2772,135.7102,348.0568,358.0409
129.0584,347.2587,359.0583,136.7945,347.5962,357.7563
126.3836,346.3657,359.3371,137.8511,346.8733,357.3668
126.3836,346.3657,359.3371,137.8511,346.8733,357.3668
126.9333,345.7333,359.2137,138.4312,346.2692,357.112
126.9333,345.7333,359.2137,138.4312,346.2692,357.112
125.8347,345.7154,359.3596,137.3325,346.21,357.234
126.2938,345.5646,359.2715,137.7976,346.079,357.116
126.2938,345.5646,359.2715,137.7976,346.079,357.116
127.2902,344.8973,359.1177,138.7204,345.4406,356.843
