L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
88.95114,357.428,357.3363,99.66879,358.0982,357.012
88.95114,357.428,357.3363,99.66879,358.0982,357.012
89.47697,357.4253,357.2528,99.89442,358.1068,356.9777
89.52525,357.8602,357.1971,100.0726,358.5535,356.9639
89.52525,357.8602,357.1971,100.0726,358.5535,356.9639
89.52526,357.8602,357.1971,100.0726,358.5535,356.9639
89.29657,357.8581,357.2338,99.86037,358.542,356.996
88.9248,357.8481,357.2159,99.61685,358.5379,356.9554
88.9248,357.8481,357.2159,99.61685,358.5379,356.9554
88.81293,358.5176,357.1596,99.44096,359.207,357.0021
88.81831,358.5229,357.1582,99.43761,359.2122,357.0028
88.81831,358.5229,357.1582,99.43761,359.2122,357.0028
88.7136,357.6194,357.2749,99.2198,358.2902,357.009
88.6923,357.0217,357.344,99.11226,357.6819,357.007
88.6923,357.0217,357.344,99.11226,357.6819,357.007
88.6923,357.0217,357.344,99.11226,357.6819,357.007
86.53039,356.9681,357.6974,96.76054,357.525,357.3667
81.80243,356.9138,358.4746,91.62812,357.243,358.1718
81.80243,356.9138,358.4746,91.62812,357.243,358.1718
81.80243,356.9138,358.4746,91.62812,357.243,358.1718
77.67076,352.3871,358.6932,87.61156,352.7446,357.6239
77.67076,352.3871,358.6932,87.61156,352.7446,357.6239
76.49186,351.9348,358.6302,86.44238,352.3098,357.4831
76.81393,351.4708,358.2227,87.18133,351.971,356.9088
77.14146,353.3094,357.5231,87.39059,353.9386,356.485
77.14146,353.3094,357.5231,87.39059,353.9386,356.485
77.94194,352.7613,356.8574,88.19301,353.5518,355.7401
79.10712,350.7746,356.2451,89.40079,351.7337,354.8432
79.10712,350.7746,356.2451,89.40079,351.7337,354.8432
77.94029,350.0326,356.1072,88.44431,351.0468,354.5223
76.49729,349.2631,356.0016,87.02188,350.3095,354.2762
75.14806,348.5535,355.9247,85.69396,349.6256,354.0691
72.133,346.868,356.5373,82.78431,347.8306,354.3708
72.133,346.868,356.5373,82.78431,347.8306,354.3708
70.81586,346.129,356.4822,81.49642,347.1142,354.1767
70.45124,345.9203,356.1212,81.29199,347.0047,353.7192
70.45124,345.9203,356.1212,81.29199,347.0047,353.7192
70.54304,345.657,355.6951,81.20749,346.826,353.3058
69.31902,344.9971,355.7551,80.01434,346.1667,353.2388
69.31902,344.9971,355.7551,80.01434,346.1667,353.2388
68.11208,345.6788,355.616,78.73032,346.8677,353.1964
66.83258,345.1458,355.72,77.4843,346.3247,353.193
53.56226,344.8889,0.5465505,63.79235,344.9971,358.0238
53.56226,344.8889,0.5465505,63.79235,344.9971,358.0238
49.29819,344.5609,1.897826,59.81453,344.4007,359.1801
48.27043,346.5596,1.854344,58.59116,346.3726,359.4657
48.27043,346.5596,1.854344,58.59116,346.3726,359.4657
47.16605,346.2957,2.090805,57.49836,346.0718,359.6498
47.42279,346.1233,1.797588,57.53206,345.9677,359.4275
46.80204,344.5413,2.019811,57.21992,344.3869,359.3111
46.80204,344.5413,2.019811,57.21992,344.3869,359.3111
46.2471,344.3518,2.072524,56.2275,344.1841,359.522
48.27666,343.4621,1.011583,59.04505,343.5702,358.0361
47.51766,343.6256,1.097008,58.27375,343.7191,358.1537
47.51766,343.6256,1.097008,58.27375,343.7191,358.1537
46.50205,343.8725,1.347797,57.24636,343.9167,358.4479
46.50205,343.8725,1.347797,57.24636,343.9167,358.4479
48.33951,343.9269,0.3506617,59.01805,344.196,357.5262
48.33951,343.9269,0.3506617,59.01805,344.196,357.5262
47.26075,344.4779,0.586042,57.84523,344.6951,357.9075
47.26075,344.4779,0.586042,57.84523,344.6951,357.9075
46.48068,345.4499,0.7273129,56.83668,345.62,358.297
46.48068,345.4499,0.7273129,56.83668,345.62,358.297
45.01203,349.1182,0.8799072,55.63779,349.2101,358.9134
44.68414,352.3328,0.6720488,55.14921,352.4165,359.251
45.62775,353.7388,0.2748879,56.06275,353.8925,359.1214
45.62775,353.7388,0.2748879,56.06275,353.8925,359.1214
46.216,355.2746,0.07817462,56.43121,355.4515,359.2628
46.04646,356.9662,0.1161294,56.24234,357.1096,359.6005
46.04646,356.9662,0.1161294,56.24234,357.1096,359.6005
46.67463,357.7655,0.05768212,57.26088,357.912,359.6414
46.58321,359.5844,0.1527381,57.16877,359.6826,0.06756845
45.99137,1.415712,0.3537607,56.74014,1.434619,0.5763937
45.99137,1.415712,0.3537607,56.74014,1.434619,0.5763937
45.56106,5.648875,0.1394579,56.34748,5.641286,1.026384
45.73202,12.42562,359.6888,56.57404,12.41366,1.642715
45.73202,12.42562,359.6888,56.57404,12.41366,1.642715
45.58379,14.25916,359.8057,56.50708,14.19276,2.11316
45.61028,15.79718,359.9248,56.61324,15.68371,2.533777
45.77446,17.0799,0.09044512,56.99453,16.90522,2.964865
45.77446,17.0799,0.09044512,56.99453,16.90522,2.964865
46.92092,16.86182,0.5959617,57.63991,16.65193,3.495667
47.97013,15.58617,1.193994,59.02297,15.25918,3.974314
47.92203,16.71038,1.598057,59.03533,16.28492,4.61626
47.92203,16.71038,1.598057,59.03533,16.28492,4.61626
47.97377,18.36336,1.891106,59.18125,17.85254,5.237705
47.20206,20.52313,2.004176,58.53269,19.94065,5.76461
47.20206,20.52313,2.004176,58.53269,19.94065,5.76461
47.52978,23.17404,2.12924,59.02398,22.52806,6.381912
48.30993,24.27725,2.443338,59.73937,23.57856,6.904649
49.2944,25.16881,2.85601,60.80369,24.38211,7.503497
49.2944,25.16881,2.85601,60.80369,24.38211,7.503497
50.1877,25.52502,3.429583,61.7154,24.62767,8.139883
51.80863,25.24371,4.285801,63.23691,24.21335,8.917659
55.65625,24.71424,5.359299,66.8337,23.57252,9.833251
55.65625,24.71424,5.359299,66.8337,23.57252,9.833251
57.80205,22.28143,6.307756,68.81136,20.99042,10.33597
60.13797,21.74573,7.797199,70.86843,20.22405,11.63854
60.13797,21.74573,7.797199,70.86843,20.22405,11.63854
63.16051,20.85692,9.654268,74.11736,18.91285,13.3011
65.96069,18.44096,12.50757,76.71396,15.95377,15.63537
65.96069,18.44096,12.50757,76.71396,15.95377,15.63537
73.04291,14.70959,16.41535,83.43931,11.57856,18.78694
81.54454,11.67269,19.84632,91.63174,7.996228,21.57484
