L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
81.7058,341.175,0.1281741,93.32611,341.4411,357.5647
81.7058,341.175,0.1281741,93.32611,341.4411,357.5647
81.70582,341.1751,0.1281704,93.32611,341.4411,357.5647
81.64174,342.0784,0.03798862,93.06992,342.3396,357.6285
81.64174,342.0784,0.03798862,93.06992,342.3396,357.6285
81.63002,342.1105,0.02165451,93.05596,342.3741,357.6193
81.12724,342.1137,0.04817699,92.19965,342.3512,357.6614
80.91167,341.6546,0.1211226,92.17936,341.8926,357.6508
80.91575,342.1077,0.06586355,92.15807,342.3491,357.6693
80.94904,342.1455,0.02712538,92.1886,342.3933,357.6389
80.94904,342.1455,0.02712538,92.1886,342.3933,357.6389
81.17698,341.2317,0.1015933,92.28352,341.4715,357.5738
81.18646,341.6575,0.0524834,91.87073,341.8802,357.6118
81.20724,341.6901,0.04724405,91.88953,341.9131,357.613
81.65446,341.7064,0.02224669,92.55027,341.9462,357.5825
81.19952,341.916,0.02358964,91.87177,342.1402,357.6259
81.19952,341.916,0.02358964,91.87177,342.1402,357.6259
81.43255,341.9243,0.01059216,92.3084,342.1618,357.6057
81.43256,341.9243,0.01058317,92.3084,342.1618,357.6057
81.43377,341.6979,0.03462166,92.32541,341.9344,357.5928
81.43378,341.6979,0.03462796,92.32539,341.9344,357.5928
81.4346,341.6956,0.03482446,92.32475,341.932,357.5927
81.21199,341.6899,0.04702018,92.10144,341.9232,357.6031
81.21199,341.6899,0.04702018,92.10144,341.9232,357.6031
81.21232,341.6905,0.04694269,92.10104,341.9237,357.6032
80.77803,341.9019,0.04707797,91.85071,342.1395,357.6269
80.77803,341.9019,0.04707797,91.85069,342.1395,357.6269
80.77803,341.9019,0.04707797,91.85069,342.1395,357.6269
81.05756,341.7975,0.04361537,91.57676,342.0117,357.6336
81.05756,341.7975,0.04361537,91.57676,342.0117,357.6336
80.90393,341.6125,0.09870166,91.43468,341.8202,357.6522
80.83411,340.9026,0.1607507,91.5631,341.1162,357.593
81.26864,340.9919,0.1242519,91.78572,341.2017,357.5851
81.26311,341.0304,0.1191882,91.77779,341.2404,357.5876
81.26311,341.0304,0.1191882,91.77779,341.2404,357.5876
81.08487,341.067,0.1351094,92.39834,341.3129,357.5736
81.08391,341.0598,0.1389081,92.39784,341.3051,357.5758
80.61059,341.0415,0.1652673,91.73734,341.2703,357.6058
80.61954,341.0437,0.1645755,91.74615,341.2726,357.6055
80.61954,341.0437,0.1645755,91.74615,341.2726,357.6055
80.41039,340.8101,0.2004745,91.737,341.0439,357.5936
80.61773,341.2708,0.1403322,91.72956,341.5007,357.6186
80.61773,341.2708,0.1403322,91.72955,341.5007,357.6186
81.29633,341.5214,0.07865103,92.39002,341.7621,357.6008
81.29633,341.5214,0.07865103,92.39002,341.7621,357.6008
78.80266,340.3101,0.338413,89.7711,340.5018,357.661
78.80266,340.3101,0.338413,89.7711,340.5018,357.661
78.80721,340.3182,0.3373014,89.77518,340.5098,357.6612
78.4455,340.5786,0.2809375,89.77355,340.7886,357.6419
78.45237,340.631,0.2564075,89.7766,340.8445,357.6288
78.4617,340.6385,0.2661195,89.78552,340.85,357.6399
78.44492,340.4045,0.3006008,89.59452,340.6061,357.643
78.44769,342.8132,0.270844,89.45022,342.9739,358.1097
78.44769,342.8132,0.270844,89.45022,342.9739,358.1097
78.29348,343.9362,0.06565577,89.2298,344.1138,358.1313
78.17023,343.6018,0.1066458,89.1251,343.778,358.1054
78.12163,343.3224,0.1468584,89.0909,343.4962,358.0896
75.1674,340.0713,0.5184453,86.2981,340.2201,357.9058
75.08759,339.8199,0.5974057,86.2366,339.9592,357.9315
75.08759,339.8199,0.5974057,86.2366,339.9592,357.9315
70.60435,338.8234,0.7694303,82.08127,338.9337,357.9179
65.31805,337.4853,0.9918475,77.45677,337.5406,357.8914
56.74498,336.3693,1.360774,69.00179,336.3227,358.0518
49.71194,335.9106,1.762572,62.04169,335.755,358.3534
49.71194,335.9106,1.762572,62.04169,335.755,358.3534
49.12414,335.6316,1.933583,61.48199,335.4492,358.4552
46.77783,335.0567,2.290031,59.19913,334.8116,358.6729
44.86961,332.7814,2.883126,57.50741,332.4756,358.8114
44.11344,332.5623,3.029379,56.77711,332.2334,358.9004
42.99811,331.5475,3.433991,55.77195,331.1683,359.0716
43.44302,330.9099,3.734131,56.28735,330.5004,359.1999
43.44302,330.9099,3.734131,56.28735,330.5004,359.1999
42.05035,330.157,4.157447,54.98666,329.6846,359.4391
41.40665,329.9518,4.343808,54.37058,329.4487,359.5681
40.69973,330.926,4.447547,53.56321,330.3785,359.8371
40.02509,330.5836,4.710343,52.93089,329.9962,0.005625491
39.50906,330.4282,4.878491,52.43505,329.812,0.1303518
39.1851,330.6549,5.055244,52.08921,330.0018,0.3277001
39.1851,330.6549,5.055244,52.08921,330.0018,0.3277001
39.67988,331.6756,4.981003,52.47371,331.0182,0.4316266
39.99268,331.1585,5.144771,52.84236,330.4902,0.4716327
38.79398,328.8832,6.65499,51.94423,327.979,1.359448
38.90441,328.2201,7.165088,52.1489,327.2402,1.664661
38.90441,328.2201,7.165088,52.1489,327.2402,1.664661
38.57177,327.7145,7.463385,51.8861,326.6927,1.828217
43.13845,334.0075,0.8949199,55.63342,334.1097,356.9973
46.04393,338.5001,356.5313,58.05449,339.3489,353.7638
46.04393,338.5001,356.5313,58.05449,339.3489,353.7638
41.38977,334.8341,2.062435,53.81532,334.6915,358.3129
46.88607,333.9634,3.140321,47.33191,334.8281,0.2196456
46.66864,333.9412,3.447823,47.11453,334.8004,0.5239858
46.66864,333.9412,3.447823,47.11453,334.8004,0.5239858
47.56768,334.0922,3.48211,47.94962,334.8954,0.5868088
44.1386,335.2644,3.570708,55.80954,334.9035,359.9082
44.23231,335.3913,3.467777,55.89108,335.0466,359.8354
47.414,336.1361,3.06585,59.08485,335.8539,359.5631
47.414,336.1361,3.06585,59.08485,335.8539,359.5631
48.01246,336.1037,2.98932,59.73238,335.8356,359.4771
48.25235,335.6894,2.909589,60.00741,335.446,359.3347
48.33338,335.6064,2.9259,60.09629,335.3618,359.3321
48.53053,335.4416,2.923352,60.13194,335.2106,359.3091
48.53053,335.4416,2.923352,60.13194,335.2106,359.3091
48.45427,335.3719,2.952224,60.17229,335.1306,359.3133
48.61348,335.3341,2.925156,60.33493,335.0985,359.2782
48.90542,335.3086,2.882161,60.51902,335.0879,359.2392
57.40491,336.078,2.097737,68.66305,336.0138,358.6248
65.71394,341.9964,0.7713879,76.55769,342.1011,358.3313
65.71394,341.9964,0.7713879,76.55769,342.1011,358.3313
66.19575,342.2102,0.6733485,77.02589,342.3286,358.2773
76.20778,348.424,359.3791,87.16366,348.793,357.9871
78.45322,349.9393,359.1115,89.15463,350.3425,357.9821
79.05727,350.2917,359.0603,89.74725,350.6982,357.9982
79.39951,350.6885,359.0218,90.07283,351.0968,358.0271
79.39951,350.6885,359.0218,90.07283,351.0968,358.0271
80.11967,351.1083,358.9828,90.78391,351.5166,358.067
80.87476,351.6013,358.9891,91.52584,351.9999,358.1653
79.38959,350.2574,359.2008,90.28159,350.6229,358.1744
79.62128,350.1031,359.2872,90.70334,350.456,358.256
80.10007,350.3546,359.2875,91.1741,350.7027,358.3053
81.18539,350.8103,359.2712,92.23499,351.1523,358.3792
85.39622,351.3523,359.2776,96.25819,351.6971,358.5001
85.39622,351.3523,359.2776,96.25819,351.6971,358.5001
86.59832,352.9541,359.1714,97.42663,353.3009,358.6485
87.81522,353.2872,359.1442,98.63618,353.6331,358.6848
87.34713,353.4425,359.1014,98.33631,353.7941,358.6729
86.96166,352.1271,359.1496,97.80487,352.4585,358.5288
86.96166,352.1271,359.1496,97.80487,352.4585,358.5288
85.9781,352.0347,359.0314,96.82177,352.3723,358.3994
86.88403,352.1698,358.9148,97.72338,352.5267,358.3106
85.52302,352.172,359.1722,96.1784,352.4589,358.5519
86.49174,351.7205,358.8707,97.15513,352.0676,358.1895
86.49174,351.7205,358.8707,97.15513,352.0676,358.1895
90.104,349.2668,359.0184,101.0352,349.6445,357.9994
90.65042,349.2242,358.856,101.5814,349.633,357.8319
95.36233,346.0843,359.2793,106.6204,346.4913,357.8127
