L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
81.82871,358.8271,2.824212,91.41369,358.4214,2.982365
81.82871,358.8271,2.824212,91.41369,358.4214,2.982365
81.74417,359.3277,2.774565,91.19521,358.931,3.008281
81.74417,359.3277,2.774565,91.19521,358.931,3.008281
81.74603,359.328,2.774482,91.1954,358.9314,3.008291
81.75527,359.5009,2.756198,91.20285,359.1062,3.01482
81.44397,359.3444,2.781982,91.0875,358.9331,3.01149
81.44397,359.3444,2.781982,91.0875,358.9331,3.01149
81.44383,359.348,2.781618,91.08729,358.9371,3.011647
81.4438,359.3473,2.78169,91.02835,358.9391,3.013436
81.77094,358.804,2.828402,91.00759,358.4124,2.993842
81.77094,358.804,2.828402,91.00756,358.4124,2.993843
81.77094,358.804,2.828403,91.13526,358.4068,2.989921
81.56934,359.0096,2.813078,91.14286,358.6013,2.997136
81.56934,359.0096,2.813078,91.14286,358.6013,2.997136
81.27404,359.2959,2.792177,90.84734,358.8846,3.016567
81.27404,359.2959,2.792177,90.84734,358.8846,3.016567
81.27406,359.2959,2.792177,90.84734,358.8846,3.016567
81.83168,358.9575,2.810487,91.40095,358.5538,2.987796
81.83168,358.9575,2.810487,91.40095,358.5538,2.987796
81.82744,358.9059,2.816013,91.3965,358.5016,2.98593
81.82744,358.9059,2.816015,91.3965,358.5016,2.98593
81.82744,358.9059,2.816015,91.3965,358.5016,2.98593
81.71844,358.9229,2.817579,91.44862,358.5095,2.984711
81.67695,358.9144,2.819734,91.17814,358.5105,2.992636
81.67754,358.9253,2.818578,91.44862,358.5094,2.984705
81.67754,358.9253,2.818578,91.44862,358.5094,2.984705
81.63063,358.4619,2.868547,91.30004,358.0455,2.97138
81.65199,358.9683,2.814874,91.43961,358.5519,2.986593
81.64934,358.9662,2.815174,91.43697,358.5493,2.986573
81.64934,358.9662,2.815174,91.43697,358.5493,2.986573
81.62178,358.4641,2.868585,91.4173,358.0421,2.967824
83.77271,357.9588,2.853839,93.0548,357.5934,2.902016
83.77271,357.9588,2.853839,93.0548,357.5934,2.902014
92.64072,350.3504,3.359561,103.5435,349.9928,2.273213
100.6806,348.9481,3.166939,112.2417,348.7128,1.881745
100.6806,348.9481,3.166939,112.2417,348.7128,1.881745
100.6806,348.9481,3.166939,112.2417,348.7129,1.881745
103.2633,346.1192,3.371056,114.9622,345.8951,1.666581
104.2223,346.1152,3.324229,115.9267,345.9072,1.624555
104.2223,346.1152,3.324229,115.9267,345.9072,1.624555
105.535,347.6198,3.0838,117.1787,347.4525,1.62337
106.011,348.0767,3.007475,117.6381,347.9234,1.619603
106.0106,348.0797,3.007152,117.6376,347.9264,1.619727
106.0156,348.0774,3.007169,117.6426,347.9242,1.61942
105.8417,348.1425,3.008476,117.465,347.987,1.62957
105.8417,348.1425,3.008474,117.465,347.987,1.62957
105.7552,347.6558,3.068602,117.3987,347.4928,1.614996
105.7552,347.6558,3.068602,117.3987,347.4928,1.614996
105.944,347.5266,3.073967,117.5942,347.3652,1.601751
106.0188,347.5196,3.071007,117.6697,347.3594,1.598167
106.0188,347.5196,3.071007,117.6697,347.3594,1.598167
107.764,354.1598,2.246374,119.1951,354.112,1.774478
107.764,354.1598,2.246374,119.1951,354.112,1.774478
108.4328,359.9517,1.603261,119.7563,359.9861,1.97257
108.4328,359.9517,1.603261,119.7563,359.9861,1.97257
108.7353,5.543433,1.015473,120.0274,5.649601,2.188741
107.2957,10.50914,0.585762,118.6068,10.64132,2.469496
107.2957,10.50914,0.585762,118.6068,10.64132,2.469496
107.4014,10.89759,0.5409341,118.7182,11.03636,2.482317
107.5417,10.91867,0.5315704,118.86,11.06071,2.476962
107.5417,10.91867,0.5315704,118.86,11.06071,2.476962
107.5899,10.81044,0.5400702,118.9073,10.95235,2.469901
107.5872,10.80843,0.5404172,118.9045,10.95023,2.469928
107.5163,9.9999,0.6260701,118.8233,10.13126,2.436743
107.5274,9.989429,0.6265672,118.8344,10.12082,2.435776
107.5274,9.989425,0.6265667,118.8344,10.12082,2.435771
107.454,10.63872,0.5645,118.768,10.77577,2.468245
107.5177,10.62465,0.5626431,118.8321,10.76291,2.464743
107.5177,10.62465,0.562644,118.8321,10.76291,2.464746
107.3929,9.706143,0.6621712,118.6958,9.831495,2.429139
102.5606,6.658878,1.208463,113.8068,6.649449,2.504993
102.5606,6.658878,1.208463,113.8068,6.649449,2.504993
90.34111,0.3109632,2.376887,100.3666,0.06736755,2.757647
90.34111,0.3109632,2.376887,100.3666,0.06736755,2.757647
80.79819,359.4367,2.791795,90.22507,359.0241,3.039753
80.79819,359.4367,2.791795,90.22507,359.0241,3.039753
80.72931,358.269,2.915998,90.17683,357.8443,2.996098
80.7489,358.6199,2.878576,90.19073,358.1988,3.009129
80.7489,358.6199,2.878576,90.19073,358.1988,3.00913
80.92165,358.6168,2.873742,90.60046,358.1886,2.997051
80.92165,358.6168,2.873742,90.60046,358.1886,2.997051
80.46711,359.1344,2.833107,90.12976,358.7027,3.030093
80.47262,359.1316,2.833232,90.13534,358.6997,3.029822
80.46722,359.1366,2.832876,90.12988,358.7049,3.030174
80.21584,359.4908,2.840588,89.86422,359.0496,3.096724
79.73952,359.6411,2.828133,89.85167,359.1732,3.093423
79.78078,359.6339,2.81634,89.89307,359.1681,3.080547
68.24022,7.692837,2.216877,77.94051,7.051522,3.637696
68.25063,7.688443,2.234534,77.95064,7.044225,3.654331
54.48328,13.87205,1.740639,64.86493,12.93403,4.086628
54.4722,13.87591,1.75265,64.85378,12.93571,4.09911
48.7685,18.42807,1.301564,60.13624,17.43728,4.366119
48.51766,18.4551,1.313051,59.93348,17.46395,4.384269
48.35275,18.51581,1.29186,59.41536,17.48487,4.371558
48.35275,18.51581,1.29186,59.41536,17.48487,4.371558
48.29393,18.55032,1.233825,59.36016,17.52942,4.322147
48.26381,18.24533,1.244283,59.31877,17.22895,4.287524
48.64935,18.96751,1.178723,59.87834,17.97137,4.336587
48.65164,18.99335,1.185901,59.88213,17.9954,4.348881
48.62275,18.04176,1.308242,59.81568,17.04083,4.325541
48.62275,18.04176,1.308242,59.81568,17.04083,4.325541
46.42603,17.27483,1.385632,57.85725,16.2686,4.304699
