L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
85.26828,3.513523,358.5724,94.77448,3.705168,359.4437
85.26828,3.513523,358.5724,94.77448,3.705168,359.4437
85.27978,3.512832,358.5677,94.78595,3.705301,359.439
85.31575,3.437768,358.5749,94.96046,3.633458,359.4327
85.09856,3.094534,358.6165,94.79196,3.284437,359.4236
85.20853,2.894028,358.6353,94.70401,3.080251,359.418
85.20853,2.894031,358.6353,94.70401,3.080251,359.418
84.60097,2.891891,358.6497,94.13125,3.066698,359.4297
85.2047,3.09977,358.6135,94.69977,3.287363,359.4257
85.2047,3.09977,358.6135,94.69977,3.287363,359.4257
85.2047,3.09977,358.6135,94.69977,3.287363,359.4257
85.95525,3.108659,358.5951,95.59134,3.314488,359.408
97.06277,0.2243753,358.6607,106.7044,0.6016518,359.107
97.06277,0.2243753,358.6607,106.7044,0.6016518,359.107
105.9486,358.5818,358.669,116.9172,359.0838,358.9194
109.7857,358.6605,358.5984,121.0824,359.2169,358.8875
109.7857,358.6605,358.5984,121.0824,359.2169,358.8875
109.7857,358.6605,358.5984,121.0824,359.2169,358.8875
110.4146,359.7266,358.4767,121.702,0.3026035,358.924
110.8754,0.4612327,358.4033,122.1582,1.047622,358.9613
110.8754,0.4612327,358.4033,122.1582,1.047622,358.9613
110.9176,0.3963216,358.4056,122.2009,0.9830329,358.9539
111.4734,0.4743191,358.3877,122.7597,1.06898,358.9527
111.4734,0.4743191,358.3877,122.7597,1.06898,358.9527
110.593,3.031651,358.1285,121.8575,3.643991,359.053
109.9782,13.65979,356.9431,121.3353,14.39058,359.4112
109.9481,13.65178,356.9325,121.3046,14.38476,359.3991
109.9481,13.65178,356.9325,121.3046,14.38476,359.3991
110.2026,15.29539,356.6996,121.6009,16.05949,359.4164
110.6575,15.25328,356.6917,122.0586,16.02491,359.4063
110.8661,14.74184,356.7554,122.2559,15.50874,359.3944
110.8661,14.74184,356.7554,122.2559,15.50874,359.3944
110.8765,14.74539,356.7497,122.2667,15.51282,359.3901
107.7576,14.70073,356.7939,119.1196,15.42004,359.4006
107.7576,14.70073,356.7939,119.1196,15.42004,359.4006
107.757,14.67966,356.8062,119.118,15.39709,359.4083
97.32516,12.10126,357.2924,108.2938,12.62683,359.4378
87.65528,10.25411,357.7156,97.43479,10.56652,359.5621
87.65528,10.25411,357.7156,97.43479,10.56652,359.5621
84.89138,9.9677,357.835,94.43501,10.20284,359.6344
83.17182,8.352464,358.0584,92.96655,8.541637,359.6117
83.17182,8.352464,358.0584,92.96655,8.541637,359.6117
68.44965,3.49429,358.9926,78.07436,3.335763,359.8352
68.42387,3.507616,359.0047,78.04868,3.346894,359.8494
57.43246,358.5443,359.8304,68.03764,358.2473,359.9567
57.43246,358.5443,359.8304,68.03764,358.2473,359.9567
50.76036,356.6364,0.2191422,62.12039,356.2576,0.07179102
48.28952,356.6617,0.2822382,59.66484,356.2451,0.1483769
47.10369,0.08411723,359.9627,58.4299,359.6394,0.3230383
47.10369,0.08411723,359.9627,58.4299,359.6394,0.3230383
47.00021,0.5409874,359.9527,58.32077,0.08773099,0.378171
46.95311,0.5681796,359.9594,58.27364,0.1130818,0.3900619
46.95311,0.5681796,359.9594,58.27364,0.1130818,0.3900619
48.36748,3.704047,359.6008,59.65325,3.263988,0.4751219
51.29165,11.15918,358.7216,62.58707,10.76086,0.6600696
51.29165,11.15918,358.7216,62.58707,10.76086,0.6600696
51.02411,12.59204,358.5741,62.34229,12.18713,0.723735
50.14661,12.45669,358.6129,61.4694,12.03522,0.7458047
49.94208,12.41449,358.623,61.26581,11.9892,0.7505589
49.94208,12.41449,358.623,61.26581,11.9892,0.7505589
49.9421,12.41448,358.623,61.26581,11.9892,0.7505599
50.15406,11.41493,358.7266,61.46135,10.99483,0.7065188
50.16868,11.39446,358.7284,61.47557,10.97466,0.7053002
50.16868,11.39446,358.7284,61.47557,10.97466,0.7053002
50.48301,10.50603,358.8164,61.77649,10.09315,0.6623941
65.353,9.282813,358.5456,75.6468,9.076811,0.2047231
65.353,9.282813,358.5456,75.6468,9.076811,0.2047231
81.45129,9.190912,358.1346,91.38371,9.339451,359.8032
81.45129,9.190916,358.1346,91.38375,9.339451,359.8032
85.15824,5.343313,358.4625,94.74075,5.543558,359.5938
85.15824,5.343313,358.4625,94.74075,5.543558,359.5938
85.6415,5.341423,358.4512,95.13267,5.550588,359.5855
85.6415,5.341423,358.4512,95.13267,5.550588,359.5855
85.72585,5.403769,358.3808,95.2893,5.62249,359.5203
86.10568,5.555336,358.3416,95.71855,5.785478,359.5034
85.97229,5.575123,358.3362,95.36805,5.799172,359.5057
86.01028,5.614056,358.3176,95.40666,5.840611,359.4937
86.01905,5.486947,358.3285,95.25485,5.709784,359.49
86.01905,5.486947,358.3285,95.25485,5.709784,359.49
85.22852,5.491266,358.3401,94.76403,5.703618,359.4937
85.21246,5.4712,358.3295,94.74761,5.685568,359.4799
85.01624,6.254378,358.2325,94.40409,6.470167,359.498
85.01624,6.254378,358.2325,94.40409,6.470167,359.498
85.16091,6.401182,358.2035,94.69746,6.626297,359.4879
85.99796,6.610176,358.1693,95.63565,6.856,359.4855
86.00642,6.628387,358.1656,96.78042,6.8936,359.4626
86.00642,6.628387,358.1656,96.78042,6.8936,359.4626
85.90841,359.7561,358.9167,97.10847,359.9809,359.2198
85.91975,359.7587,358.9312,97.11986,359.9807,359.2345
85.91975,359.7587,358.9312,97.11986,359.9807,359.2345
85.65753,357.6954,359.1461,96.89011,357.9032,359.15
83.40445,356.4702,359.3065,94.66068,356.6396,359.1269
83.40445,356.4702,359.3065,94.66068,356.6396,359.1269
83.42038,357.5011,359.1981,94.65616,357.6755,359.1694
86.2414,357.5526,359.1142,97.47761,357.7743,359.1039
86.29324,357.5673,359.0638,97.52914,357.7985,359.0575
87.10673,357.5667,359.0434,98.34317,357.8111,359.0395
87.10919,357.8519,358.9797,98.33984,358.1047,359.0155
87.10919,357.8519,358.9797,98.33984,358.1047,359.0155
85.53927,356.689,359.0598,96.79039,356.9256,358.9208
85.54669,356.6455,359.0625,96.79829,356.8824,358.915
85.55254,357.0241,358.9951,96.79527,357.2689,358.8976
86.71373,356.9728,358.9405,97.95737,357.2422,358.8372
86.90443,356.9443,358.9354,98.14845,357.2177,358.8272
86.90443,356.9443,358.9354,98.14845,357.2177,358.8272
86.88222,356.9517,358.9507,98.1263,357.2219,358.8436
88.02641,357.8081,358.8403,99.25535,358.1002,358.8626
88.36709,358.6335,358.7552,99.58288,358.9341,358.9005
89.7418,358.6817,358.7171,100.9591,359.0048,358.877
89.7418,358.6817,358.7171,100.9591,359.0048,358.877
89.73393,358.6919,358.7248,100.9512,359.0132,358.8865
89.36851,357.4892,358.8654,100.6061,357.796,358.8518
89.38898,356.4818,358.9709,100.6465,356.7825,358.8109
89.39439,356.4374,358.9877,100.6526,356.7357,358.8185
89.39439,356.4374,358.9877,100.6526,356.7357,358.8185
88.03674,356.4166,359.0462,99.29386,356.6889,358.8676
88.02593,356.424,359.0539,99.283,356.6947,358.8766
88.53355,357.0188,358.9858,99.77911,357.2998,358.8974
88.54706,357.0454,358.9861,99.79232,357.3259,358.9029
88.5521,357.0645,359.0053,99.79733,357.3408,358.9254
87.42723,356.5754,359.0914,98.68144,356.8292,358.9366
87.45686,356.5582,359.0647,98.71111,356.8176,358.9071
87.45686,356.5582,359.0647,98.71111,356.8176,358.9071
85.66176,354.8234,359.3052,96.9549,355.0421,358.8866
85.53964,356.4718,359.1513,96.79393,356.6945,358.9699
85.53964,356.4718,359.1513,96.79393,356.6945,358.9699
84.69258,354.7841,359.3513,95.98627,354.9843,358.9217
84.69258,354.7841,359.3513,95.98627,354.9843,358.9217
87.21711,354.6926,359.3156,98.51473,354.9283,358.8838
87.21711,354.6926,359.3156,98.51473,354.9283,358.8838
87.19839,354.7132,359.3026,98.49552,354.951,358.8751
