L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
77.68429,351.2953,354.2226,88.08064,352.3815,353.1405
77.68429,351.2953,354.2226,88.08064,352.3815,353.1405
77.74874,351.0762,354.2366,88.73207,352.2426,353.0508
77.51542,351.5105,354.2231,88.64979,352.6923,353.0789
77.51542,351.5105,354.2231,88.64979,352.6923,353.0789
77.51542,351.5105,354.2231,88.64979,352.6923,353.0789
77.9306,351.1819,354.1989,88.52795,352.3038,353.081
77.46279,351.1307,354.2963,88.06724,352.2309,353.1661
77.49726,350.6713,354.3405,88.11783,351.7713,353.1425
77.49726,350.6713,354.3405,88.11783,351.7713,353.1425
77.45229,351.1242,354.3033,88.05922,352.2235,353.1716
78.31053,351.4753,354.161,89.09297,352.6311,353.0661
78.31053,351.4753,354.161,89.09297,352.6311,353.0661
78.91651,352.0187,354.0493,89.67782,353.1937,353.0401
78.91651,352.0187,354.0493,89.67782,353.1937,353.0401
78.51392,351.5214,354.1599,89.09943,352.6526,353.0975
78.75969,351.5452,354.1251,89.7249,352.7371,353.0227
78.80724,351.0947,354.1655,89.78068,352.2857,352.998
78.80724,351.0947,354.1655,89.78068,352.2857,352.998
78.80722,351.0947,354.1655,89.78068,352.2857,352.998
78.80722,351.0947,354.1655,89.78068,352.2857,352.998
78.91457,352.0153,354.0558,89.67644,353.1892,353.046
78.91457,352.0153,354.0558,89.67644,353.1892,353.046
79.29121,352.1191,353.9924,89.85198,353.2813,353.027
79.29121,352.1191,353.9924,89.85198,353.2813,353.027
79.31768,352.0586,353.9659,89.87978,353.2269,352.9899
78.48728,351.9128,354.1071,89.44105,353.0995,353.0537
78.48728,351.9128,354.1071,89.44105,353.0995,353.0537
77.72543,351.1789,354.2837,88.87976,352.3581,353.096
77.75343,351.1999,354.265,88.90684,352.3823,353.0818
77.77787,351.2204,354.2264,88.91589,352.408,353.0495
77.77787,351.2204,354.2264,88.91589,352.408,353.0495
78.37711,351.2716,354.1418,88.97587,352.4084,353.0419
78.47128,350.3765,354.2214,89.09339,351.5127,352.991
78.47128,350.3765,354.2214,89.09339,351.5127,352.991
78.47127,350.3765,354.2214,89.09338,351.5127,352.991
77.81831,350.3128,354.3144,88.63912,351.4515,353.0458
77.79453,350.5367,354.2946,88.61034,351.6757,353.0587
77.79453,350.5367,354.2946,88.61034,351.6757,353.0587
77.62117,352.3429,354.1299,88.38243,353.4825,353.1576
77.92652,351.4613,354.1817,88.7102,352.6082,353.0832
77.92652,351.4613,354.1817,88.7102,352.6082,353.0832
78.3586,351.5073,354.1198,88.94039,352.6429,353.0555
78.79866,351.5511,354.0574,89.37743,352.7026,353.0031
78.72717,352.2252,353.9963,89.28793,353.3772,353.0399
78.72717,352.2252,353.9963,89.28793,353.3772,353.0399
78.73332,352.2311,353.9949,89.29387,353.3831,353.0394
75.76394,353.0693,354.303,85.9148,354.0614,353.4973
75.76394,353.0693,354.303,85.9148,354.0614,353.4973
71.47477,354.4615,354.7537,81.61919,355.2921,354.1227
68.68944,356.8755,354.8921,79.41607,357.6843,354.5063
63.464,357.8556,355.5785,74.58709,358.5027,355.2476
63.464,357.8556,355.5785,74.58709,358.5027,355.2476
62.30575,357.7823,355.769,73.43771,358.3789,355.4217
63.35376,357.8633,355.5948,74.47732,358.5056,355.2645
63.35376,357.8633,355.5948,74.47732,358.5056,355.2645
63.35376,357.8633,355.5948,74.47732,358.5056,355.2645
62.94297,358.3481,355.6853,74.05402,358.9599,355.4151
68.68827,359.0002,354.7211,68.6626,358.1382,356.2641
68.68827,359.0002,354.7211,68.6626,358.1382,356.2641
62.55944,358.3259,355.7598,73.67316,358.9197,355.4845
62.45018,358.501,355.7673,73.55972,359.0887,355.5156
62.45018,358.501,355.7673,73.55972,359.0887,355.5156
62.08529,0.1896373,355.6217,73.15766,0.7668355,355.6112
