L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
83.99022,358.3621,356.5977,93.06503,358.9003,356.7938
83.99022,358.3621,356.5977,93.06503,358.9003,356.7938
83.25935,358.3773,356.5905,92.38818,358.9113,356.787
82.44653,358.4711,356.5732,91.92608,359.0209,356.7834
82.44653,358.4711,356.5732,91.92608,359.0209,356.7834
82.36112,358.6888,356.5757,91.9123,359.2397,356.817
82.35151,358.6782,356.5849,91.93782,359.23,356.8246
82.7236,358.6647,356.5452,92.11774,359.2149,356.7824
82.7236,358.6647,356.5452,92.11774,359.2149,356.7824
82.71934,358.7018,356.5393,92.11331,359.2524,356.7827
82.70612,359.1023,356.5041,92.09493,359.6537,356.8059
82.70612,359.1023,356.5041,92.09493,359.6537,356.8059
82.62833,359.0487,356.5084,91.94956,359.5944,356.8019
82.62833,359.0487,356.5084,91.94956,359.5944,356.8019
82.38754,359.0136,356.5046,91.84106,359.5663,356.7932
82.55312,358.6465,356.5825,91.90394,359.1857,356.8167
82.55312,358.6465,356.5825,91.90394,359.1857,356.8167
82.53867,358.6719,356.5718,91.88935,359.2125,356.8104
82.53867,358.6719,356.5718,91.88935,359.2125,356.8104
82.53633,358.6006,356.5645,91.881,359.1427,356.7933
82.53633,358.6006,356.5645,91.881,359.1427,356.7933
82.67176,358.5792,356.5606,91.89843,359.1159,356.7852
82.67176,358.5792,356.5606,91.89843,359.1159,356.7852
82.68653,358.5862,356.5366,91.91286,359.1268,356.7625
82.87878,358.6173,356.5537,92.15783,359.1604,356.7849
82.81226,358.6037,356.5512,92.17888,359.1523,356.7805
82.87369,358.5797,356.5298,92.19125,359.1293,356.7552
82.87369,358.5797,356.5298,92.19125,359.1293,356.7552
82.8221,358.5854,356.5102,92.21314,359.1427,356.7367
82.8221,358.5854,356.5102,92.21314,359.1427,356.7367
82.8123,358.4344,356.5282,92.18297,358.9888,356.7327
82.82195,358.4031,356.5147,92.19257,358.9601,356.7143
82.56709,358.2676,356.5327,91.94595,358.8206,356.7122
82.55978,358.2806,356.5395,91.93862,358.8323,356.7211
82.55978,358.2806,356.5395,91.93862,358.8323,356.7211
82.53121,358.437,356.5328,91.918,358.9885,356.7366
82.53121,358.437,356.5328,91.918,358.9885,356.7366
82.72036,358.6798,356.5183,91.9212,359.2212,356.7563
82.7065,358.4881,356.5445,91.91027,359.0275,356.7555
