L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
81.75082,357.9946,0.1508208,92.49921,357.9301,0.2189746
81.75082,357.9946,0.1508208,92.49921,357.9301,0.2189746
81.75012,357.994,0.1508839,92.4985,357.9297,0.2189615
81.75012,357.994,0.1508839,92.4985,357.9297,0.2189615
81.97292,358.6746,0.07713579,92.71442,358.616,0.2432887
82.19019,358.6735,0.07509759,92.93098,358.6179,0.2414165
82.18137,358.222,0.1210981,92.9262,358.1646,0.222673
82.18509,358.224,0.121298,92.92996,358.1666,0.2232768
82.18509,358.224,0.121298,92.92996,358.1666,0.2232768
82.18932,358.2495,0.1514603,92.93377,358.1861,0.2574658
81.53468,358.234,0.1657399,92.46454,358.1623,0.2663016
81.94556,358.6651,0.08075676,92.68691,358.6059,0.2450641
81.94556,358.6651,0.08075676,92.68691,358.6059,0.2450641
81.95225,358.4559,0.06838452,92.69578,358.4023,0.2039661
81.98273,358.4676,0.06896839,92.90807,358.4156,0.2053503
81.98273,358.4676,0.06896839,92.90807,358.4156,0.2053503
81.98273,358.4676,0.06896862,92.90805,358.4156,0.2053505
82.18197,358.2395,0.09105171,92.92745,358.1875,0.1964493
82.18197,358.2395,0.09105171,92.92745,358.1875,0.1964493
81.79285,358.0143,0.1184264,92.88183,357.9594,0.1880949
81.79285,358.0143,0.1184264,92.88183,357.9594,0.1880949
81.79285,358.0143,0.1184258,92.88182,357.9594,0.1880941
81.76472,358.2412,0.09483904,92.69415,358.1853,0.1983614
81.76537,358.2412,0.09483584,92.69222,358.1853,0.1983767
81.76537,358.2412,0.09483584,92.69222,358.1853,0.1983767
81.84301,358.1527,0.1343917,92.77039,358.091,0.2204495
81.84301,358.1527,0.1343917,92.77039,358.091,0.2204495
82.04945,358.8292,0.06350991,92.78911,358.7709,0.2485557
82.46125,358.4,0.1090724,93.0086,358.343,0.2360793
82.46125,358.4,0.1090724,93.0086,358.343,0.2360793
82.4548,358.4146,0.08377609,93.00211,358.3619,0.2138869
82.25172,358.6246,0.06302047,92.99244,358.5722,0.2204365
82.67495,358.3911,0.08333264,93.22204,358.3415,0.2094967
82.67495,358.3911,0.08333264,93.22204,358.3415,0.2094967
84.00832,358.1509,0.09870164,94.55258,358.1176,0.1922133
90.5848,355.3879,0.3186793,101.3488,355.4254,0.02675585
98.02818,352.7745,0.51905,108.2497,352.8583,359.8784
98.02818,352.7745,0.51905,108.2497,352.8583,359.8784
98.02815,352.7745,0.5190493,108.2497,352.8583,359.8784
104.6491,351.6477,0.5597706,115.9366,351.8228,359.781
104.6491,351.6477,0.5597706,115.9366,351.8228,359.781
109.749,350.9079,0.577853,121.2265,351.137,359.7214
