L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
81.86858,359.5396,356.4746,92.3041,0.1927313,356.5629
81.86858,359.5396,356.4746,92.3041,0.1927313,356.5629
81.86934,359.5307,356.4755,92.30514,0.1837421,356.5625
81.86934,359.5307,356.4755,92.30514,0.1837421,356.5625
81.77607,359.983,356.5097,92.21076,0.6237673,356.6594
81.94657,359.963,356.4931,92.174,0.5956702,356.6637
81.69138,0.3967367,356.4627,92.12068,1.040231,356.6698
81.69138,0.3967367,356.4627,92.12068,1.040231,356.6698
81.71298,359.9499,356.5102,92.15559,0.5915672,356.6528
81.71298,359.9499,356.5102,92.15559,0.5915672,356.6528
81.71297,359.949,356.5103,92.15508,0.5905917,356.6528
82.1239,359.9626,356.4589,92.1673,0.5914519,356.6514
82.1239,359.9626,356.4589,92.1673,0.5914519,356.6514
82.1688,359.7422,356.4781,92.40331,0.3842932,356.6179
82.1688,359.7422,356.4781,92.40331,0.3842932,356.6179
82.09883,0.6367736,356.3861,92.33186,1.283757,356.652
82.09941,0.6380442,356.3859,92.33164,1.284979,356.6521
82.09941,0.6380442,356.3859,92.33164,1.284979,356.6521
81.89838,0.6286479,356.4114,92.31987,1.281289,356.6534
81.89838,0.6286479,356.4114,92.31987,1.281289,356.6534
82.12011,0.1869678,356.4342,92.35769,0.8312907,356.6361
82.12759,0.1857286,356.4334,92.35729,0.8297758,356.6361
82.12759,0.1857286,356.4334,92.35729,0.8297758,356.6361
82.12772,0.1867646,356.4333,92.35775,0.8308559,356.6361
82.12772,0.1867646,356.4333,92.35773,0.8308379,356.6361
81.70605,0.1759017,356.4857,92.13856,0.8183998,356.6613
81.70605,0.1759017,356.4857,92.13856,0.8183998,356.6613
81.7064,0.1770812,356.4856,92.13857,0.8195813,356.6614
82.3414,0.1902992,356.407,92.5701,0.8423626,356.6117
82.3414,0.1902992,356.407,92.5701,0.8423626,356.6117
82.34169,0.1909556,356.4069,92.57,0.8429773,356.6117
82.1201,0.1869634,356.4342,92.3577,0.8312913,356.6361
82.1201,0.1869634,356.4342,92.3577,0.8312944,356.6361
82.1201,0.1869634,356.4342,92.3577,0.8312944,356.6361
81.9203,0.1803835,356.4592,92.34698,0.8305221,356.6374
80.58575,357.4115,356.9279,91.26206,358.009,356.6783
80.00395,355.5716,357.1978,90.52808,356.1237,356.7019
80.00395,355.5716,357.1978,90.52808,356.1237,356.7019
79.56936,355.5558,357.2529,90.09538,356.0923,356.7522
79.56899,355.5546,357.253,90.09573,356.0912,356.7521
79.56901,355.5546,357.253,90.09576,356.0912,356.7521
79.56901,355.5546,357.253,90.09576,356.0912,356.7521
79.57806,355.3275,357.2762,90.11182,355.8634,356.7423
79.36148,355.3197,357.3037,89.89544,355.8477,356.7675
79.36113,355.3238,357.3033,89.89346,355.8518,356.7679
79.36113,355.3238,357.3033,89.89346,355.8518,356.7679
70.69453,351.1996,358.8348,81.38751,351.4085,357.6545
63.55856,347.8113,0.126092,74.1935,347.7693,358.4472
63.55856,347.8113,0.126092,74.1935,347.7693,358.4472
63.55857,347.8113,0.126095,74.1935,347.7693,358.4472
63.34268,347.8116,0.1547123,73.97784,347.7621,358.4757
63.5596,348.683,0.03403665,74.16286,348.6375,358.4869
63.55959,348.683,0.03404058,74.16286,348.6375,358.4869
63.55959,348.683,0.03404058,74.16286,348.6375,358.4869
63.58213,348.9012,0.008074468,74.1757,348.8555,358.4941
63.58156,348.6837,0.0310505,74.18379,348.639,358.4842
63.58156,348.6837,0.0310505,74.18379,348.639,358.4842
63.5636,348.0283,0.1025292,73.98004,347.9798,358.4843
63.34365,348.0286,0.1316709,73.9698,347.9783,358.4857
63.56137,348.2433,0.08014919,73.97044,348.1938,358.4944
63.56137,348.2433,0.08014919,73.97044,348.1938,358.4944
63.34468,348.2479,0.1083981,73.75359,348.1909,358.5232
63.34468,348.2479,0.1083963,73.7536,348.1909,358.5232
63.34468,348.2479,0.1083963,73.7536,348.1909,358.5232
63.34311,347.813,0.1544992,73.76918,347.7583,358.5034
63.34311,347.813,0.1544992,73.76918,347.7583,358.5034
63.10368,347.3993,0.4820505,73.57239,347.2982,358.7447
63.10368,347.3993,0.4820505,73.57239,347.2982,358.7447
63.10438,347.4128,0.4847963,73.57217,347.3109,358.7501
63.10438,347.4128,0.4847963,73.57217,347.3109,358.7501
62.91575,347.852,0.4646624,73.55025,347.7457,358.7709
62.91177,347.4154,0.5115128,73.55667,347.3106,358.7523
62.91177,347.4154,0.5115128,73.55667,347.3106,358.7523
62.9225,347.852,0.4637165,73.54392,347.7456,358.7718
62.92249,347.852,0.4637236,73.54392,347.7456,358.7718
62.92249,347.852,0.4637236,73.54392,347.7456,358.7718
63.08237,347.8856,0.4191802,73.4986,347.784,358.7625
63.0759,347.8943,0.3921742,73.7079,347.8026,358.7075
63.08161,347.8991,0.3306157,73.7131,347.8185,358.6479
63.05404,347.9715,0.3363814,73.68158,347.8886,358.6674
63.05404,347.9715,0.3363814,73.68158,347.8886,358.6674
62.3645,348.1937,0.4078893,72.77707,348.0807,358.8005
59.78844,350.8104,0.4867271,70.33002,350.5981,359.2404
59.78844,350.8104,0.4867271,70.33002,350.5981,359.2404
59.78844,350.8104,0.4867271,70.33002,350.5981,359.2404
52.05211,357.0739,0.8373011,63.29224,356.6026,0.3987201
52.05211,357.0739,0.8373011,63.29224,356.6026,0.3987201
51.35457,2.52262,0.347719,62.48487,2.021351,0.6919428
51.06882,8.846871,359.7156,62.15283,8.330609,0.9652022
51.09783,9.619832,359.6406,62.18021,9.101976,0.9984986
51.09783,9.619832,359.6406,62.18021,9.101976,0.9984986
51.09784,9.619809,359.6406,62.18019,9.101988,0.9984944
51.10221,9.724113,359.629,62.18468,9.206396,1.001952
51.18804,10.06088,359.5564,62.27237,9.550092,0.9800789
51.18804,10.06088,359.5564,62.27237,9.550092,0.9800789
51.26106,10.30566,359.5238,62.34724,9.796134,0.9848752
51.29383,11.18131,359.3826,62.38522,10.68073,0.9738446
51.29383,11.18131,359.3826,62.38522,10.68073,0.9738446
51.26485,11.20167,359.3201,62.35783,10.71243,0.9167346
51.21772,9.727203,359.4801,62.30531,9.2378,0.8621382
51.19666,9.716082,359.5039,62.28364,9.222372,0.883274
51.19666,9.716082,359.5039,62.28364,9.222372,0.883274
51.15424,9.309418,359.5253,62.24124,8.820001,0.8466853
51.14964,9.340055,359.5207,62.23768,8.85089,0.8483124
51.14964,9.340055,359.5207,62.23768,8.85089,0.8483124
51.16133,9.587008,359.4967,62.25082,9.097428,0.8619728
51.16054,10.24493,359.3954,62.2528,9.761163,0.858246
51.16886,10.25077,359.3666,62.2617,9.772363,0.8311315
51.16886,10.25077,359.3666,62.2617,9.772363,0.8311315
51.22899,11.09251,359.2961,62.32505,10.61029,0.8827009
51.2458,11.10011,359.3009,62.34205,10.61683,0.8888783
51.2458,11.10011,359.3009,62.34205,10.61683,0.8888783
51.25673,11.52311,359.2079,62.35601,11.04877,0.8586456
51.2715,12.15306,359.1375,62.37509,11.67914,0.8803752
51.2715,12.15306,359.1375,62.37506,11.67914,0.8803778
51.2715,12.15306,359.1375,62.37506,11.67914,0.8803778
51.2715,12.15306,359.1375,62.37509,11.67914,0.8803752
51.26665,11.94294,359.161,62.36869,11.46887,0.8731202
51.26665,11.94294,359.161,62.36869,11.46887,0.8731202
51.26665,11.94293,359.161,62.36869,11.46886,0.8731204
51.26172,11.73295,359.1844,62.36235,11.25873,0.8658817
51.25164,11.31345,359.2312,62.34974,10.839,0.8514179
51.25164,11.31345,359.2312,62.34974,10.839,0.8514179
51.25164,11.31345,359.2312,62.34974,10.83899,0.8514193
51.25165,11.31346,359.2312,62.34974,10.839,0.8514174
51.25165,11.31346,359.2312,62.34974,10.839,0.8514174
51.25165,11.31346,359.2312,62.34974,10.83899,0.8514193
51.14237,11.96083,359.2379,62.23729,11.47173,0.9411622
51.14493,11.93205,359.2459,62.23847,11.44186,0.9431011
51.14493,11.93205,359.2459,62.23847,11.44186,0.9431011
51.11482,11.91495,359.2137,62.20807,11.43114,0.9082258
51.28287,11.57591,359.2,62.37283,11.10468,0.8450546
55.77613,10.68456,358.6647,66.83445,10.40222,0.1785658
55.77613,10.68456,358.6647,66.83445,10.40222,0.1785658
72.9147,6.214779,356.7794,82.96337,6.553127,357.813
72.97024,6.210209,356.7692,83.01881,6.550438,357.8022
72.97024,6.210209,356.7692,83.01881,6.550438,357.8022
89.01164,0.7581794,355.379,99.17068,1.705311,355.7151
101.0209,354.9824,354.7296,111.7871,356.2819,354.3038
106.5779,352.5029,354.4674,117.8827,353.9708,353.7142
106.5779,352.5029,354.4674,117.8827,353.9708,353.7142
108.4892,350.4641,354.9517,119.8734,351.8604,353.8909
109.1116,348.8599,355.1001,120.5594,350.2448,353.8007
109.1116,348.8599,355.1001,120.5594,350.2448,353.8007
109.5215,347.482,355.1773,121.028,348.8668,353.6732
109.9709,347.4192,355.1654,121.4796,348.8076,353.6489
109.9709,347.4192,355.1654,121.4796,348.8076,353.6489
109.9709,347.4192,355.1654,121.4796,348.8076,353.6489
110.5556,347.907,355.0964,122.0416,349.3035,353.6534
110.5556,347.907,355.0964,122.0416,349.3035,353.6534
110.6048,348.1709,355.1316,122.0807,349.5581,353.7249
110.5009,348.0174,355.2132,121.9849,349.3917,353.7734
110.4359,347.8572,354.8803,121.9163,349.2995,353.4164
110.4359,347.8572,354.8803,121.9163,349.2995,353.4164
110.4334,347.7713,354.8493,121.9161,349.2214,353.3688
110.4159,347.7025,354.7356,121.8978,349.1764,353.2432
110.4159,347.7025,354.7356,121.8978,349.1764,353.2432
110.5065,347.634,354.7844,121.9926,349.0995,353.2776
110.4568,347.7036,354.8841,121.9422,349.1501,353.3781
110.389,347.6887,354.8907,121.8752,349.1342,353.3816
110.389,347.6887,354.8907,121.8752,349.1342,353.3816
110.3795,347.7212,354.8119,121.8622,349.1813,353.3113
110.3865,347.6931,354.8221,121.8705,349.1519,353.3155
110.3104,347.4173,354.8762,121.8076,348.8692,353.3231
110.3104,347.4173,354.8762,121.8076,348.8692,353.3231
110.3295,347.4085,354.875,121.827,348.8611,353.3209
110.3297,347.2285,354.8506,121.8336,348.6892,353.2597
110.3256,347.2019,354.8792,121.8313,348.6576,353.2823
110.3027,347.3994,354.8628,121.7992,348.8561,353.2956
110.3027,347.3994,354.8628,121.7992,348.8561,353.2956
110.3026,347.3994,354.8628,121.7992,348.8561,353.2956
110.3484,347.0044,354.8956,121.8635,348.4591,353.2688
110.3484,347.0044,354.8956,121.8635,348.4591,353.2688
110.3712,346.8069,354.9119,121.8958,348.2606,353.2553
110.3712,346.8069,354.9119,121.8958,348.2606,353.2553
110.3712,346.8069,354.9119,121.8957,348.2606,353.2553
110.3712,346.8069,354.9119,121.8957,348.2606,353.2553
110.3712,346.8069,354.9119,121.8957,348.2606,353.2553
110.3484,347.0044,354.8956,121.8635,348.4591,353.2688
110.3484,347.0044,354.8956,121.8635,348.4591,353.2688
110.3372,347.1025,354.8874,121.8477,348.5577,353.2755
110.3026,347.3994,354.8628,121.7992,348.8561,353.2956
110.2914,347.4975,354.8546,121.7834,348.9547,353.3022
110.2914,347.4975,354.8546,121.7834,348.9547,353.3022
110.3026,347.3994,354.8628,121.7991,348.8561,353.2956
110.3255,347.2019,354.8792,121.8313,348.6576,353.2823
110.3255,347.2019,354.8792,121.8313,348.6576,353.2823
110.3255,347.2019,354.8792,121.8313,348.6576,353.2823
110.3484,347.0044,354.8956,121.8635,348.4591,353.2688
110.3484,347.0044,354.8956,121.8635,348.4591,353.2688
110.394,346.6094,354.9281,121.9281,348.0621,353.2416
110.4256,346.4204,354.9426,121.9689,347.8723,353.2275
110.4167,346.4119,354.9444,121.9605,347.8636,353.2279
110.4167,346.4119,354.9444,121.9605,347.8636,353.2279
110.4621,346.0168,354.9767,122.0254,347.4666,353.2
110.4621,346.0168,354.9767,122.0254,347.4666,353.2
