L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
80.34188,341.3893,3.18744,91.28124,341.0646,0.3402
80.34188,341.3893,3.18744,91.28124,341.0646,0.3402
80.22142,341.2008,3.278702,91.17289,340.8626,0.4006557
79.91817,340.029,3.488053,91.15508,339.6703,0.3717371
79.91821,340.029,3.488046,91.15504,339.6703,0.3717426
79.91821,340.029,3.488046,91.15504,339.6703,0.3717426
79.90691,340.0299,3.490132,90.93635,339.6712,0.4140742
80.41344,339.8933,3.407267,90.88326,339.5565,0.4198676
80.41344,339.8933,3.407267,90.88326,339.5566,0.4198757
80.41344,339.8933,3.407267,90.88326,339.5566,0.4198757
80.5678,339.5475,3.417145,91.63367,339.215,0.2611751
81.24567,339.5204,3.287901,91.88075,339.2153,0.2133187
81.26006,339.7457,3.25911,91.87836,339.4421,0.2227789
81.30376,339.773,3.269524,91.9202,339.4673,0.2384181
81.30376,339.773,3.269524,91.9202,339.4673,0.2384181
80.88645,340.204,3.295005,91.90273,339.8846,0.2506405
80.88556,340.2041,3.295168,91.9027,339.8846,0.2506532
80.88556,340.2041,3.295168,91.9027,339.8846,0.2506532
80.20891,340.2699,3.465827,91.22197,339.9132,0.4307764
80.41502,340.0332,3.453043,91.23237,339.6849,0.4198652
80.41502,340.0332,3.453043,91.23237,339.6849,0.4198652
80.40041,339.8075,3.481974,91.23244,339.4577,0.410977
80.42014,339.8049,3.47844,91.67501,339.4553,0.3253343
80.63958,339.7961,3.436736,91.68663,339.456,0.3231062
80.63958,339.7961,3.436736,91.68663,339.456,0.3231062
80.40527,339.579,3.507526,91.67543,339.2278,0.316292
80.40825,339.5777,3.507096,91.67855,339.2266,0.3156535
80.60933,339.3431,3.495177,91.6881,338.9998,0.3048555
80.60933,339.3431,3.495177,91.6881,338.9998,0.3048555
80.39397,339.3043,3.492445,91.4755,338.9606,0.2938696
80.39396,339.3043,3.49244,91.47555,338.9607,0.293855
80.63917,339.5211,3.419306,91.70602,339.1887,0.2581161
80.65425,339.7478,3.39013,91.70465,339.4169,0.2673925
80.64864,339.7401,3.392109,91.69954,339.4088,0.2680725
80.69312,339.7856,3.353259,91.74076,339.4606,0.2389253
80.27013,339.9857,3.407222,91.70766,339.6447,0.2453262
80.27013,339.9857,3.407222,91.70766,339.6447,0.2453262
79.34912,340.4803,3.529757,90.35201,340.1016,0.52585
79.29529,340.0349,3.643929,90.32558,339.6432,0.5652042
79.29529,340.0349,3.643929,90.32558,339.6432,0.5652042
79.98091,339.5287,3.54587,90.83295,339.1689,0.4248202
79.98091,339.5287,3.54587,90.83295,339.1689,0.4248202
80.21194,339.5178,3.501912,91.06464,339.1676,0.3797054
80.19576,339.5056,3.527732,91.26485,339.1506,0.3607415
80.19576,339.5056,3.527732,91.26485,339.1506,0.3607415
80.21445,339.5392,3.533313,91.4879,339.1823,0.3329195
80.24109,339.5184,3.4723,91.51609,339.1732,0.2686139
80.22108,339.2988,3.489492,91.30328,338.9541,0.2894274
80.22523,339.3034,3.482911,91.3071,338.9597,0.2838848
80.22706,339.2812,3.490413,91.51883,338.9366,0.2461018
80.6372,339.2009,3.412833,91.51522,338.8749,0.2359849
80.5786,339.1609,3.492961,91.45956,338.8215,0.3067554
80.81999,337.9172,3.566876,91.42981,337.5867,0.2403013
80.84635,337.9457,3.541357,91.45402,337.6191,0.2208369
80.86275,337.9448,3.538221,91.67027,337.6187,0.1783022
80.86275,337.9448,3.538221,91.67027,337.6187,0.1783022
80.87801,338.2289,3.468421,91.66447,337.9102,0.159907
80.87801,338.2289,3.468421,91.66447,337.9102,0.159907
80.79831,337.9441,3.500662,91.76767,337.6241,0.1131116
80.80589,337.9616,3.490583,91.77377,337.6431,0.1068177
80.80589,337.9616,3.490583,91.77377,337.6431,0.1068177
80.78413,337.5079,3.54856,92.00249,337.187,0.04386797
81.05354,337.2901,3.50672,92.29041,336.9818,359.9654
80.80597,337.0721,3.581257,92.05836,336.7526,0.00117639
80.80597,337.0721,3.581257,92.05836,336.7526,0.00117639
80.54456,337.0183,3.648754,91.80192,336.6864,0.05571292
80.58236,337.4422,3.572747,91.80424,337.1168,0.05385366
80.59724,337.4547,3.564544,91.81808,337.1306,0.048434
80.59724,337.4547,3.564544,91.81808,337.1306,0.048434
81.2948,337.4524,3.422884,92.30177,337.1568,359.9513
81.2947,337.451,3.423069,92.30201,337.1554,359.9512
81.03856,337.0066,3.526332,92.29825,336.6996,359.9332
81.03856,337.0066,3.526332,92.29825,336.6996,359.9332
81.05035,337.1403,3.520055,92.29882,336.832,359.9554
80.88407,336.9791,3.533187,91.95634,336.6696,359.975
80.53253,336.6521,3.641209,91.8198,336.3276,359.9875
80.53253,336.6521,3.641209,91.8198,336.3276,359.9875
75.64694,333.4748,5.089288,87.20203,332.9274,0.8438041
71.87477,331.7419,6.068794,83.77942,331.0333,1.452246
61.50281,329.1065,8.482118,72.93813,328.1039,3.50101
61.50281,329.1065,8.482118,72.93813,328.1039,3.50101
61.50282,329.1065,8.482111,72.93813,328.1039,3.501017
54.3182,329.725,9.710251,67.3303,328.1913,4.572317
51.20375,329.4681,10.38856,64.23994,327.7907,5.219534
51.20375,329.4681,10.38856,64.23994,327.7907,5.219534
50.39394,329.3763,10.56359,63.43832,327.6629,5.38543
50.39394,329.3763,10.56359,63.43832,327.6629,5.38543
49.42059,327.6069,11.06474,62.68468,325.8452,5.519915
