L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
85.15167,0.6712656,0.5932795,94.9352,0.5244544,1.34786
85.0513,2.988294,0.6209344,94.84227,2.80496,1.803596
85.05309,2.981121,0.6216819,94.84401,2.797843,1.802842
85.2934,3.848734,0.1067784,95.33944,3.735049,1.48748
85.39336,3.448104,359.743,95.43588,3.403868,1.059336
85.41093,3.356819,359.6025,95.45273,3.338465,0.9049925
85.45008,2.413043,359.6111,95.47747,2.407004,0.719111
86.51581,1.304784,359.3818,96.31527,1.358676,0.2968959
86.3466,1.642181,359.6285,96.14764,1.64916,0.5974974
86.17035,2.537134,359.734,95.96935,2.513686,0.8654822
86.12834,2.578645,359.8518,95.92753,2.534562,0.988632
85.80564,3.299212,359.9927,95.65102,3.219838,1.287591
81.94317,2.279029,359.9727,90.93858,2.210354,1.117492
82.04402,2.078786,359.9152,91.03838,2.020513,1.028839
82.06774,2.033328,359.9131,91.06181,1.975936,1.019747
81.50092,1.96125,359.9632,90.33944,1.894569,1.063369
81.99419,1.215618,0.07776695,90.97243,1.143848,1.022215
81.96946,0.9979354,359.9773,90.94722,0.9445068,0.8889873
82.49218,2.936146,359.6678,91.56695,2.907863,0.9666658
82.47482,3.62181,359.607,91.55581,3.594539,1.014932
83.18365,6.299998,359.2848,93.26423,6.282087,1.236274
85.28099,6.323915,359.1634,95.18414,6.343253,1.130619
85.24722,6.402054,359.165,95.15189,6.419972,1.145725
85.2377,6.534647,359.1544,95.22334,6.550988,1.156263
85.41486,4.599531,359.3657,95.16782,4.610848,0.9572715
85.41852,4.705538,359.3647,95.17292,4.715509,0.9742162
85.14029,4.071432,359.4465,95.20199,4.069658,0.9074847
85.24984,3.442257,359.7139,95.304,3.403531,1.060704
85.48351,2.73368,359.6935,95.31113,2.713731,0.9247965
85.50458,2.26477,359.7209,95.32549,2.246812,0.8611932
85.52251,2.102246,359.7708,95.34231,2.078176,0.8827166
85.52204,2.09927,359.8038,95.34179,2.069597,0.9146853
85.51628,2.116766,359.8259,95.33612,2.083062,0.9394447
85.54443,0.3306261,0.1025116,95.11488,0.2776386,0.8508369
85.54446,0.3306259,0.1025088,95.11488,0.2776594,0.8508363
85.53248,0.3170151,0.1837251,95.10287,0.2507131,0.9286566
85.53799,0.914912,0.1235627,95.10789,0.8510671,0.9940333
85.5521,0.9587805,0.112216,95.12209,0.8962228,0.9901414
85.744,1.578444,0.05123006,95.55953,1.514698,1.047078
85.75351,1.642636,0.05911429,95.56932,1.57659,1.065796
85.74268,1.768432,0.1174484,95.35294,1.694579,1.153446
85.76414,1.229883,0.1845658,95.54939,1.148812,1.098144
85.75893,1.278252,0.1909835,95.54435,1.195003,1.112712
