L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
81.95831,344.9554,4.864785,92.87988,344.2791,2.976443
81.95831,344.9554,4.864785,92.87988,344.2791,2.976443
81.51861,344.7073,4.90032,92.18912,344.0326,2.974942
73.55703,345.0905,4.877817,84.01871,344.3881,3.015066
68.89458,342.7495,5.172576,79.47881,342.0216,2.94471
68.89458,342.7495,5.172576,79.47881,342.0216,2.94471
68.04881,342.8181,5.157972,79.0048,342.0579,2.943761
67.85331,342.8379,5.153949,78.98344,342.0625,2.943777
67.85331,342.8379,5.153949,78.98344,342.0625,2.943777
67.8533,342.838,5.15395,78.98344,342.0625,2.943779
67.88569,343.0584,5.12434,79.00319,342.2843,2.949543
67.88569,343.0584,5.12434,79.00319,342.2843,2.949543
68.07491,343.0488,5.126933,79.02049,342.2896,2.949747
68.2748,343.0317,5.130553,79.03807,342.2881,2.949782
68.08037,343.0421,5.127872,79.01265,342.284,2.94957
68.08037,343.0421,5.127872,79.01265,342.284,2.94957
68.11102,343.2665,5.097847,79.02102,342.5104,2.955432
68.11102,343.2665,5.097847,79.02102,342.5104,2.955432
68.09697,343.2684,5.097504,78.84542,342.5256,2.955065
68.55009,343.6825,5.044998,79.08422,342.9583,2.967304
75.77757,344.7661,4.919255,86.85776,344.0404,3.001685
75.77757,344.7661,4.919255,86.85776,344.0404,3.001685
75.77757,344.7661,4.919248,86.85777,344.0404,3.001686
80.68874,345.6767,4.781785,91.37056,345.0049,3.007362
80.73037,346.0966,4.728202,91.38419,345.4294,3.019142
80.73037,346.0966,4.728202,91.38419,345.4294,3.019142
80.28685,346.1392,4.725669,90.94238,345.4693,3.023045
80.28686,346.1392,4.725675,90.94234,345.4693,3.023056
80.28686,346.1392,4.725675,90.94234,345.4693,3.023056
79.86059,346.1568,4.725996,90.71069,345.4774,3.024667
80.28546,346.1461,4.724814,90.94466,345.4763,3.02323
80.06535,346.3742,4.697359,90.51786,345.7119,3.032392
80.06535,346.3742,4.697359,90.51786,345.7119,3.032392
80.07513,346.3799,4.696589,90.51981,345.718,3.032552
80.07513,346.3799,4.696589,90.51978,345.718,3.032547
66.75946,340.9006,5.413475,77.80378,340.1296,2.889971
66.75946,340.9006,5.413475,77.80378,340.1296,2.889971
66.72313,341.0072,5.369703,77.76043,340.2422,2.868505
65.01707,339.8166,5.520455,75.86797,339.0716,2.824669
65.01707,339.8166,5.520455,75.86797,339.0716,2.824669
56.4052,337.409,5.733208,68.53062,336.5037,2.673781
53.72935,336.5464,5.804083,65.9242,335.6303,2.609639
53.24689,336.6232,5.768331,65.43468,335.7123,2.592246
50.32216,336.8316,5.655684,62.50277,335.918,2.535383
49.54457,338.0285,5.451709,61.64272,337.1193,2.544498
49.54457,338.0285,5.451709,61.64272,337.1193,2.544498
49.54992,338.0373,5.450572,61.64736,337.1281,2.544822
49.56091,338.0393,5.450589,61.65823,337.1302,2.545122
50.93446,337.537,5.565924,63.06253,336.6273,2.564365
