L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
80.5829,3.186776,0.191627,91.13707,3.078801,1.276464
80.5829,3.186776,0.191627,91.13707,3.078801,1.276464
80.57597,3.185673,0.1707264,91.3239,3.079563,1.276082
80.53549,3.221835,0.1466321,91.28378,3.119576,1.259163
80.53564,3.22206,0.1466291,91.28363,3.119803,1.259157
80.53564,3.22206,0.1466291,91.28363,3.119803,1.259157
80.53709,3.44848,0.1229316,91.28595,3.347585,1.267974
80.51935,3.424701,0.1223615,91.26843,3.324309,1.263008
80.51935,3.424701,0.1223615,91.26843,3.324309,1.263008
80.72664,3.434438,0.156807,91.28069,3.331966,1.278628
80.7266,2.994239,0.218699,91.28032,2.886075,1.277688
80.7266,2.994239,0.218699,91.28032,2.886075,1.277688
80.74519,3.022756,0.2143905,91.2992,2.914891,1.278688
80.76759,3.047859,0.2017124,91.32092,2.941913,1.270725
80.76759,3.047859,0.2017124,91.32092,2.941913,1.270725
80.78009,3.030615,0.1720491,91.33384,2.930397,1.238468
81.18833,3.210231,0.1990585,91.33865,3.111936,1.246969
81.18833,3.210231,0.1990585,91.33865,3.111936,1.246969
81.16302,3.205493,0.1894129,91.31332,3.108987,1.23664
80.95976,3.486293,0.1040913,91.3167,3.396924,1.215759
80.95976,3.486293,0.1040913,91.3167,3.396924,1.215759
81.18355,3.269201,0.1461852,91.33382,3.179313,1.205252
80.99383,3.496011,0.1021483,91.743,3.402983,1.257475
80.99277,3.269633,0.1258821,91.74046,3.175202,1.248634
80.99277,3.269633,0.1258821,91.74046,3.175202,1.248634
80.98975,2.816449,0.1733176,91.7362,2.719233,1.231022
80.98973,2.816441,0.17332,91.73618,2.719226,1.231017
80.76019,2.590775,0.1727281,91.3129,2.49604,1.177284
80.76019,2.590775,0.1727281,91.3129,2.49604,1.177284
77.6816,2.121462,359.969,88.60526,2.036027,0.9435382
69.91248,356.4097,359.7342,80.09523,356.3918,359.8077
69.78624,356.3567,359.7749,79.96959,356.3324,359.8384
59.44127,349.4283,359.6183,70.25996,349.5,358.6854
59.44127,349.4283,359.6183,70.25996,349.5,358.6854
49.05089,346.3197,359.2288,60.68551,346.4301,357.8622
44.84383,345.2997,359.476,56.54461,345.3633,357.9019
44.84383,345.2997,359.476,56.54461,345.3633,357.9019
42.88,344.2178,0.01583909,54.64357,344.1983,358.2041
40.80513,343.1432,0.6598062,52.63691,343.0196,358.6027
39.21995,343.4598,1.419659,51.04486,343.1808,359.3294
39.21995,343.4598,1.419659,51.04486,343.1808,359.3294
38.44901,343.2563,2.506672,50.28849,342.7755,0.2798719
38.06034,344.0489,3.314309,49.85127,343.4005,1.117573
38.23053,345.0095,3.791726,49.9581,344.2604,1.665167
37.34501,344.5036,4.197919,49.09871,343.6854,1.957276
37.34501,344.5036,4.197919,49.09871,343.6854,1.957276
39.64593,345.8609,4.039384,51.04698,345.0886,2.001932
40.9228,347.5758,3.863157,51.76028,346.8382,2.117589
39.26237,346.8832,4.371972,50.12631,346.0645,2.484781
39.50354,348.9465,4.166699,50.28785,348.1357,2.548367
40.55049,348.8316,4.120831,51.12428,348.0569,2.503002
41.13678,349.171,4.118475,51.90062,348.3965,2.504541
41.13678,349.171,4.118475,51.90062,348.3965,2.504541
39.07285,348.6199,4.711866,49.85186,347.7463,2.983928
40.45173,348.1127,4.620403,50.61598,347.3151,2.910237
41.42688,348.1376,4.483546,51.80159,347.371,2.733182
41.01432,348.1266,4.666196,51.38763,347.3276,2.91161
41.70124,348.7958,4.536199,52.46217,348.007,2.806177
42.48819,348.692,4.390218,52.84129,347.9539,2.71987
42.48819,348.692,4.390218,52.84129,347.9539,2.71987
42.91919,348.9258,4.137624,53.46698,348.2231,2.477367
42.91919,348.9258,4.137624,53.46698,348.2231,2.477367
43.07167,348.5977,4.135722,53.44454,347.9067,2.464782
43.30413,348.7166,4.061453,53.6731,348.0368,2.41342
43.90551,348.9619,3.753755,54.66615,348.3188,2.096271
44.35388,349.1695,3.620773,55.1076,348.5472,2.004892
