L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
97.81361,350.6242,354.8113,106.4308,351.7003,353.8769
97.81361,350.6242,354.8113,106.4308,351.7003,353.8769
98.03564,350.6231,354.7492,106.8857,351.7353,353.7705
98.03565,350.6232,354.7492,106.8857,351.7353,353.7705
98.0192,350.635,354.6373,106.8605,351.7677,353.6602
98.00759,350.5948,354.6301,106.8497,351.7288,353.6468
99.33714,349.8156,354.4031,107.5178,350.9283,353.4515
99.33196,349.822,354.3908,107.5122,350.9364,353.4403
98.14884,349.4542,354.6775,106.5683,350.5309,353.6191
98.15014,349.4542,354.6772,106.5697,350.5304,353.6189
98.14884,349.4542,354.6775,106.5683,350.5309,353.6191
98.79446,349.5066,354.5367,106.774,350.5672,353.5783
98.20821,349.4577,354.6646,106.6168,350.536,353.6094
98.20821,349.4577,354.6646,106.6168,350.536,353.6094
98.74328,350.0646,354.487,106.7013,351.1364,353.6118
98.19904,349.3137,354.6821,106.6375,350.3911,353.6003
98.19904,349.3137,354.6821,106.6375,350.3911,353.6003
97.87354,349.9852,354.6778,106.5104,351.0851,353.6491
97.87356,349.9852,354.6778,106.5104,351.0851,353.6491
95.6394,349.1279,355.2446,104.0477,350.0813,354.1259
87.91738,342.2485,357.66,96.16348,342.7302,355.5397
87.93484,342.2505,357.6559,96.18068,342.7339,355.5361
78.6413,341.538,359.869,87.21644,341.662,357.5355
78.6413,341.538,359.869,87.21644,341.662,357.5355
75.95391,339.9947,0.6627769,85.98719,340.0606,357.7523
74.48154,338.4677,1.17468,84.88261,338.4771,357.9408
74.51933,339.8712,1.014034,84.80177,339.8782,358.022
74.51933,339.8712,1.014034,84.80176,339.8782,358.022
74.51933,339.8712,1.014034,84.80177,339.8782,358.022
75.16823,338.4402,1.015232,84.82009,338.4602,357.9548
75.16823,338.4402,1.015232,84.82009,338.4602,357.9548
68.13016,338.331,0.7854019,77.77459,338.3838,357.7026
68.11881,338.3255,0.7888154,77.73342,338.3769,357.7125
66.94677,338.1618,0.8867958,76.57285,338.2003,357.7796
66.77404,338.3033,0.7416487,75.95941,338.3522,357.7671
65.75458,339.3636,0.8154849,74.8512,339.3759,358.0207
65.19359,339.2872,0.9091924,74.29518,339.2866,358.1003
64.10175,339.0831,1.122465,73.21666,339.0535,358.2763
63.57633,338.951,1.232674,72.69971,338.9068,358.3627
62.49763,338.5889,1.51244,71.6442,338.5079,358.5774
61.94581,338.3813,1.649948,71.1057,338.2822,358.6776
61.75118,337.6978,1.735564,70.95618,337.6039,358.646
62.9171,337.5459,1.384867,71.96551,337.5132,358.3203
62.01061,337.2444,1.559482,71.06745,337.1914,358.4449
61.46381,337.1958,1.611786,70.52405,337.1358,358.4883
60.65771,338.0052,1.558894,69.66984,337.9407,358.5705
60.12564,337.9582,1.627773,69.14098,337.8843,358.6306
59.44291,336.1912,1.800959,68.5882,336.1252,358.4997
58.93057,336.1822,1.803194,68.07651,336.116,358.5003
59.71316,336.5169,1.25871,68.35368,336.5191,358.1593
59.23003,336.5731,1.282526,67.86703,336.5713,358.192
58.81084,336.6443,1.191796,67.4723,336.6581,358.106
61.03905,337.5216,0.4555635,69.20155,337.62,357.6529
60.29941,337.5475,0.4022985,68.46011,337.6526,357.6042
60.49144,337.5586,0.2334782,68.90255,337.702,357.3685
59.37065,335.6829,0.527774,67.90254,335.8062,357.3585
59.11994,335.2313,0.5238303,67.6822,335.3601,357.2809
58.75418,334.0664,0.5456876,66.89262,334.1803,357.2632
58.5605,334.0926,0.5075328,66.69689,334.2105,357.2296
58.36929,335.5856,0.2115921,66.39433,335.7258,357.196
59.047,335.343,359.916,67.12229,335.5297,356.851
59.024,335.3488,359.8274,67.09827,335.5468,356.7644
59.26072,335.3246,359.5569,67.58237,335.5756,356.4151
59.24834,335.2546,359.4932,67.57424,335.5139,356.3407
60.0123,335.2323,359.1171,68.11182,335.5298,356.0384
60.0434,335.2748,359.0627,68.13967,335.5789,355.9913
60.09457,334.1447,359.1393,68.27133,334.448,355.8707
59.95485,333.5235,359.1854,68.39246,333.8413,355.7388
60.17979,327.1446,359.7213,69.44756,327.4726,354.9828
60.22046,327.1437,359.7225,69.4883,327.4715,354.9839
60.57983,327.157,359.6324,70.40237,327.5409,354.718
60.84322,327.7294,359.252,70.59846,328.1595,354.4597
61.81701,331.5048,358.0806,71.1919,332.0567,354.0359
61.82531,332.2957,358.0403,71.13248,332.843,354.1411
61.08559,340.0549,357.5013,69.12319,340.5322,355.1255
60.66082,340.2999,357.7664,68.43867,340.7151,355.4909
61.35976,340.3138,357.5639,69.3852,340.7807,355.2288
61.45378,340.3247,357.5532,69.47852,340.7929,355.2198
61.52048,340.3422,357.561,69.5445,340.8092,355.23
61.31334,340.359,357.6331,69.10159,340.7939,355.3645
61.65349,340.3669,357.5313,69.67675,340.8377,355.2044
61.68549,340.341,357.5369,69.71011,340.8113,355.206
61.68808,340.308,357.5696,69.71469,340.7743,355.2335
61.90364,340.5614,357.4883,70.16616,341.0611,355.1297
61.92261,339.971,357.5295,70.22269,340.4705,355.0742
