L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
81.87729,4.950623,0.5853134,92.19015,4.791081,1.722727
81.87729,4.950623,0.5853134,92.19015,4.791081,1.722727
81.86732,4.948601,0.5731408,92.18563,4.79113,1.710545
81.86732,4.948601,0.5731408,92.18563,4.79113,1.710545
81.86307,4.962469,0.5572776,92.18172,4.807631,1.697382
82.2885,4.945227,0.5689389,92.40554,4.798987,1.702508
82.28973,4.946079,0.5688777,92.40598,4.799865,1.702553
82.28973,4.946077,0.5688786,92.406,4.799864,1.702554
82.28973,4.946077,0.5688786,92.406,4.799864,1.702554
82.07238,5.631213,0.4925818,91.98656,5.492031,1.719429
82.07238,5.631213,0.4925818,91.98656,5.492031,1.719429
82.07822,5.63747,0.4920666,91.98991,5.498457,1.719763
81.84875,5.638289,0.4866421,91.96995,5.492241,1.719031
80.44862,358.6549,1.185973,90.16774,358.4548,1.405152
80.44859,358.6549,1.185972,90.16774,358.4548,1.405152
80.44862,358.6549,1.185972,90.16777,358.4548,1.405153
80.44862,358.6549,1.185973,90.16777,358.4548,1.405153
81.83325,2.92441,0.7690666,91.93198,2.759471,1.611899
81.83325,2.92441,0.7690666,91.93198,2.759471,1.611899
81.84023,4.620864,0.5923034,92.00558,4.466634,1.679768
81.84529,4.959377,0.5571844,91.54732,4.816995,1.682196
81.84529,4.959377,0.5571844,91.54732,4.816995,1.682196
81.20898,5.204822,0.5167391,91.53557,5.04486,1.690817
80.98598,5.21259,0.510667,91.10873,5.054358,1.680669
80.98598,5.21259,0.510667,91.10873,5.054358,1.680669
80.56063,5.222608,0.4995292,90.88506,5.056259,1.675213
80.54881,4.998517,0.5225723,90.67339,4.834283,1.661296
80.54881,4.998517,0.5225723,90.67339,4.834284,1.661297
80.54881,4.998517,0.5225723,90.67339,4.834284,1.661297
80.12363,4.787776,0.5343513,90.65556,4.610826,1.652139
79.22732,4.782754,0.5132188,89.75655,4.597196,1.62924
79.25673,4.802672,0.5118578,89.78593,4.617767,1.630776
72.55741,358.1182,1.043218,82.31034,357.8633,1.181386
69.4091,354.3039,0.8165084,79.20789,354.1427,0.308792
60.85649,347.8535,1.6466,70.41414,347.6202,0.1896451
53.03171,345.8589,1.980224,63.90729,345.528,0.1328889
51.20894,344.9996,1.981347,62.12182,344.6828,359.9678
50.38696,344.6324,1.966604,61.31918,344.325,359.8811
50.38696,344.6324,1.966604,61.31918,344.325,359.8811
48.92131,344.4458,1.880826,59.87257,344.1557,359.7386
47.55641,346.1589,1.628216,58.64426,345.8676,359.7054
47.43161,346.7893,1.35356,58.30717,346.5472,359.5223
47.43161,346.7893,1.35356,58.30717,346.5472,359.5223
46.13535,346.9764,1.150754,57.20336,346.7749,359.2865
46.13535,346.9764,1.150754,57.20336,346.7749,359.2865
45.32703,347.1637,1.187668,56.3887,346.9503,359.3381
43.81822,346.6003,1.33574,54.90558,346.3697,359.3723
42.94043,347.1183,1.305962,53.80601,346.8765,359.4384
41.67853,346.6878,1.501199,52.56329,346.4178,359.5469
40.54331,346.2821,1.720971,51.45278,345.979,359.682
42.06074,346.7068,1.446028,52.73886,346.4618,359.5006
41.62284,346.5263,1.532566,52.30901,346.2688,359.5513
42.65334,346.6375,1.366563,52.90305,346.4173,359.4674
43.18436,347.8481,1.250255,53.43223,347.634,359.5187
42.93846,347.7552,1.337595,53.18993,347.5273,359.5878
44.68938,348.1732,1.009383,55.07579,348.0216,359.2939
