L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
83.18555,347.5808,4.793322,93.20549,346.9189,3.266988
83.18555,347.5808,4.793322,93.20549,346.9189,3.266988
83.1823,347.545,4.797797,93.52889,346.8702,3.253066
82.73647,347.2072,5.1085,92.98007,346.4879,3.50929
82.73647,347.2072,5.1085,92.98007,346.4879,3.50929
82.62573,347.1966,5.128009,92.83857,346.4753,3.527933
82.52716,347.654,5.099374,92.57501,346.9391,3.57462
82.52716,347.654,5.099374,92.57501,346.9391,3.57462
82.14245,347.8386,5.119098,92.36388,347.1084,3.613167
82.0925,347.8206,5.131144,92.31458,347.0887,3.621776
82.03119,347.6095,5.166626,92.25326,346.8741,3.624693
82.03119,347.6095,5.166626,92.25326,346.8741,3.624693
81.89845,347.8129,5.173326,91.76768,347.0905,3.675854
81.84055,347.1775,5.288906,91.91985,346.4348,3.68237
81.84055,347.1775,5.288906,91.91985,346.4348,3.68237
82.35826,347.0103,5.300339,92.54276,346.2669,3.662104
82.25437,346.8267,5.336877,92.44732,346.0788,3.668756
82.04978,346.7369,5.448565,92.24557,345.9714,3.762276
79.70831,346.5469,5.673882,88.90063,345.7887,4.004567
67.00121,343.8828,6.847252,76.52972,342.9365,4.745227
67.00121,343.8828,6.847252,76.52972,342.9365,4.745227
65.94685,343.5741,7.162065,75.48698,342.582,5.00374
54.38655,340.1563,8.284317,64.99579,338.9273,5.550078
50.13812,340.0267,8.565482,61.06799,338.6883,5.791641
50.13812,340.0267,8.565482,61.06799,338.6883,5.791641
48.31101,340.2893,8.722017,59.2205,338.9128,5.971971
47.10652,340.5737,8.84063,58.29063,339.1132,6.092692
47.10652,340.5737,8.84063,58.29063,339.1132,6.092692
45.21535,339.5162,9.209399,56.00919,338.0962,6.27498
45.21535,339.5162,9.209399,56.00919,338.0962,6.27498
44.89929,338.2536,9.404008,55.42002,336.8922,6.259099
45.38919,337.4153,9.378454,55.65543,336.1251,6.09861
45.49279,337.5256,9.104859,55.31631,336.336,5.884813
45.49279,337.5256,9.104859,55.31631,336.336,5.884813
43.81672,337.169,9.056698,53.66793,335.9923,5.770345
43.81672,337.169,9.056698,53.66793,335.9923,5.770345
43.76358,338.4473,8.587834,53.9853,337.2508,5.449032
43.69067,338.1821,8.38732,53.90065,337.0282,5.197367
43.69067,338.1821,8.38732,53.90065,337.0282,5.197367
44.97767,339.7839,7.693972,54.939,338.7288,4.782377
44.97767,339.7839,7.693972,54.939,338.7288,4.782377
43.89999,339.4583,7.777031,53.88228,338.3946,4.804197
42.5162,338.6501,7.457316,52.56465,337.6497,4.332674
42.5162,338.6501,7.457316,52.56465,337.6497,4.332674
44.44196,339.7028,6.915976,54.25658,338.7917,3.995124
44.44196,339.7028,6.915976,54.25658,338.7917,3.995124
43.56521,339.3631,7.141048,53.39983,338.4211,4.156026
44.44366,339.3958,7.115274,54.18525,338.4688,4.148981
44.48352,339.4272,7.237051,54.62368,338.4516,4.190516
44.48352,339.4272,7.237051,54.62368,338.4516,4.190516
45.16967,339.2911,7.21844,54.92789,338.3514,4.22762
45.32557,339.5977,7.197289,55.22849,338.6448,4.222954
45.32557,339.5977,7.197289,55.22849,338.6448,4.222954
45.58602,339.5714,7.246264,55.54544,338.6069,4.255011
46.18822,339.5047,7.25346,56.15208,338.5399,4.249799
46.69542,339.3423,7.236933,56.71152,338.38,4.197334
46.69542,339.3423,7.236933,56.71152,338.38,4.197334
47.23824,339.3253,7.15979,57.33447,338.3701,4.101236
47.76644,339.6374,7.040944,58.01057,338.6843,3.999424
47.76644,339.6374,7.040944,58.01057,338.6843,3.999424
48.51706,339.9061,6.824765,58.8131,338.9805,3.81408
56.96666,339.2311,5.075362,67.19823,338.6615,1.993246
57.95292,339.2617,4.84938,68.18345,338.7292,1.775992
57.95292,339.2617,4.84938,68.18345,338.7292,1.775992
61.48085,338.073,4.223929,72.21516,337.6674,0.8736929
61.48085,338.073,4.223929,72.21516,337.6674,0.8736929
63.01681,338.1431,3.96875,73.74594,337.7803,0.6363991
66.17323,338.117,3.441673,76.65733,337.8492,0.1686847
66.17323,338.117,3.441673,76.65733,337.8492,0.1686847
76.48605,336.1476,1.566641,87.26626,336.2632,357.9805
85.88955,335.5436,359.953,98.11104,336.1426,356.0608
88.15781,335.6363,359.8301,100.3681,336.2568,355.9627
90.65024,335.7185,359.6512,102.849,336.3721,355.8079
91.79728,335.8678,359.5786,103.8984,336.5202,355.7806
94.50843,335.9752,359.3672,106.5953,336.6656,355.5995
94.50843,335.9752,359.3672,106.5953,336.6656,355.5995
97.32738,336.0744,359.1768,109.4011,336.799,355.437
98.85149,336.271,359.047,110.9213,337.0206,355.345
104.5481,336.7616,358.3257,116.4172,337.6355,354.7798
107.4125,336.818,358.1855,119.2733,337.7171,354.6561
110.2298,337.6332,358.0098,122.0204,338.557,354.6288
110.2298,337.6332,358.0098,122.0204,338.557,354.6288
110.8506,337.731,358.3275,122.6776,338.5876,354.932
111.4556,337.804,358.6493,123.6156,338.633,355.1846
111.4556,337.804,358.6493,123.6156,338.633,355.1846
112.1385,338.1922,359.52,123.6549,338.7563,356.2037
113.3785,337.0569,359.1021,124.9749,337.7271,355.5292
113.3785,337.0569,359.1021,124.9749,337.7271,355.5292
114.5505,336.9834,359.0347,126.1516,337.6676,355.4476
120.9273,338.1468,357.8887,132.7645,339.1095,354.4864
123.8618,338.0606,357.6806,135.6996,339.0658,354.2601
125.5859,338.0161,357.5917,137.4248,339.0392,354.1638
124.7056,338.1196,358.0787,136.5345,339.0322,354.6357
123.674,339.6029,358.2881,135.441,340.4528,355.0652
123.4019,339.9964,358.5532,134.3675,340.6991,355.5446
123.4019,339.9964,358.5532,134.3675,340.6991,355.5446
124.2587,339.9467,358.5655,135.2278,340.6481,355.5465
122.6179,339.8915,359.0581,133.4815,340.4799,356.0333
121.5958,339.2583,359.581,132.4892,339.7452,356.4376
121.5958,339.2583,359.581,132.4892,339.7452,356.4376
120.7727,339.2834,359.8784,131.4749,339.6945,356.7727
120.8622,339.4879,0.1255577,131.5536,339.8528,357.0556
119.274,339.3987,0.6279621,129.789,339.6536,357.5751
118.5714,339.7035,0.8439109,128.9892,339.9107,357.8622
113.2785,340.8242,1.913364,123.4062,340.7981,359.1362
113.2785,340.8242,1.913364,123.4062,340.7981,359.1362
112.7613,341.066,2.001605,122.8745,341.0212,359.2679
102.636,343.0262,3.929139,113.1115,342.5505,1.378779
89.65259,348.8121,5.609285,99.08191,347.8782,4.121549
89.65259,348.8121,5.609285,99.08191,347.8782,4.121549
85.22713,351.2165,6.0399,94.66269,350.1443,4.911072
85.22713,351.2165,6.0399,94.66269,350.1443,4.911072
81.87051,352.4839,6.638753,91.26154,351.2977,5.713694
81.87051,352.4839,6.638753,91.26154,351.2977,5.713694
79.53075,353.1227,6.958806,89.14113,351.8594,6.110504
76.94882,354.0804,7.173965,86.53315,352.7682,6.484376
76.94882,354.0804,7.173965,86.53315,352.7682,6.484376
64.80497,3.498333,7.036314,75.04219,1.832543,7.696011
64.80497,3.498333,7.036314,75.04219,1.832543,7.696011
61.98964,4.569802,6.853546,72.24014,2.919363,7.707156
58.81356,8.655371,6.468768,69.40128,6.943723,7.923952
56.01928,9.780864,6.131652,66.64512,8.111207,7.802991
52.77609,11.42616,5.681812,63.49086,9.798584,7.652499
51.45874,12.06537,5.445323,62.20064,10.46951,7.539113
50.96866,13.03159,5.08133,61.64952,11.51943,7.358274
50.96866,13.03159,5.08133,61.64952,11.51943,7.358274
49.9426,13.43794,4.584968,60.3553,12.06208,6.97756
50.69827,13.72354,4.474116,61.06616,12.39573,6.921934
48.69633,15.00469,3.884778,59.13366,13.75879,6.582891
48.69633,15.00469,3.884778,59.13366,13.75879,6.582891
45.86575,15.93767,2.953748,56.38235,14.84349,5.881278
45.86575,15.93767,2.953748,56.38235,14.84349,5.881278
43.11414,16.41393,2.030233,53.70944,15.46098,5.097874
41.47229,16.82562,1.154965,52.11506,16.02318,4.34186
41.47229,16.82562,1.154965,52.11506,16.02318,4.34186
41.55356,17.72018,0.5818331,51.85905,17.0298,3.878816
43.1456,16.5116,0.8728691,53.3586,15.84153,3.98457
41.75961,17.50667,0.2689994,52.03418,16.92344,3.576708
43.49025,15.78604,0.7787188,53.17874,15.20623,3.711972
42.37891,16.42915,0.3650786,52.1033,15.90713,3.417921
43.54251,14.8926,0.6979595,53.3014,14.37273,3.53863
44.18396,14.87027,0.6945928,53.83369,14.377,3.513254
43.91127,15.04463,0.5243278,53.57062,14.57647,3.375973
45.42415,14.52117,0.7983791,54.64114,14.06211,3.468034
48.00809,14.60272,1.365023,57.60287,14.06976,4.13543
48.25529,14.87353,1.237605,57.86318,14.35775,4.056703
58.21877,15.43011,3.501034,67.73682,14.67379,6.356981
59.68393,15.94349,3.70173,69.49689,15.13541,6.702678
59.68393,15.94349,3.70173,69.49689,15.13541,6.702678
60.89328,16.08015,3.704266,70.71246,15.27052,6.729262
64.5097,16.13462,4.289967,74.40083,15.24644,7.337545
74.12175,16.96819,6.248189,84.14495,15.83757,9.430805
74.12175,16.96819,6.248189,84.14495,15.83757,9.430805
84.86864,17.0551,8.409015,96.1532,15.39549,11.84483
91.50811,16.36697,9.764648,103.0191,14.44689,13.1076
91.50811,16.36697,9.764648,103.0191,14.44689,13.1076
95.01464,16.61631,10.35194,106.5246,14.60352,13.7099
101.2894,16.37192,11.14071,112.755,14.21462,14.42691
104.5281,16.20021,11.52202,115.9682,13.97367,14.76161
106.1313,15.99218,11.73564,117.553,13.72757,14.93266
109.345,15.80989,12.16263,120.7384,13.46765,15.30972
109.5753,15.09336,12.19122,120.9344,12.73887,15.23326
109.5753,15.09336,12.19122,120.9344,12.73887,15.23326
109.0971,15.14477,12.01374,120.4529,12.80364,15.07223
108.9276,14.55277,11.92997,120.2584,12.21699,14.90709
114.0796,14.29922,12.46191,125.375,11.86733,15.37276
114.0246,14.44322,12.30547,125.1705,12.07184,15.21866
114.0246,14.44322,12.30547,125.1705,12.07184,15.21866
114.2054,14.34285,12.22831,125.2923,11.99214,15.1209
117.2732,14.08191,12.47106,128.3385,11.69086,15.30563
117.6242,14.05434,12.41241,128.8944,11.6092,15.2776
118.1969,13.81625,12.2867,128.8024,11.56943,15.00466
119.8361,13.65832,12.36057,130.4326,11.40099,15.04698
119.1535,13.70828,11.98087,129.7039,11.50611,14.67455
119.1535,13.70828,11.98087,129.7039,11.50611,14.67455
118.9865,13.71892,11.70162,129.5536,11.54398,14.40382
119.6724,13.65037,11.724,130.236,11.4726,14.41281
118.1446,12.82648,11.26498,128.1655,10.82921,13.74922
117.1996,13.06971,10.93032,127.0176,11.15883,13.41434
116.523,13.37771,10.65923,126.0748,11.55825,13.13625
116.523,13.37771,10.65923,126.0748,11.55825,13.13625
116.2552,13.52333,10.32047,126.1665,11.66274,12.89368
115.5052,13.32865,10.09323,125.1936,11.5419,12.59649
115.974,13.14573,9.981889,125.6599,11.37983,12.45609
