L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
82.84975,2.212268,356.9291,92.71083,2.756848,357.7267
82.84975,2.212268,356.9291,92.71083,2.756848,357.7267
83.08727,2.399651,356.8981,92.87616,2.947848,357.7208
83.18121,2.372936,356.8924,93.15914,2.932331,357.7171
83.18121,2.372936,356.8924,93.15914,2.932331,357.7171
83.18121,2.372933,356.8924,93.1591,2.93234,357.7171
82.71303,2.064036,356.9122,92.53677,2.60942,357.6856
82.71461,2.032078,356.9156,92.53849,2.577155,357.6845
82.71461,2.032078,356.9156,92.53849,2.577155,357.6845
82.48689,359.9348,357.1289,92.08703,0.446237,357.5888
82.43924,359.5262,357.17,91.87402,0.02455955,357.5657
82.43924,359.5262,357.17,91.87402,0.02455955,357.5657
82.50497,359.5296,357.1714,92.10973,0.03739743,357.5733
82.5026,359.5269,357.1716,92.10739,0.03455073,357.5732
82.62242,358.8631,357.2434,92.19329,359.3634,357.5488
82.6367,358.7136,357.2592,92.38632,359.2218,357.549
82.63668,358.7136,357.2592,92.38632,359.2218,357.549
82.56216,358.1973,357.3103,92.2387,358.696,357.523
82.56216,358.1973,357.3103,92.2387,358.696,357.523
77.9166,354.7983,357.5392,87.26862,355.2263,357.2346
77.9166,354.7983,357.5392,87.26862,355.2263,357.2346
69.08443,349.7286,358.3117,77.68336,350.0196,357.2227
69.08443,349.7286,358.3117,77.68336,350.0196,357.2227
68.47076,349.7112,358.3426,77.11967,349.9983,357.2499
68.47076,349.7112,358.3426,77.11967,349.9983,357.2499
68.12179,349.4323,358.3441,76.7784,349.7236,357.2097
67.94358,349.3595,358.3437,76.60219,349.6518,357.1982
67.50591,349.6511,358.2982,76.02031,349.938,357.1965
67.50591,349.6511,358.2982,76.02031,349.938,357.1965
66.91394,348.3173,358.4463,75.65339,348.6116,357.1423
66.02653,348.6086,358.499,74.83817,348.8895,357.2354
66.02653,348.6086,358.499,74.83817,348.8895,357.2354
65.94249,348.4568,358.5741,74.52393,348.7216,357.2897
65.75969,348.3802,358.6157,74.34364,348.6399,357.3192
64.74791,348.2239,358.7088,73.62433,348.4782,357.3813
64.74791,348.2239,358.7088,73.62433,348.4782,357.3813
64.89214,347.6699,358.8561,73.54419,347.9062,357.4481
64.01653,346.9481,358.9874,72.91251,347.1826,357.4625
