L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
78.00195,354.6578,354.455,88.54287,355.6666,353.9815
78.00195,354.6578,354.455,88.54287,355.6666,353.9815
77.12289,354.8003,354.5021,87.86518,355.8121,354.0314
77.12289,354.8003,354.5021,87.86518,355.8121,354.0314
77.12289,354.8003,354.5021,87.86518,355.8121,354.0314
77.12247,354.7994,354.5023,87.86243,355.8109,354.0316
77.12247,354.7994,354.5023,87.86243,355.8109,354.0316
77.12247,354.7994,354.5023,87.86243,355.8109,354.0316
77.34419,354.8255,354.4838,88.08227,355.8427,354.0184
76.92127,354.7821,354.5184,87.8455,355.8106,354.0327
76.92127,354.7821,354.5184,87.8455,355.8106,354.0327
76.49724,354.7011,354.3514,87.4185,355.7543,353.8642
76.48767,354.6794,354.3919,87.41006,355.7253,353.8998
76.48767,354.6794,354.3919,87.41006,355.7253,353.8998
76.4613,354.6702,354.4171,87.38428,355.7115,353.9228
77.11102,354.2341,354.4371,87.66513,355.2408,353.9037
77.35528,354.2567,354.418,88.28602,355.3153,353.8673
77.35528,354.2567,354.418,88.28602,355.3153,353.8673
77.1234,354.2351,354.4361,87.87238,355.2657,353.8914
76.18469,353.765,354.8338,86.94794,354.7297,354.2036
76.18469,353.765,354.8338,86.94794,354.7297,354.2036
69.56968,351.4839,355.3935,80.41677,352.3322,354.3896
69.56968,351.4839,355.3935,80.41677,352.3322,354.3896
64.39613,347.7013,356.2825,74.78001,348.3683,354.7392
62.56003,347.4269,356.4367,72.95653,348.0714,354.8399
61.36663,346.1351,356.7062,72.02205,346.7807,354.8812
61.36663,346.1351,356.7062,72.02205,346.7807,354.8812
59.31526,345.8391,356.9497,69.98743,346.4462,355.0635
58.57637,345.6076,357.0295,69.45602,346.2305,355.0778
56.627,345.2799,357.2211,67.52166,345.8734,355.2028
56.627,345.2799,357.2211,67.52166,345.8734,355.2028
51.42435,344.2425,357.9238,62.38645,344.6996,355.7137
49.67688,341.0096,358.5067,60.80305,341.4311,355.7645
49.67688,341.0096,358.5067,60.80305,341.4311,355.7645
48.46369,340.6156,358.6795,59.61066,341.0164,355.8591
46.99939,340.3591,358.9069,58.16502,340.7236,356.0287
46.99939,340.3591,358.9069,58.16502,340.7236,356.0287
45.60299,340.1359,359.1664,56.78709,340.4572,356.2367
44.44646,341.8727,359.1245,55.52337,342.1612,356.4684
44.43003,342.7838,359.0889,55.07029,343.0504,356.6297
44.43003,342.7838,359.0889,55.07029,343.0504,356.6297
43.75909,342.3193,359.3083,54.52507,342.5622,356.7509
43.1652,342.1344,359.5177,54.16222,342.3526,356.8849
42.54063,341.9882,359.7093,53.54828,342.1747,357.0432
42.54063,341.9882,359.7093,53.54828,342.1747,357.0432
43.09425,341.7053,359.6992,53.58746,341.8889,357.0701
43.26131,341.6413,359.7489,53.97043,341.8259,357.0706
44.27302,341.8586,359.6065,55.38168,342.0852,356.8969
44.27302,341.8586,359.6065,55.38168,342.0852,356.8969
45.28989,341.9178,359.4573,56.58204,342.1818,356.7315
46.14925,342.4441,359.3302,57.41381,342.7213,356.6945
46.14925,342.4441,359.3302,57.41381,342.7213,356.6945
47.46152,343.2386,358.9625,58.49563,343.5614,356.5048
48.45557,343.3321,359.014,59.485,343.6437,356.5738
49.61278,344.1537,358.963,60.59046,344.4576,356.6596
49.61278,344.1537,358.963,60.59046,344.4576,356.6596
50.4885,343.641,359.1252,61.6876,343.9312,356.7169
51.92777,343.6563,359.1679,63.12471,343.9385,356.7719
51.92777,343.6563,359.1679,63.12471,343.9385,356.7719
54.26881,343.7815,358.9038,65.26148,344.1147,356.566
56.91545,344.1527,358.7361,68.07748,344.52,356.4494
56.91545,344.1527,358.7361,68.07748,344.52,356.4494
58.95354,344.3113,358.6027,70.10551,344.7004,356.3506
63.98176,342.218,358.2669,75.03649,342.7206,355.7273
71.52918,340.7116,357.7931,82.25396,341.3328,355.0891
71.52918,340.7116,357.7931,82.25396,341.3328,355.0891
75.34599,338.3975,357.7787,86.42302,339.083,354.6781
78.46266,338.5073,357.5667,89.32113,339.2134,354.5175
78.46266,338.5073,357.5667,89.32113,339.2134,354.5175
81.023,338.1329,357.6145,91.90788,338.8373,354.5045
83.54906,337.493,357.5749,94.25962,338.1951,354.3831
85.75246,337.5336,357.4761,96.45805,338.2519,354.2945
85.75246,337.5336,357.4761,96.45805,338.2519,354.2945
91.06856,336.7096,357.1507,101.6259,337.4809,353.8698
94.13862,336.9141,356.9278,105.3106,337.7969,353.6333
94.13862,336.9141,356.9278,105.3106,337.7969,353.6333
102.1522,342.2996,355.6048,112.7966,343.3602,353.2818
104.1647,342.6382,355.4884,114.7818,343.7167,353.2272
105.5803,343.0595,355.2499,116.3528,344.2026,353.0494
105.5803,343.0595,355.2499,116.3528,344.2026,353.0494
107.522,343.2386,355.0414,118.4327,344.4392,352.8692
107.522,343.2386,355.0414,118.4327,344.4392,352.8692
108.3644,343.3458,354.8841,119.4599,344.6023,352.7238
108.3644,343.3458,354.8841,119.4599,344.6023,352.7238
110.1976,343.7961,354.6115,120.7042,345.0097,352.5742
110.1976,343.7961,354.6115,120.7042,345.0097,352.5742
110.9372,344.5524,354.6671,121.1744,345.7115,352.7688
110.9372,344.5524,354.6671,121.1744,345.7115,352.7688
111.206,345.0068,354.9088,121.4347,346.1212,353.0826
110.8209,345.1459,355.084,121.0476,346.228,353.2798
110.8209,345.1459,355.084,121.0476,346.228,353.2798
109.7857,345.0129,355.2918,120.4287,346.115,353.4424
108.3074,344.9829,355.4528,119.137,346.0776,353.5835
108.3074,344.9829,355.4528,119.137,346.0776,353.5835
107.2597,345.0331,355.519,118.0861,346.1145,353.658
107.2597,345.0331,355.519,118.0861,346.1145,353.658
