L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
87.2796,359.6182,356.0087,96.18244,0.2895195,356.3355
87.2796,359.6182,356.0087,96.18244,0.2895195,356.3355
86.86369,359.3571,356.0778,95.85986,0.01994757,356.3581
86.86369,359.3571,356.0778,95.85986,0.01994757,356.3581
86.79855,0.2021219,355.9692,95.78008,0.8751165,356.3702
86.79855,0.2021219,355.9692,95.78008,0.8751165,356.3702
86.7812,0.1602734,355.9599,95.76247,0.8352438,356.3545
86.56632,0.1457901,355.979,95.5695,0.8158327,356.369
86.56632,0.1457901,355.979,95.5695,0.8158327,356.369
86.57374,0.1199871,355.992,95.57699,0.7881095,356.3784
86.60932,359.8122,356.0328,95.61577,0.4763369,356.3754
86.19402,359.7971,356.0768,95.22623,0.4492227,356.4137
86.19402,359.7971,356.0768,95.22623,0.4492227,356.4137
85.87572,359.4138,356.1308,94.78533,0.04607955,356.4206
85.78973,359.4525,356.1049,94.75768,0.09097475,356.3962
85.76602,359.4629,356.0761,94.72964,0.1050498,356.3696
85.76602,359.4629,356.0761,94.72964,0.1050498,356.3696
85.74873,359.4868,356.1051,94.71269,0.1240678,356.4019
85.74873,359.4868,356.1051,94.71269,0.1240678,356.4019
85.72832,359.5322,356.0916,94.69038,0.1712922,356.3946
78.06507,356.7789,357.0068,86.99238,357.1749,356.8948
78.06507,356.7789,357.0068,86.99238,357.1749,356.8948
78.06507,356.7789,357.0068,86.99238,357.1749,356.8948
67.7898,350.1765,358.6095,77.02187,350.3304,357.507
67.7898,350.1765,358.6095,77.02189,350.3304,357.507
67.7898,350.1765,358.6095,77.02189,350.3304,357.507
67.7898,350.1765,358.6095,77.02189,350.3304,357.507
68.66407,350.9402,358.4496,77.9879,351.1153,357.4501
64.86015,347.5887,358.7469,74.69641,347.7905,357.1255
64.86015,347.5887,358.7469,74.69641,347.7905,357.1255
62.4133,346.4218,358.8738,72.2958,346.6196,357.0455
60.20573,344.4634,359.2151,70.01389,344.6301,357.0932
51.76128,339.697,1.08149,62.61192,339.6278,358.0072
51.76128,339.697,1.08149,62.61192,339.6278,358.0072
50.06197,339.0342,1.353295,60.96122,338.9289,358.1406
48.52633,338.4521,1.714116,59.47018,338.2942,358.3757
48.52633,338.4521,1.714116,59.47018,338.2942,358.3757
50.57546,340.2481,0.9931329,60.72894,340.1749,358.0924
49.85402,339.7414,1.145409,59.96734,339.6533,358.1642
49.85402,339.7414,1.145409,59.96734,339.6533,358.1642
50.69513,338.9182,0.9635968,61.02805,338.8974,357.8078
50.27223,338.3499,1.121639,60.64837,338.3152,357.8615
48.78859,337.8406,1.615064,59.20419,337.7316,358.248
43.85619,338.2241,2.876456,54.2458,337.8604,359.5643
43.36801,337.5252,3.095538,53.82048,337.1424,359.6532
43.36801,337.5252,3.095538,53.82048,337.1424,359.6532
42.981,337.4289,3.256951,53.4407,337.0206,359.7934
43.20272,338.7576,3.048426,53.63721,338.3493,359.7972
43.21182,338.2595,3.081948,53.72729,337.8628,359.7387
43.21182,338.2595,3.081948,53.72729,337.8628,359.7387
43.31316,338.0391,3.228957,53.8309,337.6241,359.8432
43.88611,337.8498,3.209022,54.17123,337.4497,359.8514
43.88611,337.8498,3.209022,54.17123,337.4497,359.8514
45.65349,338.8049,2.743542,55.99992,338.4703,359.5221
46.20453,339.794,2.603807,56.27391,339.4607,359.6053
46.32244,339.7957,2.629062,56.39173,339.4582,359.6306
46.97767,340.0935,2.482015,57.31493,339.7797,359.4604
47.61868,339.9361,2.477355,57.77726,339.631,359.4803
47.61868,339.9361,2.477355,57.77726,339.631,359.4803
47.73564,339.9868,2.547567,57.8909,339.6693,359.5591
48.00384,340.4044,2.610382,58.12931,340.0666,359.6921
64.83888,339.9384,358.5222,74.69749,340.4089,355.6631
65.46162,339.9698,358.5823,75.3191,340.4302,355.7278
68.82481,340.1189,357.9065,78.17413,340.6654,355.2125
70.63821,339.5898,357.6834,80.36769,340.2178,354.8279
70.63821,339.5898,357.6834,80.36769,340.2178,354.8279
74.89569,339.6544,357.2886,84.30511,340.3279,354.5295
75.72222,339.6718,357.2974,85.13078,340.3437,354.5411
77.82104,339.3472,357.2795,87.45271,340.0476,354.4234
79.68135,339.2593,357.3516,89.31961,339.9497,354.4785
82.81317,339.2049,356.8896,92.24856,339.9595,354.0695
84.93012,339.1231,357.0532,94.3734,339.8538,354.2159
98.72808,338.545,354.1748,109.6109,340.04,351.0626
101.0103,337.9694,354.2695,111.9018,339.4463,351.0599
101.0103,337.9694,354.2695,111.9018,339.4463,351.0599
104.2048,338.0721,354.2189,115.0517,339.5555,351.0257
104.2048,338.0721,354.2189,115.0517,339.5555,351.0257
105.9899,339.1025,354.2093,116.8343,340.6006,351.1619
107.89,340.0307,354.1233,118.5545,341.5255,351.2456
109.5362,340.5905,353.8717,120.4749,342.1898,351.0241
109.5362,340.5905,353.8717,120.4749,342.1898,351.0241
115.0166,343.1437,352.5263,126.5933,345.1604,349.9908
116.0064,343.035,352.5533,127.5899,345.0488,349.9937
117.9254,342.8459,352.6941,129.5249,344.8365,350.0909
118.6504,342.5598,353.0483,129.9965,344.4299,350.427
120.2723,342.4146,353.0473,131.6264,344.2878,350.3963
120.2723,342.4146,353.0473,131.6264,344.2878,350.3963
119.9034,342.2525,353.3336,131.298,344.0687,350.6295
120.8014,341.3854,353.6908,132.1549,343.1161,350.8427
121.1749,341.5445,353.7372,132.5206,343.2635,350.9204
121.3769,341.0563,353.8328,132.4863,342.7132,351.0003
120.4966,341.2358,354.0415,131.1687,342.7672,351.3294
120.5395,341.332,353.997,131.2046,342.8695,351.3048
120.5395,341.332,353.997,131.2046,342.8695,351.3048
120.6771,342.0363,354.17,131.308,343.5318,351.6081
120.9664,342.3849,353.8011,131.5657,343.9409,351.3167
120.8124,341.8941,353.39,131.4242,343.5305,350.8221
120.8271,341.501,353.3316,131.4759,343.1519,350.7003
120.6575,341.7497,353.3919,131.0828,343.3504,350.853
121.4812,342.0071,353.2574,132.4156,343.7285,350.6719
121.4812,342.0071,353.2574,132.4156,343.7285,350.6719
121.1785,342.2599,353.3899,132.1038,343.9528,350.8506
120.3339,343.2828,353.6924,131.2123,344.9066,351.3331
104.1919,348.1409,356.7548,113.4688,348.8917,355.2868
104.1919,348.1409,356.7548,113.4688,348.8917,355.2868
85.31178,359.4789,359.1405,94.69612,359.4807,359.2165
85.31178,359.4789,359.1405,94.69612,359.4807,359.2165
80.89324,2.565004,359.3928,90.05497,2.384197,359.9438
78.04987,4.150753,358.8947,87.2265,4.028443,359.7036
77.07954,4.678757,358.734,86.26292,4.575268,359.6295
76.79343,5.150052,358.5007,85.63849,5.068607,359.5219
74.93498,3.805269,358.5076,84.0959,3.777803,359.3212
72.83679,5.475216,358.1027,82.02011,5.491981,359.1889
73.79105,5.204799,357.8636,82.72922,5.292548,358.9459
74.84508,5.234277,357.6374,83.83042,5.405308,358.735
74.84508,5.234277,357.6374,83.83042,5.405308,358.735
72.26684,6.106538,357.3214,81.2629,6.320531,358.5709
70.47044,7.094044,357.0173,79.48426,7.343147,358.4261
70.47044,7.094044,357.0173,79.48426,7.343147,358.4261
64.1537,11.68967,356.3984,73.16866,11.8331,358.4773
63.2527,12.09861,356.2198,72.28127,12.26442,358.3663
61.5481,12.82785,355.9522,70.60227,13.02564,358.2193
61.5481,12.82785,355.9522,70.60227,13.02564,358.2193
61.21553,12.09154,355.9849,70.28634,12.33398,358.154
59.65833,12.3387,355.8409,68.74142,12.60175,358.0548
58.19607,12.80984,355.6757,67.29585,13.09245,357.9679
55.50854,12.90319,355.5132,64.73406,13.17614,357.8292
55.50854,12.90319,355.5132,64.73406,13.17614,357.8292
45.5188,18.04648,353.9775,55.84511,18.42502,357.1574
44.2817,18.60679,353.5762,54.64121,19.04462,356.8679
43.08884,19.15421,353.1759,53.48165,19.65131,356.5775
43.97759,18.7611,352.9708,53.874,19.26872,356.2892
43.97759,18.7611,352.9708,53.874,19.26872,356.2892
44.74556,18.06935,352.8949,54.35787,18.6063,356.0946
46.07688,16.98482,353.5501,55.81898,17.49661,356.5847
45.85318,16.56136,353.4941,55.57272,17.0883,356.4544
45.85318,16.56136,353.4941,55.57272,17.0883,356.4544
46.78579,16.32522,353.4944,56.35391,16.8727,356.416
46.55938,16.65892,353.3127,56.14346,17.23074,356.2944
46.55938,16.65892,353.3127,56.14346,17.23074,356.2944
46.76496,16.10363,353.3739,56.32255,16.68133,356.2727
47.77297,16.04295,353.5117,57.11523,16.59512,356.3796
47.99352,16.10344,353.5479,57.54954,16.67476,356.4509
47.99352,16.10344,353.5479,57.54954,16.67476,356.4509
49.53622,16.21877,353.7062,58.65553,16.74316,356.5744
49.69867,16.23163,353.6909,58.81847,16.75819,356.5613
50.15193,16.26211,353.6875,59.27316,16.7888,356.563
52.81815,17.04392,353.881,62.25132,17.60279,356.9111
70.24093,20.7338,355.6074,80.17306,21.34775,359.2945
76.96947,20.93887,356.3815,87.3016,21.49866,0.1714127
76.96947,20.93887,356.3815,87.3016,21.49866,0.1714127
78.71834,19.45147,356.7886,89.32565,19.94794,0.3915933
80.91456,19.49743,357.1292,91.04288,19.97531,0.6735741
82.27315,19.59666,357.3642,92.40854,20.03404,0.9241227
87.30636,20.04586,358.2694,97.96519,20.27398,1.96551
87.30636,20.04586,358.2694,97.96519,20.27398,1.96551
90.19991,20.22773,358.6856,100.4509,20.40958,2.347538
90.19991,20.22773,358.6856,100.4509,20.40958,2.347538
91.69065,20.51761,358.9036,101.9585,20.65995,2.612708
94.60966,20.82031,359.4681,104.8958,20.86357,3.226285
99.10515,20.42793,0.3945561,109.3783,20.32591,4.086761
100.7213,20.12121,0.6815251,110.89,19.99063,4.309953
102.2787,19.73888,0.9453657,112.8043,19.53152,4.569327
103.3855,19.69582,1.092618,113.9068,19.46386,4.705534
105.4989,18.98429,1.476499,115.9863,18.69089,4.966918
106.4939,18.94448,1.617679,116.9772,18.62746,5.097837
108.4392,18.35038,1.918505,118.9713,17.99298,5.314466
110.2413,18.27696,2.025171,120.7676,17.90229,5.404986
113.757,17.7595,2.436453,124.2279,17.33976,5.724919
113.4067,17.8327,2.306956,123.9001,17.41385,5.607795
113.4067,17.8327,2.306956,123.9001,17.41385,5.607795
115.2012,17.09054,2.52982,125.4593,16.68296,5.686743
115.8996,17.03955,2.482359,126.1554,16.6409,5.630672
116.5353,16.98058,2.289886,126.8013,16.60192,5.428012
117.7209,16.0886,2.459795,127.9931,15.68959,5.465539
117.7209,16.0886,2.459795,127.9931,15.68959,5.465539
118.796,16.00545,2.503691,129.0636,15.60025,5.49326
119.6438,15.71916,2.482031,129.8605,15.3127,5.417393
120.0128,15.87865,2.503651,130.0865,15.48687,5.441266
119.1606,16.19398,2.330084,129.6983,15.75889,5.375265
119.2193,16.19269,2.284985,129.7575,15.76554,5.330753
119.0072,16.23969,2.220538,129.3236,15.8473,5.24458
118.9554,16.2663,2.174805,129.2737,15.88135,5.204619
118.8663,16.29793,2.103121,129.1859,15.92493,5.139995
119.7562,15.59698,2.234952,129.4644,15.28927,5.087486
119.6344,15.61909,2.168939,129.3442,15.32189,5.026291
119.4106,15.13434,2.104655,129.418,14.81332,4.933558
119.231,15.61805,1.952139,129.1917,15.3298,4.847347
119.231,15.61805,1.952139,129.1917,15.3298,4.847347
119.1348,15.59101,1.898662,129.0947,15.31209,4.789925
118.602,14.71438,1.885759,128.7073,14.41752,4.667615
118.6055,15.42568,1.803411,128.7414,15.14143,4.693727
118.7927,15.30558,1.759116,129.029,15.02326,4.644158
118.7927,15.30558,1.759116,129.029,15.02326,4.644158
118.8343,16.2005,1.600624,129.285,15.92464,4.644094
118.7518,16.10028,1.5413,129.1979,15.83639,4.566936
118.0423,15.47185,1.132768,128.4738,15.2879,4.049027
117.6143,15.17284,0.8538162,128.0332,15.04252,3.718832
115.6206,12.49534,0.1718619,125.3906,12.53522,2.55567
97.36343,358.6851,359.3281,106.3517,358.7434,359.6035
97.36343,358.6851,359.3281,106.3517,358.7434,359.6035
82.16221,347.9903,358.6115,92.20043,348.2973,357.3734
82.16221,347.9903,358.6115,92.20043,348.2973,357.3734
79.52737,346.3066,358.33,89.08347,346.6903,356.7751
75.59465,346.2746,357.895,85.41112,346.7037,356.2954
75.59465,346.2746,357.895,85.41112,346.7037,356.2954
73.40143,346.3415,357.722,83.33257,346.7874,356.0978
72.14271,345.6415,357.6917,82.10267,346.103,355.9437
69.91862,344.3914,357.7639,80.05722,344.8658,355.7584
68.63699,343.7896,357.8454,78.80592,344.2597,355.7284
68.54243,344.2438,357.6356,78.8077,344.7533,355.5511
67.34818,343.6744,357.766,77.64344,344.1707,355.5736
64.9678,342.4429,357.9931,75.33137,342.9202,355.5663
59.74233,338.6942,359.0152,70.11499,339.0499,355.9766
57.58319,337.6578,359.3218,68.03334,337.9792,356.0762
56.59182,337.1612,359.5152,67.08133,337.4583,356.1684
56.59182,337.1612,359.5152,67.08133,337.4583,356.1684
58.7112,337.1314,359.0511,69.39193,337.5235,355.6577
56.79062,338.1614,359.091,67.06563,338.5022,355.9065
55.61704,337.975,359.2624,65.90498,338.2877,356.0316
55.10021,337.7937,359.3682,65.40234,338.0917,356.1005
50.47691,339.261,0.1874319,60.79711,339.3619,357.1261
49.75558,338.9798,0.2188344,60.09516,339.08,357.103
49.49315,340.1101,0.1385026,59.74974,340.1927,357.2101
50.28661,340.6444,359.8772,60.39426,340.7609,357.0628
49.98792,340.5946,359.9287,60.09898,340.7033,357.1043
49.98792,340.5946,359.9287,60.09898,340.7033,357.1043
50.16896,340.5606,359.9622,60.04115,340.6573,357.1865
51.04125,340.0373,359.9492,61.1054,340.1628,357.0515
51.44109,339.9979,-0.003597065,61.63938,340.1239,357.0634
51.44109,339.9979,-0.003597065,61.63938,340.1239,357.0634
51.60388,340.0407,0.044422,61.79982,340.158,357.1186
52.49673,339.6248,0.08830161,62.5891,339.7443,357.1246
53.11219,339.3354,0.225438,63.3966,339.4468,357.1737
53.39522,339.3546,0.2649601,63.67865,339.4591,357.2162
63.73083,338.6844,358.2468,73.69324,339.1818,355.2027
70.23699,335.7804,357.4214,80.05199,336.4482,353.9819
70.23699,335.7804,357.4214,80.05199,336.4482,353.9819
74.76785,335.4996,356.7053,84.96571,336.3372,353.1644
63.85579,346.4905,10.10757,73.33351,345.002,8.390882
75.34808,341.9329,3.746135,85.34814,341.5431,1.266898
75.34808,341.9329,3.746135,85.34814,341.5431,1.266898
75.33241,338.5953,10.0813,85.48215,337.2136,6.916201
77.61123,341.9626,12.99347,87.15743,340.1089,10.48509
87.13964,341.5132,3.762302,97.10716,341.1594,1.23548
86.98741,340.1868,5.842513,97.02803,339.5112,3.045729
100.7267,334.9804,354.8052,112.4792,336.4812,351.0132
100.7267,334.9804,354.8052,112.4792,336.4812,351.0132
101.4548,333.5253,356.4335,113.306,334.7435,352.2836
103.739,334.1255,355.2395,115.3478,335.5392,351.2321
104.7285,335.6053,355.2411,116.2071,336.9888,351.5571
107.2395,337.8766,354.7585,118.6767,339.3646,351.4604
109.2493,337.8763,354.5792,120.7836,339.4189,351.2646
109.2493,337.8763,354.5792,120.7836,339.4189,351.2646
111.0259,337.8121,354.5122,122.5626,339.3685,351.1863
112.7476,337.7747,354.4096,124.4199,339.3786,351.0533
116.5206,341.4854,353.45,128.2374,343.3227,350.7036
118.1802,341.5496,353.3662,129.8512,343.3965,350.6386
118.1802,341.5496,353.3662,129.8512,343.3965,350.6386
120.0425,341.4309,353.2821,131.7181,343.2955,350.5373
120.0425,341.4309,353.2821,131.7181,343.2955,350.5373
120.7441,341.3876,353.4012,132.3038,343.2014,350.656
120.7441,341.3876,353.4012,132.3038,343.2014,350.656
121.1723,342.2567,353.3574,132.3782,344.0148,350.804
120.6792,342.2038,353.4927,131.9381,343.9392,350.9109
120.6792,342.2038,353.4927,131.9381,343.9392,350.9109
120.8992,342.2927,353.4832,132.1527,344.0282,350.9197
120.5393,341.1211,353.7055,132.0363,342.8509,350.9162
119.9653,341.1904,353.8625,131.1044,342.8188,351.1469
119.8413,341.279,353.8762,130.9756,342.9033,351.1782
119.1756,341.3084,354.0001,130.3382,342.9101,351.3026
118.4879,341.7109,354.0029,129.3305,343.2512,351.4289
118.4879,341.7109,354.0029,129.3305,343.2512,351.4289
110.6576,343.0269,355.5174,120.7694,344.1414,353.1971
105.0321,345.0388,356.5423,114.1282,345.8293,354.6847
104.1846,345.4314,356.5857,113.266,346.2104,354.7914
102.6306,346.0215,356.8268,112.2118,346.7979,355.0169
101.5428,346.6479,357.0022,111.1031,347.3872,355.2962
91.24094,353.46,358.2556,100.3701,353.7961,357.5505
91.24094,353.46,358.2556,100.3701,353.7961,357.5505
85.65086,359.432,358.4472,94.53021,359.5704,358.6228
84.08156,359.962,358.5314,92.91115,0.05663577,358.7922
84.08156,359.962,358.5314,92.91115,0.05663577,358.7922
82.75007,0.05178874,358.6521,91.89277,0.1303976,358.8748
81.40085,0.9141932,358.5554,90.54474,0.9972082,358.9164
78.27506,0.887383,358.6426,87.54271,0.9345807,359.0029
78.27506,0.887383,358.6426,87.54271,0.9345807,359.0029
76.09813,1.627357,358.5342,85.65087,1.687472,358.9811
73.37804,4.151148,357.8998,82.80059,4.278205,358.7756
71.29558,5.022717,357.6204,80.87086,5.185177,358.6334
71.29558,5.022717,357.6204,80.87086,5.185177,358.6334
66.15747,5.80092,357.6716,75.23811,5.834565,358.8405
65.31478,6.314984,357.5551,74.40414,6.360448,358.8072
62.00478,9.854053,356.9626,71.80444,9.95744,358.7285
59.77066,10.68524,356.5301,69.3058,10.80917,358.4497
57.98104,11.5613,356.1173,67.54539,11.73996,358.1907
57.98104,11.5613,356.1173,67.54539,11.73996,358.1907
57.19999,11.0979,356.0252,66.7557,11.30489,358.0435
56.41465,11.95433,355.6111,66.04213,12.23954,357.7831
54.9216,12.84243,355.2395,64.58365,13.17578,357.5677
53.58916,13.60119,354.9007,63.28094,13.97921,357.3644
53.58916,13.60119,354.9007,63.28094,13.97921,357.3644
49.51216,19.98844,353.6964,59.69958,20.40873,357.1794
48.61469,20.52205,353.5146,58.83738,20.96412,357.101
48.19144,20.76034,353.4149,58.43021,21.2152,357.0479
48.00364,21.08814,353.2741,58.00951,21.53491,356.9499
48.00364,21.08814,353.2741,58.00951,21.53491,356.9499
47.83453,18.73339,353.5432,57.79116,19.20647,356.865
47.83453,18.73339,353.5432,57.79116,19.20647,356.865
48.29148,19.43336,353.5435,58.14398,19.89859,356.9761
48.29148,19.43336,353.5435,58.14398,19.89859,356.9761
48.37329,19.69883,353.4469,58.56309,20.22096,356.967
48.4048,19.81214,353.4212,58.60193,20.33677,356.963
48.58985,19.97988,353.4398,58.79811,20.49874,357.0131
52.127,21.04729,353.757,62.54767,21.58328,357.5247
54.44293,20.95549,353.9826,64.56982,21.46838,357.696
54.56345,20.51401,354.5689,64.68375,20.94041,358.1977
56.49648,27.11591,351.5793,67.14286,27.92634,356.5489
56.77364,16.45867,351.736,66.22105,17.34949,354.6463
55.44403,18.26218,352.6031,65.72826,19.06065,355.917
55.44403,18.26218,352.6031,65.72826,19.06065,355.917
55.53974,20.77794,352.3527,65.99619,21.57712,356.1328
55.89524,21.03807,352.4001,66.37093,21.82489,356.2305
67.17553,21.3591,354.0755,76.61967,21.98501,357.8041
67.17553,21.3591,354.0755,76.61967,21.98501,357.8041
77.84655,21.5009,355.8144,87.66164,22.06254,359.6507
80.56746,21.79029,356.2345,90.68612,22.29232,0.1758863
83.00457,22.84941,356.5238,93.37348,23.29456,0.6783618
83.00457,22.84941,356.5238,93.37348,23.29456,0.6783618
84.15547,22.9683,356.722,94.53395,23.37864,0.8973111
89.37946,24.15083,357.5422,99.71543,24.45849,1.896078
92.10321,24.18507,358.0248,102.366,24.45165,2.373319
94.34119,24.37523,358.3561,104.6187,24.58492,2.73712
96.28716,23.33993,358.8109,106.9106,23.45887,3.098135
96.28716,23.33993,358.8109,106.9106,23.45887,3.098135
98.12187,23.31857,359.5159,108.7736,23.32157,3.798
101.4232,19.77748,359.683,111.8707,19.80766,3.299173
102.4337,19.72024,359.765,112.8771,19.73738,3.3688
104.5036,19.53871,359.9755,114.9341,19.52293,3.540827
105.7647,18.91229,0.2119466,116.1376,18.86756,3.669638
106.9401,18.81404,0.3495534,117.3851,18.74228,3.798191
116.1697,17.6721,1.653067,127.8304,17.3294,5.093987
119.0131,17.29256,1.92273,130.6468,16.90574,5.277378
119.8537,15.8055,2.197074,131.4266,15.38201,5.312636
120.4789,13.91233,2.49731,131.9844,13.44903,5.315893
120.4789,13.91233,2.49731,131.9844,13.44903,5.315893
