L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
79.26695,1.903399,358.7346,89.28625,2.101836,359.1317
79.26695,1.903399,358.7346,89.28625,2.101836,359.1317
81.07365,358.71,358.8175,91.1025,358.9629,358.7709
81.07365,358.71,358.8175,91.1025,358.9629,358.7709
82.34662,359.1469,358.5885,92.56509,359.4616,358.5837
82.34662,359.1469,358.5885,92.56509,359.4616,358.5837
82.34662,359.1469,358.5885,92.56509,359.4616,358.5837
82.47305,359.9883,358.3983,92.50835,0.3249191,358.5373
82.47305,359.9883,358.3983,92.50836,0.3248954,358.5373
82.47305,359.9883,358.3983,92.50836,0.3248954,358.5373
82.46446,0.4272435,358.3519,92.27615,0.7606391,358.584
82.46446,0.4272435,358.3519,92.27615,0.7606391,358.584
76.97626,358.9124,359.3096,87.59924,359.0294,359.1888
76.06035,1.411839,359.1777,86.30319,1.489951,359.4594
76.06035,1.411839,359.1777,86.30319,1.489951,359.4594
76.92241,2.085998,358.9793,87.53834,2.218027,359.3062
76.9224,2.086001,358.9793,87.53835,2.218027,359.3062
80.34203,2.050854,358.4831,89.93424,2.298207,358.9654
80.34203,2.050854,358.4831,89.93424,2.298207,358.9654
80.50262,358.6508,358.8264,90.38595,358.8893,358.7882
80.50262,358.6508,358.8264,90.38595,358.8893,358.7882
81.44237,359.0953,358.6432,91.47942,359.3813,358.6507
81.44234,359.0953,358.6432,91.47942,359.3813,358.6507
81.44234,359.0953,358.6432,91.47942,359.3813,358.6507
81.64001,-0.005017841,358.5178,91.86343,0.3020886,358.6271
78.42837,357.2072,357.969,88.47891,357.6505,357.6257
76.7096,355.7611,357.8777,86.75677,356.2417,357.2864
76.7096,355.7611,357.8777,86.75677,356.2417,357.2864
73.70971,353.6952,357.7032,83.78438,354.2256,356.7663
57.34266,347.0486,1.48478,67.80089,346.818,359.4122
57.34266,347.0486,1.48478,67.80089,346.818,359.4122
54.4047,345.7928,1.499024,64.91905,345.5807,359.1909
50.81493,344.854,1.697519,61.1114,344.6024,359.29
47.92339,343.9771,1.839352,58.26441,343.7152,359.2665
47.92339,343.9771,1.839352,58.26441,343.7152,359.2665
47.61217,344.6357,1.015564,57.8994,344.5321,358.5405
48.0923,345.0501,0.04338098,58.76125,345.1761,357.4945
48.0923,345.0501,0.04338098,58.76125,345.1761,357.4945
46.16235,344.4971,0.2061677,56.8603,344.603,357.5486
44.53487,344.026,0.3782619,55.25853,344.1088,357.6268
40.9713,343.0204,1.458136,51.55949,342.8847,358.5893
40.9713,343.0204,1.458136,51.55949,342.8847,358.5893
40.05233,342.0978,1.784817,50.69372,341.9225,358.7557
40.62793,342.4875,1.628158,51.68439,342.3705,358.493
40.62793,342.4875,1.628158,51.68439,342.3705,358.493
42.26631,342.3271,1.27468,53.30653,342.3011,358.1216
42.41872,342.237,1.555473,53.4654,342.1624,358.3785
43.66122,342.7957,1.448482,54.23985,342.7201,358.5218
43.66122,342.7957,1.448482,54.23985,342.7201,358.5218
44.72109,343.0357,1.484215,55.92598,342.9887,358.3551
45.68716,343.1683,1.603553,56.87439,343.0994,358.5027
45.68716,343.1683,1.603553,56.87439,343.0994,358.5027
46.50537,343.2954,1.748761,57.87879,343.2062,358.5984
47.89336,342.9536,1.701812,58.46743,342.8508,358.8093
48.69221,343.1119,1.814961,59.2578,342.9866,358.9512
48.69221,343.1119,1.814961,59.2578,342.9866,358.9512
