L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
81.34133,349.4051,4.10272,91.4548,348.7902,2.961878
81.34133,349.4051,4.10272,91.4548,348.7902,2.961878
82.0348,350.0529,4.047046,91.92933,349.4515,2.996936
82.00347,349.6007,4.10097,91.90913,348.9962,2.982905
82.00347,349.6007,4.10097,91.90913,348.9962,2.982905
81.34489,349.6319,4.075158,91.04006,349.0388,2.955291
81.31112,349.179,4.12939,91.02042,348.5831,2.941322
81.31112,349.179,4.12939,91.02042,348.5831,2.941322
81.3117,349.179,4.129415,91.02102,348.583,2.941342
81.31218,349.1739,4.130054,91.02167,348.578,2.941222
81.5581,349.6201,4.083761,91.04333,349.0374,2.955356
81.5581,349.6201,4.083761,91.04333,349.0374,2.955356
81.56413,349.6211,4.083853,91.04659,349.0382,2.955487
81.5414,349.3921,4.111044,91.03076,348.808,2.948225
81.52567,349.169,4.137851,91.02449,348.583,2.94146
81.52567,349.169,4.137851,91.02449,348.583,2.94146
81.52637,349.169,4.137879,91.02509,348.583,2.941479
81.54576,349.3948,4.110865,91.24719,348.7999,2.955236
81.54576,349.3948,4.110865,91.24719,348.7999,2.955236
81.12222,349.4151,4.094076,91.23689,348.8004,2.95491
81.12222,349.4151,4.094076,91.23689,348.8004,2.95491
81.12222,349.4151,4.094076,91.23689,348.8004,2.95491
73.91925,346.8897,4.136999,84.31418,346.2673,2.630016
60.38359,342.093,4.116279,72.20156,341.3827,1.953759
60.38359,342.093,4.116279,72.20156,341.3827,1.953759
51.21361,339.7921,5.661481,63.20397,338.8029,2.978801
49.26624,339.3649,5.99491,61.28782,338.32,3.211698
49.26624,339.3649,5.99491,61.28782,338.32,3.211698
45.94279,338.9955,6.283986,57.99629,337.8927,3.420823
43.75758,337.1444,6.80136,55.94815,335.9849,3.592905
43.75758,337.1444,6.80136,55.94815,335.9849,3.592905
42.26836,336.0167,7.34662,54.54751,334.7818,3.907449
42.63256,336.1039,7.736725,54.89927,334.8041,4.274068
43.61967,335.9191,8.096414,55.89653,334.571,4.559365
43.61967,335.9191,8.096414,55.89653,334.571,4.559365
42.70821,336.751,8.484361,54.91154,335.3094,5.072912
41.47116,336.5021,9.060595,53.68788,334.9543,5.584723
45.35397,335.6638,9.40833,56.91706,334.2296,5.783523
45.35397,335.6638,9.40833,56.91706,334.2296,5.783523
44.53134,335.4998,9.872794,56.10125,333.984,6.207537
45.75397,336.5002,9.928875,57.21487,334.9584,6.423249
45.75397,336.5002,9.928875,57.21487,334.9584,6.423249
46.00654,336.5535,10.13466,57.45681,334.9755,6.633516
46.00654,336.5535,10.13466,57.45681,334.9755,6.633516
46.63627,336.3177,10.6082,57.94303,334.6898,7.064994
46.63627,336.3177,10.6082,57.94303,334.6898,7.064994
48.75483,336.362,10.39951,60.25306,334.7462,6.832661
48.75483,336.362,10.39951,60.25306,334.7462,6.832661
48.19251,336.2693,11.12786,59.68472,334.522,7.534872
48.19251,336.2693,11.12786,59.68472,334.522,7.534872
48.1504,336.187,11.32512,59.6455,334.4055,7.712738
48.36777,337.4177,11.24067,59.96634,335.5884,7.81573
48.36777,337.4177,11.24067,59.96634,335.5884,7.81573
51.59509,349.3734,9.238725,62.63844,347.6649,7.701539
55.00318,358.7159,7.875066,66.05826,357.1,7.647577
55.00318,358.7159,7.875066,66.05826,357.1,7.647577
55.43631,358.7018,7.743854,66.49512,357.1113,7.516186
55.43631,358.7018,7.743854,66.49512,357.1113,7.516186
54.18673,347.7469,8.978679,65.48936,346.1127,7.167614
54.18673,347.7469,8.978679,65.48936,346.1127,7.167614
61.40408,341.9564,8.765478,72.64175,340.5753,6.061567
63.20162,338.9606,8.882586,74.25503,337.6551,5.725334
63.20162,338.9606,8.882586,74.25503,337.6551,5.725334
63.72569,338.8991,8.78902,74.78555,337.6114,5.619923
64.37556,338.8355,8.6911,75.44214,337.5665,5.509764
64.37556,338.8355,8.6911,75.44214,337.5665,5.509764
65.44014,338.1213,8.505078,76.35231,336.9127,5.223185
65.44014,338.1213,8.505078,76.35231,336.9127,5.223185
67.93677,336.8315,8.31876,78.95161,335.6774,4.802816
67.93677,336.8315,8.31876,78.95161,335.6774,4.802816
80.84072,334.0642,6.799827,92.7919,333.2538,2.677166
94.28252,333.1277,4.794343,106.8009,332.7831,0.4509023
94.28252,333.1277,4.794343,106.8009,332.7831,0.4509023
104.8182,333.4485,3.08024,117.4568,333.4926,358.8326
104.8182,333.4485,3.08024,117.4568,333.4926,358.8326
110.5429,334.8749,2.209109,123.0382,335.0751,358.2477
113.4451,334.8477,2.010083,125.9404,335.0875,358.0472
113.4451,334.8477,2.010083,125.9404,335.0875,358.0472
116.2014,334.993,1.78253,128.6788,335.2739,357.8601
118.7257,335.9785,1.42787,131.1083,336.3138,357.7011
118.7257,335.9785,1.42787,131.1083,336.3138,357.7011
122.0427,336.2375,0.9183825,134.3927,336.6665,357.2651
122.0427,336.2375,0.9183825,134.3927,336.6665,357.2651
123.3264,336.3365,0.6563848,135.6599,336.8103,357.0311
123.4787,335.6246,0.5983676,133.8899,335.8157,357.1292
121.717,336.3955,0.6726863,134.0282,336.834,357.035
121.717,336.3955,0.6726863,134.0282,336.834,357.035
120.5392,335.6161,0.8359171,132.9132,336.0178,357.0461
119.791,337.0663,0.6773904,131.2523,337.3795,357.2494
