L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
80.98975,340.0138,3.138654,91.589,339.7037,0.2415959
80.98975,340.0138,3.138654,91.589,339.7037,0.2415959
80.98975,340.0138,3.138654,91.589,339.7037,0.2415959
81.50739,340.9002,2.962502,92.26325,340.6067,0.1842385
81.27313,340.9079,2.994264,91.8187,340.6088,0.2458987
81.27313,340.9079,2.994264,91.8187,340.6088,0.2458987
81.27313,340.9079,2.994264,91.8187,340.6088,0.2458987
81.27313,340.9079,2.994264,91.8187,340.6088,0.2458987
81.24555,340.4579,3.050705,91.81754,340.1566,0.2279922
81.2537,340.4576,3.049607,92.03673,340.1548,0.1975164
81.33841,340.5643,3.02528,91.95845,340.2657,0.2128116
81.33841,340.5643,3.02528,91.95845,340.2657,0.2128116
81.99248,340.5412,2.936624,92.21508,340.2642,0.177177
81.99248,340.5412,2.936624,92.21508,340.2642,0.177177
81.25657,340.4555,3.049447,92.03934,340.153,0.1970776
81.70275,340.441,2.98882,92.27342,340.1531,0.1646065
81.70275,340.441,2.98882,92.27342,340.1531,0.1646065
81.68884,340.2145,3.017308,92.27153,339.9255,0.1556925
81.62146,339.5236,3.108183,92.25127,339.2301,0.1303893
81.62146,339.5236,3.108183,92.25127,339.2301,0.1303893
73.39745,337.3073,4.526075,84.17014,336.7828,1.162184
73.39745,337.3073,4.526075,84.17014,336.7828,1.162184
60.48674,331.7023,7.064542,73.26187,330.6485,2.482253
60.48674,331.7023,7.064542,73.26187,330.6485,2.482253
53.47705,330.9539,8.334373,66.34557,329.652,3.541715
51.84817,330.523,8.685347,64.76862,329.1636,3.776728
51.84817,330.523,8.685347,64.76862,329.1636,3.776728
51.41674,329.8142,8.90875,64.42279,328.4388,3.818511
49.87923,329.4042,9.340206,62.93467,327.9569,4.13825
49.71854,328.1316,9.657714,62.53434,326.7395,4.2315
49.71854,328.1316,9.657714,62.53434,326.7395,4.2315
46.48188,327.5579,10.47693,59.38364,326.0231,4.887249
46.48188,327.5579,10.47693,59.38364,326.0231,4.887249
