L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
96.98709,359.7265,359.7311,107.3252,359.7418,0.2565248
96.98308,359.7245,359.7313,106.8699,359.7437,0.2567165
96.98567,359.7289,359.7308,107.0872,359.7463,0.256995
96.98566,359.7289,359.7308,107.0872,359.7463,0.256998
96.82018,359.4379,359.7615,107.0812,359.4518,0.226081
96.82018,359.4379,359.7615,107.0812,359.4518,0.226081
96.98583,359.7289,359.7308,107.1109,359.7461,0.2569777
96.55376,359.4396,359.7617,107.1013,359.4511,0.2260085
96.55376,359.4396,359.7617,107.1013,359.4511,0.2260085
96.73859,359.73,359.731,106.8481,359.747,0.2570688
96.73859,359.73,359.731,106.8481,359.747,0.2570707
96.10503,0.007275752,359.7025,106.4196,0.02338258,0.2860869
96.10503,0.007275752,359.7025,106.4196,0.02338258,0.2860869
96.34746,0.005205978,359.7025,106.6641,0.02159842,0.2859012
96.34725,359.7254,359.7319,106.6644,359.7401,0.2563439
96.34725,359.7254,359.7319,106.6644,359.7401,0.2563439
96.3576,359.7179,359.7326,106.6748,359.7329,0.2555873
96.34725,359.7254,359.7319,106.6644,359.7401,0.2563439
95.84985,359.7249,359.7325,105.4848,359.7442,0.2567768
95.84671,359.7095,359.7341,105.4837,359.7287,0.2551482
95.84671,359.7095,359.7341,105.4837,359.7287,0.2551482
95.4144,359.7093,359.7346,105.4908,359.7246,0.2547138
95.20193,359.7159,359.7341,105.4953,359.7294,0.2552247
95.2019,359.7159,359.7341,105.4953,359.7294,0.255223
95.14077,0.5662221,359.6449,105.4531,0.5839828,0.3449439
95.14075,0.5662218,359.6449,105.4531,0.583986,0.3449452
94.9611,0.5661198,359.6451,105.2527,0.5837725,0.3449215
94.95911,-0.005187462,359.705,104.7959,0.01296513,0.2849942
94.95911,-0.005187462,359.705,104.7959,0.01296515,0.2849942
95.17942,359.9906,359.7053,105.2536,0.007295976,0.2843982
95.17942,359.9906,359.7053,105.2536,0.007296136,0.2843974
95.17995,359.9914,359.7052,105.018,0.009865368,0.2846674
95.18037,359.993,359.705,105.0278,0.01148594,0.2848371
95.18037,359.993,359.705,105.0278,0.01148594,0.2848371
95.17167,0.2827272,359.6746,105.022,0.3028985,0.3154322
95.16531,0.2774526,359.6752,105.0156,0.2977388,0.3148907
95.17793,359.9921,359.7051,105.0237,0.01055467,0.2847401
95.41127,-0.003985629,359.7044,105.0346,0.01664066,0.2853772
95.41127,-0.00398212,359.7044,105.0346,0.01664068,0.2853772
95.4129,359.9922,359.7048,105.037,0.01284302,0.2849787
95.4129,359.9922,359.7048,105.037,0.01284268,0.2849813
95.40462,-0.001786908,359.7042,105.2466,0.01712594,0.2854311
95.40462,-0.001786948,359.7042,105.2466,0.01712606,0.2854304
95.40432,0.2830137,359.6743,105.2468,0.3038677,0.3155341
95.60265,0.2856455,359.6738,105.4758,0.3066362,0.3158253
95.60265,0.2856625,359.6738,105.4758,0.3066362,0.3158253
95.61858,0.5755045,359.6434,105.481,0.598609,0.3464787
95.81635,0.2860513,359.6736,105.4824,0.3093189,0.3161066
95.81635,0.2860547,359.6736,105.4823,0.3093327,0.3161077
96.07165,-0.0002349345,359.7033,105.7162,0.02152435,0.2858935
96.07165,-0.0002349345,359.7033,105.7162,0.02152435,0.2858935
96.07308,6.128494E-05,359.7033,105.7173,0.02183841,0.2859227
96.07529,0.2873228,359.6732,105.7175,0.3113718,0.3163215
96.07531,0.2873228,359.6732,105.7175,0.3113718,0.3163215
96.06197,0.5739123,359.6431,105.7091,0.6001323,0.3466392
96.06197,0.5739123,359.6431,105.7091,0.6001325,0.3466391
95.82871,0.5757933,359.6431,105.6967,0.5993074,0.3465534
95.82871,0.5757933,359.6431,105.6967,0.5993074,0.3465534
90.19097,355.8435,0.1467162,99.63216,355.8385,359.8459
83.07439,345.0967,1.318207,92.44759,345.121,358.6852
83.0744,345.0967,1.31821,92.44759,345.121,358.6852
82.87691,339.8646,1.923178,92.54091,339.8998,358.0818
82.87691,339.8646,1.92317,92.54089,339.8998,358.0818
80.97101,339.6534,1.950571,90.85588,339.7126,358.0594
75.59058,326.4873,3.712191,86.50973,326.7231,356.3327
75.59033,326.4895,3.711853,86.50922,326.7253,356.333
73.85281,326.5984,3.697625,84.96805,326.8599,356.3532
73.85282,326.5984,3.697622,84.96807,326.8599,356.3532
70.4901,334.2992,2.627886,81.30963,334.5186,357.4157
70.37569,337.9697,2.166275,80.60155,338.1832,357.8749
48.17663,341.1709,0.296162,58.17501,341.6423,356.6363
46.88895,343.7868,0.06994428,56.75928,344.2021,357.0414
46.00864,343.4668,0.1353929,55.89543,343.876,357.0487
45.94343,343.2646,0.2762975,55.86005,343.6272,357.1673
45.11903,342.9967,0.326958,55.0499,343.355,357.1689
46.16795,344.5421,0.310258,55.85122,344.8285,357.5204
47.92303,345.3307,0.327103,57.6308,345.5634,357.7255
47.13964,345.0585,0.3960235,56.85991,345.2839,357.7459
47.55378,344.8376,0.3942162,56.61546,345.0521,357.7176
49.64811,345.1476,0.3303742,59.0017,345.3297,357.7356
48.19984,344.598,0.3982756,57.57774,344.7768,357.71
49.64823,344.3857,0.39151,58.87678,344.5443,357.6696
48.33739,344.7671,0.3931467,57.54768,344.9161,357.7844
47.66673,344.5253,0.4679603,56.88799,344.6659,357.8181
46.46155,344.06,0.5441455,55.70408,344.1948,357.8157
45.94476,343.8478,0.5317972,55.19692,343.9873,357.7683
45.67582,346.8175,0.1817264,54.77884,346.9547,358.0936
44.72287,346.461,0.1909188,53.83923,346.6012,358.0447
45.46973,347.1704,0.02802598,54.82566,347.3199,358.0348
45.71804,347.4175,359.8264,55.32385,347.595,357.8927
45.48346,347.2301,359.7427,55.09571,347.4239,357.7783
45.76844,348.4407,359.3338,55.82566,348.6941,357.6299
45.62999,348.0791,359.2131,55.69911,348.3587,357.4466
45.64217,347.8987,358.9953,55.48698,348.2076,357.2302
45.74992,348.8804,358.8078,55.56948,349.2046,357.2644
45.6187,348.6868,358.7656,55.44427,349.0208,357.1892
46.651,349.0226,358.5284,55.81531,349.357,357.1003
46.52611,348.9358,358.5145,55.69287,349.2735,357.0726
46.24012,349.5995,358.4643,55.82193,349.9568,357.1339
46.43184,350.3538,358.3571,55.5727,350.6978,357.2372
46.17335,350.2775,358.3627,55.31622,350.6216,357.2305
46.51281,350.3215,358.232,56.12629,350.7084,357.0627
46.40167,350.3336,358.2683,56.01513,350.7143,357.1005
46.80774,350.3121,358.234,56.44289,350.6993,357.0616
46.69727,350.3596,358.1745,56.33059,350.756,357.011
48.06823,349.3595,358.0798,57.28486,349.757,356.7423
48.85175,349.1407,357.9281,58.32733,349.5774,356.5196
48.72392,348.8773,357.9594,58.21204,349.3113,356.4926
48.53925,348.9785,357.9383,58.02401,349.4146,356.4888
48.42546,349.1163,357.9041,57.9057,349.556,356.4782
48.60131,348.3211,358.0298,58.10975,348.748,356.4273
48.61207,348.0411,358.1161,58.36294,348.4713,356.4311
48.58239,348.1949,358.1623,58.32846,348.6152,356.503
48.57073,348.3619,358.1584,58.31199,348.7806,356.5276
48.57074,348.362,358.1584,58.31202,348.7806,356.5276
48.20533,348.353,358.2017,58.17837,348.78,356.5485
48.25511,348.088,358.2031,58.23577,348.5179,356.4919
48.21589,348.1472,358.1882,58.19432,348.5787,356.4877
47.99913,348.1251,358.2373,58.19824,348.5626,356.5138
48.16317,347.7235,358.3435,58.37723,348.1483,356.5352
48.23481,347.6045,358.4296,58.45427,348.0162,356.5982
47.97787,348.1718,358.4078,57.70573,348.5533,356.7407
48.02781,348.2096,358.4545,57.75484,348.5829,356.7932
48.25856,348.2184,358.4323,57.75568,348.5816,356.793
48.14931,348.1571,358.4909,57.86238,348.5241,356.8214
48.17499,348.1857,358.4938,57.88711,348.5518,356.8292
48.5389,348.279,358.5184,58.2848,348.6411,356.8665
48.53889,348.279,358.5184,58.28478,348.6411,356.8665
48.73025,347.6762,358.6552,58.50588,348.0232,356.871
48.93084,347.7091,358.6927,58.7056,348.0494,356.9137
49.0884,347.7283,358.7335,58.86425,348.0616,356.9566
49.28055,347.7302,358.781,59.02843,348.054,357.006
49.56708,347.6976,358.9184,59.31733,347.9991,357.1355
50.9534,349.5379,358.6692,60.44452,349.8473,357.3022
51.18851,349.5414,358.7265,60.68,349.8415,357.3593
51.63739,349.3478,358.9104,61.81166,349.6511,357.4481
51.81175,350.1015,358.834,61.31288,350.3809,357.5972
52.35208,349.989,358.7733,61.85592,350.2799,357.5184
52.03397,349.9147,358.8132,61.73377,350.2095,357.5272
52.4526,349.8227,358.7883,62.15493,350.1229,357.4868
52.91883,349.9933,358.7515,62.60785,350.2982,357.4912
53.46054,350.0184,358.725,63.1486,350.3274,357.4695
54.76991,350.084,358.8068,64.4567,350.3784,357.5612
62.31243,347.7865,358.396,72.91602,348.2107,356.5844
74.48212,346.039,357.4844,85.83955,346.6882,355.2518
75.28881,346.0484,357.4437,86.64512,346.7051,355.2138
83.14906,345.2272,357.0252,94.68495,345.9757,354.6109
84.15595,345.2166,357.038,95.69257,345.9629,354.6212
85.25434,343.7558,357.19,96.89486,344.4958,354.4427
85.42106,343.7072,357.4404,96.78041,344.3607,354.6945
86.55251,343.7821,357.5231,97.90911,344.4184,354.7907
86.86147,344.3533,357.8829,98.1385,344.9181,355.2779
88.03123,344.1554,357.9726,99.3201,344.7071,355.3254
88.29993,345.2285,358.0364,99.70582,345.7855,355.6187
87.50725,345.1772,358.2151,98.18964,345.6298,355.8468
88.77101,345.1492,358.2802,99.45555,345.5906,355.9052
91.31032,344.9477,358.6201,102.0085,345.3317,356.2
97.52671,342.9336,358.438,108.9155,343.4158,355.516
99.99713,342.681,358.7107,111.4047,343.1167,355.7306
101.2994,342.4782,358.8301,112.7209,342.8954,355.8054
99.42561,354.6248,358.2858,109.6528,355.0107,358.0001
100.7356,354.643,358.4086,110.9635,355.0068,358.1241
101.9873,354.6731,358.5484,112.2157,355.0118,358.2669
104.5222,354.5676,358.853,114.7545,354.854,358.5478
113.731,344.256,359.1007,125.514,344.6467,356.4325
116.3118,343.695,359.406,128.131,344.0338,356.6039
117.503,343.7616,359.5511,129.3199,344.0705,356.7599
118.682,344.4176,359.9052,130.2496,344.6288,357.275
120.0046,344.4278,0.08201845,131.5733,344.6047,357.4501
118.6293,344.6841,0.5697222,130.3423,344.7822,357.9663
121.0684,344.8372,0.8628296,132.7749,344.8748,358.2854
122.3528,346.5827,0.7241271,133.9956,346.6221,358.5327
127.3315,347.2454,0.5079814,138.7517,347.3037,358.4908
128.5339,347.1762,0.6194344,139.9578,347.2144,358.586
134.1409,350.405,359.932,145.6684,350.5403,358.5878
135.2835,350.3913,359.8556,146.8111,350.5418,358.5102
137.5265,350.6976,359.7005,149.0431,350.8741,358.4231
137.9186,350.7537,359.6949,149.429,350.9304,358.429
138.9269,350.8122,359.5959,150.4348,351.0072,358.3438
138.8394,352.4378,359.5936,150.2289,352.6114,358.6954
139.7579,352.3283,359.611,151.1504,352.5007,358.6906
139.4788,352.305,359.7486,150.6472,352.4498,358.8455
138.8669,352.7797,359.82,149.3843,352.9053,359.091
140.4158,352.5742,359.8623,150.9381,352.6956,359.0948
138.7167,353.0343,0.1056579,149.1912,353.1077,359.4359
139.3056,352.9925,0.07850546,149.781,353.0716,359.4015
137.9282,352.8465,0.3152633,148.1266,352.8847,359.6407
138.4324,352.7626,0.3079261,148.6325,352.8034,359.6186
137.5661,349.4449,0.8494272,147.5796,349.4057,359.4744
136.7928,349.5062,0.9668848,146.7776,349.4467,359.6032
136.4008,350.8921,0.9294449,146.3247,350.8319,359.8644
136.754,350.8751,0.9445658,146.6783,350.8126,359.8763
137.3119,350.9012,0.9506489,147.2356,350.8371,359.887
137.6382,350.8741,0.9195032,147.5625,350.8159,359.8515
136.7857,350.8625,1.059687,146.4572,350.7811,0.01877602
137.248,350.832,1.032242,146.9203,350.7556,359.9865
135.8367,351.438,1.116021,146.1415,351.339,0.1113529
135.4181,351.5,1.17839,145.2509,351.3918,0.2420072
135.4969,351.5029,1.239226,145.3296,351.3844,0.3024565
135.4412,351.7755,1.293259,145.2681,351.6459,0.4140523
135.3402,351.7942,1.282647,145.1667,351.6661,0.4067107
135.3302,351.5235,1.264278,145.1632,351.4005,0.3306139
135.8869,351.7737,1.235461,145.5041,351.6569,0.3846615
135.7502,351.7565,1.29268,145.3678,351.6304,0.4381935
135.2248,351.7649,1.291069,144.8343,351.6388,0.4385924
135.1359,351.7649,1.273531,144.7455,351.6418,0.4213194
135.0108,351.8016,1.300186,144.7923,351.6715,0.431895
134.9033,351.8679,1.30778,144.6832,351.7355,0.4507502
134.7556,351.0846,1.386452,144.4591,350.9446,0.3703257
134.7779,351.0668,1.360964,144.8596,350.9284,0.2951565
134.7431,351.0435,1.381384,144.8255,350.9019,0.311127
134.4906,350.9588,1.295243,144.2224,350.8344,0.2492735
134.4692,350.9761,1.257046,144.2006,350.8578,0.2145787
134.4259,350.9152,1.311742,144.2002,350.7884,0.2529238
134.3884,350.8932,1.310323,144.1633,350.767,0.2477345
134.3058,350.9146,1.286755,144.0801,350.7921,0.2281941
134.223,350.288,1.295447,144.3162,350.1671,0.06201992
134.2335,350.312,1.284629,144.326,350.1926,0.05564707
134.1964,350.0973,1.269554,144.296,349.982,359.9922
134.1741,350.1429,1.21525,144.2735,350.0362,359.9465
134.1832,350.2339,1.154574,144.2798,350.1363,359.9029
134.2281,349.7437,1.150527,144.333,349.6505,359.792
134.2363,349.9546,0.9746538,144.5523,349.8903,359.6317
134.2636,350.041,0.9364874,144.5768,349.9821,359.6099
134.5391,350.1284,0.9125302,144.6758,350.0705,359.6213
134.6595,350.3694,0.9340474,144.789,350.304,359.6855
134.7193,349.6953,1.013244,144.8187,349.6203,359.6177
134.7292,349.9333,0.9909186,144.821,349.859,359.6393
135.2526,350.4167,0.9713833,144.9019,350.333,359.7434
135.3275,350.7531,1.029628,144.9673,350.655,359.858
135.8663,358.1224,0.4937916,146.1014,358.0485,0.8007903
136.634,7.486468,359.6285,146.9388,7.477731,1.906824
135.7579,16.76762,359.1114,147.3915,16.62021,3.346457
135.9296,17.26758,359.3275,147.5918,17.06815,3.663333
134.1209,21.85976,359.3577,146.1268,21.55014,4.747191
134.2087,22.55226,359.474,146.2709,22.20464,5.016528
133.4137,23.96272,359.8172,145.5773,23.51294,5.672292
133.6674,24.51747,0.06932963,145.8779,24.00665,6.045733
133.5778,24.03678,0.7018945,145.336,23.4666,6.505958
133.3677,22.13141,1.116653,144.9649,21.51505,6.429068
133.5144,22.68011,1.257598,145.153,22.02625,6.685503
134.1715,21.8854,1.69627,145.2528,21.23462,6.866743
134.3952,22.38285,1.813639,145.5119,21.70185,7.08428
135.2053,22.86791,2.183298,146.0658,22.15905,7.500653
134.5759,22.83421,2.287804,145.7413,22.05129,7.604679
134.8906,23.77309,2.563226,146.1252,22.92308,8.070075
133.7379,23.61884,2.542794,144.7799,22.78922,7.965502
133.8891,24.19011,2.665667,144.9749,23.32829,8.20445
134.1522,25.10695,3.12419,145.3044,24.14757,8.844316
134.6622,22.76651,3.62699,144.9847,21.86025,8.656951
134.8331,23.4277,3.801851,145.1999,22.48182,8.956031
134.5165,21.26911,4.024119,144.7208,20.30937,8.642609
134.3223,20.70189,4.280111,144.5481,19.69126,8.73554
134.4037,21.02428,4.405086,144.6471,19.98773,8.918606
134.6147,21.52993,4.533065,144.2988,20.55919,9.014643
134.7057,21.8134,4.522727,144.4079,20.84023,9.055536
133.7032,19.26072,4.559968,143.8999,18.19824,8.630874
133.672,18.82959,4.702481,143.8357,17.7486,8.665649
133.7706,18.80658,4.732388,143.9323,17.72096,8.690624
133.7874,18.3735,4.710776,144.1247,17.26589,8.610763
133.7791,18.50763,4.663998,144.1251,17.40582,8.590262
133.5293,17.77977,4.667688,143.8098,16.68937,8.419254
133.5076,18.01552,4.65655,143.8012,16.92319,8.452343
133.6855,17.83513,4.733529,143.9704,16.73205,8.484144
133.798,17.78229,4.765853,143.867,16.70579,8.444211
133.7332,17.88397,4.712992,143.8089,16.8147,8.411043
133.7314,17.69898,4.712748,143.7637,16.63659,8.356915
133.56,18.01229,4.674157,143.6097,16.95152,8.376206
133.4241,18.40923,4.623067,143.7551,17.31361,8.475929
133.2091,17.20939,4.709414,143.3827,16.12629,8.259519
133.1554,17.32744,4.684387,143.3357,16.2467,8.256752
133.7557,16.48708,4.967109,143.7355,15.39171,8.307557
133.7509,16.56604,5.099797,143.7287,15.44789,8.450581
133.769,16.6141,5.13065,143.7484,15.49003,8.4899
133.7362,16.43434,5.175614,143.7033,15.30454,8.489001
133.707,16.45761,5.206838,143.6743,15.32227,8.523751
133.7398,16.99259,5.208957,143.6981,15.85682,8.636706
133.7791,16.36023,5.28729,143.5554,15.24089,8.537467
133.6913,16.37385,5.245766,143.4693,15.26108,8.499178
133.961,16.67526,5.27082,143.7237,15.56087,8.582625
133.8482,16.67204,5.242353,143.6115,15.56232,8.554157
133.7419,16.64186,5.223135,143.5162,15.53388,8.533182
133.5148,16.60703,5.148648,143.7311,15.44589,8.569189
133.3438,16.60952,5.097279,143.5615,15.45706,8.519409
