L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
82.40604,6.560338,1.219909,91.84039,6.263392,2.569994
82.40604,6.560338,1.219909,91.84039,6.263392,2.569994
81.95905,5.885142,1.130373,91.39527,5.609468,2.389714
81.95905,5.885142,1.130373,91.39527,5.609468,2.389714
81.7143,5.697554,0.5914078,91.16885,5.518903,1.829432
82.72202,5.608232,0.5591232,91.29486,5.470366,1.753169
82.95567,5.636128,0.414585,91.78175,5.522731,1.624901
82.90196,5.672985,0.3071531,91.72894,5.575567,1.524449
82.37933,6.114257,0.1173778,90.95884,6.037323,1.390166
82.35335,6.164373,0.1111793,90.93366,6.087795,1.391552
82.09986,6.249491,0.1287714,90.90197,6.162819,1.430792
82.08627,6.316303,0.1308777,90.88947,6.228527,1.443159
82.04848,6.420434,0.1411635,90.8534,6.329852,1.469351
81.98058,6.247687,0.2206478,90.79263,6.145926,1.524867
81.9006,6.447978,0.3198853,90.7157,6.328718,1.653779
81.52833,5.590234,0.4249881,90.7579,5.450298,1.645481
81.62749,5.20652,0.4463102,90.85133,5.06812,1.604737
81.68037,4.36297,0.5366081,90.8961,4.220113,1.563412
82.56898,3.762152,0.6528456,91.35465,3.629148,1.577902
81.91595,2.95321,0.7113442,90.91476,2.817637,1.512059
81.62997,5.018861,0.4148681,90.65149,4.904123,1.543511
81.18575,4.278484,0.207303,90.20283,4.204124,1.226471
80.84847,4.04416,0.1093205,89.86311,3.988022,1.092885
80.44559,3.664622,0.08619782,89.45634,3.61677,1.010467
74.19735,359.6082,0.4456837,83.05771,359.4745,0.7641124
64.57193,346.6801,1.898633,73.23339,346.496,0.3116056
52.06382,342.5435,2.766577,62.8502,342.1721,0.4537248
51.0239,341.6611,3.077589,61.86446,341.2498,0.585538
48.03829,339.9883,3.782905,58.92394,339.4849,0.95073
46.8245,339.1183,4.005914,57.77262,338.5911,0.9940077
44.9048,341.213,3.864099,55.66094,340.6437,1.153731
49.09903,344.8678,2.842063,58.87645,344.4349,0.8026984
47.82437,344.4162,3.025871,57.62275,343.9597,0.9044382
48.03776,346.1165,2.490913,57.34574,345.7231,0.6856912
46.7654,345.7991,2.516649,56.08652,345.4059,0.6580986
47.81667,348.2863,1.662942,56.88763,347.9961,0.2052687
49.7716,350.1367,0.936291,58.39387,349.9488,359.8268
48.7631,349.9365,0.9712384,57.39067,349.7457,359.8309
51.16433,349.5141,0.3601725,60.13997,349.488,359.1012
50.44833,349.3475,0.4752868,59.42902,349.3059,359.1885
50.65561,347.2461,0.6587718,59.97545,347.2318,359.0009
50.23378,347.1058,0.7578633,59.55907,347.0777,359.0754
50.58999,346.8875,0.7510871,59.9349,346.875,359.0313
50.64062,345.706,0.9195588,60.06704,345.6868,359.0106
50.43645,345.6494,1.063041,59.8658,345.6076,359.1427
51.19623,347.3287,0.9174153,60.54742,347.2992,359.2565
51.13875,347.3693,1.012074,60.48868,347.3242,359.3567
51.59168,347.2299,1.134377,60.9772,347.1733,359.453
51.57667,347.2614,1.251361,60.96125,347.1858,359.5738
51.61536,347.3313,1.41029,60.99754,347.2295,359.7423
51.85019,347.0522,1.459215,61.00979,346.945,359.7966
51.85205,347.0905,1.517138,61.01025,346.9738,359.8601
51.86679,346.8653,1.637762,60.80011,346.7295,359.9931
51.88222,346.8578,1.668267,60.81584,346.7175,0.02210646
51.91074,346.2005,1.788461,60.39978,346.0447,0.1364236
51.9688,346.1854,1.801021,60.45381,346.0275,0.1474921
51.88941,347.0744,1.756862,60.56814,346.9132,0.1916223
51.93706,347.1135,1.760999,60.61443,346.9515,0.2017848
51.99858,347.1391,1.750428,60.67502,346.9781,0.1952845
53.02645,347.1499,1.542823,61.96664,347.034,359.9399
53.05704,346.6182,1.620208,62.00618,346.4961,359.9386
53.56621,345.7336,1.593271,62.81698,345.6339,359.7247
53.60138,345.722,1.548724,62.8525,345.6294,359.6787
53.157,345.4176,1.689544,62.16429,345.2979,359.8221
53.13948,345.4177,1.729146,62.14683,345.2918,359.8613
53.09744,345.4284,1.79043,61.62733,345.2881,0.01987429
53.06598,345.4359,1.819994,61.5956,345.2912,0.05026848
52.57102,345.4665,1.929694,61.56371,345.3048,0.06912574
52.57102,345.4665,1.929696,61.56372,345.3048,0.06912441
52.35182,346.0397,1.913262,61.08295,345.8695,0.1880482
52.61036,346.6077,1.800131,61.55127,346.4529,0.1159313
52.61417,346.6098,1.799131,61.55499,346.4552,0.1152738
52.83436,346.6159,1.75356,61.55441,346.4685,0.1158996
52.83763,346.6157,1.752913,61.78827,346.4708,0.06877647
52.83763,346.6157,1.752908,61.78827,346.4708,0.06877209
53.28035,345.746,1.755002,62.03938,345.6128,359.985
53.28035,345.746,1.755002,62.03938,345.6128,359.985
53.28128,345.741,1.755341,61.80114,345.6051,0.03277394
53.27959,345.7447,1.755298,61.79926,345.6087,0.03329302
53.75595,346.3103,1.597847,62.74355,346.2032,359.8656
52.8241,346.3385,1.785097,61.32086,346.1872,0.1522318
52.8241,346.3385,1.785097,61.32086,346.1872,0.1522318
53.04986,346.1692,2.34071,62.04421,345.9503,0.5770928
53.03026,346.196,2.376247,62.02346,345.972,0.6165243
51.81404,346.2545,2.696016,60.5391,345.9699,0.9945393
52.26659,346.2449,2.618611,61.00258,345.9766,0.9149733
52.01373,346.2539,2.721327,60.97741,345.9665,0.9708062
52.00603,346.2614,2.744397,60.96939,345.9704,0.9948245
51.96968,346.2955,2.777444,60.93167,345.999,1.033083
51.96562,346.3089,2.77825,60.92711,346.0122,1.036031
51.96568,346.3089,2.778244,60.9271,346.0122,1.036041
51.96565,346.3089,2.77825,60.92708,346.0122,1.03604
51.50725,346.6379,2.837506,60.22348,346.3249,1.191279
51.99501,346.6136,2.739697,60.92585,346.3197,1.047945
51.99503,346.6136,2.739698,60.92586,346.3197,1.047942
51.96272,346.0328,2.808386,60.92313,345.7347,1.026332
51.96272,346.0328,2.80838,60.92315,345.7347,1.026331
52.33343,344.5629,2.890452,60.91866,344.2751,0.972018
52.87443,345.9901,2.624953,61.87835,345.7303,0.8312395
52.87443,345.9901,2.624955,61.87835,345.7303,0.8312311
52.88922,346.2742,2.59155,61.87888,346.0167,0.8420171
52.88923,346.2742,2.591544,61.87886,346.0166,0.8420131
51.96323,346.3177,2.777811,60.69038,346.0224,1.084687
51.96323,346.3177,2.77781,60.69038,346.0224,1.084688
51.96323,346.3177,2.777813,60.69038,346.0224,1.084687
52.41336,346.0114,2.7178,60.92637,345.7347,1.025676
52.41337,346.0114,2.717802,60.92637,345.7347,1.025676
52.42827,346.2951,2.684394,60.92819,346.0206,1.036132
52.42827,346.2951,2.684394,60.92819,346.0206,1.036132
52.41311,346.0114,2.717853,60.68347,345.7364,1.075276
52.44837,346.2943,2.680332,60.68554,346.0223,1.08567
52.36953,344.8459,2.852299,60.67629,344.563,1.032382
