L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
83.34993,2.953535,356.4297,93.41599,3.485558,357.1218
83.34993,2.953535,356.4297,93.41599,3.485558,357.1218
82.4563,2.831185,356.5992,92.31591,3.30569,357.2812
82.45736,2.811848,356.6276,92.31729,3.281803,357.3058
82.45736,2.811848,356.6276,92.31729,3.281803,357.3058
82.2271,2.97755,356.6407,92.29225,3.454276,357.3243
82.2338,2.928173,356.653,92.29855,3.403544,357.3277
82.66195,3.136895,356.6285,92.51878,3.60566,357.349
82.44329,2.856716,356.6996,92.51306,3.329076,357.361
82.44329,2.856716,356.6996,92.51306,3.329076,357.361
82.64243,3.040595,356.6667,92.69717,3.518682,357.3544
82.64784,3.029349,356.6763,92.70254,3.505923,357.3619
82.6591,3.03407,356.6978,92.71401,3.50683,357.3839
82.64651,3.031851,356.7081,92.50343,3.488586,357.4094
82.64651,3.031851,356.7081,92.50343,3.488586,357.4094
82.64365,3.027423,356.7123,92.49991,3.483493,357.4128
82.65327,3.028171,356.7267,92.50959,3.48177,357.4272
82.19544,2.982779,356.7854,92.05101,3.419266,357.4768
82.62457,3.006319,356.7462,92.4797,3.456817,357.4426
82.6246,3.00632,356.7462,92.47971,3.456817,357.4426
82.19852,2.985024,356.7849,92.25265,3.435872,357.4607
82.19852,2.985024,356.7849,92.25265,3.435872,357.4607
82.19852,2.985024,356.7849,92.25265,3.435872,357.4607
82.45656,2.088544,356.863,92.3167,2.528856,357.4279
82.45656,2.088544,356.863,92.3167,2.528856,357.4279
82.45656,2.088544,356.863,92.3167,2.528856,357.4279
82.40773,2.996402,356.7658,92.25764,3.43943,357.4604
82.01623,2.297932,356.8773,91.89252,2.726451,357.4689
82.01623,2.297932,356.8773,91.89252,2.726451,357.4689
81.81272,2.293836,356.8952,91.88823,2.730117,357.4694
82.02405,2.302193,356.8762,92.29535,2.759196,357.4367
82.21117,2.760933,356.809,92.27663,3.211741,357.452
82.2112,2.760936,356.809,92.27663,3.211745,357.452
82.2112,2.760936,356.809,92.27663,3.211745,357.452
82.3954,3.450382,356.7158,92.66161,3.925345,357.4416
82.3954,3.450382,356.7158,92.66161,3.925345,357.4416
81.5388,1.470681,357.2512,91.59318,1.864098,357.6544
81.77566,1.820909,357.2381,91.82576,2.218857,357.6878
81.32141,1.585301,357.3035,91.37042,1.975482,357.7111
81.43362,1.654409,357.2136,91.06413,2.042896,357.6765
80.87296,2.224679,357.216,90.50093,2.604988,357.756
80.80043,2.419799,357.2183,90.4228,2.800871,357.7858
80.80043,2.419799,357.2183,90.4228,2.800871,357.7858
80.22733,2.378088,357.2526,89.84946,2.753767,357.8125
80.08319,2.648154,357.1389,89.9161,3.061419,357.7149
79.81441,2.992419,357.0273,89.63518,3.423251,357.6588
79.81441,2.992419,357.0273,89.63518,3.423251,357.6588
80.28914,2.859413,356.9678,89.911,3.305523,357.6091
79.8945,2.676455,357.0617,89.51797,3.109198,357.6771
79.8945,2.676455,357.0617,89.51797,3.109198,357.6771
79.52985,2.703933,357.0534,89.35772,3.146297,357.6497
79.51814,2.772718,357.034,89.3443,3.217243,357.6426
79.51814,2.772718,357.034,89.3443,3.217243,357.6426
79.54108,2.852852,357.0584,89.36811,3.292079,357.6803
79.34276,3.587819,357.0335,89.38116,4.030193,357.7369
79.91835,2.780015,357.0647,89.54028,3.210272,357.7041
79.91835,2.780015,357.0647,89.54028,3.210272,357.7041
79.12114,3.286097,357.0868,88.74697,3.689575,357.7963
80.05337,3.144352,356.9795,89.88127,3.596649,357.6531
80.05337,3.144352,356.9795,89.88127,3.596649,357.6531
79.62673,3.134383,357.0284,89.24702,3.557592,357.7209
79.62673,3.134383,357.0284,89.24702,3.557592,357.7209
79.64394,2.906778,357.0521,89.46777,3.341677,357.6906
79.64394,2.906778,357.0521,89.46777,3.341677,357.6906
79.51384,2.736966,357.0866,89.34862,3.16784,357.7156
79.28411,3.005587,357.0812,89.12154,3.433429,357.7563
76.09937,5.078591,357.174,85.7518,5.396396,358.1603
76.09937,5.078591,357.174,85.7518,5.396396,358.1603
64.16184,8.209496,357.9442,74.28481,8.147166,359.3243
63.657,8.575966,357.8873,73.78962,8.517831,359.3334
63.657,8.575966,357.8873,73.78962,8.517831,359.3334
58.52214,12.70675,357.8175,69.6752,12.60923,359.7913
57.17775,13.15574,357.6894,68.35586,13.06365,359.7576
56.99744,13.68691,357.4485,68.19794,13.63918,359.6257
56.59842,13.95646,357.373,67.81211,13.91784,359.6056
55.98057,13.44568,357.2794,67.20179,13.4382,359.4662
55.50046,13.79274,357.201,66.73841,13.79344,359.459
54.91323,13.03091,357.1223,66.1524,13.06817,359.2973
54.91323,13.03091,357.1223,66.1524,13.06817,359.2973
53.94124,12.91402,357.0796,65.19317,12.96323,359.266
51.51881,14.10864,356.9073,62.71838,14.13602,359.3119
50.85214,14.39572,356.7773,62.06646,14.44213,359.2419
44.40089,18.01317,356.1895,55.85382,18.03488,359.2375
42.02776,18.67631,356.0013,53.52461,18.70662,359.1824
42.02776,18.67631,356.0013,53.52461,18.70662,359.1824
41.42231,19.17691,355.7628,52.94483,19.25504,359.0452
40.6781,19.32277,355.6643,52.21133,19.41655,358.9795
40.43254,18.39227,355.7311,51.93623,18.51198,358.9182
40.26675,18.38851,355.7722,51.77757,18.51955,358.9817
40.26675,18.38851,355.7722,51.77757,18.51955,358.9817
39.05699,18.93193,355.6638,50.60429,19.07652,358.9908
37.53225,19.43255,355.4789,49.11546,19.60196,358.9159
37.90835,19.47976,355.4723,49.50127,19.6765,358.9454
37.90835,19.47976,355.4723,49.50127,19.6765,358.9454
37.79978,18.03458,355.595,49.35459,18.26696,358.8914
37.79978,18.03458,355.595,49.35459,18.26696,358.8914
36.5791,18.45969,355.4078,48.1628,18.7191,358.7976
36.9854,18.80587,355.4244,48.59135,19.07728,358.8964
36.9854,18.80587,355.4244,48.59135,19.07728,358.8964
37.31777,19.21968,355.3314,48.81056,19.50636,358.8808
37.07181,18.89882,355.6117,48.32961,19.13056,359.0859
38.57986,18.2281,355.7869,49.59302,18.46131,359.1514
38.57986,18.2281,355.7869,49.59302,18.46131,359.1514
38.0974,18.43277,355.7045,49.1239,18.67715,359.1117
37.86857,18.74789,355.573,49.34542,19.05757,359.1013
38.03951,19.17883,355.475,49.11015,19.47715,359.0288
37.50109,19.39312,355.2495,48.58648,19.72787,358.8506
39.1201,19.67918,355.1573,50.20983,20.05352,358.8172
39.1201,19.67918,355.1573,50.20983,20.05352,358.8172
39.10429,19.26986,354.8627,49.96586,19.69641,358.4345
