Yaw,Pitch,Roll
266.6357,3.577548,266.5742
266.6568,3.592516,266.5187
266.6568,3.592516,266.5187
266.6749,3.604594,266.4939
266.6794,3.621982,266.4857
266.7435,3.595727,266.5093
266.7435,3.595727,266.5093
266.7814,3.589693,266.5283
266.8206,3.602621,266.5184
266.8206,3.602621,266.5184
266.8431,3.603731,266.5148
266.8611,3.614269,266.5216
266.8946,3.642184,266.5439
266.8946,3.642184,266.5439
266.9257,3.666531,266.5709
266.9372,3.710847,266.597
266.9465,3.726269,266.6157
266.9465,3.726269,266.6157
266.9575,3.728311,266.6186
266.9555,3.729007,266.6144
266.9369,3.734596,266.6165
266.9247,3.735638,266.6125
266.8892,3.733133,266.6187
266.8601,3.730407,266.6423
266.779,3.740464,266.7126
266.779,3.740464,266.7126
266.7334,3.740149,266.7669
266.6109,3.721843,266.9011
266.3455,3.730335,267.3361
266.192,3.763447,267.6139
266.134,3.779978,267.7568
266.134,3.779978,267.7568
266.0037,3.834456,268.0458
265.9346,3.871544,268.1888
265.8375,3.920402,268.4654
265.8375,3.920402,268.4654
265.6924,3.994381,268.8563
265.6126,4.074527,269.1297
265.6126,4.074527,269.1297
265.5662,4.117604,269.3139
265.5331,4.159216,269.5206
265.4439,4.247868,270.0252
265.4439,4.247868,270.0252
265.3692,4.309256,270.653
265.1724,4.48239,272.152
265.1001,4.520066,272.5368
264.9481,4.602972,273.3174
264.9481,4.602972,273.3174
264.7579,4.666399,274.0981
264.5358,4.704772,274.8506
264.5358,4.704772,274.8506
264.1896,4.760057,275.899
264.071,4.768166,276.2224
263.8498,4.783196,276.8109
263.8498,4.783196,276.8109
263.6396,4.788474,277.3774
263.5495,4.792806,277.6326
263.4492,4.796428,277.8658
263.2614,4.796194,278.3177
263.004,4.808048,279.1122
262.9171,4.812102,279.4003
262.9171,4.812102,279.4003
262.7614,4.783961,280.0472
262.6174,4.720493,280.7992
262.5433,4.696417,281.1798
262.5433,4.696417,281.1798
262.3145,4.636732,282.3002
262.1552,4.572081,283.0752
261.9956,4.537147,283.7805
261.9956,4.537147,283.7805
261.8407,4.478867,284.4137
261.6881,4.439268,285.0368
261.6089,4.414877,285.3404
261.6089,4.414877,285.3404
261.4445,4.337532,285.9019
261.2556,4.250152,286.412
261.1689,4.204411,286.6567
261.0797,4.155056,286.8843
260.8384,3.996181,287.5637
260.7671,3.943666,287.8133
260.7671,3.943666,287.8133
260.6531,3.897285,288.251
260.5946,3.862116,288.4497
260.5225,3.811616,288.8223
260.4364,3.744501,289.3369
260.3847,3.705293,289.6078
260.3847,3.705293,289.6078
260.3594,3.694196,289.7041
260.3079,3.673403,289.7317
260.3079,3.673403,289.7317
260.1798,3.620926,289.0908
260.1354,3.585845,288.657
260.0869,3.560668,288.1356
259.9135,3.551488,285.8641
259.8705,3.548708,284.9323
259.8173,3.42971,282.8218
259.8173,3.42971,282.8218
259.8465,3.251621,280.582
259.8879,3.154258,279.4215
260.029,2.926826,276.9543
260.2027,2.709569,274.3409
260.4118,2.467222,271.543
260.4118,2.467222,271.543
260.6506,2.24454,268.5575
260.7451,2.170105,266.9887
260.7451,2.170105,266.9887
260.9124,2.074444,263.7532
261.1156,1.715498,258.7599
261.1913,1.528177,257.0798
261.5527,1.19564,253.3416
261.3994,1.154114,249.7893
261.3994,1.154114,249.7893
261.3439,1.103356,246.7687
261.4383,0.9509733,243.998
261.4383,0.9509733,243.998
261.6163,0.8011919,239.9897
261.6163,0.8011919,239.9897
261.6604,0.9106443,237.6439
261.6045,1.05487,236.4255
261.5172,1.312918,233.9399
261.6408,1.424994,231.3534
261.6408,1.424994,231.3534
261.8077,1.556472,228.7591
261.8728,1.781148,226.3741
261.9339,1.887977,225.1745
262.0625,2.074934,222.7644
262.1301,2.149997,221.6321
262.2064,2.221323,220.5348
262.2771,2.353737,218.218
262.3929,2.444836,215.7848
262.3929,2.444836,215.7848
262.5394,2.449206,213.7077
262.6506,2.711197,209.694
262.6987,2.665618,210.1354
262.6969,2.529141,208.5168
262.7633,2.352187,206.6245
262.8803,2.132875,204.7279
262.8803,2.132875,204.7279
262.8938,1.880151,202.892
262.8622,1.585429,201.2047
262.9667,1.272362,199.6997
263.0667,1.128357,199.019
263.2952,0.8500935,197.7663
263.2952,0.8500935,197.7663
263.5585,0.6241823,196.6805
263.7819,0.4224416,195.7585
263.7819,0.4224416,195.7585
263.9895,0.2349319,195.0405
264.0773,0.1578655,194.7577
264.2231,0.01102948,194.3202
264.2608,359.8707,194.0587
264.2608,359.8707,194.0587
264.2024,359.7178,193.8763
264.1105,359.5609,193.7234
263.9657,359.403,193.5738
263.8663,359.3159,193.507
263.6717,359.1378,193.344
263.6717,359.1378,193.344
263.5421,358.9688,193.1722
263.5161,358.864,193.0127
263.5161,358.864,193.0127
263.5513,358.8896,192.8502
263.7836,359.1201,192.742
263.9683,359.3136,192.7488
264.2064,359.5662,192.818
264.7927,0.2283974,193.1962
265.4162,1.049726,193.9403
265.7521,1.507717,194.4202
266.5405,2.516585,195.4113
266.5405,2.516585,195.4113
267.9209,4.209234,196.8274
267.9209,4.209234,196.8274
269.0037,5.446692,197.6727
270.0686,6.652933,198.5608
271.0752,7.778027,199.4852
271.0752,7.778027,199.4852
271.5502,8.298571,199.9582
272.3291,9.161466,200.9021
272.6774,9.52207,201.3835
273.3986,10.0862,202.3575
273.8063,10.39384,203.2997
273.9068,10.45907,203.7857
274.0048,10.44875,204.3103
274.2264,10.29732,205.4698
274.2791,9.964312,206.7626
274.2791,9.964312,206.7626
274.343,9.570479,208.1877
274.3998,9.370098,208.9516
274.7835,8.883018,211.5195
274.7835,8.883018,211.5195
275.2011,8.788082,213.2554
275.445,8.808889,214.0909
276.036,8.960112,215.7305
276.394,9.0804,216.5266
276.7884,9.241382,217.2845
278.176,9.883265,219.3788
278.176,9.883265,219.3788
278.734,10.14704,219.9906
280.517,11.01359,221.7032
281.1789,11.32483,222.2616
281.8813,11.63707,222.8304
281.8813,11.63707,222.8304
282.5762,11.95523,223.4049
283.8912,12.60098,224.5964
283.8912,12.60098,224.5964
285.2993,13.24125,225.8838
286.5394,13.88737,227.1146
288.991,14.99911,229.1504
289.484,15.25147,229.5282
289.9031,15.45402,229.8345
289.9031,15.45402,229.8345
290.3237,15.61762,230.1199
291.2284,15.83321,230.7169
291.2284,15.83321,230.7169
292.1048,16.02265,231.4457
293.0396,16.19518,232.3176
294.0223,16.35215,233.2749
295.5586,16.63117,234.7791
296.4539,16.84435,235.7514
296.864,16.94306,236.2061
297.2297,17.02768,236.6199
297.2297,17.02768,236.6199
297.6119,17.10321,237.0174
298.4183,17.18365,237.8804
298.4183,17.18365,237.8804
299.0778,17.30743,238.7094
299.7807,17.31503,239.4392
301.046,17.45815,240.6138
301.2941,17.47727,240.8053
301.2941,17.47727,240.8053
301.4558,17.50187,240.9314
301.5049,17.55565,240.9829
299.8943,17.80514,240.0833
299.0072,17.70061,239.6002
