Yaw,Pitch,Roll
263.1556,3.533117,273.4225
263.1556,3.533117,273.4225
263.2489,3.535836,273.3918
263.3217,3.581305,273.3785
263.3217,3.581305,273.3785
263.3933,3.573144,273.3801
263.4142,3.581806,273.37
263.4142,3.581806,273.37
263.4234,3.592976,273.3721
263.4234,3.592976,273.3721
263.4234,3.592976,273.3721
263.4234,3.592976,273.3721
263.4234,3.592976,273.3721
263.393,3.54617,273.394
263.3921,3.544769,273.3959
263.3921,3.544769,273.3959
263.3868,3.548372,273.3755
263.3845,3.552141,273.3548
263.3845,3.552141,273.3548
263.3845,3.552141,273.3548
263.3845,3.552141,273.3548
263.3845,3.552141,273.3548
263.3845,3.552141,273.3548
263.3845,3.552141,273.3548
263.3845,3.552141,273.3548
261.7451,2.560343,277.6416
260.619,1.822944,279.7289
258.9888,1.06171,282.0196
258.026,0.6131271,282.9683
256.9696,0.1858395,283.8891
255.8282,359.9067,285.0041
255.8282,359.9067,285.0041
254.4404,359.8123,286.3528
247.1937,358.8838,291.0675
242.8131,358.4711,293.5746
240.5066,358.2643,294.815
238.1365,358.1599,295.9238
238.1365,358.1599,295.9238
230.3064,358.4212,299.5145
227.4322,358.5037,300.6476
221.4696,358.4423,302.8463
212.1897,358.9751,305.6014
212.1897,358.9751,305.6014
209.0669,359.1853,306.4376
205.9408,359.4465,307.2323
205.9408,359.4465,307.2323
196.9845,0.6500447,308.7762
188.9594,2.490868,309.7925
186.5273,3.108941,309.6898
182.0078,4.607861,309.9738
179.944,5.443529,309.8927
176.2416,6.920841,309.7297
174.5764,7.519516,309.6268
171.6797,8.762879,309.375
171.6797,8.762879,309.375
168.5293,10.33223,308.9102
168.5293,10.33223,308.9102
167.2025,11.40887,308.6676
166.7547,11.8351,308.5703
166.4077,12.12601,308.4784
166.0621,12.74122,308.2056
165.9694,13.12004,308.0711
165.7316,13.67373,307.7505
165.5488,14.10424,307.2767
165.4502,14.31641,307.1017
165.2293,14.50169,306.6983
164.9817,14.77412,306.1341
164.9817,14.77412,306.1341
164.6271,14.88668,305.7024
164.3014,14.97648,305.1633
164.3014,14.97648,305.1633
164.0976,14.99021,304.9283
163.7715,14.90395,304.6336
163.4359,14.91314,304.2081
163.274,14.83979,304.042
163.0347,14.89168,303.8781
162.835,14.86649,303.4727
162.835,14.86649,303.4727
162.8127,14.81497,303.2007
162.861,14.85381,302.8177
162.7479,14.94408,302.5868
162.6576,14.92015,302.1915
162.6229,14.83709,301.9973
162.6229,14.83709,301.9973
162.6229,14.83709,301.9973
162.6229,14.83709,301.9973
162.6229,14.83709,301.9973
162.7903,14.59962,300.589
163.0435,14.28411,299.6182
163.0435,14.28411,299.6182
163.937,13.82212,297.6842
164.3477,13.41407,296.3018
164.8676,13.07693,295.1133
166.218,12.41492,292.4799
167.8269,11.95171,289.5063
167.8269,11.95171,289.5063
169.5584,11.27147,286.3619
171.3584,10.51753,283.3651
172.316,10.16316,281.8564
173.2882,9.87187,280.2526
175.1856,9.302107,276.7505
176.1649,8.827465,275.2238
177.1678,8.294595,273.8782
179.4873,7.035286,270.8838
180.7483,6.470491,269.1488
182.0619,5.975259,267.5235
184.7919,4.980479,264.4872
187.9788,3.89652,261.1802
191.6012,3.09759,258.1029
191.6012,3.09759,258.1029
195.2589,2.726298,255.3153
199.4571,2.18722,252.2643
204.24,1.515257,249.0715
204.24,1.515257,249.0715
206.7387,1.266688,247.6507
212.0098,0.8438962,244.8048
217.8845,0.5544339,241.6713
223.4408,1.15108,239.4053
223.4408,1.15108,239.4053
228.1918,2.295404,237.916
234.0135,3.506716,232.1214
238.3028,4.987829,233.1595
240.2108,5.775046,233.0534
240.2108,5.775046,233.0534
243.9239,7.207536,232.8931
