Yaw,Pitch,Roll
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.5055,0.2854911,275.4175
266.9998,0.2467192,279.9825
266.9998,0.2467192,279.9825
266.521,0.5054901,282.5498
265.9942,0.6361632,284.937
265.5112,0.7849209,286.9689
265.048,0.8074422,288.5981
264.7945,0.7740206,289.4987
264.2915,0.806479,291.3253
263.608,1.014874,295.1022
263.3389,1.20049,296.6541
263.3389,1.20049,296.6541
262.459,1.945443,301.1144
262.109,2.247375,302.5564
261.6923,2.445504,303.9724
261.1736,2.615554,305.4445
260.6774,2.82736,307.095
260.6774,2.82736,307.095
259.8187,3.444043,310.5593
259.3972,3.656248,312.0629
258.5441,4.00341,314.7289
257.8868,4.398001,317.0578
257.3538,4.779192,319.0642
257.0909,4.893216,319.741
256.6077,5.144544,321.3289
256.3781,5.317724,322.1953
256.0096,5.653144,323.8549
255.5349,6.021697,326.2681
255.5349,6.021697,326.2681
255.3394,6.22296,325.6361
255.1553,6.359577,326.8855
255.0439,6.525529,327.7929
254.9049,6.985685,328.7068
254.7616,7.860007,330.559
254.8136,8.136082,330.4188
254.8065,8.509187,331.6921
254.8149,8.778112,331.6008
254.8149,8.778112,331.6008
254.0187,10.14498,333.7831
254.0187,10.14498,333.7831
252.9839,11.41299,334.3735
252.3603,12.00588,333.8403
252.3603,12.00588,333.8403
250.2261,13.36043,333.8807
247.5559,14.88024,333.5637
245.0789,16.51165,333.1367
245.0789,16.51165,333.1367
242.64,17.94535,332.5871
237.4855,21.12654,330.8279
233.8464,22.98966,329.4357
232.1217,24.0282,329.5326
232.1217,24.0282,329.5326
230.063,24.62511,327.9519
228.1132,25.49654,327.8906
224.1814,26.96473,326.2436
216.8153,28.89214,323.3421
214.9009,28.64502,322.1261
214.9009,28.64502,322.1261
212.1243,29.03382,321.4116
209.0795,29.66436,320.4847
207.8702,29.63812,319.9564
207.8702,29.63812,319.9564
206.2003,29.29251,318.832
204.9443,29.70147,318.5324
204.9443,29.70147,318.5324
202.4186,29.85336,316.9952
200.1454,29.85242,315.7001
200.1454,29.85242,315.7001
198.5006,29.65841,314.9893
197.5263,29.30537,314.5182
