Yaw,Pitch,Roll
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.3231,358.9202,280.8336
273.5098,359.2852,284.2904
273.7037,359.3779,285.4993
274.0736,359.663,286.8183
274.0736,359.663,286.8183
274.5884,359.975,288.3647
274.8857,0.1138491,289.1568
275.4922,0.3301083,290.6284
275.4922,0.3301083,290.6284
276.1063,0.5931016,292.0323
276.6825,0.7537023,293.3274
276.6825,0.7537023,293.3274
277.2191,0.9672913,294.7234
278.4134,0.8270263,298.0863
279.2415,359.2526,300.4014
279.2415,359.2526,300.4014
279.5474,359.5744,302.1403
279.8677,359.8081,303.9045
279.8677,359.8081,303.9045
280.3802,359.6964,306.1941
280.1754,0.04463358,307.7121
280.6563,0.0243223,309.7079
280.6563,0.0243223,309.7079
281.2697,0.1065237,311.2535
281.8762,359.9651,312.1971
281.8762,359.9651,312.1971
282.6299,359.7249,313.4362
282.6299,359.7249,313.4362
282.9437,359.6801,314.599
282.9437,359.6801,314.599
283.1311,359.6132,315.7481
283.2281,359.5963,316.9553
283.2352,359.5628,318.3121
283.161,359.4622,319.7165
283.161,359.4622,319.7165
283.1061,359.3745,321.2254
282.9655,359.1331,322.7291
282.8294,359.0071,324.0194
282.8294,359.0071,324.0194
282.7248,358.793,324.9462
282.7039,358.754,325.92
282.7039,358.754,325.92
282.6927,358.6906,326.3755
282.6927,358.6906,326.3755
282.5469,358.2699,328.1433
282.5469,358.2699,328.1433
282.5284,358.1888,328.7993
282.5595,358.0081,329.5117
282.5595,358.0081,329.5117
282.4838,357.7765,330.2617
282.4509,357.565,331.0909
282.4878,357.3127,331.9247
282.4878,357.3127,331.9247
282.45,357.1551,332.4819
282.3552,357.0816,332.868
282.2833,357.0819,333.102
282.2833,357.0819,333.102
282.2187,357.1945,332.9756
282.1408,357.2882,332.5766
282.1408,357.2882,332.5766
282.1095,357.3531,332.3408
282.1155,357.4509,331.8984
282.1019,357.4801,331.2959
282.1541,357.6002,330.6748
282.2086,357.6629,330.4251
282.2758,357.7091,329.7466
282.2758,357.7091,329.7466
282.2509,357.6823,328.6721
282.2578,357.8243,327.5053
282.1552,358.0366,326.1383
282.1552,358.0366,326.1383
282.0284,358.3722,324.3782
281.8553,358.7794,322.2442
281.8553,358.7794,322.2442
281.5394,359.3505,320.0069
281.1679,359.9799,317.6035
281.1679,359.9799,317.6035
280.7174,0.5443264,315.0581
280.2081,1.066642,312.3682
279.663,1.511806,309.5685
279.663,1.511806,309.5685
279.1371,1.870399,306.7377
278.6334,2.230971,303.8485
278.1093,2.565122,300.8289
278.1093,2.565122,300.8289
277.5764,2.82702,297.7041
