Yaw,Pitch,Roll
265.3608,358.0854,275.2698
265.3608,358.0854,275.2698
265.3496,358.0881,275.2493
265.3459,358.0955,275.2375
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.3384,358.0994,275.2178
265.5307,357.9053,276.4841
265.5307,357.9053,276.4841
265.5253,357.9694,277.4492
265.6152,358.0059,278.3546
265.697,358.0249,279.3681
265.697,358.0249,279.3681
265.8383,358.088,280.6183
265.8978,358.1248,281.1731
265.9645,358.2938,282.1291
266.0972,358.3305,283.3098
266.0972,358.3305,283.3098
266.2359,358.2498,284.5265
266.2813,358.313,285.0091
266.9501,358.4734,284.6611
266.9501,358.4734,284.6611
267.1246,358.4096,286.1357
267.1246,358.4096,286.1357
266.6031,358.1351,287.3275
266.6591,358.0737,288.4452
266.712,358.1024,288.824
266.7947,358.238,289.6773
266.7947,358.238,289.6773
266.8347,358.2832,290.1997
266.7994,358.6011,291.3245
267.0209,358.8611,291.9384
267.1634,358.9477,292.255
267.1634,358.9477,292.255
267.1938,359.0444,292.5794
267.2006,359.085,292.783
267.162,359.6271,292.7398
267.2055,359.6776,293.026
267.2055,359.6776,293.026
267.2019,359.7105,293.6176
267.2199,359.6954,294.0951
267.2426,359.6283,294.441
267.2488,359.6092,294.6048
267.2497,359.5418,294.9576
267.2497,359.5418,294.9576
267.2578,359.5007,295.3757
267.251,359.4722,295.5799
267.2341,359.4102,296.0208
267.2053,359.362,296.4486
267.2053,359.362,296.4486
267.1489,359.3209,296.8807
267.1017,359.2932,297.346
267.073,359.3242,297.581
267.0086,359.2505,297.9845
267.0086,359.2505,297.9845
266.9547,359.2433,298.3038
266.9355,359.2568,298.4935
266.8129,359.2794,299.043
266.8129,359.2794,299.043
266.7479,359.2782,299.3195
266.7191,359.2785,299.4227
266.6551,359.2605,299.5673
266.6278,359.2543,299.5615
266.6038,359.2568,299.5092
266.5775,359.2981,299.2907
266.5869,359.2852,298.8258
266.6044,359.2751,298.5241
266.6653,359.2395,298.0196
266.7513,359.1615,297.3526
266.7513,359.1615,297.3526
266.826,359.0081,296.2904
266.8837,358.836,294.9003
267.0028,358.7221,293.0417
267.0315,358.6571,291.994
267.0315,358.6571,291.994
267.1479,358.4998,289.6932
267.2117,358.4489,288.3705
267.3256,358.316,285.7535
267.4553,358.2573,283.2282
267.5389,358.2152,282.0408
267.5389,358.2152,282.0408
267.7462,358.0919,279.6902
268.0656,357.7319,276.2559
268.2018,357.5946,275.0708
268.5425,357.4276,272.6153
268.6824,357.4338,271.4686
268.6824,357.4338,271.4686
268.9254,357.3805,269.5521
269.2616,357.2094,267.2136
269.2616,357.2094,267.2136
269.5414,357.2184,265.6066
269.7142,357.2726,264.0823
269.7142,357.2726,264.0823
269.9048,357.1985,262.6131
270.1413,357.2199,261.1571
270.3255,357.4051,259.5981
270.3255,357.4051,259.5981
270.4734,357.4052,258.8941
270.8433,357.3647,257.5753
271.1583,357.4986,256.3714
271.1583,357.4986,256.3714
271.4463,357.6351,255.1554
271.7401,357.6567,254.0522
271.8948,357.6805,253.5832
271.8948,357.6805,253.5832
272.0497,357.7397,253.1565
272.7375,358.0255,251.2888
273.0835,358.112,250.1933
273.0835,358.112,250.1933
273.451,358.2061,249.1152
273.8249,358.3394,248.0773
274.1734,358.4284,247.077
274.1734,358.4284,247.077
274.5303,358.4286,246.283
274.6864,358.4442,245.9997
274.9852,358.4975,245.4522
275.3089,358.5304,244.8268
275.3089,358.5304,244.8268
275.587,358.587,244.12
275.8401,358.6879,243.4298
276.0598,358.829,242.752
276.0598,358.829,242.752
276.2513,358.9602,241.9509
276.331,359.0161,241.483
276.5004,359.1625,240.5341
276.5004,359.1625,240.5341
276.6696,359.3352,239.5541
276.8408,359.5532,238.5517
276.9797,359.818,237.5082
277.0992,0.0912138,236.379
277.1632,0.2316465,235.8214
277.1632,0.2316465,235.8214
277.2819,0.4705524,234.8793
277.3684,0.7196323,234.1579
277.5476,0.8942993,233.484
277.5476,0.8942993,233.484
277.702,0.9708725,233.2466
