Yaw,Pitch,Roll
285.2157,3.252343,280.5874
285.2157,3.252343,280.5874
285.2157,3.252343,280.5874
285.2157,3.252343,280.5874
285.2157,3.252343,280.5874
285.2157,3.252343,280.5874
285.3034,3.193368,280.7151
285.3944,3.266225,280.8608
285.3944,3.266225,280.8608
285.3944,3.266225,280.8608
285.3944,3.266225,280.8608
285.362,3.298835,280.9778
285.362,3.298835,280.9778
285.3694,3.229875,281.0222
285.4132,3.226172,281.1228
285.4162,3.213246,281.1626
285.4162,3.213246,281.1626
285.4729,3.175856,281.1876
285.4951,3.155835,281.2683
285.4951,3.155835,281.2683
285.5117,3.151797,281.2795
285.5117,3.151797,281.2795
285.5329,3.132177,281.2944
285.5544,3.110049,281.304
285.5544,3.110049,281.304
285.6961,3.089721,282.2901
285.9564,3.068064,283.8385
286.1199,2.996505,284.6821
286.1199,2.996505,284.6821
286.3154,2.938156,285.643
286.9547,2.818812,288.2704
286.9547,2.818812,288.2704
287.7957,2.502258,290.8929
288.5866,2.401831,293.0453
288.5866,2.401831,293.0453
289.5031,2.393569,295.8141
290.4002,2.292299,298.7462
290.8788,2.058893,300.2809
290.8788,2.058893,300.2809
291.3526,1.855325,301.7937
292.8593,1.362046,306.2598
294.2396,0.8518567,311.2517
294.2396,0.8518567,311.2517
295.0606,0.4269625,313.6069
295.7834,0.02707146,315.8748
295.7834,0.02707146,315.8748
296.1139,359.8647,317.02
296.4263,359.7302,318.1282
297.2149,359.291,321.2095
297.2149,359.291,321.2095
297.2465,358.289,323.7952
297.5673,358.0707,325.7308
297.8214,357.7755,327.6122
297.8214,357.7755,327.6122
298.0845,357.5795,329.2216
298.2715,357.421,330.7213
298.2715,357.421,330.7213
298.3944,357.2148,332.3247
298.4243,356.9549,334.0596
298.4243,356.9549,334.0596
298.3106,356.522,335.7838
298.0906,356.0852,337.1707
298.1245,355.9184,338.8188
298.1245,355.9184,338.8188
298.0989,355.7721,340.2182
298.0204,355.6601,341.4909
298.0204,355.6601,341.4909
297.8455,355.5222,342.425
297.8654,355.3798,343.3201
297.8688,355.2976,344.242
297.8913,355.2778,344.7618
297.8913,355.2778,344.7618
297.8867,355.2308,345.7806
297.5891,354.5627,345.1733
297.458,354.3951,346.4703
297.4152,354.2191,347.6885
297.4152,354.2191,347.6885
297.3201,353.9441,348.9192
297.2606,353.6006,350.0296
297.2606,353.6006,350.0296
297.2484,353.3222,350.7658
297.328,353.1621,351.4242
297.3181,353.0299,351.795
297.3181,353.0299,351.795
297.351,352.9323,351.9472
297.1305,351.9422,350.6306
297.3059,351.6468,350.063
297.4304,351.1983,349.9448
297.4304,351.1983,349.9448
297.4538,350.6592,349.4199
297.745,350.1873,348.164
297.745,350.1873,348.164
298.3415,349.6297,345.9045
298.7312,349.0294,344.2601
299.4601,348.377,342.0948
299.4601,348.377,342.0948
300.323,347.3562,339.088
302.0651,346.2554,334.6597
304.3673,345.1303,329.2725
304.3673,345.1303,329.2725
306.832,344.2737,323.312
306.832,344.2737,323.312
308.1089,344.0756,320.0569
311.7297,344.4371,309.3934
311.7297,344.4371,309.3934
314.4686,346.215,297.7903
315.6112,347.9404,289.7505
315.6112,347.9404,289.7505
316.3011,350.6097,281.9765
316.2443,352.8012,273.5709
315.481,355.0788,266.6584
315.481,355.0788,266.6584
314.3529,357.1507,259.7757
312.9793,359.1234,253.3393
312.9793,359.1234,253.3393
311.6233,0.5737591,247.9956
310.1079,2.039254,243.507
308.2333,3.484402,239.4538
308.2333,3.484402,239.4538
306.1936,4.441422,235.4428
304.2745,4.640564,230.3492
302.5905,4.934328,228.2165
302.5905,4.934328,228.2165
299.8282,5.228731,228.6093
298.5339,5.285727,225.806
298.5339,5.285727,225.806
297.6696,5.062329,224.4707
296.5012,5.177234,222.6363
293.8675,5.155214,221.8116
293.8675,5.155214,221.8116
292.6652,5.289292,220.3788
292.249,5.215329,219.1513
292.249,5.215329,219.1513
291.8522,5.207908,218.6669
292.8492,5.296133,220.04
293.1686,6.382813,212.7237
293.1686,6.382813,212.7237
293.1431,5.75413,219.5695
293.3339,5.998645,218.8963
