Yaw,Pitch,Roll
270.2142,358.3662,277.4242
270.2142,358.3662,277.4242
270.2142,358.3662,277.4242
270.2142,358.3662,277.4242
270.2142,358.3662,277.4242
271.74,358.5765,277.487
271.74,358.5765,277.487
271.9178,358.5967,277.5195
271.9642,358.5735,277.5825
271.9642,358.5735,277.5825
271.9642,358.5735,277.5825
271.9642,358.5735,277.5825
271.7522,358.5639,277.6055
271.7522,358.5639,277.6055
271.5744,358.5784,277.719
271.5744,358.5784,277.719
271.4905,358.5932,277.7747
271.4582,358.588,277.7909
271.4582,358.588,277.7909
271.4582,358.588,277.7909
271.4582,358.588,277.7909
271.4582,358.588,277.7909
271.4582,358.588,277.7909
271.4582,358.588,277.7909
271.2671,358.6015,278.5316
271.2671,358.6015,278.5316
271.2698,358.6035,278.7421
271.3145,358.6233,279.0919
271.3977,358.622,279.626
271.3977,358.622,279.626
271.5296,358.5977,280.3342
271.6823,358.6001,281.117
271.6823,358.6001,281.117
271.8392,358.5924,282.0504
272.0197,358.4972,282.9405
272.2266,358.3882,283.8438
272.2266,358.3882,283.8438
272.4395,358.3134,284.7701
272.6372,358.2289,285.6399
272.6372,358.2289,285.6399
272.7984,358.1337,286.5657
272.9447,358.0074,287.5693
273.0526,357.8749,288.6721
273.0526,357.8749,288.6721
273.1558,357.7448,289.8066
273.2495,357.6318,290.9999
273.2495,357.6318,290.9999
273.3044,357.5051,292.1745
273.3757,357.3456,293.3165
273.4459,357.1871,294.4447
273.4459,357.1871,294.4447
273.4971,357.055,295.5365
273.5507,356.9065,296.5311
273.5507,356.9065,296.5311
273.5507,356.9065,296.5311
273.682,356.5512,297.9622
273.7479,356.4085,298.5419
273.7479,356.4085,298.5419
273.7985,356.2896,299.2719
273.8578,356.1933,299.9737
273.9084,356.1389,300.695
273.9084,356.1389,300.695
273.9443,356.0527,301.4612
273.9754,355.9561,302.2374
273.9754,355.9561,302.2374
273.9848,355.8563,302.9923
274.0015,355.7536,303.678
274.0028,355.674,304.302
274.0028,355.674,304.302
274.009,355.6336,304.8425
274.0135,355.5971,305.0824
274.0135,355.5971,305.0824
274.0135,355.5971,305.0824
274.0135,355.5971,305.0824
274.1743,355.3857,306.2733
