Yaw,Pitch,Roll
272.1102,1.628531,284.3636
272.1102,1.628531,284.3636
272.0942,1.551534,283.9863
272.1363,1.38065,283.4995
272.1363,1.38065,283.4995
272.1611,1.344212,283.2141
272.1611,1.344212,283.2141
272.1555,1.376269,282.9505
272.1198,1.333134,282.7753
272.0619,1.274934,282.6918
272.0269,1.232838,282.6536
271.9503,1.200791,282.5561
271.8805,1.224138,282.4154
271.8805,1.224138,282.4154
271.8308,1.248652,282.2958
271.7773,1.29893,282.2448
271.6856,1.29675,282.2497
271.6856,1.29675,282.2497
271.6136,1.228632,282.2716
271.6136,1.228632,282.2716
271.5614,1.286352,282.4323
271.5536,1.326444,282.5165
271.517,1.314131,282.7374
271.4691,1.279032,283.0178
271.4691,1.279032,283.0178
271.4596,1.279389,283.1711
271.4354,1.332764,283.4837
271.4087,1.36249,283.6149
271.3499,1.35307,283.759
271.3253,1.316978,283.8126
271.302,1.279344,283.8764
271.2842,1.171855,283.9794
271.3182,0.9608187,284.0278
271.3369,0.8642788,284.0574
271.3935,0.7402151,284.1337
271.4294,0.7350903,284.179
271.5156,0.7360687,284.2885
271.6351,0.700578,284.4794
271.6881,0.6899819,284.6146
271.7508,0.7529151,284.9107
271.7508,0.7529151,284.9107
271.8147,0.813216,285.241
271.8387,0.8249992,285.4177
271.8426,0.8630834,285.7059
271.8426,0.8630834,285.7059
271.8453,0.9001535,285.8771
271.845,0.9032736,285.9219
271.8324,0.8825449,285.9318
271.788,0.8606806,285.9232
271.6924,0.9528092,285.9119
271.6241,0.9517248,285.8968
271.5385,0.8774831,285.906
271.5385,0.8774831,285.906
271.5006,0.8514469,285.9085
271.4596,0.8109635,285.8849
271.4639,0.7805235,285.9358
271.4964,0.7739079,286.0316
271.5334,0.795437,286.1602
271.5334,0.795437,286.1602
271.7662,1.031184,286.7409
271.7662,1.031184,286.7409
271.8442,1.032355,286.8748
271.9099,0.9874825,286.9361
271.9328,0.9632899,288.2935
271.9328,0.9632899,288.2935
271.9729,0.9497421,287.7915
271.9645,0.8960361,287.5881
271.949,0.8524749,287.4808
271.9568,0.7979592,287.3086
271.9568,0.7979592,287.3086
271.9754,0.7713122,287.2671
271.9925,0.6549338,287.3994
271.9925,0.6549338,287.3994
272.0453,0.5824425,287.685
272.0782,0.5730658,287.8118
272.1385,0.5890459,287.9922
272.1673,0.5685167,288.0615
272.1673,0.5685167,288.0615
272.2168,0.4932106,288.0904
272.2731,0.4992299,288.1045
272.2947,0.4954237,288.1084
272.301,0.5440567,288.1401
272.301,0.5440567,288.1401
272.296,0.5657657,288.197
272.2889,0.5601869,288.2996
272.2864,0.541946,288.3747
272.2832,0.4992009,288.576
272.2881,0.4988577,288.766
272.2881,0.4988577,288.766
272.2873,0.4760509,289.0258
272.2873,0.4760509,289.0258
272.2864,0.4980603,289.2145
272.2865,0.4955347,289.3143
272.2222,0.7433777,290.0493
272.2372,0.6839418,290.3419
272.2372,0.6839418,290.3419
272.2367,0.5710696,290.4922
272.2544,0.5269019,290.5551
272.2881,0.5501477,290.6366
272.3004,0.5884243,290.6578
272.2985,0.5949816,290.6685
272.2901,0.5422961,290.7563
272.2901,0.5422961,290.7563
272.2828,0.5395331,290.8238
272.2827,0.5639403,290.8994
272.2808,0.5701987,290.973
272.2888,0.5872409,291.1139
272.2888,0.5872409,291.1139
272.2912,0.600593,291.2499
272.2945,0.5417804,291.361
272.2941,0.5125955,291.4247
272.2941,0.5125955,291.4247
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.3142,0.530452,291.5206
272.4158,0.3256532,288.4157
272.4158,0.3256532,288.4157
272.4307,0.3496191,287.9056
272.4503,0.3407618,287.3678
272.457,0.3168592,286.7565
272.457,0.3168592,286.7565
272.4299,0.276675,285.8817
272.4299,0.276675,285.8817
272.4031,0.2791629,285.3622
272.388,0.2318377,284.8193
272.388,0.2318377,284.8193
272.3827,0.1860308,284.2259
272.3564,0.2205405,283.6646
272.3414,0.2368119,283.4261
272.2848,0.2592322,283.0316
272.2848,0.2592322,283.0316
272.2353,0.2773768,282.6975
272.1816,0.2653743,282.4705
272.1353,0.2887133,282.3095
272.1353,0.2887133,282.3095
272.1051,0.3259076,282.1619
272.0828,0.3297138,282.1179
272.0743,0.3088831,282.0497
272.0711,0.3128242,281.9867
272.0711,0.3128242,281.9867
272.0844,0.3516545,281.9126
272.0922,0.3590142,281.8274
272.0967,0.3612221,281.7731
272.0742,0.3727346,281.6963
272.0742,0.3727346,281.6963
272.052,0.3715068,281.6318
272.0336,0.3691624,281.5723
272.0266,0.3745258,281.5629
272.0137,0.3924828,281.5586
272.0009,0.4096048,281.5719
271.9709,0.4470233,281.6143
271.9323,0.4921912,281.6154
271.9323,0.4921912,281.6154
271.9144,0.5028467,281.5959
271.8667,0.5246273,281.5528
271.8316,0.525488,281.509
271.8281,0.5244566,281.4585
271.8281,0.5244566,281.4585
271.8281,0.5244566,281.4585
271.8281,0.5244566,281.4585
271.8281,0.5244566,281.4585
271.8281,0.5244566,281.4585
271.8281,0.5244566,281.4585
271.8281,0.5244566,281.4585
271.8281,0.5244566,281.4585
271.8281,0.5244566,281.4585
271.8281,0.5244566,281.4585
271.8281,0.5244566,281.4585
271.8281,0.5244566,281.4585
271.8281,0.5244566,281.4585
271.8281,0.5244566,281.4585
