Yaw,Pitch,Roll
0.5509593,3.22882,275.7198
0.5509593,3.22882,275.7198
0.5491691,3.227404,275.7612
0.5491691,3.227404,275.7612
0.5493095,3.216459,275.7694
0.5326917,3.219723,275.7243
0.5326917,3.219723,275.7243
0.5067317,3.252244,275.6749
0.4993232,3.25483,275.6549
0.4993232,3.25483,275.6549
0.4938991,3.260014,275.6401
0.4747953,3.274425,275.6458
0.4559667,3.235587,275.7525
0.4652197,3.231819,275.7316
0.4763791,3.255609,275.6765
0.4763791,3.255609,275.6765
0.4763791,3.255609,275.6765
0.4763791,3.255609,275.6765
0.5128297,3.301927,275.6992
0.5001293,3.315539,275.7278
0.5001293,3.315539,275.7278
0.4671034,3.344063,275.7485
0.4348889,3.352121,275.8097
0.4210414,3.347609,275.8378
0.4210414,3.347609,275.8378
0.4210414,3.347609,275.8378
0.4210414,3.347609,275.8378
0.4210414,3.347609,275.8378
0.4210414,3.347609,275.8378
0.4210414,3.347609,275.8378
0.4210414,3.347609,275.8378
0.4210414,3.347609,275.8378
0.4210414,3.347609,275.8378
0.4210414,3.347609,275.8378
0.4210414,3.347609,275.8378
355.5509,3.829708,277.2213
353.0456,3.794881,277.7513
351.6471,3.83777,278.019
348.6023,3.968027,278.6546
345.2318,4.074712,279.3652
345.2318,4.074712,279.3652
341.6574,4.105564,280.1295
337.9621,4.120435,280.9453
334.2322,4.104635,281.7284
332.3849,4.104358,282.1005
332.3849,4.104358,282.1005
328.7567,4.129539,282.7603
327.0013,4.083198,283.0208
323.5421,4.001238,283.5359
320.1422,3.812698,283.2569
318.4855,3.806803,283.5595
316.8528,3.863247,283.8125
316.8528,3.863247,283.8125
311.9839,4.572654,284.2599
310.4464,4.871196,284.2958
307.6927,5.536642,284.6491
305.4471,6.163552,284.9557
303.819,6.848626,285.0468
303.2573,7.063176,285.1676
303.2573,7.063176,285.1676
302.5202,7.351457,285.3665
302.4392,7.814207,285.5672
302.5076,7.948559,285.6796
302.6242,8.007902,285.786
303.1879,8.297491,286.0267
303.3756,8.378695,286.102
303.7125,8.490254,286.3014
303.8424,8.518917,286.3802
303.8424,8.518917,286.3802
304.0284,8.582844,286.5104
304.0798,8.632789,286.6647
304.0947,8.629766,286.7472
304.1352,8.664635,286.9108
304.1436,8.700853,286.9792
304.1917,8.752552,287.1131
304.2315,8.77382,287.1712
304.2635,8.803553,287.2131
304.2635,8.803553,287.2131
304.4535,8.94469,287.3011
304.6481,9.096873,287.2904
304.7667,9.164364,287.2767
305.0219,9.292397,287.2832
305.1812,9.362827,287.2591
305.5996,9.487642,287.2975
306.1126,9.56875,287.3602
306.1126,9.56875,287.3602
306.8531,9.494241,287.507
307.8926,9.30457,287.7072
