Yaw,Pitch,Roll
354.1639,3.446108,277.0967
354.1639,3.446108,277.0967
354.1707,3.453794,277.0993
354.1736,3.480101,277.1234
354.1759,3.493482,277.1285
354.1759,3.493482,277.1285
354.1845,3.428224,277.1393
354.1845,3.428224,277.1393
354.1854,3.410009,277.1242
354.1896,3.423733,277.0912
354.1896,3.423733,277.0912
354.193,3.419776,277.0547
354.1926,3.431073,277.0401
354.1926,3.431073,277.0401
354.1958,3.449571,277.0528
354.1945,3.451797,277.1017
354.1945,3.451797,277.1017
354.1895,3.471579,277.1541
354.1736,3.47236,277.1951
354.1765,3.463261,277.2131
354.1675,3.494135,277.225
354.1675,3.494135,277.225
354.1677,3.524649,277.2039
354.1631,3.533818,277.1925
354.1631,3.533818,277.1925
354.1621,3.535358,277.1791
354.1569,3.515708,277.1445
354.1642,3.504356,277.1296
354.1613,3.494935,277.1028
354.1613,3.494935,277.1028
354.1949,3.490816,276.9896
354.2309,3.492234,276.8796
354.2309,3.492234,276.8796
354.294,3.489195,276.7321
354.4308,3.495446,276.4718
354.484,3.500512,276.3803
354.6157,3.532871,276.2053
354.7483,3.571739,276.044
354.7483,3.571739,276.044
354.9963,3.580999,275.7578
354.9963,3.580999,275.7578
355.3353,3.560238,275.6722
355.8622,3.562968,275.5843
355.8622,3.562968,275.5843
356.5096,3.5765,275.4873
357.2868,3.692496,275.4047
358.1077,3.869582,275.3485
358.1077,3.869582,275.3485
358.8714,4.066676,275.277
359.5538,4.223829,275.1855
359.5538,4.223829,275.1855
0.1541182,4.366488,275.1526
0.602112,4.504312,275.1419
0.7823606,4.561994,275.1414
0.9224545,4.648314,275.1472
1.098339,4.842435,275.1899
1.133896,4.931991,275.2407
1.114972,5.104508,275.361
0.9487598,5.196711,275.5103
0.9487598,5.196711,275.5103
0.6298329,5.219262,275.6783
0.4404552,5.215806,275.7843
0.003696328,5.175535,276.1231
359.7462,5.145415,276.2913
359.4734,5.092325,276.4437
358.8013,4.969955,276.7455
357.9878,4.691566,277.0561
357.5676,4.497706,277.2241
356.7469,4.13265,277.591
356.321,3.948494,277.7641
355.432,3.533992,278.0945
355.432,3.533992,278.0945
354.1018,3.015017,278.7985
354.1018,3.015017,278.7985
353.3158,2.717774,279.372
352.5841,2.305754,280.0657
