Yaw,Pitch,Roll
356.5955,6.832373,285.7757
356.5955,6.832373,285.7757
356.5954,6.845389,285.7772
356.5926,6.853538,285.7698
356.5926,6.853538,285.7698
356.58,6.857577,285.7244
356.5911,6.844905,285.6667
356.6139,6.826877,285.6487
356.6815,6.799388,285.6455
356.6815,6.799388,285.6455
356.7165,6.775142,285.648
356.7343,6.751044,285.6271
356.7354,6.741199,285.5934
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.7317,6.726981,285.5723
356.2286,5.722527,284.2419
356.2286,5.722527,284.2419
356.2326,5.665022,284.0613
356.2706,5.633511,284.0327
356.3294,5.593959,284.0088
356.3633,5.604541,284.0217
356.4325,5.638637,284.0714
356.4797,5.621297,284.0903
356.4797,5.621297,284.0903
356.5451,5.594534,284.1118
356.5793,5.640042,284.1321
356.5766,5.630269,284.1402
356.5766,5.630269,284.1402
356.5378,5.642764,284.141
356.4796,5.654669,284.1387
356.4604,5.632522,284.1536
356.4604,5.632522,284.1536
356.4491,5.613312,284.1787
356.4553,5.570862,284.2202
356.4743,5.523103,284.2262
356.5088,5.493863,284.2332
356.5088,5.493863,284.2332
356.5184,5.497794,284.2395
356.5406,5.500202,284.2468
356.5446,5.489643,284.2523
356.5349,5.500966,284.2647
356.4826,5.517082,284.2633
356.4294,5.528309,284.295
356.4294,5.528309,284.295
356.4133,5.54059,284.3268
356.3961,5.53626,284.3448
356.3961,5.53626,284.3448
356.3788,5.573963,284.3528
356.3887,5.557293,284.3328
356.4103,5.506364,284.2767
356.4026,5.519076,284.2511
356.3968,5.556746,284.2343
356.3793,5.607444,284.2338
356.3793,5.607444,284.2338
356.3771,5.651084,284.225
356.3804,5.681189,284.263
356.3789,5.722346,284.3491
356.3807,5.803155,284.4836
356.3595,5.868779,284.483
356.3333,5.912328,284.5072
356.3333,5.912328,284.5072
356.3193,5.981811,284.606
356.3158,6.035041,284.6855
356.3582,6.096504,284.8524
356.3582,6.096504,284.8524
356.4354,6.115253,285.0776
356.5315,6.112256,285.3016
356.5315,6.112256,285.3016
356.6406,6.156572,285.4362
356.7157,6.170766,285.5118
356.7565,6.16263,285.5622
356.8326,6.132724,285.6938
356.8785,6.09283,285.8634
356.8785,6.09283,285.8634
356.8595,6.067967,285.9951
356.8153,6.071326,286.0915
356.7696,6.076513,286.1696
356.7696,6.076513,286.1696
356.7498,6.088964,286.1989
356.7102,6.113019,286.2243
356.6931,6.14188,286.2238
356.6755,6.20406,286.2393
356.6755,6.20406,286.2393
356.7224,6.212927,286.1464
356.7224,6.212927,286.1464
356.7602,6.20639,286.139
356.7602,6.20639,286.139
356.7602,6.20639,286.139
356.7602,6.20639,286.139
356.7602,6.20639,286.139
356.7602,6.20639,286.139
356.7602,6.20639,286.139
356.7602,6.20639,286.139
356.7602,6.20639,286.139
