Yaw,Pitch,Roll
359.8592,353.1896,280.0168
359.8592,353.1896,280.0168
359.9836,352.9746,281.0994
359.9836,352.9746,281.0994
359.969,352.969,281.2097
359.9603,352.9646,281.2495
359.9603,352.9646,281.2495
359.9603,352.9646,281.2495
359.9603,352.9646,281.2495
359.9603,352.9646,281.2495
359.9603,352.9646,281.2495
359.9603,352.9646,281.2495
359.9603,352.9646,281.2495
359.9529,353.0207,281.3278
359.9529,353.0207,281.3278
359.9729,352.9855,281.2573
359.9926,352.9679,281.165
359.9926,352.9679,281.165
0.02033984,352.9532,281.0922
0.02033984,352.9532,281.0922
0.03247504,352.9443,281.0307
0.03247504,352.9443,281.0307
0.03247504,352.9443,281.0307
0.03247504,352.9443,281.0307
0.09363677,352.9181,280.9845
0.09363677,352.9181,280.9845
0.09363677,352.9181,280.9845
0.1153134,352.9295,280.9808
0.1153134,352.9295,280.9808
0.1153134,352.9295,280.9808
0.1153134,352.9295,280.9808
0.1153134,352.9295,280.9808
0.1153134,352.9295,280.9808
0.1153134,352.9295,280.9808
0.1153134,352.9295,280.9808
0.1153134,352.9295,280.9808
0.1153134,352.9295,280.9808
0.1153134,352.9295,280.9808
0.1153134,352.9295,280.9808
0.1153134,352.9295,280.9808
0.1153134,352.9295,280.9808
0.1689115,352.7937,280.762
0.1689115,352.7937,280.762
0.1746991,352.7686,280.7282
0.1553012,352.7538,280.6471
0.1553012,352.7538,280.6471
0.1326196,352.7385,280.6571
0.1027816,352.6664,280.6694
0.09066404,352.6426,280.6514
0.09066404,352.6426,280.6514
0.07831714,352.6314,280.6384
0.07831714,352.6314,280.6384
0.07831714,352.6314,280.6384
0.07831714,352.6314,280.6384
0.07831714,352.6314,280.6384
359.3887,352.3617,280.2982
359.3887,352.3617,280.2982
359.264,352.3217,280.1832
359.264,352.3217,280.1832
359.264,352.3217,280.1832
359.264,352.3217,280.1832
359.264,352.3217,280.1832
357.6796,351.7424,279.418
357.6796,351.7424,279.418
357.1534,351.5567,279.2141
356.5078,351.4688,279.0303
355.8109,351.3254,278.8654
355.8109,351.3254,278.8654
355.0704,351.1549,278.6788
355.0704,351.1549,278.6788
353.3684,350.744,278.2405
353.3684,350.744,278.2405
352.4131,350.4385,278.0286
351.4596,350.1037,277.8129
351.4596,350.1037,277.8129
350.4332,349.781,277.5908
349.3872,349.4208,277.3719
348.2955,349.1692,277.1526
348.2955,349.1692,277.1526
347.1216,349.032,276.9669
345.4013,348.4889,276.6458
345.4013,348.4889,276.6458
344.1715,347.9703,276.5682
342.9149,347.3971,276.5013
342.2923,347.0999,276.4676
342.2923,347.0999,276.4676
340.4054,346.1436,276.3559
339.1768,345.4221,276.322
339.1768,345.4221,276.322
337.9829,344.7618,276.2016
336.8466,344.1223,275.8848
335.7199,343.3376,275.5796
335.7199,343.3376,275.5796
334.5611,342.5616,275.4335
333.4797,341.9047,275.3228
333.4797,341.9047,275.3228
332.4329,341.318,275.3126
331.4747,340.756,275.4236
330.6613,340.2918,275.5327
330.6613,340.2918,275.5327
329.9212,339.8521,275.6674
329.2568,339.3354,275.7983
329.2568,339.3354,275.7983
328.7147,338.479,275.8828
328.0961,337.6002,275.93
327.5077,336.8517,275.8384
327.5077,336.8517,275.8384
326.9315,336.163,275.7615
326.4178,335.504,275.7264
325.9291,335.0306,275.7674
325.9291,335.0306,275.7674
325.3855,334.6354,275.8936
325.0103,334.1181,275.962
325.0103,334.1181,275.962
324.5406,333.815,276.0984
324.0873,333.4024,276.1985
323.6437,332.9609,276.3354
323.6437,332.9609,276.3354
322.9544,332.4175,276.66
322.9544,332.4175,276.66
321.9468,331.6712,277.1339
320.266,331.1245,278.0428
319.2502,330.7585,278.6366
316.4754,329.758,280.2062
316.4754,329.758,280.2062
314.9187,329.3961,281.2153
313.7291,329.0112,282.2024
313.7291,329.0112,282.2024
312.92,328.7736,282.9961
312.3706,328.517,283.6782
312.0042,328.2455,284.2858
312.0042,328.2455,284.2858
311.6784,328.1058,284.9608
311.3898,327.8118,285.5973
311.3898,327.8118,285.5973
310.9263,327.564,286.189
310.6325,327.4161,286.5061
310.6325,327.4161,286.5061
309.3882,327.0516,288.0603
308.8109,326.8114,288.7777
308.8109,326.8114,288.7777
308.3121,326.614,289.4969
307.824,326.5001,290.2082
307.824,326.5001,290.2082
307.4081,326.296,290.9273
307.4081,326.296,290.9273
306.3977,325.9532,292.3528
306.3977,325.9532,292.3528
306.0386,325.8002,292.9617
305.6742,325.467,293.348
305.6742,325.467,293.348
305.4984,325.0396,293.6601
305.3021,324.7627,293.9738
305.0573,324.4878,294.5455
305.0573,324.4878,294.5455
304.7445,324.3958,295.2267
304.3944,324.1061,295.7416
304.3944,324.1061,295.7416
304.2488,323.8572,295.9672
303.7826,323.795,296.9423
303.5517,323.3925,297.5069
303.5517,323.3925,297.5069
303.5517,323.3925,297.5069
303.0856,323.0887,298.854
302.8206,323.0356,299.5472
302.8206,323.0356,299.5472
302.6141,322.9796,300.0325
302.521,322.7517,300.5181
302.521,322.7517,300.5181
302.4287,322.7844,301.0406
302.4363,322.6342,301.3773
302.4363,322.6342,301.3773
302.3578,322.6342,301.9366
302.2833,322.6628,302.4481
302.3008,322.4215,303.1447
302.3008,322.4215,303.1447
302.312,322.4213,304.119
302.5883,322.4031,304.9175
303.2181,322.6185,305.4065
303.2181,322.6185,305.4065
304.3757,323.0499,305.6147
305.8763,323.6701,305.8159
305.8763,323.6701,305.8159
307.3701,324.6746,306.1096
308.9569,325.826,306.4335
308.9569,325.826,306.4335
310.6541,327.0196,306.787
312.3628,328.4366,307.0815
313.8082,329.427,307.3783
313.8082,329.427,307.3783
315.1181,330.3506,307.8538
316.6355,331.3995,308.0443
318.2866,332.3374,308.0608
318.2866,332.3374,308.0608
320.3636,333.4636,308.1172
322.8226,334.5476,308.2225
325.5048,335.4975,308.1787
325.5048,335.4975,308.1787
328.5091,336.5686,307.9481
331.6153,337.5819,307.7239
331.6153,337.5819,307.7239
334.5978,338.5969,307.4378
337.3904,339.7366,307.0621
337.3904,339.7366,307.0621
340.2183,341.2758,306.6914
342.9086,342.6281,306.3145
345.459,343.9636,305.776
345.459,343.9636,305.776
347.8284,345.2199,305.3632
350.2047,346.1911,304.732
352.4213,347.5885,304.7957
352.4213,347.5885,304.7957
354.3803,348.5294,304.8618
356.3431,349.52,304.9566
358.3467,350.5269,304.9805
358.3467,350.5269,304.9805
0.2975384,351.4749,304.8808
2.331671,352.7457,304.8352
2.331671,352.7457,304.8352
4.522013,353.8757,304.7893
6.751221,354.9436,304.6492
6.751221,354.9436,304.6492
8.760702,355.7856,304.5259
10.7085,356.6384,304.4601
12.57814,357.4473,304.3661
12.57814,357.4473,304.3661
14.33226,358.2934,304.358
15.92904,358.9377,304.4093
15.92904,358.9377,304.4093
17.3681,359.6235,304.5079
18.66461,0.3677741,304.7844
19.88964,1.005661,304.9904
19.88964,1.005661,304.9904
21.10726,1.785645,305.1503
22.25533,2.531574,305.3162
22.25533,2.531574,305.3162
23.3742,3.289889,305.4312
24.49436,4.023714,305.5775
25.58302,4.658644,305.6419
25.58302,4.658644,305.6419
26.64023,5.284639,305.6167
27.59605,6.11001,305.6931
27.59605,6.11001,305.6931
28.43854,7.291887,306.0344
29.02659,8.48623,306.2409
29.55642,9.775697,306.416
29.55642,9.775697,306.416
30.04451,10.81924,306.3997
30.6364,11.91514,306.1014
31.31361,13.11697,305.8196
31.31361,13.11697,305.8196
32.03247,14.26237,305.5764
32.89391,15.30463,305.346
32.89391,15.30463,305.346
33.9129,16.38187,305.1501
34.78723,17.41699,304.8365
35.32935,18.22202,304.389
35.32935,18.22202,304.389
35.71561,18.86398,303.7849
35.88391,19.58218,303.1883
35.88391,19.58218,303.1883
