Yaw,Pitch,Roll
359.6797,356.3897,277.2083
359.6623,356.3784,277.2081
359.6075,356.4284,277.1971
359.6075,356.4284,277.1971
359.5885,356.4372,277.1966
359.5674,356.475,277.2052
359.5674,356.475,277.2052
359.5709,356.4727,277.2045
359.5735,356.4596,277.1923
359.5896,356.4561,277.1629
359.6231,356.4683,277.1332
359.6273,356.4625,277.1224
359.6449,356.4261,277.1198
359.6397,356.4175,277.1201
359.632,356.3983,277.1358
359.6287,356.3923,277.1471
359.6287,356.3923,277.1471
359.6472,356.3918,277.2153
359.6472,356.3918,277.2153
359.6544,356.4005,277.2392
359.6613,356.3988,277.25
359.6613,356.3988,277.25
359.6564,356.391,277.2602
359.6624,356.3841,277.2534
359.6624,356.3841,277.2534
359.6712,356.3848,277.2578
359.6737,356.3862,277.2605
359.6793,356.3877,277.2646
359.6793,356.3877,277.2646
359.6735,356.4313,277.2584
359.6691,356.3542,277.2594
359.671,356.342,277.2401
359.671,356.342,277.2401
359.6926,356.3532,277.1891
359.7366,356.3547,277.1521
359.7457,356.333,277.1516
359.7563,356.324,277.1684
359.7563,356.324,277.1684
359.7644,356.3346,277.1891
359.7564,356.3625,277.1911
359.7433,356.4014,277.2172
359.7433,356.4014,277.2172
359.7339,356.4134,277.2612
359.7303,356.4039,277.281
359.7361,356.4146,277.2957
359.7361,356.4146,277.2957
359.7455,356.4282,277.3019
359.2767,357.3016,277.3839
357.9307,0.7304689,277.2096
358.4794,2.554296,276.1223
358.4794,2.554296,276.1223
358.7291,359.4884,283.6393
358.7291,359.4884,283.6393
358.2257,3.259482,280.3772
0.2088373,0.5163594,279.3852
0.2088373,0.5163594,279.3852
1.607502,358.6138,278.7908
2.183244,358.2558,279.2215
3.393374,358.0037,279.7521
4.750679,357.9879,280.2538
4.750679,357.9879,280.2538
6.187352,357.9582,280.6808
6.896711,358.0203,280.7572
8.48842,358.0287,281.3718
10.27596,358.0543,281.6496
11.9967,358.0668,282.1559
11.9967,358.0668,282.1559
13.80278,358.0729,282.6363
15.60508,358.1151,283.0865
15.60508,358.1151,283.0865
17.36558,358.1537,283.4672
18.15587,358.0847,284.0042
19.87051,358.0909,284.3426
21.56595,358.0796,284.7157
23.19141,358.1751,284.8814
23.19141,358.1751,284.8814
24.74336,358.1493,285.127
26.12993,358.1807,285.3517
26.12993,358.1807,285.3517
27.36972,358.1446,285.6456
28.46652,358.1746,285.9096
29.33721,358.2666,286.1391
29.33721,358.2666,286.1391
29.99997,358.2824,286.2741
30.52102,358.3391,286.3777
30.52102,358.3391,286.3777
30.85424,358.3832,286.4804
31.09274,358.3821,286.5315
31.27523,358.3926,286.5696
31.27523,358.3926,286.5696
31.44554,358.4019,286.635
31.6325,358.4445,286.6544
31.6325,358.4445,286.6544
31.86291,358.4345,286.6669
32.18078,358.4413,286.3357
32.50004,358.481,286.3247
32.87739,358.4477,286.3116
32.87739,358.4477,286.3116
33.28252,358.4551,286.2768
33.31157,358.4468,286.5842
33.70588,358.3621,286.5774
34.0484,358.3464,286.5728
34.34385,358.3586,286.248
34.59739,358.3077,286.2622
34.54959,358.2687,286.5895
34.75248,358.2636,286.6069
34.75248,358.2636,286.6069
34.91241,358.338,286.6465
35.0179,358.3614,286.6944
35.12817,358.3686,286.7881
35.12817,358.3686,286.7881
35.1831,358.4519,286.8613
35.33499,358.5083,286.6027
35.31314,358.5513,286.6976
35.2366,358.614,286.768
35.12765,358.6577,286.8713
35.12765,358.6577,286.8713
34.93608,358.6506,287.1943
34.85947,358.6971,287.2512
34.82397,358.7618,287.3163
34.82435,358.7677,287.387
34.82435,358.7677,287.387
34.83112,358.7846,287.4467
34.82942,358.773,287.4676
34.82942,358.773,287.4676
34.83013,358.753,287.4716
34.84378,358.7323,287.4746
34.87839,358.6961,287.469
34.87839,358.6961,287.469
35.05636,358.721,287.1725
35.09534,358.7385,287.1584
34.96122,358.7045,287.4478
35.12654,358.7308,287.162
35.12654,358.7308,287.162
35.14573,358.753,287.142
35.1273,358.7446,287.1625
35.09706,358.7341,287.1658
35.09706,358.7341,287.1658
35.04358,358.7417,287.1678
35.04739,358.6759,287.2374
35.04739,358.6759,287.2374
35.04019,358.6748,287.2673
35.04415,358.6589,287.2692
35.06015,358.6725,287.2588
35.06015,358.6725,287.2588
35.04719,358.6644,287.2439
35.01857,358.5996,287.2184
34.87297,358.5631,287.4741
34.87297,358.5631,287.4741
35.02168,358.5858,287.1807
34.86638,358.5648,287.4353
35.029,358.5779,287.1753
35.029,358.5779,287.1753
35.03038,358.5749,287.1721
35.03588,358.5797,287.1608
34.88884,358.5424,287.433
34.88884,358.5424,287.433
34.89146,358.5201,287.4372
34.89146,358.5201,287.4372
35.06431,358.5042,287.1807
35.07553,358.48,287.1809
35.08705,358.4312,287.1897
35.08705,358.4312,287.1897
35.09714,358.4038,287.1994
35.11152,358.4075,287.1957
35.11152,358.4075,287.1957
35.11335,358.4063,287.182
35.11782,358.3999,287.1632
35.11333,358.4176,287.1188
35.11333,358.4176,287.1188
35.10958,358.4421,287.0521
35.10321,358.4558,286.999
35.10683,358.454,286.9526
35.10683,358.454,286.9526
35.12741,358.4755,286.9129
35.16695,358.4722,286.8729
35.16695,358.4722,286.8729
35.19061,358.4671,286.8248
35.21224,358.4704,286.8013
35.24146,358.5046,286.7278
35.24146,358.5046,286.7278
35.26094,358.5038,286.63
35.28648,358.4994,286.5916
35.28648,358.4994,286.5916
35.30701,358.4942,286.5182
35.15648,358.4596,286.7719
35.17295,358.4954,286.6323
35.32418,358.5553,286.239
35.3329,358.5676,286.063
35.38374,358.5452,285.756
35.38374,358.5452,285.756
35.43257,358.6125,285.4746
35.55797,358.6418,285.2717
35.69273,358.6534,284.9976
35.60656,358.6391,285.1814
35.82823,358.6947,284.755
35.96919,358.7054,284.4969
35.96919,358.7054,284.4969
36.13294,358.7222,284.1353
36.32516,358.7599,283.8272
36.29763,358.7289,284.0425
36.50647,358.749,283.7629
36.72982,358.743,283.3104
36.72982,358.743,283.3104
36.96145,358.8245,282.9291
37.2293,358.8554,282.6192
37.48814,358.9356,282.0482
37.67913,359.0031,281.5398
37.67913,359.0031,281.5398
37.85878,359.0733,281.0945
37.82592,359.0419,281.2794
37.99876,359.1405,280.9022
38.14506,359.2204,280.539
38.14506,359.2204,280.539
38.31952,359.2959,280.2174
38.4753,359.3913,279.9851
38.58257,359.4635,279.6873
38.58257,359.4635,279.6873
38.70664,359.5086,279.4664
38.84389,359.6858,278.8983
38.74213,359.658,279.1999
38.91728,359.811,278.5466
38.91728,359.811,278.5466
38.93174,359.8605,278.4557
38.9182,359.9163,278.4218
38.89821,359.9399,278.3809
38.89821,359.9399,278.3809
38.87366,359.9512,278.3339
38.75947,359.7967,278.752
38.7198,359.8635,278.6535
38.71943,359.8674,278.6113
38.82391,0.001658028,278.0778
38.727,359.8559,278.4923
38.727,359.8559,278.4923
38.86284,0.008092066,277.9214
38.89903,359.9756,277.9129
38.80228,359.8252,278.3901
38.79021,359.8029,278.3301
38.79021,359.8029,278.3301
38.86144,359.9669,277.8331
38.86144,359.9669,277.8331
38.81489,359.9733,277.7866
38.80439,359.9708,277.6626
38.81415,0.02341218,277.5751
38.70345,359.9011,278.1217
38.70345,359.9011,278.1217
38.8563,0.03316911,277.5612
38.76293,359.8876,278.1062
38.79235,359.9294,278.0481
38.79235,359.9294,278.0481
38.84667,359.9515,278.1484
38.96771,0.09020464,277.5776
38.9376,0.103416,277.5269
38.81352,359.9572,278.1152
38.93692,0.07944366,277.5444
38.82613,359.946,278.158
38.82613,359.946,278.158
38.94442,0.07908508,277.5804
38.84487,359.9688,278.2022
38.84487,359.9688,278.2022
38.82344,359.9562,278.261
38.80352,359.9486,278.2654
38.7835,359.9335,278.2363
38.89014,0.04511682,277.6375
38.78057,359.9176,278.2218
38.78057,359.9176,278.2218
38.91556,0.05563702,277.6084
38.81833,359.9314,278.1765
38.94769,0.05748459,277.5539
38.82525,359.9436,278.1169
38.82525,359.9436,278.1169
38.88067,359.9301,278.1471
38.88067,359.9301,278.1471
38.86967,359.899,278.1587
38.98173,0.001275538,277.5576
39.0238,359.9409,277.6091
38.91223,359.8118,278.23
38.91223,359.8118,278.23
38.89595,359.856,278.1609
38.86604,359.8692,278.1971
39.09625,359.91,277.6752
38.85684,359.7498,278.3393
38.80789,359.863,278.4365
39.20754,359.8343,277.7571
38.82469,359.8644,278.505
39.20734,359.829,277.7823
39.20501,359.8316,277.7559
39.20501,359.8316,277.7559
39.22266,359.8198,277.7436
38.86155,359.9063,278.467
38.88143,359.917,278.4759
39.26619,359.812,277.7434
39.27205,359.7916,277.7132
39.27205,359.7916,277.7132
38.87254,359.8327,278.4835
38.87254,359.8327,278.4835
39.26044,359.7301,277.7695
38.88286,359.8273,278.5048
38.90604,359.8307,278.5005
38.90055,359.8411,278.5533
38.90055,359.8411,278.5533
39.27078,359.7543,277.8364
38.84998,359.9108,278.712
39.06202,359.9059,278.2714
39.07676,359.975,278.2066
38.84159,0.1673826,278.4667
38.84159,0.1673826,278.4667
38.70426,0.3536985,278.6477
38.5325,0.6299559,278.9804
38.49586,0.6997464,278.8235
38.51295,0.698148,278.8994
38.46977,0.8030789,278.7457
38.46253,0.7057096,278.9521
38.44881,0.8215548,278.879
38.41301,1.061641,278.7295
38.33224,1.14928,278.9061
38.33224,1.14928,278.9061
38.14795,1.440528,279.3855
38.14795,1.440528,279.3855
38.12322,1.493662,279.4937
38.04205,1.666759,279.745
37.95704,1.861785,280.0377
37.92767,1.957818,280.1819
37.78797,2.268919,280.6386
37.58954,2.658468,281.291
37.58954,2.658468,281.291
37.49949,2.837845,281.6146
37.53416,2.801437,281.5986
37.52896,2.820228,281.6182
37.52345,2.825984,281.667
37.52739,2.794035,281.6231
37.51539,2.801301,281.6279
37.51539,2.801301,281.6279
37.5629,2.681659,281.5872
37.5629,2.681659,281.5872
37.6184,2.586086,281.4249
37.63166,2.53723,281.3552
37.63166,2.53723,281.3552
37.90704,1.700552,280.9839
37.85821,1.842305,281.0221
37.84754,1.866088,281.0228
37.82969,1.902306,281.1487
37.8138,1.944682,281.2086
37.79029,1.972043,281.3666
37.73319,2.062732,281.5099
37.69938,2.104921,281.5632
37.63097,2.17647,281.71
37.59856,2.205425,281.8136
37.56673,2.256205,281.924
37.54326,2.297848,281.9762
37.54326,2.297848,281.9762
37.53739,2.265085,281.9877
37.53344,2.269254,282.0173
37.52293,2.283059,282.0387
37.52155,2.291646,282.0592
37.52358,2.260248,282.001
37.52139,2.215427,281.9814
37.52139,2.215427,281.9814
37.5231,2.199685,281.9711
37.48203,2.210736,281.998
37.40631,2.215827,282.0467
37.35279,2.225596,282.0371
37.2558,2.243736,282.0491
36.93476,2.210381,282.1118
36.3496,2.122075,282.1616
35.87154,2.031729,282.1845
34.50759,1.775196,282.2178
34.50759,1.775196,282.2178
32.88374,1.369677,282.3137
32.01609,1.200374,282.4108
31.11235,1.070651,282.4959
30.16629,0.9397277,282.5815
27.37498,0.4861488,282.7836
26.47139,0.3817344,282.8345
24.52141,0.2180526,282.9648
23.4629,0.1509106,283.0146
21.23097,0.01918686,283.0543
20.09743,359.9753,283.107
17.75457,359.9133,283.2406
16.56696,359.8365,283.2788
14.32806,359.7188,283.3992
13.29937,359.7237,283.5127
11.24954,359.7772,283.7283
10.18478,359.7271,283.8156
8.052312,359.5715,283.9692
8.052312,359.5715,283.9692
6.099055,359.5583,284.2014
3.940753,359.5542,284.394
2.728347,359.4983,284.4503
0.1817187,359.1322,284.4677
358.8824,359.0532,284.4459
356.233,358.9734,284.4275
354.8804,358.9017,284.4409
352.282,358.6621,284.4784
352.282,358.6621,284.4784
348.1636,359.9745,284.7778
348.1636,359.9745,284.7778
345.8178,359.8139,284.761
344.7718,359.6882,284.798
342.8304,359.6176,284.9186
341.9179,359.6349,285.0176
340.1751,359.7287,285.1864
338.6858,359.7386,285.255
338.6858,359.7386,285.255
337.3438,359.8106,285.3865
337.3438,359.8106,285.3865
337.1657,359.2003,285.2613
336.4158,359.078,285.166
336.4158,359.078,285.166
335.9734,359.0967,285.1324
335.5676,359.1407,285.2239
335.3598,359.1505,285.2708
335.0427,359.2071,285.3023
334.9237,359.2436,285.3012
334.6834,359.3383,285.2911
334.6834,359.3383,285.2911
332.3733,359.3898,286.328
332.0681,359.55,286.2824
331.9659,359.6102,286.2134
331.8236,359.7617,286.0969
331.7543,359.8502,286.0003
331.7464,359.8667,285.9509
331.7464,359.8667,285.9509
331.7723,359.837,285.8431
331.86,359.8203,285.7127
331.896,359.839,285.6537
331.9409,359.8234,285.5558
331.9545,359.8213,285.5162
331.9891,359.847,285.4339
331.9918,359.849,285.4042
331.9851,359.8383,285.3891
331.9832,359.8194,285.3082
331.9832,359.8194,285.3082
331.9905,359.8147,285.2794
331.9784,359.8156,285.2437
331.9919,359.7897,285.22
332.0206,359.7842,285.2087
332.0885,359.7973,285.2019
332.1096,359.8087,285.2072
332.1272,359.8338,285.2178
332.1591,359.8422,285.2198
332.1767,359.8441,285.2029
332.1877,359.8517,285.1539
332.1935,359.8278,285.1379
332.2219,359.815,285.1174
332.2534,359.8006,285.1108
332.2907,359.7607,285.0811
332.2907,359.7607,285.0811
332.303,359.7452,285.0674
332.3755,359.7045,285.0191
332.4046,359.6938,285.0132
332.482,359.6895,285.0404
332.5819,359.6587,285.0634
332.5819,359.6587,285.0634
332.7458,359.6117,285.0557
332.9675,359.6272,285.0194
333.0862,359.6304,284.9964
333.392,359.611,284.9766
333.392,359.611,284.9766
333.8892,359.5833,284.9746
334.1971,359.5949,284.9655
335.1603,359.687,284.9365
335.5392,359.7137,284.9188
335.9892,359.7216,284.9044
337.0884,359.6586,284.8495
337.6628,359.6302,284.8013
338.2534,359.6027,284.7395
338.2534,359.6027,284.7395
338.8816,359.5624,284.6562
341.7172,359.5406,284.2103
343.1982,359.5981,283.9427
343.1982,359.5981,283.9427
343.9489,359.6211,283.7681
345.4697,359.7551,283.4325
346.9484,359.9019,283.1552
347.6452,359.9687,283.0125
349.0309,0.07747358,282.7746
349.7021,0.1101172,282.7054
350.9327,0.2097641,282.6387
351.4914,0.2223885,282.6205
352.5869,0.2350458,282.57
353.1345,0.249714,282.5426
353.1345,0.249714,282.5426
353.6552,0.280926,282.5327
354.1311,0.3209309,282.5437
355.8094,0.3517646,282.6188
356.1967,0.3858503,282.6389
356.8211,0.3796085,282.7201
357.0778,0.3722143,282.7369
357.5473,0.4172687,282.6998
357.7649,0.4441343,282.6706
358.0596,0.5185039,282.6494
358.1479,0.5469295,282.5979
358.1479,0.5469295,282.5979
358.1961,0.5671576,282.4917
358.2113,0.5854661,282.3349
358.1614,0.600894,281.9595
358.0917,0.6057765,281.8824
358.0071,0.6195838,281.7946
358.0071,0.6195838,281.7946
357.9174,0.6245823,281.7086
357.7093,0.638505,281.5791
357.1539,0.6072748,281.2462
356.9918,0.6059572,281.119
356.9918,0.6059572,281.119
356.6503,0.6003433,280.9305
356.313,0.6230845,280.8357
355.9708,0.607085,280.6317
355.9708,0.607085,280.6317
355.6422,0.5675154,280.6347
355.4869,0.5645917,280.6501
355.2196,0.5166645,280.6616
355.1093,0.4914922,280.6692
355.0083,0.4628769,280.6846
355.0083,0.4628769,280.6846
354.8072,0.3897082,280.7419
354.7885,0.3112439,280.7634
354.7885,0.3112439,280.7634
354.7885,0.3112439,280.7634
354.7885,0.3112439,280.7634
354.7885,0.3112439,280.7634
354.7885,0.3112439,280.7634
