Yaw,Pitch,Roll
2.352237,0.7532791,280.0759
2.352237,0.7532791,280.0759
2.347152,0.761229,280.0811
2.347152,0.761229,280.0811
2.329618,0.7885652,280.0886
2.298062,0.7922183,280.0659
2.298062,0.7922183,280.0659
2.267623,0.7929358,280.0407
2.256773,0.798454,280.0325
2.256773,0.798454,280.0325
2.256899,0.8001145,280.0267
2.258064,0.8008302,280.0202
2.258064,0.8008302,280.0202
2.258064,0.8008302,280.0202
2.258064,0.8008302,280.0202
2.258064,0.8008302,280.0202
2.258064,0.8008302,280.0202
2.258064,0.8008302,280.0202
2.258064,0.8008302,280.0202
2.258064,0.8008302,280.0202
2.258064,0.8008302,280.0202
2.258064,0.8008302,280.0202
2.258064,0.8008302,280.0202
2.719275,0.9175413,279.9923
2.956538,0.9572517,280.0456
2.956538,0.9572517,280.0456
3.084186,0.9884691,280.0885
3.244992,1.011188,280.1658
3.244992,1.011188,280.1658
3.594516,1.033565,280.3412
3.800466,1.031339,280.4199
3.800466,1.031339,280.4199
3.800466,1.031339,280.4199
5.458241,1.104086,280.9703
5.956766,1.108623,281.2524
5.956766,1.108623,281.2524
6.424827,1.06651,281.4788
6.660151,1.047456,281.5861
6.900851,1.033025,281.6816
6.900851,1.033025,281.6816
7.983222,0.9674907,282.1041
8.625303,0.9326698,282.3062
8.972656,0.9254285,282.4105
8.972656,0.9254285,282.4105
9.345777,0.9199016,282.5016
10.12879,0.9151596,282.6833
10.12879,0.9151596,282.6833
10.94755,0.8902421,282.8881
12.58962,0.894611,283.3562
12.58962,0.894611,283.3562
13.68026,0.897431,283.7097
13.99888,0.8757288,283.7991
13.99888,0.8757288,283.7991
14.30799,0.8488498,283.8908
14.85861,0.7893238,284.0673
14.85861,0.7893238,284.0673
15.70609,0.900098,284.2241
16.21608,0.9307892,284.2173
16.389,0.9214963,284.2361
16.389,0.9214963,284.2361
16.56344,0.9212572,284.2623
16.73058,0.9087213,284.2857
16.73058,0.9087213,284.2857
17.4039,0.8374196,284.4096
17.94253,0.7704259,284.5677
18.31974,0.7943807,284.5819
18.31974,0.7943807,284.5819
18.31974,0.7943807,284.5819
18.31974,0.7943807,284.5819
18.31974,0.7943807,284.5819
19.27991,0.768655,284.4481
19.43847,0.7653267,284.4038
19.67554,0.7624834,284.2903
19.67554,0.7624834,284.2903
19.77941,0.7672154,284.2234
19.77941,0.7672154,284.2234
19.77941,0.7672154,284.2234
20.04959,0.7199345,283.6947
20.04671,0.66519,283.1973
19.97757,0.6949367,282.8888
19.97757,0.6949367,282.8888
19.88556,0.6881248,282.609
19.80922,0.7002869,282.3096
19.80922,0.7002869,282.3096
19.74887,0.7577189,282.0825
19.70073,0.7868907,281.8272
19.64944,0.8979548,281.6353
19.64944,0.8979548,281.6353
19.62493,0.9777728,281.4649
19.6143,0.9515327,281.1609
19.6143,0.9515327,281.1609
19.60881,0.9418538,280.7755
19.60296,1.013556,280.357
19.58881,1.101152,279.8859
19.58881,1.101152,279.8859
19.56918,1.172153,279.4364
19.57371,1.225228,279.023
19.5932,1.26253,278.6216
19.5932,1.26253,278.6216
19.61207,1.291769,278.2986
19.61207,1.291769,278.2986
19.61207,1.291769,278.2986
19.61207,1.291769,278.2986
19.61207,1.291769,278.2986
19.61207,1.291769,278.2986
19.61207,1.291769,278.2986
19.61207,1.291769,278.2986
19.61207,1.291769,278.2986
19.63802,1.405506,277.6283
19.53974,1.397426,277.5683
19.40148,1.390557,277.5473
19.23792,1.412943,277.5222
19.23792,1.412943,277.5222
19.02816,1.425009,277.5148
18.74032,1.415457,277.5338
18.74032,1.415457,277.5338
18.41722,1.4081,277.6175
18.05122,1.394146,277.7293
17.63856,1.378623,277.8437
17.63856,1.378623,277.8437
17.17686,1.331157,277.9671
16.69186,1.302722,278.1243
16.69186,1.302722,278.1243
16.2179,1.272793,278.3237
15.71724,1.253931,278.4915
15.23251,1.259848,278.6117
15.23251,1.259848,278.6117
14.97188,1.244515,278.6927
14.97188,1.244515,278.6927
14.97188,1.244515,278.6927
14.97188,1.244515,278.6927
14.97188,1.244515,278.6927
12.30996,1.097533,279.5517
12.30996,1.097533,279.5517
11.62829,1.070817,279.7698
10.98696,1.044382,279.9491
10.38565,1.048703,280.1234
10.38565,1.048703,280.1234
9.793129,1.045624,280.3265
9.161269,1.030387,280.556
9.161269,1.030387,280.556
8.547979,1.034739,280.7687
7.947076,1.006613,281.0038
7.341305,1.00765,281.2168
7.341305,1.00765,281.2168
6.703005,0.9838658,281.4308
6.104107,0.9514889,281.6013
6.104107,0.9514889,281.6013
5.50776,0.9279431,281.7646
4.902701,0.9038429,281.9535
4.273497,0.8698111,282.1511
4.273497,0.8698111,282.1511
3.567349,0.8087981,282.3586
2.774246,0.7631721,282.5919
2.774246,0.7631721,282.5919
1.852408,0.7378549,282.8911
0.8352973,0.6924616,283.2187
0.8352973,0.6924616,283.2187
359.7153,0.6866019,283.5469
358.5413,0.6628962,283.8987
357.335,0.6432189,284.255
357.335,0.6432189,284.255
356.1237,0.6775244,284.5485
354.9175,0.754429,284.7588
353.7846,0.7926434,284.9309
353.7846,0.7926434,284.9309
352.7289,0.8059304,285.0884
351.7205,0.8543594,285.2762
350.7278,0.9425527,285.4769
350.7278,0.9425527,285.4769
349.7625,1.062973,285.6503
349.7625,1.062973,285.6503
348.8429,1.160939,285.6142
347.9533,1.193448,285.7679
347.1184,1.195399,285.8604
346.3287,1.226908,285.9219
346.3287,1.226908,285.9219
345.5793,1.281656,285.9889
344.8663,1.317186,286.0336
344.8663,1.317186,286.0336
344.1887,1.341024,286.0471
343.5493,1.349009,286.0269
342.9676,1.387808,285.9505
342.9676,1.387808,285.9505
339.8098,4.998579,287.5274
340.2449,6.132076,289.5259
340.2449,6.132076,289.5259
340.1094,5.406473,288.7342
340.1793,4.200843,287.1611
340.1693,3.437344,286.0876
340.1693,3.437344,286.0876
339.997,3.248028,285.4363
339.8115,3.201536,284.8782
339.6492,3.226483,284.3017
339.6492,3.226483,284.3017
339.4054,3.394095,283.8297
339.4054,3.394095,283.8297
339.2805,3.501675,283.62
338.948,3.731421,282.8943
338.7364,3.84052,282.3776
338.5212,3.96472,281.8759
338.5212,3.96472,281.8759
338.2652,4.117177,281.4695
338.0417,4.201002,281.059
338.0417,4.201002,281.059
337.8562,4.260298,280.6415
337.6868,4.332031,280.2538
337.6868,4.332031,280.2538
337.443,4.519039,279.7411
337.3652,4.581747,279.3533
337.3368,4.592029,279.1651
337.3368,4.592029,279.1651
337.2778,4.618315,278.8152
337.2778,4.618315,278.8152
337.2272,4.676381,278.2601
337.2426,4.66356,277.9353
337.261,4.656348,277.6169
337.261,4.656348,277.6169
337.3519,4.640954,277.2468
337.4684,4.592237,276.9279
337.4684,4.592237,276.9279
337.6452,4.537389,276.6411
337.8569,4.530133,276.4145
338.1744,4.517226,276.299
338.1744,4.517226,276.299
338.588,4.50643,276.2397
339.0693,4.505989,276.1601
339.0693,4.505989,276.1601
339.6514,4.546756,276.1873
340.3065,4.557754,276.305
341.0208,4.542173,276.4059
341.0208,4.542173,276.4059
341.4044,4.535406,276.4665
341.4044,4.535406,276.4665
342.4941,4.723803,276.9581
343.3473,4.820538,277.2122
344.1404,4.974964,277.5529
344.8963,5.134669,278.0376
344.8963,5.134669,278.0376
345.7816,5.090139,278.3483
346.6936,5.048007,278.6318
346.6936,5.048007,278.6318
347.6016,5.062824,278.8909
348.5269,5.146198,279.1322
349.4896,5.171342,279.4174
349.4896,5.171342,279.4174
350.417,5.150162,279.792
351.3032,5.064728,280.1159
351.3032,5.064728,280.1159
352.1374,4.955408,280.4283
352.9378,4.873325,280.7309
353.7232,4.765807,281.0094
353.7232,4.765807,281.0094
354.114,4.698302,281.122
354.114,4.698302,281.122
355.35,4.474126,281.4072
356.209,4.393747,281.633
356.209,4.393747,281.633
357.0907,4.353281,281.8359
358.4969,4.253641,282.1398
359.5079,4.168601,282.3719
359.5079,4.168601,282.3719
0.5550484,4.102052,282.6093
1.647499,4.028316,282.8544
1.647499,4.028316,282.8544
2.783128,3.964839,283.1035
3.958889,3.897621,283.3403
5.175581,3.82204,283.5683
5.175581,3.82204,283.5683
6.390005,3.789325,283.8745
6.985802,3.774317,284.039
6.985802,3.774317,284.039
7.581312,3.742273,284.2087
9.863562,3.597151,284.7688
9.863562,3.597151,284.7688
11.42183,3.373085,285.1606
11.90017,3.281641,285.2728
11.90017,3.281641,285.2728
11.90017,3.281641,285.2728
13.93555,2.972929,285.9229
14.71198,2.827804,286.1574
14.71198,2.827804,286.1574
15.39376,2.663723,286.3596
15.71422,2.581185,286.4432
15.71422,2.581185,286.4432
16.04048,2.504197,286.4901
16.64749,2.368028,286.5748
16.64749,2.368028,286.5748
16.64749,2.368028,286.5748
17.93018,2.2606,286.7505
18.64665,2.252972,286.7544
18.64665,2.252972,286.7544
18.87335,2.278065,286.7261
19.55486,2.355649,286.6934
19.78903,2.370009,286.7721
19.78903,2.370009,286.7721
20.03933,2.367009,286.8613
20.03933,2.367009,286.8613
20.03933,2.367009,286.8613
21.30622,2.221615,287.1424
21.4647,2.208402,287.113
21.4647,2.208402,287.113
21.4647,2.208402,287.113
21.4647,2.208402,287.113
21.4647,2.208402,287.113
21.4647,2.208402,287.113
21.4647,2.208402,287.113
21.4647,2.208402,287.113
21.4647,2.208402,287.113
21.4647,2.208402,287.113
21.4647,2.208402,287.113
21.4647,2.208402,287.113
21.4647,2.208402,287.113
20.66252,2.155094,286.2262
20.66252,2.155094,286.2262
20.45931,2.163905,286.2446
20.34752,2.218246,286.3011
20.34752,2.218246,286.3011
20.34752,2.218246,286.3011
20.34752,2.218246,286.3011
20.4383,2.253278,286.4039
20.4383,2.253278,286.4039
20.68938,2.283386,286.5518
20.88942,2.267138,286.6474
20.88942,2.267138,286.6474
20.98595,2.288683,286.7084
21.02629,2.294577,286.7549
21.05913,2.28631,286.797
21.0925,2.273686,286.8188
21.0925,2.273686,286.8188
21.1083,2.250446,286.8284
21.1083,2.250446,286.8284
21.1083,2.250446,286.8284
21.1083,2.250446,286.8284
21.1083,2.250446,286.8284
21.1083,2.250446,286.8284
21.1083,2.250446,286.8284
21.1083,2.250446,286.8284
21.1083,2.250446,286.8284
21.1083,2.250446,286.8284
21.1083,2.250446,286.8284
21.1083,2.250446,286.8284
21.1083,2.250446,286.8284
21.1083,2.250446,286.8284
21.18183,2.274984,286.1839
21.17814,2.315223,286.0992
21.17814,2.315223,286.0992
21.18894,2.321837,286.0739
