Yaw,Pitch,Roll
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
354.0265,357.7806,279.3203
352.6685,357.1367,279.4845
352.6685,357.1367,279.4845
352.4034,357.061,279.5411
351.9844,356.9118,279.5749
351.9844,356.9118,279.5749
351.8118,356.8039,279.5767
351.4712,356.7464,279.6646
350.7697,356.5989,279.7815
350.7697,356.5989,279.7815
350.4315,356.4626,279.8203
350.2975,356.4453,279.8656
349.7077,356.4435,280.0483
349.7077,356.4435,280.0483
349.5158,356.3798,280.0789
349.5158,356.3798,280.0789
349.1874,356.3962,280.1706
348.7791,356.4222,280.2992
348.2543,356.3521,280.3838
348.2543,356.3521,280.3838
347.6999,356.2928,280.5103
347.2784,356.3308,280.6655
346.9943,356.3452,280.7319
346.9943,356.3452,280.7319
346.513,356.313,280.8293
346.1259,356.4081,280.9381
345.668,356.47,281.0364
345.668,356.47,281.0364
344.9193,356.4538,281.0814
344.7244,356.4275,281.108
344.7244,356.4275,281.108
344.3252,356.3948,281.1694
343.8541,356.3366,281.1843
343.4529,356.3118,281.217
343.4529,356.3118,281.217
343.4529,356.3118,281.217
343.4529,356.3118,281.217
343.4529,356.3118,281.217
343.4529,356.3118,281.217
343.4529,356.3118,281.217
343.4529,356.3118,281.217
343.4529,356.3118,281.217
342.865,356.6714,281.4428
342.8142,356.7254,281.4639
342.8142,356.7254,281.4639
342.7076,356.7643,281.4514
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
342.6604,356.7764,281.4305
341.4686,357.9567,280.1599
341.4686,357.9567,280.1599
341.3664,358.1261,279.8495
341.1831,358.2406,279.492
341.0036,358.264,279.0848
341.0036,358.264,279.0848
340.8607,358.3253,278.7142
340.6522,358.4249,278.3977
340.6522,358.4249,278.3977
340.4487,358.4964,278.1017
340.2621,358.5689,277.7981
340.0531,358.6371,277.4361
340.0531,358.6371,277.4361
339.8085,358.697,277.0585
339.5689,358.74,276.6473
339.3416,358.7589,276.2262
339.3416,358.7589,276.2262
339.1317,358.7975,275.9011
338.955,358.8292,275.6313
338.955,358.8292,275.6313
338.8146,358.8557,275.3202
338.6687,358.9326,274.997
338.6687,358.9326,274.997
338.5218,358.9591,274.645
338.3811,358.989,274.3417
338.2402,359.0726,274.1027
338.2402,359.0726,274.1027
338.1227,359.0943,273.9292
338.0861,359.1158,273.79
338.0599,359.2558,273.7383
338.0599,359.2558,273.7383
338.0617,359.2695,273.7778
338.1256,359.2729,273.8093
338.1256,359.2729,273.8093
338.1813,359.3331,273.8269
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.1963,359.3638,273.8381
338.928,359.7075,274.4012
339.3649,359.8373,274.5526
339.3649,359.8373,274.5526
340.035,0.09791764,274.7115
341.0217,0.4759416,274.9186
342.2151,0.9767643,275.162
342.2151,0.9767643,275.162
343.6956,1.51502,275.5026
345.5918,2.27951,275.9974
347.7819,3.229352,276.5209
347.7819,3.229352,276.5209
350.3804,4.121989,277.1764
350.3804,4.121989,277.1764
354.9215,6.039668,278.2096
358.1344,6.978223,278.8398
358.1344,6.978223,278.8398
1.620475,8.180844,279.7687
5.077929,9.422314,280.5142
8.256207,10.21928,280.9517
8.256207,10.21928,280.9517
11.34583,11.05445,281.6005
13.93736,11.85047,282.1656
13.93736,11.85047,282.1656
15.81844,12.42349,282.6664
17.32964,12.71527,283.2299
18.07353,12.98747,283.4378
18.07353,12.98747,283.4378
18.23116,12.87508,283.6054
17.99093,12.77684,283.6855
17.99093,12.77684,283.6855
17.32273,12.41238,283.4083
16.59017,11.98402,283.2396
16.59017,11.98402,283.2396
16.05075,11.59435,283.1633
15.53399,11.25198,283.04
15.22165,10.98441,283.0195
15.1033,10.91857,283.0322
15.1033,10.91857,283.0322
14.99802,10.88274,282.962
15.04567,10.72575,282.944
15.04567,10.72575,282.944
15.23191,10.64817,282.9738
15.33633,10.48201,282.9814
15.33633,10.48201,282.9814
15.41475,10.32166,283.0125
15.46782,10.24215,283.0386
15.3814,10.20225,283.0311
15.3814,10.20225,283.0311
15.23549,10.12218,283.0204
15.19621,10.02706,283.0514
15.12134,9.969121,283.0171
15.12134,9.969121,283.0171
15.04766,9.941303,282.9812
15.01906,9.947283,282.9804
15.01906,9.947283,282.9804
14.92318,9.952732,282.9518
14.82335,9.916363,282.9425
14.70175,9.893233,282.9388
14.70175,9.893233,282.9388
14.5063,9.811224,282.8943
14.22194,9.676436,282.8298
14.22194,9.676436,282.8298
13.9025,9.509469,282.7342
13.48357,9.32646,282.601
13.07055,9.080818,282.4541
13.07055,9.080818,282.4541
12.68649,8.885333,282.3386
12.34966,8.665261,282.2227
12.34966,8.665261,282.2227
12.07086,8.53761,282.1044
11.61347,8.309707,281.9205
11.61347,8.309707,281.9205
11.27731,8.095348,281.7623
11.11839,7.990152,281.6905
10.76057,7.795281,281.5609
10.76057,7.795281,281.5609
10.29877,7.5578,281.4012
9.848636,7.29592,281.2781
9.433368,7.055657,281.2047
9.433368,7.055657,281.2047
8.933843,6.818641,281.0932
8.320064,6.514429,280.9468
7.73173,6.171411,280.7576
7.73173,6.171411,280.7576
7.104693,5.891437,280.5746
6.361711,5.533106,280.4084
6.361711,5.533106,280.4084
5.386082,5.034542,280.2592
4.74563,4.816759,280.1626
4.74563,4.816759,280.1626
4.38847,4.684498,280.0957
3.723082,4.341846,279.9407
3.059866,4.106724,279.7918
3.059866,4.106724,279.7918
2.276894,3.821956,279.6097
1.370999,3.432873,279.4971
1.370999,3.432873,279.4971
1.115454,3.404105,279.5099
0.576156,3.295613,279.5363
0.1737374,3.083859,279.5238
0.1737374,3.083859,279.5238
359.7333,3.073722,279.669
359.7333,3.073722,279.669
359.7333,3.073722,279.669
359.1553,2.90739,279.8511
359.1553,2.90739,279.8511
359.1553,2.90739,279.8511
359.1553,2.90739,279.8511
359.1553,2.90739,279.8511
359.1553,2.90739,279.8511
359.1553,2.90739,279.8511
359.1553,2.90739,279.8511
359.1553,2.90739,279.8511
359.1553,2.90739,279.8511
359.1553,2.90739,279.8511
359.1553,2.90739,279.8511
359.1553,2.90739,279.8511
359.1553,2.90739,279.8511
359.1553,2.90739,279.8511
359.1553,2.90739,279.8511
