Yaw,Pitch,Roll
19.41158,6.998107,259.2747
19.41158,6.998107,259.2747
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
19.42712,7.004034,259.2748
14.12184,6.259885,262.2086
12.82642,5.989067,262.7501
11.41787,5.684771,263.4875
11.41787,5.684771,263.4875
9.886538,5.383859,264.238
8.180789,5.039494,265.0337
8.180789,5.039494,265.0337
6.245088,4.653071,265.9174
4.131111,4.240437,266.8566
3.018964,4.038164,267.3
0.7649298,3.671495,268.1781
359.6377,3.506468,268.6636
357.3839,3.198529,269.6121
357.3839,3.198529,269.6121
355.2357,2.914581,270.4673
353.2738,2.722257,271.306
352.3883,2.611376,271.732
350.7816,2.451662,272.4877
349.5133,2.388077,273
349.5133,2.388077,273
348.4983,2.407202,273.5284
348.0895,2.415781,273.7585
347.4773,2.437713,274.1668
347.0791,2.494387,274.4482
347.0791,2.494387,274.4482
346.8283,2.622425,274.6934
346.704,2.72466,274.8752
346.6922,2.767182,274.9551
346.7004,2.880057,275.0551
346.7004,2.880057,275.0551
346.7779,2.938151,275.0939
346.8553,2.938586,275.1025
347.1358,2.928345,275.0598
347.1358,2.928345,275.0598
347.3964,2.887954,274.9729
347.6908,2.820769,274.9199
347.8366,2.777746,274.879
348.1231,2.72311,274.7897
348.1231,2.72311,274.7897
348.4162,2.681192,274.6886
348.7283,2.658365,274.5639
349.0628,2.598404,274.4033
349.0628,2.598404,274.4033
349.4402,2.558106,274.2502
349.6685,2.54349,274.1557
350.2177,2.500852,273.9584
350.8107,2.47544,273.6252
350.8107,2.47544,273.6252
351.4936,2.445638,273.3583
351.8956,2.452188,273.2519
352.8084,2.462535,272.9118
353.8899,2.523233,272.548
355.1251,2.588548,272.1566
355.7938,2.64144,271.9447
355.7938,2.64144,271.9447
357.2531,2.774813,271.4831
358.8127,2.943065,271.0005
359.6142,3.066703,270.7541
1.272356,3.327209,270.2356
3.008173,3.617517,269.709
3.008173,3.617517,269.709
3.898377,3.75697,269.4408
5.723917,4.084631,268.8519
7.510026,4.471161,268.2711
9.296461,4.901185,267.6744
11.03995,5.327565,267.0636
11.03995,5.327565,267.0636
11.89233,5.537726,266.7668
13.50624,5.982771,266.2049
14.27147,6.204544,265.9373
15.69671,6.597383,265.4505
16.89615,6.981517,265.0509
17.92096,7.290776,264.6754
17.92096,7.290776,264.6754
18.36742,7.421092,264.4647
19.12685,7.702497,264.0259
19.44602,7.824916,263.7878
