Yaw,Pitch,Roll
0.7449203,2.391819,278.5135
0.7449203,2.391819,278.5135
0.7449203,2.391819,278.5135
0.7449203,2.391819,278.5135
0.7449203,2.391819,278.5135
0.7449203,2.391819,278.5135
0.7449203,2.391819,278.5135
0.7449203,2.391819,278.5135
0.7449203,2.391819,278.5135
0.8714571,2.1078,278.6877
0.8659292,2.123218,278.7258
0.8820193,2.130811,278.7316
0.8820193,2.130811,278.7316
0.8942988,2.125996,278.7446
0.9015321,2.123358,278.7587
0.9013713,2.126983,278.7745
0.9013713,2.126983,278.7745
0.8923662,2.131386,278.7804
0.8900553,2.132591,278.7771
0.8917615,2.145334,278.7591
0.8933675,2.167918,278.752
0.8880475,2.228363,278.7399
0.879523,2.263659,278.7411
0.879523,2.263659,278.7411
0.8865331,2.304996,278.7278
0.881139,2.34136,278.6973
0.8834141,2.404162,278.6345
0.9124287,2.446286,278.5115
0.9124287,2.446286,278.5115
0.9140217,2.477532,278.4535
0.9133114,2.538231,278.3257
0.8930812,2.597743,278.2112
0.8451573,2.695291,278.0974
0.8451573,2.695291,278.0974
0.8384748,2.72907,277.9734
0.7914895,2.735346,277.8854
0.7914895,2.735346,277.8854
0.7664158,2.749936,277.8445
0.7202016,2.797876,277.7741
0.7393808,2.82426,277.7516
0.7611906,2.737558,277.9037
0.7738445,2.724367,277.9748
0.788545,2.705012,278.0257
0.7911982,2.708595,278.0395
0.7729833,2.735012,278.0854
0.7729833,2.735012,278.0854
0.7431117,2.771709,278.0886
0.7426596,2.81608,278.0763
0.7533877,2.824471,278.0613
0.7510433,2.851336,278.0482
0.7496344,2.865655,278.0449
0.7496344,2.865655,278.0449
0.7455696,2.869818,278.0423
0.7276685,2.875656,278.043
0.7106429,2.885853,278.0135
0.7106429,2.885853,278.0135
0.7028039,2.890535,278.0016
0.7002904,2.907159,278.0052
0.6889775,2.913258,278.0002
0.6758974,2.919375,278.0218
0.6732702,2.922475,278.0392
0.6606328,2.940232,278.0674
0.6606328,2.940232,278.0674
0.6606328,2.940232,278.0674
0.6105826,3.026196,277.8767
0.6074651,3.023246,277.8161
0.6227603,3.008593,277.8066
0.628876,2.994395,277.7976
0.6538601,2.990356,277.7846
0.6752069,2.958191,277.7795
0.6752069,2.958191,277.7795
0.6784841,2.945032,277.7623
0.6784841,2.945032,277.7623
0.6784841,2.945032,277.7623
0.6784841,2.945032,277.7623
0.6092402,3.030572,277.6853
0.6092402,3.030572,277.6853
0.5913876,3.120256,277.6395
0.570772,3.161405,277.6274
0.590296,3.103048,277.8438
0.5859365,3.090915,277.8935
0.5678033,3.101917,277.9293
0.5542321,3.130048,277.9265
0.5542321,3.130048,277.9265
0.5523059,3.14772,277.9159
0.5515494,3.153927,277.9147
0.5496998,3.160838,277.9155
0.5496998,3.160838,277.9155
0.5445756,3.169241,277.9189
0.5324222,3.207296,277.9271
0.5337726,3.203267,277.9276
0.5389032,3.174981,277.9364
0.5388085,3.172343,277.9382
0.5430948,3.182278,277.9327
0.5467296,3.201068,277.9341
0.5502827,3.21067,277.9373
0.5508781,3.220897,277.9486
0.5521331,3.218058,277.9535
0.536474,3.222799,277.9379
0.5277663,3.22864,277.9256
0.516687,3.235928,277.884
0.5172825,3.23877,277.8631
0.5172825,3.23877,277.8631
0.5172479,3.250916,277.819
0.5237896,3.263715,277.8068
0.5243119,3.307002,277.7715
0.5225709,3.313563,277.764
0.5225709,3.313563,277.764
0.5247925,3.307547,277.7653
0.524224,3.293,277.7723
0.5194663,3.277617,277.7882
0.497245,3.288986,277.797
0.4900669,3.302672,277.8004
0.4728687,3.336584,277.8175
0.4553837,3.352826,277.8343
0.4507345,3.355455,277.8534
0.4024099,3.396132,277.8727
0.4024099,3.396132,277.8727
0.3805418,3.383451,277.8765
0.360453,3.371257,277.8718
0.360453,3.371257,277.8718
0.3475466,3.383018,277.8471
0.3607534,3.395922,277.8072
0.381175,3.39611,277.8064
0.381175,3.39611,277.8064
0.397135,3.386613,277.8415
0.397135,3.386613,277.8415
0.3805378,3.388346,277.8685
0.354575,3.388109,277.8964
0.3308354,3.391406,277.9008
0.3043508,3.401624,277.9013
0.2907795,3.409466,277.9053
0.2907795,3.409466,277.9053
0.2772339,3.434806,277.916
0.2339343,3.47427,277.9437
0.2218713,3.480315,277.9562
0.1950481,3.485802,277.9899
0.1844964,3.486317,277.9935
0.1677892,3.49613,277.9865
0.1601251,3.510523,277.9802
0.1497756,3.516447,277.9672
0.1453053,3.540936,277.9558
0.1396158,3.550455,277.9617
0.1396158,3.550455,277.9617
0.1341689,3.557348,277.9723
0.11647,3.566553,278.0017
0.08685648,3.583624,278.0429
0.0833791,3.571845,278.0465
0.07914516,3.569838,278.0393
0.07914516,3.569838,278.0393
0.07446451,3.578708,278.0293
0.07659819,3.5837,278.0336
0.0796234,3.587651,278.042
0.09057616,3.588668,278.055
0.09057616,3.588668,278.055
0.09446239,3.579631,278.0869
0.09394421,3.571283,278.1057
0.08916983,3.562544,278.1063
0.08637117,3.562201,278.0985
0.08637117,3.562201,278.0985
0.08637117,3.562201,278.0985
0.08637117,3.562201,278.0985
0.08637117,3.562201,278.0985
0.08637117,3.562201,278.0985
0.08637117,3.562201,278.0985
0.08637117,3.562201,278.0985
0.08637117,3.562201,278.0985
0.0740781,3.515036,278.174
0.0740781,3.515036,278.174
0.08686292,3.49821,278.2229
0.09439676,3.497902,278.2097
0.1339177,3.57338,279.0446
0.1306446,3.607541,279.0594
0.1441392,3.596804,279.0337
0.1203528,3.680943,279.0734
0.1170682,3.692141,279.0829
0.1236911,3.688924,279.0706
359.508,3.098905,277.2705
359.5699,2.946492,278.3518
359.5699,2.946492,278.3518
359.5944,2.895823,278.3982
359.5915,2.875658,278.444
359.5915,2.875658,278.444
359.581,2.880964,278.4687
359.5739,2.879983,278.4933
359.581,2.860949,278.507
359.5898,2.828148,278.5386
359.598,2.809131,278.545
359.6171,2.789959,278.5405
359.6637,2.784833,278.5569
359.6902,2.783569,278.5679
359.6902,2.783569,278.5679
359.7043,2.774145,278.5718
359.7416,2.709409,278.5837
359.7664,2.67402,278.6061
359.7694,2.636289,278.6236
359.7774,2.603184,278.6421
359.781,2.540008,278.6646
359.781,2.540008,278.6646
359.7924,2.495189,278.6336
0.3594007,3.07138,278.7649
0.3126785,3.104561,278.6738
0.2859466,3.119247,278.6383
0.3067279,3.080879,278.5712
0.3214861,3.026225,278.4501
0.3202284,2.99131,278.4125
0.3451632,2.896212,278.3294
0.3659187,2.81083,278.3211
0.369192,2.807617,278.3018
0.3782649,2.80137,278.2855
0.3822471,2.813676,278.2927
0.4156824,2.797196,278.2718
0.4156824,2.797196,278.2718
0.4223143,2.780651,278.2689
0.4330874,2.778206,278.2645
0.4350757,2.77035,278.2614
0.4359731,2.763457,278.2539
0.4359731,2.763457,278.2539
0.4351412,2.767946,278.2111
0.4394529,2.772987,278.185
0.438712,2.785118,278.1801
0.4390791,2.80034,278.1787
0.4299552,2.832971,278.181
0.4266022,2.824516,278.1801
0.433154,2.816021,278.178
0.433154,2.816021,278.178
0.4296851,2.808683,278.1762
0.4248668,2.808548,278.1732
0.4120027,2.865796,278.1751
0.4085174,2.894726,278.1778
0.4085174,2.894726,278.1778
0.4014331,2.911074,278.1855
0.3914175,2.918455,278.1883
0.3834388,2.932734,278.197
0.378792,2.922599,278.2236
0.3795558,2.921505,278.2221
0.3795558,2.921505,278.2221
0.3890913,2.927057,278.2093
0.397855,2.932338,278.2071
0.4058788,2.937151,278.2074
0.4141828,2.942557,278.2116
0.4197484,2.926523,278.2838
