Yaw,Pitch,Roll
355.4794,5.438127,274.1242
355.4794,5.438127,274.1242
355.5054,5.451814,274.1059
355.5054,5.451814,274.1059
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
355.5162,5.460578,274.1151
1.550922,3.628349,274.2294
3.442287,3.467723,274.8176
5.440623,3.402978,275.5142
6.460945,3.407441,275.8836
6.460945,3.407441,275.8836
10.51267,3.089876,277.2424
13.41955,2.799129,277.9308
13.41955,2.799129,277.9308
15.24133,2.575046,278.1552
16.90763,2.346284,278.1586
17.67806,2.197698,278.0528
17.67806,2.197698,278.0528
18.40861,2.09058,277.8854
20.39618,1.907277,276.9291
21.50542,1.866617,276.0188
21.99225,1.852519,275.5142
22.86109,1.868135,274.3084
22.86109,1.868135,274.3084
23.25184,1.844843,273.6719
23.61985,1.806105,273.075
24.25776,1.73671,271.9491
24.99696,1.51383,270.2965
25.35373,1.428605,269.3504
25.35373,1.428605,269.3504
25.63895,1.284517,268.2675
25.81647,1.106904,267.1267
25.81647,1.106904,267.1267
25.89621,1.038271,266.5232
26.06776,0.9503081,264.4183
26.06776,0.9503081,264.4183
26.01951,1.018879,263.0709
25.75722,1.276373,261.9005
25.34404,1.496816,260.8562
25.07679,1.574921,260.5898
24.374,1.779227,260.6403
23.97325,1.774764,260.7317
23.97325,1.774764,260.7317
23.08371,1.66872,260.8652
23.08371,1.66872,260.8652
21.93465,1.694775,261.0836
19.89384,1.626744,261.5892
18.27909,1.666842,262.0006
16.24212,1.997849,262.6129
16.24212,1.997849,262.6129
12.88622,2.448445,263.2957
12.88622,2.448445,263.2957
10.53448,2.79846,263.942
9.426098,2.817553,264.2587
8.364775,2.772805,264.5299
5.230093,3.030873,265.4774
5.230093,3.030873,265.4774
3.376313,3.206188,266.138
1.736811,3.237068,266.5463
0.2656655,3.435968,266.8144
0.2656655,3.435968,266.8144
358.9555,3.789116,266.853
357.744,4.170808,266.5986
357.744,4.170808,266.5986
356.5105,4.617362,266.0404
355.2576,5.046707,265.3433
355.2576,5.046707,265.3433
353.8521,5.559309,264.6489
352.2903,6.081755,263.8369
351.4901,6.34653,263.4833
350.6684,6.62228,263.1129
348.9082,7.189542,262.2748
347.057,7.745879,261.4409
345.1226,8.227001,260.6064
345.1226,8.227001,260.6064
343.056,8.678583,259.6194
340.9089,9.057871,258.5038
339.7937,9.203958,257.8908
339.7937,9.203958,257.8908
337.2219,9.453387,256.434
334.5374,9.459448,254.9848
333.2279,9.404704,254.3376
330.6385,9.269922,253.0168
328.2166,8.861034,251.703
325.9365,8.400952,250.8304
325.9365,8.400952,250.8304
323.8525,7.885438,250.0173
322.0122,7.410959,249.7138
322.0122,7.410959,249.7138
320.3975,7.051419,250.021
318.9605,6.834119,250.6631
318.3342,6.734183,251.0688
317.3256,6.604484,252.406
317.3256,6.604484,252.406
316.4328,6.739125,253.985
315.8045,6.754537,255.5249
315.3363,6.788897,257.4066
315.3363,6.788897,257.4066
315.0899,6.89722,258.2506
314.6604,7.112712,259.7746
314.438,7.258722,261.7238
314.2971,7.456372,262.6882
314.0134,7.874158,264.5034
313.9157,8.085569,266.7694
313.9157,8.085569,266.7694
313.8275,8.451385,268.8989
313.7936,8.787895,271.0381
313.8358,8.964854,272.3899
313.8448,9.50625,274.75
313.8448,9.50625,274.75
313.8588,10.06687,276.4863
314.0468,10.53264,278.0719
314.1413,10.76847,278.7866
314.3142,11.19398,279.8534
314.5862,11.53994,280.6331
314.5862,11.53994,280.6331
314.858,11.58224,280.9696
315.6506,11.48588,281.5644
316.6651,11.27879,281.8287
318.2359,10.84322,281.7315
318.2359,10.84322,281.7315
319.2559,10.61796,281.6475
321.6392,10.23738,281.4111
323.0211,9.935851,281.1469
326.1519,9.377781,280.5283
329.5109,9.098955,279.9446
333.0714,8.581673,279.146
333.0714,8.581673,279.146
336.7734,8.140866,278.2986
340.3384,7.865715,277.7209
342.1029,7.657671,277.4261
345.5314,7.326623,276.8525
347.0688,7.200432,276.6294
347.0688,7.200432,276.6294
348.417,7.036802,276.406
349.5183,6.813673,276.1401
353.5621,5.956713,274.8087
354.2562,5.907739,274.4638
355.2524,5.573125,273.6534
355.658,5.431801,273.2234
356.0701,5.362837,272.8202
356.6647,5.296749,272.1082
356.793,5.181883,271.7773
356.9445,4.93823,271.2652
356.9871,4.917701,271.1357
356.9963,4.962203,271.0279
356.8855,4.923923,271.0794
356.8855,4.923923,271.0794
356.7348,4.850423,271.5132
356.6694,4.848561,271.8452
356.5464,4.82982,272.4669
356.3841,4.792917,272.989
356.3841,4.792917,272.989
356.2305,4.789677,273.375
356.1723,4.803296,273.5254
356.1303,4.812292,273.663
356.0905,4.816494,273.7777
356.0905,4.816494,273.7777
356.1396,4.765465,273.6342
356.1937,4.786979,273.5388
356.3573,4.90266,273.4561
356.4538,5.016991,273.4735
356.7355,5.23999,273.5355
357.0566,5.297967,273.8135
357.0566,5.297967,273.8135
357.3446,5.452152,274.0233
357.6458,5.587749,274.2517
357.7847,5.668795,274.3951
358.0249,5.84009,274.6829
358.1933,6.015445,274.9474
358.1933,6.015445,274.9474
358.3435,6.196208,275.0659
358.399,6.245187,275.0512
358.472,6.300391,274.882
358.5166,6.41309,274.66
358.5378,6.478094,274.5515
358.5648,6.520467,274.414
358.5634,6.594689,274.0397
358.5586,6.64532,273.8469
358.5629,6.70016,273.6922
358.5853,6.728174,273.5518
358.6112,6.7672,273.2211
358.6252,6.757999,272.8326
358.6252,6.757999,272.8326
358.6758,6.790688,272.6448
358.7439,6.794454,272.4893
358.7439,6.794454,272.4893
358.7439,6.794454,272.4893
358.7439,6.794454,272.4893
358.7439,6.794454,272.4893
358.7439,6.794454,272.4893
358.7439,6.794454,272.4893
358.7439,6.794454,272.4893
358.7439,6.794454,272.4893
358.7439,6.794454,272.4893
358.7439,6.794454,272.4893
358.7439,6.794454,272.4893
358.7439,6.794454,272.4893
