Yaw,Pitch,Roll
1.032784,1.022103,276.2687
1.032784,1.022103,276.2687
1.05196,1.018219,276.2559
1.070477,1.003041,276.2403
1.070861,1.007583,276.2331
1.062907,1.001788,276.238
1.062907,1.001788,276.238
1.048685,0.9894762,276.2486
1.048685,0.9894762,276.2486
1.013596,1.01584,276.2567
1.013596,1.01584,276.2567
0.9950775,1.005012,276.2742
0.9732872,1.024606,276.2395
0.9732872,1.024606,276.2395
0.9754416,1.016491,276.1984
0.9747971,1.012807,276.169
0.9747971,1.012807,276.169
0.9799139,1.011272,276.1586
0.9954612,1.005712,276.1508
1.028355,1.009002,276.1512
1.046954,1.011471,276.1521
1.078253,1.019367,276.1384
1.085902,1.014984,276.1348
1.100004,1.015734,276.1297
1.098566,1.015524,276.1284
1.097022,1.012952,276.1169
1.093162,0.9996823,276.1158
1.093162,0.9996823,276.1158
1.092378,0.9892112,276.1262
1.109244,0.9734359,276.1344
1.145437,0.979558,276.1153
1.178054,0.9685987,276.0954
1.178054,0.9685987,276.0954
1.190584,0.9634855,276.0937
1.199903,0.9560636,276.1012
1.199903,0.9560636,276.1012
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
1.202037,0.9569716,276.1078
0.7623447,0.8315743,276.0334
0.7833102,0.8349323,276.0237
0.8122057,0.839863,276.0287
0.8122057,0.839863,276.0287
0.8331886,0.8412846,276.0233
0.8425805,0.8301906,276.0321
0.8425805,0.8301906,276.0321
0.8632467,0.8033971,276.0353
0.8797366,0.8056439,276.0241
0.8902221,0.8002363,276.0012
0.8902221,0.8002363,276.0012
0.8891773,0.7714672,275.9914
0.8850918,0.7659397,275.9901
0.8839574,0.7693149,276.0009
0.8839574,0.7693149,276.0009
0.8845709,0.7608981,276.0082
0.88311,0.7562775,276.0073
0.886418,0.7632481,276.0198
0.8884949,0.7594951,276.0357
0.89559,0.728201,276.0586
0.8988317,0.7216237,276.0609
0.8903219,0.715825,276.0592
0.8903219,0.715825,276.0592
0.8919311,0.7133243,276.0552
0.910001,0.6849366,276.0358
0.9120584,0.6862773,276.0345
0.9150004,0.6858749,276.0327
0.9074453,0.6810312,276.0169
0.9074453,0.6810312,276.0169
0.8935378,0.6699756,275.9742
0.8687857,0.6392838,275.843
0.8581476,0.6211599,275.8157
0.853878,0.623337,275.8313
0.8679708,0.6085502,275.8898
0.9082249,0.5896639,275.9951
0.9529347,0.5651212,276.043
0.9998877,0.5839409,276.1193
0.9998877,0.5839409,276.1193
1.022605,0.5755457,276.198
1.022605,0.5755457,276.198
1.003129,0.5343725,276.2614
0.9884413,0.5285388,276.2666
0.9884413,0.5285388,276.2666
0.9284838,0.4979174,276.2747
0.9284838,0.4979174,276.2747
0.8890805,0.498437,276.2672
0.8540424,0.5088738,276.2538
0.8540424,0.5088738,276.2538
0.840008,0.5245357,276.2214
0.8320757,0.5588365,276.2167
0.8341485,0.5682148,276.2245
0.8341485,0.5682148,276.2245
0.8341485,0.5682148,276.2245
0.8341485,0.5682148,276.2245
0.8341485,0.5682148,276.2245
0.8341485,0.5682148,276.2245
0.8341485,0.5682148,276.2245
0.8341485,0.5682148,276.2245
0.8341485,0.5682148,276.2245
0.8341485,0.5682148,276.2245
