Yaw,Pitch,Roll
357.9328,353.9297,280.0252
357.9328,353.9297,280.0252
358.0571,353.8376,279.909
358.0571,353.8376,279.909
358.0571,353.8376,279.909
358.0884,353.8363,279.783
358.0866,353.7966,279.6968
358.0866,353.7966,279.6968
358.0659,353.7805,279.6087
358.0731,353.7859,279.5821
358.0731,353.7859,279.5821
358.0901,353.7566,279.5417
358.0959,353.7622,279.5029
358.0959,353.7622,279.5029
358.0928,353.7861,279.5107
358.0928,353.7861,279.5107
358.0928,353.7861,279.5107
358.0262,353.8456,280.0167
358.0262,353.8456,280.0167
358.0372,353.855,280.2178
358.0961,353.9231,280.4276
358.0961,353.9231,280.4276
358.1374,353.9988,280.4818
358.1414,354.0991,280.5142
358.1414,354.0991,280.5142
358.0911,354.3112,280.4621
358.0911,354.3112,280.4621
357.9617,354.4069,280.3176
357.9617,354.4069,280.3176
357.9617,354.4069,280.3176
357.9617,354.4069,280.3176
357.9617,354.4069,280.3176
357.9617,354.4069,280.3176
357.9617,354.4069,280.3176
357.9617,354.4069,280.3176
357.9617,354.4069,280.3176
357.9617,354.4069,280.3176
357.9617,354.4069,280.3176
357.9617,354.4069,280.3176
357.9617,354.4069,280.3176
357.9617,354.4069,280.3176
357.9617,354.4069,280.3176
357.9617,354.4069,280.3176
355.4404,355.4626,278.274
354.9442,355.5635,277.8967
354.9442,355.5635,277.8967
354.4929,355.76,277.607
354.0628,355.9635,277.3398
353.6902,356.1255,277.1495
353.6902,356.1255,277.1495
353.366,356.2793,277.0087
353.0757,356.4469,276.9096
352.793,356.5786,276.8047
352.793,356.5786,276.8047
352.4742,356.7433,276.6854
352.1166,356.9337,276.5127
351.7155,357.1057,276.3464
351.7155,357.1057,276.3464
351.2491,357.2917,276.162
350.705,357.4915,275.9503
350.705,357.4915,275.9503
350.1335,357.6839,275.7479
349.5277,357.8681,275.5478
349.5277,357.8681,275.5478
348.9035,358.0437,275.377
348.3062,358.1997,275.2421
347.6641,358.385,275.1755
347.6641,358.385,275.1755
346.9915,358.5761,275.1293
346.3178,358.7826,275.0811
346.3178,358.7826,275.0811
345.6471,358.934,275.0424
344.9933,359.0709,274.9897
344.3625,359.2322,274.9241
344.3625,359.2322,274.9241
343.7121,359.443,274.8501
343.0604,359.6197,274.8137
342.3974,359.7789,274.7887
342.3974,359.7789,274.7887
341.7727,359.9581,274.7589
341.14,0.1171011,274.8376
341.14,0.1171011,274.8376
340.479,0.2390027,274.9703
339.8629,0.3979335,275.0908
339.2542,0.5015233,275.3241
339.2542,0.5015233,275.3241
338.6326,0.6269001,275.627
338.0777,0.7198321,275.8784
338.0777,0.7198321,275.8784
337.5416,0.8223198,276.1894
337.0334,0.87888,276.5324
336.5896,0.942203,276.8291
336.5896,0.942203,276.8291
335.9963,0.9914379,277.3989
335.6783,1.033688,277.709
335.6783,1.033688,277.709
335.5276,1.056006,277.8847
335.2244,1.062568,278.3441
334.9399,1.057137,278.8654
334.9399,1.057137,278.8654
334.6728,1.050262,279.3567
334.3851,1.044002,279.8068
334.3851,1.044002,279.8068
333.9737,1.077019,280.4023
333.8558,1.074239,280.5525
333.622,1.04068,280.8834
333.622,1.04068,280.8834
333.4009,1.005126,281.1871
333.2322,0.971325,281.4179
333.117,0.9640976,281.6248
333.117,0.9640976,281.6248
333.0011,0.9621081,281.954
333.0011,0.9621081,281.954
333.0244,0.976235,282.1483
333.0281,0.9675269,282.2742
333.0491,0.9611551,282.5831
333.0602,0.972623,282.8554
333.0602,0.972623,282.8554
333.0763,0.9849644,283.1255
333.16,0.9588795,283.4377
333.16,0.9588795,283.4377
333.1852,0.8934651,283.5399
333.2689,0.8884255,283.722
333.3672,0.9058728,283.8826
333.3672,0.9058728,283.8826
333.4757,0.8746867,284.0912
333.6382,0.8026512,284.4166
333.6382,0.8026512,284.4166
333.7617,0.7923699,284.6228
333.8906,0.8011988,284.8456
334.0214,0.817125,285.0423
334.0214,0.817125,285.0423
334.1503,0.8393006,285.2297
334.2809,0.8430926,285.4124
334.2809,0.8430926,285.4124
334.4308,0.848536,285.5815
334.5879,0.8304939,285.8083
334.737,0.8217905,286.0581
