Yaw,Pitch,Roll
359.2016,358.0372,275.5986
359.2016,358.0372,275.5986
359.2016,358.0372,275.5986
359.2016,358.0372,275.5986
359.2016,358.0372,275.5986
359.2016,358.0372,275.5986
359.2016,358.0372,275.5986
359.2016,358.0372,275.5986
359.2016,358.0372,275.5986
359.2016,358.0372,275.5986
359.2016,358.0372,275.5986
359.2016,358.0372,275.5986
359.2016,358.0372,275.5986
359.2016,358.0372,275.5986
359.1452,358.033,275.0876
359.1452,358.033,275.0876
359.1449,358.024,275.0791
359.1445,358.0199,275.0768
359.1445,358.0199,275.0768
359.582,357.4307,274.1415
359.5411,357.5314,273.9369
359.5411,357.5314,273.9369
359.5581,357.6732,273.9104
359.7365,358.0028,272.7569
359.7463,357.8664,274.0208
359.4969,357.932,276.5251
359.4969,357.932,276.5251
359.4506,358.0493,275.1856
359.4506,358.0493,275.1856
359.4654,358.0974,275.2302
359.4741,358.155,275.3022
359.4741,358.155,275.3022
359.4998,358.2012,275.3683
359.5444,358.2532,275.4688
359.5444,358.2532,275.4688
359.6267,358.3077,275.5729
359.7222,358.3638,275.6484
359.7569,358.3751,275.6766
359.8113,358.3965,275.7331
359.8113,358.3965,275.7331
359.8441,358.4198,275.7818
359.854,358.4367,275.8117
359.8587,358.4529,275.8229
359.8434,358.4415,275.845
359.8364,358.4333,275.84
359.8197,358.4359,275.8237
359.7943,358.4557,275.8015
359.7889,358.475,275.7821
359.7809,358.4883,275.7554
359.7669,358.4901,275.7525
359.7444,358.5003,275.7332
359.7321,358.5153,275.7058
359.7139,358.5253,275.6664
359.6985,358.5531,275.6335
359.6985,358.5531,275.6335
359.6805,358.5564,275.6125
359.6734,358.5511,275.5754
359.6776,358.5541,275.551
359.6776,358.5541,275.551
359.7031,358.5605,275.55
359.7406,358.5648,275.5622
359.7406,358.5648,275.5622
359.789,358.5561,275.5923
359.8119,358.5545,275.618
359.9751,358.5818,275.81
359.9751,358.5818,275.81
0.2172009,358.6881,276.0454
0.420396,358.7653,276.2185
0.9005063,359.0001,276.662
1.186435,359.1237,276.9625
1.510547,359.2554,277.3297
2.318835,359.5955,278.1673
2.800215,359.7561,278.5855
3.840663,0.05727115,279.4285
4.949848,0.2887086,280.2548
5.567133,0.4036338,280.6793
6.870882,0.635097,281.5146
6.870882,0.635097,281.5146
8.164898,0.819662,282.2761
9.39895,1.022711,282.9973
10.53191,1.208476,283.7138
10.53191,1.208476,283.7138
11.0423,1.290878,284.0389
11.97656,1.378465,284.6676
12.82706,1.453103,285.2549
13.55661,1.595612,285.7747
13.55661,1.595612,285.7747
14.1944,1.756349,286.0936
14.80151,1.921216,286.2826
15.39695,2.057799,286.4705
15.39695,2.057799,286.4705
15.98332,2.159376,286.6955
16.57689,2.254538,286.8782
16.89014,2.32127,286.9675
17.44045,2.437366,287.1427
17.44045,2.437366,287.1427
18.10098,2.460489,287.1552
18.10098,2.460489,287.1552
18.46693,2.478727,287.1513
18.62586,2.496309,287.2077
18.83295,2.492256,287.3087
18.92068,2.437627,287.3931
18.92068,2.437627,287.3931
18.93928,2.396826,287.495
18.89823,2.316444,287.6118
18.85239,2.214227,287.6706
18.85239,2.214227,287.6706
18.82197,2.154932,287.7036
18.7999,2.119805,287.7093
18.7999,2.119805,287.7093
18.79387,2.102386,287.7526
18.81964,2.034338,287.8176
18.83655,2.005008,287.8212
18.88701,1.982718,287.7989
18.88701,1.982718,287.7989
18.91566,1.977885,287.8021
18.92419,1.971247,287.8127
19.01341,1.898902,287.7911
19.01341,1.898902,287.7911
19.0876,1.876053,287.7942
19.0876,1.876053,287.7942
19.11195,1.84228,287.7744
19.11,1.789031,287.7279
19.11,1.789031,287.7279
19.10806,1.786014,287.7163
19.08189,1.746004,287.6388
19.08189,1.746004,287.6388
19.06943,1.736152,287.5869
19.03576,1.730103,287.5557
18.93788,1.672313,287.4413
18.91331,1.656534,287.3931
18.88508,1.653316,287.3507
18.83613,1.625709,287.2413
18.82265,1.605366,287.1738
18.81729,1.559935,287.0753
18.81106,1.443178,286.812
18.79637,1.315411,286.5348
18.81252,1.242251,286.4115
18.85285,1.056993,286.0914
18.85285,1.056993,286.0914
18.90072,0.8183331,285.6244
18.93666,0.5953804,285.197
18.95169,0.4703722,284.9821
18.95318,0.1895466,284.3868
18.9298,0.02992135,284.0352
18.91867,359.8797,283.711
18.91867,359.8797,283.711
18.91815,359.7308,283.396
18.9037,359.3816,282.5446
18.81022,358.528,280.1039
18.81022,358.528,280.1039
