Yaw,Pitch,Roll
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
13.91513,1.495726,279.8326
18.50697,1.572846,281.9617
18.50697,1.572846,281.9617
19.74674,1.476622,282.6406
20.69554,1.387302,283.0116
20.69554,1.387302,283.0116
21.71932,1.325252,283.3298
22.81043,1.244189,283.6758
23.95653,1.105225,284.0191
23.95653,1.105225,284.0191
25.09317,0.9480641,284.308
26.2132,0.8286538,284.5793
26.2132,0.8286538,284.5793
27.32751,0.7260532,284.8782
28.42893,0.6051139,285.2199
28.42893,0.6051139,285.2199
29.50916,0.479525,285.5606
30.54446,0.3619845,285.9581
31.57416,0.2317712,286.3732
32.55476,0.1144775,286.7738
32.55476,0.1144775,286.7738
33.48129,359.9663,286.9816
34.36592,359.8427,287.2744
34.36592,359.8427,287.2744
35.17192,359.7354,287.5689
35.93272,359.618,287.8131
35.93272,359.618,287.8131
36.64632,359.5261,288.0592
37.32224,359.4356,288.3108
37.93879,359.3534,288.5341
37.93879,359.3534,288.5341
38.22659,359.326,288.6535
39.03117,359.1891,288.9854
39.5311,359.098,289.1655
39.5311,359.098,289.1655
40.00265,359.0183,289.367
40.46519,358.9772,289.6266
40.46519,358.9772,289.6266
40.91108,358.8121,289.7915
41.35623,358.687,289.8918
41.35623,358.687,289.8918
41.80132,358.5956,290.0347
42.02016,358.5487,290.0904
42.67452,358.3275,290.125
42.67452,358.3275,290.125
43.08564,358.2169,290.1469
43.48787,358.1488,290.1041
43.83512,358.0902,289.9635
43.83512,358.0902,289.9635
44.17844,358.0279,289.7853
44.49059,357.9243,289.5364
44.49059,357.9243,289.5364
44.75639,357.8328,289.1843
45.07159,357.7994,288.6054
45.07159,357.7994,288.6054
45.26294,357.7541,288.1563
45.42523,357.7205,287.6687
45.42523,357.7205,287.6687
45.49509,357.7281,287.4448
45.68369,357.8174,286.7795
45.68369,357.8174,286.7795
45.79801,357.8756,286.2986
45.79801,357.8756,286.2986
45.9348,357.9994,285.4972
45.9733,358.0541,285.2391
45.9733,358.0541,285.2391
46.06315,358.227,284.461
46.0993,358.4136,283.5789
46.0993,358.4136,283.5789
46.09405,358.5675,282.9808
46.08834,358.712,282.3569
46.07822,358.826,281.6761
46.07822,358.826,281.6761
46.07122,358.9146,280.9496
46.06096,358.9341,280.1371
46.06096,358.9341,280.1371
46.05761,358.9982,279.3342
46.07951,359.0805,278.569
46.07951,359.0805,278.569
46.11505,359.1206,277.7148
46.16076,359.1429,277.1584
46.2374,359.2239,276.4202
46.2374,359.2239,276.4202
46.32959,359.3175,275.5995
46.42071,359.4318,274.7747
46.5328,359.5481,273.995
46.5328,359.5481,273.995
46.64473,359.6478,273.153
46.74137,359.7603,272.2868
46.74137,359.7603,272.2868
46.83118,359.891,271.4597
46.92907,359.945,270.577
46.98809,0.03799122,269.7679
46.98809,0.03799122,269.7679
47.03458,0.1177679,268.9674
47.0633,0.242341,268.2127
47.0633,0.242341,268.2127
45.88214,1.198596,267.2425
46.6902,0.740519,266.1
46.6902,0.740519,266.1
46.68729,0.7718057,265.4843
46.66872,0.839947,264.9367
46.57552,0.9114213,264.2962
46.57552,0.9114213,264.2962
46.48946,0.9589469,264.0112
46.40372,0.9880888,263.8151
46.40372,0.9880888,263.8151
46.20627,0.9709698,263.436
45.94291,0.9495149,263.1205
45.45091,0.8953871,262.6224
45.45091,0.8953871,262.6224
45.20341,0.8251923,262.3021
44.94562,0.8326448,262.137
44.94562,0.8326448,262.137
44.8218,0.8203218,262.0844
44.69218,0.8003278,262.0354
44.08855,0.5566709,261.902
44.08855,0.5566709,261.902
43.70184,0.4343598,262.0049
43.47758,0.3950715,262.0736
43.26852,0.3585617,262.1406
43.26852,0.3585617,262.1406
