Yaw,Pitch,Roll
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
357.2131,1.92407,280.9905
353.6429,0.5731487,284.3552
353.6429,0.5731487,284.3552
352.2691,0.1798934,285.2758
351.4061,0.01691496,285.7543
351.4061,0.01691496,285.7543
350.0957,359.7369,286.5431
350.0957,359.7369,286.5431
349.2687,359.5639,287.0239
348.4031,359.3166,287.661
348.4031,359.3166,287.661
347.6581,358.5004,288.6144
350.7939,343.049,291.4689
344.7909,354.1718,293.4206
344.7909,354.1718,293.4206
342.825,353.6459,294.7207
340.8864,354.5829,295.0026
339.5306,355.8148,295.6431
339.5306,355.8148,295.6431
338.0822,356.9933,296.0077
336.7036,357.869,296.3596
336.7036,357.869,296.3596
335.3934,358.4402,296.6547
334.1371,358.8657,296.8517
332.8216,359.2046,297.0166
332.8216,359.2046,297.0166
331.5371,359.5153,297.1425
330.2906,359.8061,297.2265
330.2906,359.8061,297.2265
329.0077,0.05060146,297.3689
327.7858,0.2394518,297.4047
326.6513,0.4374941,297.341
326.6513,0.4374941,297.341
325.575,0.6446477,297.2593
324.6063,0.8198573,297.1103
324.6063,0.8198573,297.1103
323.7492,1.011025,296.79
322.9946,1.19557,296.4018
322.3535,1.39257,295.9467
322.3535,1.39257,295.9467
321.8048,1.601811,295.4141
321.2903,1.865588,294.7295
320.843,2.236299,293.8202
320.843,2.236299,293.8202
320.4868,2.49778,292.7708
320.1849,2.550813,291.794
320.1849,2.550813,291.794
319.8626,2.533191,290.6477
319.5121,2.504225,289.3862
319.0863,2.426045,288.0286
319.0863,2.426045,288.0286
318.6313,2.312678,286.5994
318.1451,2.170971,285.2094
