Yaw,Pitch,Roll
356.5302,359.6011,273.7238
356.5302,359.6011,273.7238
356.5302,359.6011,273.7238
356.5125,359.6045,273.734
356.5125,359.6045,273.734
356.4961,359.5918,273.7157
356.4916,359.592,273.7077
356.475,359.605,273.7081
356.4808,359.5983,273.7043
356.5011,359.5653,273.6836
356.5011,359.5653,273.6836
356.5146,359.5541,273.6874
356.55,359.5495,273.7045
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.5693,359.5476,273.6945
356.4316,359.5819,273.8373
356.4267,359.5646,273.7638
356.4239,359.5606,273.7228
356.417,359.5592,273.7119
356.417,359.5592,273.7119
356.4184,359.5689,273.711
356.4185,359.5719,273.72
356.4185,359.5719,273.72
356.4185,359.5719,273.72
356.4185,359.5719,273.72
356.4185,359.5719,273.72
356.4185,359.5719,273.72
356.4185,359.5719,273.72
356.4185,359.5719,273.72
356.4185,359.5719,273.72
356.4185,359.5719,273.72
356.4185,359.5719,273.72
356.4185,359.5719,273.72
356.4502,359.5356,273.5675
356.4492,359.5201,273.5424
356.4619,359.5302,273.5647
356.4674,359.5377,273.5838
356.6944,359.8549,271.816
356.6944,359.8549,271.816
356.484,359.8209,271.7793
356.3711,359.8122,272.1787
356.3322,359.8106,272.3164
356.2975,359.8129,272.4739
356.2441,359.8371,272.5632
356.2441,359.8371,272.5632
356.1685,359.8387,272.7175
355.9877,359.8175,272.82
355.3874,359.833,273.0041
354.528,359.7986,273.2765
354.528,359.7986,273.2765
354.0092,359.7672,273.5229
352.7764,359.6811,274.0735
351.4096,359.6483,274.6429
350.719,359.6222,274.8962
349.3671,359.5785,275.4637
348.0656,359.5692,276.0677
348.0656,359.5692,276.0677
346.8798,359.5838,276.6062
346.3134,359.599,276.8609
345.2863,359.6334,277.354
344.3461,359.6678,277.8136
343.9117,359.7009,278.04
343.0821,359.7772,278.4669
343.0821,359.7772,278.4669
342.3208,359.8411,278.8533
341.6057,359.9173,279.1943
341.1558,359.8216,280.8723
340.6468,359.8967,281.2655
340.6468,359.8967,281.2655
340.1445,359.9696,281.4653
341.0886,358.0889,276.4363
342.2664,356.4374,277.0005
342.2664,356.4374,277.0005
339.5967,359.2816,279.9106
339.0554,0.3795752,280.6666
338.9016,0.633682,280.799
338.9016,0.633682,280.799
338.8959,0.7449436,280.8677
338.9814,0.7474113,280.7619
339.0303,0.7157713,280.6294
339.1707,0.6683577,280.5446
339.1707,0.6683577,280.5446
339.3226,0.6221246,280.5358
339.4096,0.5663668,280.322
339.4981,0.5501981,280.3992
339.6272,0.5083964,280.4761
339.6272,0.5083964,280.4761
339.7274,0.495393,280.5314
339.8756,0.4587016,280.5497
339.9858,0.4256323,280.5561
340.2573,0.3773015,280.5175
340.6127,0.319844,280.3911
340.6127,0.319844,280.3911
341.0633,0.2451209,280.1719
341.3088,0.2085748,280.0322
341.8315,0.1290676,279.7259
342.4262,0.03826955,279.3878
342.7512,-0.00169901,279.1953
342.7512,-0.00169901,279.1953
343.4837,359.9115,278.7851
344.2408,359.8607,278.3025
344.667,359.8288,278.0261
345.528,359.7908,277.5098
346.0077,359.7731,277.2688
347.0867,359.7197,276.8043
348.2778,359.6766,276.3651
348.2778,359.6766,276.3651
349.5005,359.6371,275.9486
350.7164,359.569,275.6345
351.3097,359.5287,275.4644
352.4269,359.4248,275.1856
352.4269,359.4248,275.1856
353.394,359.3224,274.9693
354.2855,359.2009,274.8408
354.511,359.5001,274.5844
355.4188,359.157,274.4973
355.4188,359.157,274.4973
356.0753,358.9391,274.4972
356.5903,358.7827,274.6099
356.8135,358.7115,274.6866
357.1903,358.7117,274.7773
357.5727,358.6481,274.843
357.7596,358.6273,274.8888
358.1702,358.5596,275.016
358.1702,358.5596,275.016
358.6526,358.4895,275.2415
358.442,359.6375,283.3694
359.1555,359.5417,278.1299
359.692,359.0205,277.9361
1.391214,358.8772,278.2574
1.391214,358.8772,278.2574
2.048322,358.8614,278.5166
3.463683,358.8237,279.1585
4.202163,358.7916,279.4598
5.714988,358.6614,280.0454
7.232136,358.524,280.6483
7.232136,358.524,280.6483
10.04534,358.1731,281.6937
10.04534,358.1731,281.6937
10.66116,358.0516,281.9192
11.75728,357.7813,282.3078
12.68212,357.51,282.7224
13.36199,357.232,283.0263
13.36199,357.232,283.0263
13.64203,357.1052,283.1707
14.07114,356.8542,283.4245
14.32046,356.6479,283.6121
14.39008,356.563,283.6764
14.39008,356.563,283.6764
14.43224,356.4278,283.7656
14.43224,356.4278,283.7656
14.43224,356.4278,283.7656
14.43224,356.4278,283.7656
14.08466,356.2545,283.9976
13.84883,356.3035,283.9946
13.5966,356.3497,283.9324
13.5966,356.3497,283.9324
13.33401,356.4061,283.9073
13.05637,356.4733,283.8319
12.89942,356.5151,283.7563
12.56524,356.5921,283.5771
