Yaw,Pitch,Roll
358.8535,354.0048,279.8147
358.8535,354.0048,279.8147
358.8535,354.0048,279.8147
358.8535,354.0048,279.8147
358.8535,354.0048,279.8147
358.8535,354.0048,279.8147
358.848,354.0118,279.7285
358.8265,354.0432,279.6956
358.8157,354.0451,279.6872
358.8157,354.0451,279.6872
358.8164,354.0488,279.6791
358.8115,354.0618,279.6543
358.8115,354.0618,279.6543
358.8104,354.0886,279.6282
358.8104,354.0886,279.6282
358.8132,354.0941,279.621
358.8132,354.0941,279.621
358.8132,354.0941,279.621
358.8132,354.0941,279.621
358.8132,354.0941,279.621
358.8132,354.0941,279.621
358.8132,354.0941,279.621
358.8132,354.0941,279.621
358.7644,354.1013,279.5668
358.7644,354.1013,279.5668
358.778,354.0661,279.5632
358.8006,354.0751,279.5727
358.8006,354.0751,279.5727
358.8224,354.0737,279.5871
358.8502,354.0597,279.5732
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.8667,354.0262,279.5532
358.6877,354.0818,279.7259
358.6693,354.0907,279.7268
358.6693,354.0907,279.7268
358.6138,354.1025,279.7172
358.5911,354.1079,279.7174
358.5911,354.1079,279.7174
358.5649,354.1072,279.7138
358.513,354.1102,279.6741
358.402,354.0969,279.6451
358.402,354.0969,279.6451
358.3113,354.0985,279.6402
358.2188,354.1028,279.6124
358.2188,354.1028,279.6124
358.1421,354.1368,279.5752
358.0742,354.1452,279.5499
358.0742,354.1452,279.5499
358.0742,354.1452,279.5499
358.0742,354.1452,279.5499
358.0742,354.1452,279.5499
358.0742,354.1452,279.5499
358.0742,354.1452,279.5499
358.0742,354.1452,279.5499
358.0742,354.1452,279.5499
358.0742,354.1452,279.5499
358.0742,354.1452,279.5499
358.0742,354.1452,279.5499
357.5714,354.2968,279.3402
357.5714,354.2968,279.3402
357.5629,354.303,279.3096
357.5629,354.303,279.3096
357.5587,354.3065,279.3146
357.5587,354.3065,279.3146
357.5587,354.3065,279.3146
357.5587,354.3065,279.3146
357.5587,354.3065,279.3146
357.5587,354.3065,279.3146
357.5587,354.3065,279.3146
357.5587,354.3065,279.3146
357.5587,354.3065,279.3146
357.5587,354.3065,279.3146
357.5587,354.3065,279.3146
357.6338,354.2649,279.4646
357.641,354.2619,279.4528
357.6713,354.2535,279.4514
357.6944,354.2516,279.4534
357.6944,354.2516,279.4534
357.7143,354.2407,279.4597
357.7109,354.2395,279.4745
