Yaw,Pitch,Roll
0.3816971,357.3313,277.1441
0.3816971,357.3313,277.1441
0.3816971,357.3313,277.1441
0.38655,357.3455,277.1103
0.3904335,357.3535,277.1067
0.3904335,357.3535,277.1067
0.3959452,357.3528,277.085
0.3641104,357.3802,277.1113
0.3531781,357.3655,277.1099
0.3531781,357.3655,277.1099
0.3501326,357.3591,277.106
0.3439715,357.4138,277.0989
0.3504109,357.4034,277.0973
0.3504109,357.4034,277.0973
0.3592555,357.3875,277.0907
0.3820692,357.4014,277.0751
0.3820692,357.4014,277.0751
0.4424824,357.4221,277.0632
0.4424824,357.4221,277.0632
0.4642225,357.3843,277.0752
0.4642225,357.3843,277.0752
0.4671241,357.3451,277.0634
0.453503,357.2987,277.0612
0.453503,357.2987,277.0612
0.4331553,357.2918,277.0717
0.4088815,357.303,277.1049
0.4088815,357.303,277.1049
0.3723447,357.2828,277.1523
0.368249,357.2618,277.1795
0.368249,357.2618,277.1795
0.3642647,357.2478,277.1845
0.3795828,357.2415,277.193
0.3886311,357.2186,277.195
0.3886311,357.2186,277.195
0.3927956,357.2051,277.1958
0.3871735,357.2054,277.1709
0.3871735,357.2054,277.1709
0.4036826,357.14,277.1345
0.4079096,357.1232,277.0852
0.4286631,357.1282,277.0673
0.4286631,357.1282,277.0673
0.4377169,357.1258,277.059
0.4282669,357.0962,277.0739
0.4053474,357.0984,277.1136
0.4053474,357.0984,277.1136
0.3952486,357.1148,277.1661
0.3821647,357.0998,277.1944
0.3821647,357.0998,277.1944
0.37325,357.1161,277.2016
0.37325,357.1161,277.2016
0.37325,357.1161,277.2016
0.37325,357.1161,277.2016
0.37325,357.1161,277.2016
0.37325,357.1161,277.2016
0.37325,357.1161,277.2016
0.4412234,357.0838,277.3355
0.4489995,357.0728,277.3444
0.4489995,357.0728,277.3444
0.4489995,357.0728,277.3444
0.4489995,357.0728,277.3444
0.4489995,357.0728,277.3444
0.4489995,357.0728,277.3444
0.4489995,357.0728,277.3444
0.4489995,357.0728,277.3444
0.5231688,357.199,277.5374
0.5278708,357.2052,277.5428
0.5440347,357.2225,277.5447
0.5440347,357.2225,277.5447
0.5900563,357.2735,277.5654
0.6370851,357.298,277.5938
0.6370851,357.298,277.5938
0.6674289,357.3959,277.6682
0.721198,357.4154,277.7245
0.721198,357.4154,277.7245
0.7344952,357.423,277.7656
0.8831998,357.4486,277.8545
0.9540377,357.4548,277.8455
0.9540377,357.4548,277.8455
0.9839324,357.4686,277.8373
1.004975,357.4467,277.8201
0.9910474,357.431,277.788
0.9849157,357.444,277.796
0.9637456,357.4247,277.7575
0.9637456,357.4247,277.7575
0.9447458,357.4554,277.7236
0.9253662,357.4006,277.6811
0.9253662,357.4006,277.6811
0.9432851,357.3912,277.6534
0.9499423,357.4001,277.6538
0.9576871,357.409,277.6425
0.9576871,357.409,277.6425
1.002732,357.418,277.6022
1.054109,357.3704,277.5588
1.072903,357.3642,277.5889
1.089602,357.3513,277.5975
1.089602,357.3513,277.5975
