Yaw,Pitch,Roll
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
1.075838,1.308738,282.0568
2.539371,1.177166,283.15
2.545973,1.156992,283.1399
2.545973,1.156992,283.1399
2.545973,1.156992,283.1399
2.545973,1.156992,283.1399
2.545973,1.156992,283.1399
2.545973,1.156992,283.1399
2.545973,1.156992,283.1399
2.545973,1.156992,283.1399
2.545973,1.156992,283.1399
2.545973,1.156992,283.1399
2.545973,1.156992,283.1399
2.545973,1.156992,283.1399
2.545973,1.156992,283.1399
2.650559,0.8598452,282.5582
2.698175,0.830719,282.4689
2.698175,0.830719,282.4689
2.731354,0.8096304,282.4108
2.778451,0.7717596,282.3399
2.872268,0.7257763,282.1755
2.872268,0.7257763,282.1755
2.931985,0.7024191,282.0557
2.931985,0.7024191,282.0557
2.963285,0.5363097,281.7972
3.008334,0.5168207,281.6914
3.005463,0.5024281,281.6834
2.99612,0.4798074,281.6799
2.99612,0.4798074,281.6799
2.99612,0.4798074,281.6799
2.99612,0.4798074,281.6799
2.99612,0.4798074,281.6799
3.03264,0.4298865,281.5068
3.092146,0.4070559,281.3965
3.092146,0.4070559,281.3965
3.129586,0.411559,281.3529
3.157729,0.4337589,281.3223
3.177144,0.5099452,281.2994
3.177144,0.5099452,281.2994
3.15496,0.5260748,281.3105
2.955732,0.6730453,281.4531
2.955732,0.6730453,281.4531
2.871728,0.6934805,281.7337
3.170725,0.970033,281.1464
3.136767,1.020831,281.5307
3.136767,1.020831,281.5307
3.099929,1.064174,281.7257
3.068948,1.077629,281.7887
3.068948,1.077629,281.7887
3.052415,1.126768,281.9018
3.011665,1.100686,282.0334
3.011665,1.100686,282.0334
3.037707,1.099954,282.1079
3.033123,1.143241,282.2098
3.006832,1.142099,282.2414
2.970709,1.139417,282.2481
2.970709,1.139417,282.2481
2.934235,1.140791,282.248
2.892335,1.143107,282.2411
2.857971,1.176702,282.2795
2.857971,1.176702,282.2795
2.837929,1.185956,282.2705
2.876032,1.195194,282.2914
2.876032,1.195194,282.2914
2.921087,1.18157,282.3253
2.946535,1.199963,282.3565
2.946535,1.199963,282.3565
2.969008,1.192007,282.3409
2.949263,1.192984,282.353
2.877801,1.207972,282.3752
2.877801,1.207972,282.3752
2.835672,1.228441,282.3947
2.698985,1.270663,282.4728
2.533691,1.321725,282.5655
2.410647,1.363893,282.6177
2.410647,1.363893,282.6177
2.069961,1.358705,282.7918
1.470443,1.352125,283.0552
1.470443,1.352125,283.0552
1.126274,1.366829,283.1738
0.8271574,1.426854,283.2565
0.647382,1.495892,283.2979
0.647382,1.495892,283.2979
0.5807911,1.567445,283.3166
0.5725008,1.599892,283.327
0.5725008,1.599892,283.327
0.5725008,1.599892,283.327
0.8118293,1.693034,283.3195
0.9437017,1.669688,283.3425
0.9437017,1.669688,283.3425
1.014213,1.684172,283.3885
1.053101,1.701657,283.3999
1.05893,1.703565,283.4041
1.05893,1.703565,283.4041
1.05893,1.703565,283.4041
1.05893,1.703565,283.4041
0.9000338,1.683002,283.2812
0.9000338,1.683002,283.2812
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
0.8921999,1.702912,283.2641
1.028172,1.713946,282.9651
1.003546,1.725876,282.9448
1.003546,1.725876,282.9448
0.9837736,1.723406,282.931
0.9729651,1.68164,282.9345
0.9729651,1.68164,282.9345
0.9752781,1.66703,282.9381
0.9752781,1.66703,282.9381
0.9752781,1.66703,282.9381
0.9752781,1.66703,282.9381
0.9752781,1.66703,282.9381
0.9752781,1.66703,282.9381
0.9752781,1.66703,282.9381
0.9752781,1.66703,282.9381
0.9752781,1.66703,282.9381
0.9752781,1.66703,282.9381
0.9752781,1.66703,282.9381
1.110673,1.600975,282.9953
1.110673,1.600975,282.9953
1.110673,1.600975,282.9953
1.110673,1.600975,282.9953
1.110673,1.600975,282.9953
1.110673,1.600975,282.9953
1.110673,1.600975,282.9953
1.110673,1.600975,282.9953
1.110673,1.600975,282.9953
1.110673,1.600975,282.9953
1.110673,1.600975,282.9953
1.110673,1.600975,282.9953
1.110673,1.600975,282.9953
1.110673,1.600975,282.9953
1.206713,1.561337,283.0012
1.211542,1.568087,282.9799
1.223722,1.554463,282.9623
1.223722,1.554463,282.9623
1.225438,1.565765,282.9638
1.225438,1.565765,282.9638
1.234492,1.564603,282.9611
1.250392,1.600441,282.9586
1.249017,1.595215,282.9664
1.258304,1.548675,282.9881
1.258304,1.548675,282.9881
1.273557,1.5256,283.0022
1.286221,1.571068,283.0117
1.286221,1.571068,283.0117
1.285726,1.590866,283.0052
1.282131,1.581879,283.017
1.282131,1.581879,283.017
1.261793,1.570294,283.0135
1.262394,1.566965,283.0128
1.27886,1.560871,283.0373
1.27886,1.560871,283.0373
1.27886,1.560871,283.0373
1.27886,1.560871,283.0373
1.27886,1.560871,283.0373
1.488338,1.44031,283.1219
1.662317,1.419877,283.0982
1.887408,1.382783,283.1286
1.887408,1.382783,283.1286
2.177514,1.375774,283.1742
2.499368,1.363452,283.1643
2.779887,1.291027,283.1593
2.779887,1.291027,283.1593
2.900385,1.237274,283.1412
3.104859,1.155468,283.1306
3.104859,1.155468,283.1306
3.104859,1.155468,283.1306
3.104859,1.155468,283.1306
3.104859,1.155468,283.1306
3.104859,1.155468,283.1306
3.104859,1.155468,283.1306
3.104859,1.155468,283.1306
3.104859,1.155468,283.1306
3.104859,1.155468,283.1306
3.104859,1.155468,283.1306
3.104859,1.155468,283.1306
3.104859,1.155468,283.1306
3.249228,1.183738,283.8587
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
3.293712,1.171182,283.8614
