Yaw,Pitch,Roll
359.9153,2.110694,282.1625
359.9153,2.110694,282.1625
359.9284,2.105456,282.1467
359.9284,2.105456,282.1467
359.9344,2.109864,282.1514
359.9344,2.109864,282.1514
359.9344,2.109864,282.1514
359.9344,2.109864,282.1514
359.9344,2.109864,282.1514
359.9319,2.093695,282.1291
359.9319,2.093695,282.1291
359.9416,2.047478,282.1484
359.9416,2.047478,282.1484
359.9416,2.047478,282.1484
359.9416,2.047478,282.1484
359.9416,2.047478,282.1484
359.9416,2.047478,282.1484
359.9416,2.047478,282.1484
359.9416,2.047478,282.1484
359.9416,2.047478,282.1484
359.9416,2.047478,282.1484
359.9416,2.047478,282.1484
359.9416,2.047478,282.1484
359.9416,2.047478,282.1484
359.9416,2.047478,282.1484
359.9226,2.236308,282.4354
359.9226,2.236308,282.4354
359.9365,2.233573,282.4288
359.953,2.21305,282.3992
359.9452,2.21304,282.4417
359.9452,2.21304,282.4417
359.9375,2.207938,282.4584
359.9525,2.164623,282.4264
359.9479,2.190746,282.3723
359.9479,2.190746,282.3723
359.9622,2.196522,282.2659
359.9532,2.213474,282.259
359.941,2.230635,282.2587
359.9258,2.221711,282.2168
359.9258,2.221711,282.2168
359.9179,2.199548,282.1946
359.9179,2.199548,282.1946
359.9041,2.193749,282.2026
359.9024,2.191548,282.2022
359.9128,2.200086,282.214
359.925,2.203561,282.192
359.9408,2.200899,282.1772
359.9853,2.180759,282.0633
0.0218862,2.172044,281.9882
0.0218862,2.172044,281.9882
0.01815698,2.15138,282.0468
0.06070841,2.076851,282.025
0.06142227,2.108738,282.0211
0.06142227,2.108738,282.0211
0.0460118,2.166328,282.0284
0.03857433,2.176671,282.0302
0.01997405,2.160981,282.0106
359.9884,2.144923,281.9651
359.9884,2.144923,281.9651
359.9706,2.139568,281.9275
359.9617,2.168083,281.7714
359.9493,2.141451,281.9379
359.9493,2.141451,281.9379
359.9493,2.141451,281.9379
359.9493,2.141451,281.9379
359.9493,2.141451,281.9379
359.9493,2.141451,281.9379
359.9493,2.141451,281.9379
359.9493,2.141451,281.9379
359.9493,2.141451,281.9379
359.9493,2.141451,281.9379
0.0198049,2.04452,281.6823
0.02486311,2.031191,281.6877
0.0146384,2.043801,281.6845
0.0146384,2.043801,281.6845
0.001442861,2.072422,281.7022
-0.004746014,2.066872,281.8442
-0.004746014,2.066872,281.8442
359.956,2.135262,281.7827
359.9386,2.117436,281.9666
