H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.464865,1.159278,-0.02749366,0.04765293,-0.03165364,-0.6849064,0.7263819
-1.464921,1.159268,-0.02747354,0.04793149,-0.03170979,-0.6846446,0.7266079
-1.464921,1.159268,-0.02747354,0.04793149,-0.03170979,-0.6846446,0.7266079
-1.464904,1.159202,-0.02751514,0.0484333,-0.03177938,-0.6843747,0.7268257
-1.464884,1.159172,-0.02747247,0.04852459,-0.03187039,-0.684188,0.7269915
-1.464818,1.159156,-0.02746367,0.0488984,-0.03176889,-0.6839601,0.7271852
-1.464835,1.159166,-0.02745938,0.04910889,-0.03172469,-0.684003,0.7271327
-1.464841,1.159142,-0.02744949,0.04950953,-0.03146249,-0.6841491,0.7269794
-1.464841,1.159142,-0.02744949,0.04950953,-0.03146249,-0.6841491,0.7269794
-1.46491,1.159151,-0.02731937,0.04940507,-0.03129423,-0.6843933,0.7267639
-1.464764,1.15901,-0.02731362,0.04945698,-0.03122437,-0.6844789,0.7266828
-1.464692,1.15892,-0.02728757,0.04948595,-0.03116569,-0.6844527,0.7267081
-1.464651,1.158872,-0.02726719,0.0495131,-0.03111222,-0.6844986,0.7266653
-1.464656,1.158851,-0.02724826,0.04955256,-0.03098068,-0.6845503,0.7266195
-1.464526,1.158789,-0.02719334,0.04963562,-0.03086528,-0.6842899,0.726864
-1.464498,1.15878,-0.02718723,0.0496695,-0.03089038,-0.6842373,0.72691
-1.464487,1.158762,-0.0271903,0.0496994,-0.03082508,-0.6842109,0.7269356
-1.464434,1.158735,-0.0272176,0.04993498,-0.03073406,-0.6840793,0.7270472
-1.46442,1.158729,-0.02724645,0.05009091,-0.03071776,-0.6840257,0.7270875
-1.464478,1.15874,-0.0272682,0.0503417,-0.03074172,-0.6840277,0.7270674
-1.464441,1.158683,-0.0272615,0.05040291,-0.03074014,-0.6840984,0.7269967
-1.464414,1.158663,-0.02723676,0.05039427,-0.03077284,-0.6841075,0.7269874
-1.464432,1.158669,-0.02720085,0.05041441,-0.0306814,-0.6840801,0.7270156
-1.464455,1.158667,-0.02718702,0.05045059,-0.03060153,-0.684142,0.7269582
-1.464477,1.158662,-0.02719048,0.05052471,-0.03053927,-0.6841735,0.726926
-1.464452,1.158595,-0.0272651,0.05062732,-0.03035903,-0.6839257,0.7271595
-1.464578,1.158687,-0.02729759,0.05066001,-0.03028855,-0.683971,0.7271177
-1.464664,1.158756,-0.02730337,0.0507226,-0.03026623,-0.6842707,0.7268322
-1.453418,1.158947,-0.01963872,0.03238425,-0.02877104,-0.6682717,0.7426551
-1.443744,1.150812,-0.0153853,0.02952194,-0.03875145,-0.6532644,0.7555611
-1.447522,1.15186,-0.0170764,0.03182006,-0.03850359,-0.6598596,0.7497269
-1.450961,1.153274,-0.01868209,0.0338704,-0.03783196,-0.6651632,0.7449695
-1.45111,1.153422,-0.0187583,0.03378379,-0.03775057,-0.6655307,0.7446493
-1.451233,1.153472,-0.01880783,0.03363916,-0.03768137,-0.6657965,0.7444217
-1.532353,1.12622,-0.03812972,-0.03527981,0.02082059,-0.6836756,0.7286355
-1.471276,1.155374,-0.0192616,0.03277162,-0.03585318,-0.6908672,0.7213482
-1.466173,1.157223,-0.02458829,0.04333225,-0.03437904,-0.6882488,0.7233632
-1.466901,1.157568,-0.02573633,0.04559875,-0.03408033,-0.6903443,0.721238
-1.466592,1.158169,-0.02754182,0.04847664,-0.03174779,-0.6903714,0.7211307
-1.466049,1.158011,-0.02786714,0.04896918,-0.03154981,-0.6879145,0.7234504
-1.465314,1.157626,-0.02824751,0.04971075,-0.0314469,-0.6856527,0.7255484
-1.464956,1.157503,-0.02836797,0.0498473,-0.03138095,-0.6853788,0.7258006
-1.464487,1.157209,-0.02827892,0.04961705,-0.03178838,-0.6841532,0.7269541
-1.464364,1.15718,-0.02821207,0.0494929,-0.03187302,-0.6839586,0.727142
-1.464273,1.157178,-0.02816784,0.04939947,-0.03186151,-0.6838235,0.7272758
-1.464145,1.157128,-0.0281975,0.04941541,-0.0318118,-0.6836122,0.7274756
-1.464008,1.157073,-0.0282037,0.04928887,-0.03171307,-0.683453,0.7276381
-1.463928,1.157057,-0.02815413,0.04898131,-0.03158119,-0.6834536,0.7276639
-1.463901,1.15706,-0.02813661,0.04880145,-0.03152832,-0.6834096,0.7277197
