Yaw,Pitch,Roll
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
356.0424,4.239467,275.3451
351.703,4.783001,276.0183
351.703,4.783001,276.0183
350.6952,4.805274,276.1854
350.6952,4.805274,276.1854
350.1836,4.792213,276.336
350.1836,4.792213,276.336
350.1836,4.792213,276.336
349.2083,4.738247,276.5421
349.2083,4.738247,276.5421
348.1946,4.642956,276.8334
348.1946,4.642956,276.8334
348.1946,4.642956,276.8334
348.1946,4.642956,276.8334
348.1946,4.642956,276.8334
346.7989,4.511894,277.3028
346.7989,4.511894,277.3028
346.7989,4.511894,277.3028
346.7989,4.511894,277.3028
346.7989,4.511894,277.3028
346.7989,4.511894,277.3028
346.7989,4.511894,277.3028
346.7989,4.511894,277.3028
346.7989,4.511894,277.3028
344.2267,4.494422,278.5846
343.5605,4.559759,279.1147
343.5605,4.559759,279.1147
343.1411,4.640082,279.4046
343.0141,4.696715,279.5511
343.0141,4.696715,279.5511
343.0141,4.696715,279.5511
343.0141,4.696715,279.5511
343.0141,4.696715,279.5511
343.0141,4.696715,279.5511
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
342.3146,5.037604,280.2528
345.8052,4.391716,279.6343
345.8052,4.391716,279.6343
345.8052,4.391716,279.6343
346.708,4.20735,279.334
347.1944,4.121149,279.1953
347.4495,4.084426,279.0981
347.4495,4.084426,279.0981
347.4495,4.084426,279.0981
348.5785,3.926114,278.7226
348.5785,3.926114,278.7226
348.5785,3.926114,278.7226
349.4236,3.943847,278.5935
349.6443,3.946073,278.548
349.6443,3.946073,278.548
349.6443,3.946073,278.548
349.6443,3.946073,278.548
351.0382,3.995983,278.6578
351.0382,3.995983,278.6578
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
351.4188,3.972354,278.7122
355.3766,3.912861,278.5312
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
355.5351,3.889248,278.5003
357.033,3.917721,278.1789
357.033,3.917721,278.1789
357.033,3.917721,278.1789
357.033,3.917721,278.1789
357.033,3.917721,278.1789
357.033,3.917721,278.1789
357.033,3.917721,278.1789
357.033,3.917721,278.1789
357.033,3.917721,278.1789
357.033,3.917721,278.1789
357.033,3.917721,278.1789
357.033,3.917721,278.1789
357.033,3.917721,278.1789
357.033,3.917721,278.1789
2.464975,3.756078,279.2484
3.188441,3.656481,279.4048
4.325762,3.515898,279.608
5.371275,3.369396,279.7637
5.890105,3.28271,279.8868
6.751923,3.129119,280.0518
7.492285,2.975423,280.2385
7.492285,2.975423,280.2385
7.820733,2.900151,280.3492
7.820733,2.900151,280.3492
7.820733,2.900151,280.3492
7.820733,2.900151,280.3492
7.820733,2.900151,280.3492
7.820733,2.900151,280.3492
7.820733,2.900151,280.3492
9.672139,2.457643,281.082
9.806324,2.43351,281.1774
9.806324,2.43351,281.1774
9.806324,2.43351,281.1774
9.806324,2.43351,281.1774
9.806324,2.43351,281.1774
9.806324,2.43351,281.1774
9.806324,2.43351,281.1774
9.806324,2.43351,281.1774
9.806324,2.43351,281.1774
10.38653,2.303595,281.8547
10.38653,2.303595,281.8547
10.38653,2.303595,281.8547
10.38653,2.303595,281.8547
10.38653,2.303595,281.8547
10.38653,2.303595,281.8547
10.38653,2.303595,281.8547
10.38653,2.303595,281.8547
10.38653,2.303595,281.8547
