Yaw,Pitch,Roll
359.8433,0.6434204,279.9064
359.8433,0.6434204,279.9064
359.8179,0.6830351,279.8868
359.8179,0.6830351,279.8868
359.8047,0.6906224,279.8815
359.7833,0.6670121,279.8745
359.7833,0.6670121,279.8745
359.7833,0.6670121,279.8745
359.7833,0.6670121,279.8745
359.7833,0.6670121,279.8745
359.7833,0.6670121,279.8745
359.7833,0.6670121,279.8745
359.7833,0.6670121,279.8745
359.7833,0.6670121,279.8745
359.7833,0.6670121,279.8745
359.7833,0.6670121,279.8745
359.7833,0.6670121,279.8745
359.7833,0.6670121,279.8745
359.7833,0.6670121,279.8745
359.7289,0.5742583,279.7003
359.172,0.6660614,280.0019
358.8381,0.7206569,280.1433
358.4262,0.7140855,280.3081
357.4496,0.4937449,280.6701
356.2298,0.3118722,281.1368
355.5501,0.2361822,281.4233
354.1495,359.9587,281.9766
353.409,359.8252,282.2286
352.627,359.7228,282.4664
351.8046,359.6335,282.7136
350.9727,359.5108,282.9715
349.3453,359.2513,283.4991
349.3453,359.2513,283.4991
348.5371,359.1597,283.7441
346.8784,359.0426,284.2512
345.2763,358.8165,284.7097
343.7277,358.6396,285.1418
342.1298,358.4864,285.5807
342.1298,358.4864,285.5807
339.9201,358.0898,286.3333
338.5882,357.9785,286.7798
337.9267,357.9409,286.9805
336.6736,357.8156,287.3757
336.0641,357.7709,287.5783
334.8852,357.6663,288.0023
334.3383,357.6179,288.2155
333.7843,357.5987,288.4255
332.1689,357.6839,289.0579
332.1689,357.6839,289.0579
331.0184,357.9176,289.8178
331.0184,357.9176,289.8178
330.0464,357.8465,290.2809
328.5809,357.7748,290.8651
328.0877,357.8024,291.0339
328.0877,357.8024,291.0339
327.5779,357.8379,291.2197
327.0744,357.8538,291.3877
325.2861,357.9735,292.0291
325.2861,357.9735,292.0291
324.6237,358.0531,292.2526
324.3575,358.0895,292.3399
324.106,358.1424,292.4265
323.8822,358.1924,292.4933
323.5508,358.2507,292.5979
323.4116,358.3258,292.6417
323.2982,358.4954,292.6967
323.2982,358.4954,292.6967
323.2612,358.5361,292.7147
323.2712,358.5672,292.7126
323.2712,358.5672,292.7126
323.3794,358.6544,292.6453
323.4861,358.7534,292.5821
323.8573,358.9749,292.4355
323.8573,358.9749,292.4355
324.1262,359.104,292.4193
324.3971,359.1435,292.4306
324.3971,359.1435,292.4306
324.6316,359.2298,292.4049
324.7285,359.2592,292.389
324.8321,359.2707,292.3552
324.9295,359.2831,292.3178
325.0303,359.3176,292.3167
325.0303,359.3176,292.3167
325.0453,359.3113,292.3498
325.3925,359.3246,292.2769
325.7221,359.2705,292.1984
326.2431,359.1552,292.1547
326.2431,359.1552,292.1547
327.0659,358.9678,292.0893
327.6018,358.8754,292.0591
328.2278,358.7793,292.0366
328.2278,358.7793,292.0366
330.5499,358.5399,291.9909
330.5499,358.5399,291.9909
333.7231,358.2866,291.7529
